shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIV_q_wBT67,exxonmobil,2020-12-03 17:17:03.000000,no,False,b'',b'',"b'What\xe2\x80\x99s helping to drive global energy demand? The rise of the middle class in places like India. Here, more people are moving toward urban centers that offer increased access to goods that help improve quality of life.'",0,0,689,184,,,
CH_JQugBNjc,exxonmobil,2020-11-24 20:18:19.000000,no,False,b'',b'',"b'As we work toward a new and more innovative energy future, the dual challenge fuels all that we do. Swipe through to learn what the term means.'",0,0,644,211,,,
CHx9dBDhtey,exxonmobil,2020-11-19 17:25:00.000000,no,False,b'',b'',b'Big skies and innovation on the horizon every day in the Permian Basin.',0,0,1810,1124,,,
CHbDfO2gKVp,exxonmobil,2020-11-10 19:55:12.000000,no,False,b'',b'',b'The hard work on the Noble Bob Douglas in Guyana is worth it for sunsets like these.',0,0,1367,265,,,
CHOG17qBv4U,exxonmobil,2020-11-05 19:14:23.000000,no,False,b'',b'',"b'No matter where we are in the world, there\xe2\x80\x99s always a view into the energy future. Recent expansions at our Rotterdam facility are helping to increase production and reduce emissions across Europe.'",0,0,880,339,,"b'Rotterdam, Netherlands'",51.9235 4.4752
CG2xz7dA5PW,exxonmobil,2020-10-27 17:48:05.000000,no,False,b'',b'',b'The Liza Destiny is shaping the energy future of Guyana one sunset at a time. :sun_selector:',0,0,1997,224,,,
CGiBYbvBbI5,exxonmobil,2020-10-19 16:20:05.000000,no,False,b'',b'',"b'What\xe2\x80\x99s helping to drive global energy demand? The rise of the middle class in places like India. Here, more people are moving toward urban centers that offer increased access to goods that help improve quality of life.'",0,0,647,226,,,
CGVbp59hfX0,exxonmobil,2020-10-14 19:00:33.000000,yes,False,b'',b'',b'Step into our digital garage.',6761,69.053,737,133,,,
CGF9ijyhTde,exxonmobil,2020-10-08 18:47:47.000000,no,False,b'',b'',b'Putting just the right touch on our innovative work at our Clinton technology campus.',0,0,1174,141,,,
CFsM7TQBIiZ,exxonmobil,2020-09-28 18:55:19.000000,yes,False,b'tinyhometips',b'',"b'Home isn\xe2\x80\x99t just home anymore \xe2\x80\x93 it\xe2\x80\x99s now our office, school, child care center and more. Check out some of these small tips to save energy while spending more time there. #TinyHomeTips'",2830,36.833,284,273,,,
CFcTFEAhH3G,exxonmobil,2020-09-22 14:31:12.000000,yes,False,b'tinyhometips',b'',b'Many of us are preparing more meals at home these days. Check out these small tips to see how you can save energy in the kitchen. #TinyHomeTips',2834,33.816,277,346,,,
CFP4WPIBRII,exxonmobil,2020-09-17 18:46:25.000000,yes,False,b'tinyhometips',b'',b'Getting a little fresh air may have more benefits than you think. See how it can also help curb your energy bill. #TinyHomeTips',4425,36.366,343,523,,,
CE4xT-2huVD,exxonmobil,2020-09-08 19:19:25.000000,no,False,b'soothingscience',b'',"b'When developing advanced polymers to make plastic film like this, it\xe2\x80\x99s not a stretch to say we push them to their limit. #SoothingScience'",0,0,1596,539,,,
CEmzBYkBYXA,exxonmobil,2020-09-01 19:56:12.000000,yes,False,b'soothingscience',b'',"b'Our pendulum impact tester won\xe2\x80\x99t hypnotize your mind, but it does measure the strength of our resilient polymers. Visit the link in our bio to learn more. #SoothingScience'",6453,4.933,487,139,,,
CEFZA6xBd9M,exxonmobil,2020-08-19 20:25:50.000000,no,False,b'nationalaviationday',b'',"b'Our advanced oils and lubricants have helped planes take off, fly and safely land for over 100 years. #NationalAviationDay'",0,0,1781,159,,,
CDywaqwhWWx,exxonmobil,2020-08-12 14:51:05.000000,yes,False,b'',b'',"b'Our employees undertake rigorous safety training to work on Hebron, an offshore platform measuring 770 feet from top to bottom. :helicopter:'",11542,10.0,1904,132,,,
CDMk4KmBaKd,exxonmobil,2020-07-28 18:52:47.000000,no,False,b'',b'',b'Under the rainbow our chemical plant in Brazil is hard at work producing essential products for everyday life.',0,0,2265,152,,,
CC6WI_gB-1J,exxonmobil,2020-07-21 16:57:41.000000,no,False,b'houston',b'',b'When the old meets the new at our #Houston campus.',0,0,1981,113,,,
CCtDSsFh-R7,exxonmobil,2020-07-16 13:02:51.000000,no,False,b'ogci',b'',b'Preparing for a lower-carbon world. We\xe2\x80\x99re part of the Oil and Gas Climate Initiative\xe2\x80\x99s effort to reduce carbon intensity in Upstream oil and gas operations. #OGCI',0,0,1020,88,,,
CCq_sI2BvJi,exxonmobil,2020-07-15 17:52:53.000000,no,False,b'',b'nationalrenewableenergylab',b'Together with our research partners @nationalrenewableenergylab we are working towards lower-emission energy solutions.',0,0,1184,75,,b'National Renewable Energy Laboratory',39.7407161725 -105.1686322689
CCY2COuhx-Z,exxonmobil,2020-07-08 16:42:12.000000,no,False,b'',b'',"b'Our employees continue to support frontline health care workers and communities by producing and donating thousands of gallons of hand sanitizer, including 10,000 gallons for the U.S. Air Force. The sanitizer is headed to bases across the U.S. after being mixed, tested and packaged in Louisiana.'",0,0,1823,79,,,
CCHM5z7hn7Y,exxonmobil,2020-07-01 20:15:42.000000,no,False,b'',b'springfdtx',"b'This Independence Day\xc2\xa0and every day, we thank our\xc2\xa0frontline workers.\xc2\xa0We are proud to support them\xc2\xa0through meal and mask donations,\xc2\xa0as well as contributions for essential PPE for first responders like those at the @springfdtx'",0,0,1361,62,,,
CB1ECatBzxi,exxonmobil,2020-06-24 19:11:54.000000,no,False,"b'innovation,technology'",b'',b'Behind the scenes of bold innovation:light_bulb:#innovation #technology',0,0,833,54,,,
CAalf6lBFIj,exxonmobil,2020-05-20 15:53:24.000000,no,False,b'',b'',b'Donations of ExxonMobil\xe2\x80\x99s medical-grade sanitizer are arriving at front lines across the U.S.',0,0,1301,120,,b'New Jersey',40.0 -74.5
CALByQNAZGd,exxonmobil,2020-05-14 14:52:43.000000,no,False,b'alltogether',b'',b'Our employees have reconfigured our operations at our Baton Rouge facilities to produce nearly 5 million bottles of medical grade sanitizer for COVID19 response efforts around the country. We\xe2\x80\x99ve also donated book bags filled with curriculum and bottles of hand sanitizer to the East Baton Rouge School System. #AllTogether',0,0,44391,201,,,
CAD7o_ABIUE,exxonmobil,2020-05-11 20:44:20.000000,no,False,b'ppe',b'springfdtx',b'Our $450k in contributions for Houston-area relief included essential #PPE for first responders like the @springfdtx',0,0,7415,62,,,
B_2oyGThhX1,exxonmobil,2020-05-06 16:49:26.000000,no,False,b'',b'',"b'A group of women in Tuban, Indonesia produce cotton face masks for donation as part of ExxonMobil Indonesia\xe2\x80\x99s \xe2\x80\x9cInspiring Mothers of Tuban\xe2\x80\x9d community development program. ExxonMobil Indonesia is committed to helping fight the spread of COVID-19.'",0,0,12093,113,,,
B_XPfO7gY5F,exxonmobil,2020-04-24 12:11:57.000000,no,False,b'',b'',"b'Thanks to the ingenuity and quick thinking of our employees, we\xe2\x80\x99ve created a new process and supply chain in just a matter of weeks to produce up to 160,000 gallons of medical-grade hand sanitizer to donate to frontline workers and first responders across the United States.'",0,0,1732,147,,,
B_DF6CWhZVx,exxonmobil,2020-04-16 16:23:25.000000,no,False,"b'feedtheheroes,txrestaurantrelieffund,covid19,americaworkstogether'",b'',"b""We've teamed up with the TX Restaurant Relief Fund to provide 6,000 meals to those on the frontlines in Houston. #FeedTheHeroes #TXRestaurantReliefFund #COVID19 #AmericaWorksTogether""",0,0,22464,180,,,
B-zs-uqhkhq,exxonmobil,2020-04-10 16:57:08.000000,yes,False,b'',b'',b'Want to stay safe refueling at the pump? We\xe2\x80\x99ve compiled a few tips to practice every time you stop for gas.',5164,23.553,523,48,,,
B-h6LmQh0m0,exxonmobil,2020-04-03 19:06:01.000000,no,False,b'',b'',"b""We're helping to get what's needed to those in need. Our Baton Rouge chemical facility is home to the world\xe2\x80\x99s largest plant producing isopropyl alcohol (IPA), a component of medical hand sanitizer. We\xe2\x80\x99re mobilizing IPA to some of the areas hardest hit by COVID-19, including New York and Louisiana in the U.S.""",0,0,2013,68,,,
B-e5EjtB0_k,exxonmobil,2020-04-02 14:58:36.000000,no,False,b'covid19',b'',"b""In the face of a global pandemic, we\xe2\x80\x99re grateful for medical professionals and first responders. Meanwhile, we're doing our part to help ensure a better tomorrow for everyone. Visit the link in bio for more info on our response. #COVID19""",0,0,1518,63,,,
B9rNL_QhFHZ,exxonmobil,2020-03-13 13:13:52.000000,no,False,b'',b'',"b'Our Singapore Chemical Complex produces advanced, high value products with fewer emissions.'",0,0,2440,107,,,
B9Zm79yBKR9,exxonmobil,2020-03-06 17:12:32.000000,no,False,b'',b'',"b""Our line of thinking: meeting the world's energy demand while lowering emissions.""",0,0,781,32,,,
B9URTUEB5v2,exxonmobil,2020-03-04 15:27:17.000000,no,False,"b'jobs,investment'",b'',b'Our employees are the most important part of our business :globe_showing_Americas: #jobs #investment',0,0,1883,88,,b'Papua New Guinea',-6.366667 146.1
B9HUjdphLGc,exxonmobil,2020-02-28 14:45:35.000000,no,False,b'',b'',b'Perspectives of the Permian.',0,0,1152,40,,,
