shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CITmwiRHQrq,facebook,2020-12-02 19:00:52.000000,no,False,b'',b'',"b'Customers love what small businesses bring to their communities. Their loyalty to those businesses helps turn them into places that locals eagerly return to over and over again. We asked customers from shops like Cliff\xe2\x80\x99s Variety in San Francisco, Ching Ching Cha tea room  in Washington D.C., and J.Landress Brass shop in New York what makes the businesses they love special. \n\nWhat makes your favorite small business great?'",0,0,1970,457,,,
CIRTGATDEYX,facebook,2020-12-01 21:30:33.000000,no,False,b'',b'facebookapp',"b'\xe2\x80\x9cAnyone can make magic and magic is for anyone.\xe2\x80\x9d\n\nWhen former cancer nurse, Holly, and her friend, Bree, made their first princess yarn wig, it was for a friend\xe2\x80\x99s little girl recovering from chemotherapy who wanted something soft to cover her head. Over five years later, Holly and Bree have sent over 30,000 Magic Yarn Wigs to children battling cancer in 51 countries. \n\nThey are true champions that inspire giving back. \n\n\xe2\x80\x9cFor every wig that we send out to a child, between three to four different \xe2\x80\x98Magic Makers\xe2\x80\x99 have been involved in making that wig, from knitting to buying the supplies. Our volunteers are from all walks of life: Boy Scouts, grandmothers, prison inmates, school clubs, national honor societies, men and women in the armed services, and NFL players. All helping us spread magic to children with cancer.\xe2\x80\x9d\n\nHolly and Bree use the @facebookapp to share stories of brave children receiving wigs, and use Facebook Live to stay connected with their community of volunteers and Magic Makers who are constantly helping give back. \n\nHolly and Bree are two of countless individuals giving back every day, but especially during Giving Season. See link in bio to learn more about ways to give back this Season of Giving.'",0,0,1286,148,,,
CIRMMTFjq5A,facebook,2020-12-01 20:30:15.000000,no,False,b'',"b'emergencyrv,facebookapp'","b'\xe2\x80\x9cMy daughter, Luna, and I were following the wildfires in California. I saw a news story about a man who was able to start up a motorhome parked on the side of his house and escape the fire. He said that he was just so grateful to have a home. It just struck me like a bolt of lightning that there are RVs everywhere. I turned to Luna and I said, \xe2\x80\x98What do you think about finding an RV and driving it to California and giving it to a family who lost their home for Thanksgiving?\xe2\x80\x99 And she had this big smile on her face.\xe2\x80\x9d\n \nWoody started @emergencyrv initially to help one displaced family with one donated RV. Since then, it has become a thriving online community where Woody connects with families in need, as well as individuals wanting to donate RVs. For Woody, the response has been overwhelming. \n \n\xe2\x80\x9cI put the word out on my @facebookapp profile. All my friends and family shared it. As we continued on our journey, people started reaching out and offering to help. We connected with one firefighter in Oregon who had lost her home in the wildfires. Luna and I immediately knew we needed to get her an RV and help somebody who was already giving so much.\xe2\x80\x9d \n \nWoody and Luna stay in touch with the families they help and consider them members of their own extended family. Their generosity has become an inspiration to everyone whose lives they touch.\n \nWoody and Luna of two of countless individuals giving back every day, but especially during Giving Season. See link in bio to learn more about ways to give back this Season of Giving.'",0,0,1110,78,,,
CIQ0Kz_HEJE,facebook,2020-12-01 17:00:20.000000,no,False,b'',"b'pilotsnpaws,whatsapp'","b'\xe2\x80\x9cFor me, flying rescue missions for these animals is incredibly important. Statistics show that about 1800 dogs get killed every single day in the US. When I see photos of them in shelters in terrible situations\xe2\x80\x94crammed into a tiny space with dozens of dogs that are abused on a regular basis\xe2\x80\x94 I try to be one of the many voices for the voiceless.\xe2\x80\x9d \n\nEduard, a volunteer pilot with @pilotsnpaws, has personally flown over 60 dogs to safety from kill shelters to rescue organizations and foster families. Given the rising threat shelter animals face to being euthanized, especially during COVID, Eduard can\xe2\x80\x99t imagine a more important way of giving back. \n\n\xe2\x80\x9cOne of my main goals is to inspire other pilots to volunteer. If I can get one more, two more, three more pilots to join our rescue missions and help save lives, that would make me very happy.\xe2\x80\x9d\n\nEduard stays in touch with other pilots via @WhatsApp and is always at-the-ready to rescue an animal in need. He is currently mentoring young pilots to help them get their license so more diehard animal advocates are cleared for take-off. \n\nEduard is one of countless individuals giving back every day, but especially during Giving Season. See link in bio to learn more about ways to give back this Season of Giving.'",0,0,1467,61,,,
CIQtR7cBDoy,facebook,2020-12-01 16:00:08.000000,no,False,b'',b'facebookapp',"b'\xe2\x80\x9cWhen I started this initiative, the purpose was really just to go out and do something kind. I had no idea that it would grow into a passion and something that was needed, not just in the city of Philadelphia, but all over the world.\xe2\x80\x9d\n\nWhen professional barber Brennon started giving haircuts to people experiencing homelessness, he wanted to give some positivity and change to a forgotten group. It inspired a new movement of giving across the country. Other barbers and cosmetologists started reaching out to help, and he formed the Cutz of Compassion crew. Their first tour went up and down the east coast, giving 3,000 people haircuts in three years.\n\n\xe2\x80\x9cMy wife was recording a video on @FacebookApp Live and somebody recognized the man whose hair I was cutting. He is somebody\xe2\x80\x99s family. They had lost touch with him and didn\xe2\x80\x99t know he was homeless. They got in touch and reconnected. It was really cool to see that happen.\xe2\x80\x9d\n\nSeveral tours and 5,000 haircuts later, Brennon is still on the street from sunup to sundown giving cuts and making a difference in people\xe2\x80\x99s lives.\n\nBrennon is one of countless individuals giving back every day, but especially during Giving Season. See link in bio to learn more about ways to give back this Season of Giving.'",0,0,1226,42,,,
CIQmcVxLXJN,facebook,2020-12-01 15:00:39.000000,yes,False,b'',b'',"b'As the Season of Giving kicks off, there are so many inspiring ways people are giving back to others. Have you thought about how you could give back this Giving Season? All it takes is personal passion and small actions that inspire like-minded people to help create a community and spread the word.\n\nLike friends Holly and Bree, who are spreading magic and joy to children battling cancer by making princess yarn wigs. Or Woody and his daughter, Luna, who are helping donate RVs to families who have lost their homes to wildfires. Or Eduard, who is combining his love of flying and animals to run rescue missions for dogs and cats in kill shelters to rescue organizations and foster families.\n \nWhether you\xe2\x80\x99re starting a Facebook Fundraiser, or getting the word out for your favorite charity or non-profit on your personal page, it doesn\xe2\x80\x99t take much to make a difference this season. \n \nJoin us in celebrating the countless ways people are giving back. See link in bio to learn more about ways to give back this Season of Giving.'",6064,30.1,663,27,,,
CIOdHgDMdmv,facebook,2020-11-30 19:00:50.000000,yes,False,b'',"b'themagicyarnproject,facebookapp'","b'\xe2\x80\x9cThe Magic Yarn Project isn\xe2\x80\x99t just about giving wigs to kids with cancer but giving others an opportunity to serve families in need.\xe2\x80\x9d\n \nFormer cancer nurse, Holly, and her friend, Bree, spend every day of the year giving a little bit of joy and magic to children battling cancer. Since 2015, they have been the heart and soul behind @themagicyarnproject, which makes soft princess and superhero yarn wigs for kids to wear after chemotherapy treatment. More than just a wig, it\xe2\x80\x99s a community of volunteers who have come together online to make a difference in a child\xe2\x80\x99s life when he or she need it most.\n \n\xe2\x80\x9cThere is nothing better than seeing a little girl with cancer put on a wig and dance around in her yard.\xe2\x80\x9d\n \nHolly and Bree have found the power of the @facebookapp to build their community of \xe2\x80\x98Magic Makers\xe2\x80\x99, sharing stories of brave children on the platform and using Facebook Live to stay connected with their community of volunteers and Magic Makers who have helped send over 30,000 wigs to children in 51 countries. \n \nHolly and Bree are two of the of countless individuals giving back every day, but especially during Giving Season. See link in bio to learn more about ways to give back this Season of Giving.'",6784,40.5,802,107,,,
CIOIgL2Hh-w,facebook,2020-11-30 16:00:31.000000,yes,False,b'',"b'pilotsnpaws,facebookapp,whatsapp'","b'\xe2\x80\x9cMy concept of volunteering has changed over the years since I started flying rescue missions for cats and dogs. Now I fly with a purpose.\xe2\x80\x9d\n \nPilot and restaurateur Eduard used to fly planes for pleasure. Now, he flies with renewed purpose as a volunteer pilot with @pilotsnpaws, a non-profit that flies transport rescue missions for dogs and cats in high-kill shelters to no-kill rescue organizations and foster families. For Eduard, flying animals to safety and giving them a second chance makes this the perfect volunteering mission. \n \n\xe2\x80\x9cFor me helping to find homes for these animals is incredibly important. These animals are in need of foster homes, medical care and a second chance.\xe2\x80\x9d\n \nSo far, Eduard has flown over 60 dogs to safety and new homes, finding his own creative way to give back. He shares his rescue stories with his community on the @facebookapp and uses @whatsapp to stay in contact with fellow pilots always at-the-ready to fly a rescue mission for an animal in need. \n \nEduard is one of countless individuals giving back every day, but especially during Giving Season. See link in bio to learn more about ways to give back this Season of Giving.'",11864,33.066,908,70,,,
CILjv6KFz2S,facebook,2020-11-29 16:00:52.000000,yes,False,b'',"b'wfaircloth11,emergencyrv'","b'\xe2\x80\x9cIf we can deliver an RV to somebody who is suddenly homeless, that\xe2\x80\x99s the first step to helping their recovery.\xe2\x80\x9d \n \n@wfaircloth11 and his daughter, Luna, know a thing or two about giving back. After seeing families lose their homes in the destructive California wildfires, Woody started @emergencyrv, which donates refurbished RVs to families who have lost their homes in these natural disasters. They have delivered nearly 90 RVs to displaced families in need of a roof over their head. \n \n\xe2\x80\x9cI can\xe2\x80\x99t describe how powerful a moment that is to be able to provide shelter\xe2\x80\x94such a basic human need. Home is the safest place we have.\xe2\x80\x9d\n\nWoody and Luna\xe2\x80\x99s efforts caught the attention of friends and new supporters on social media. Now, Woody uses his Facebook group to share out his incredible stories with his community of countless volunteers who stepped up to help him give back. \n \nWoody and Luna are two of countless individuals giving back every day, but especially during Giving Season. See link in bio to learn more about ways to give back this Season of Giving.'",9400,37.1,1077,84,,,
CIJTj-9DflH,facebook,2020-11-28 19:00:59.000000,yes,False,b'',"b'haircut4homeless,instagram'","b'\xe2\x80\x9cIt costs absolutely nothing to give back, to do something nice for somebody who can give you nothing in return.\xe2\x80\x9d\n \nProfessional barber Brennon started @haircut4homeless to help a population of people who needed his positivity and encouragement. He went from cutting his regular customers\xe2\x80\x99 hair to seeking out people experiencing homelessness who were looking for compassion, somebody to talk to, and a free haircut.\n \n\xe2\x80\x9cWhen they sit in my chair, the haircut is kind of like a new beginning.\xe2\x80\x9d\n \nBrennon\xe2\x80\x99s razor and scissors may bring a physical change, but his words of wisdom have lifted many at a time when they need it most. He spreads his love of giving back using @instagram to share out his stories and promote his $2 Tuesdays that help cover his costs to make a difference with a razor and a smile.\n \nBrennon is one of countless individuals giving back every day, but especially during Giving Season. See link in bio to learn more about ways to give back this Season of Giving.'",22322,33.033,1351,129,,,
