shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIX7GELDofB,ferrovial,2020-12-04 11:15:32.000000,no,False,b'',"b'tidewaylondon,laingorourke,tidewaylondon,laingorourke'","b'We want to congratulate the team working on the central section of the Thames Tideway Tunnel project in London. On Monday night, our Tunnel Boring Machine Ursula officially finished her 7.6km journey, breaking into the shaft at Bermondsey.\r.\r:raising_hands: Congratulations to everyone involved in such an important milestone! @tidewaylondon @laingorourke\n.\n.\nQueremos felicitar al equipo que trabaja en la seccio\xcc\x81n central del proyecto Thames Tideway Tunnel en Londres. El lunes por la noche, nuestra ma\xcc\x81quina perforadora de tu\xcc\x81neles Ursula termino\xcc\x81 oficialmente su viaje de 7,6 km, rompiendo el pozo en Bermondsey.\r.\r:raising_hands: \xc2\xa1Felicidades a todos los participantes en un hito tan importante! @tidewaylondon @laingorourke'",0,0,295,13,,"b'London, Un\xce\xb9ted Kingdom'",51.474967445 -0.07939436
CIQUy2aDWam,ferrovial,2020-12-01 12:26:11.000000,no,False,b'',"b'aeropuerto_jorgechavez,aeropuerto_jorgechavez'","b':airplane: Our Ferrovial Construction team is hard at work building the control tower at the @aeropuerto_jorgechavez in Lima, Peru.\n.\n:exclamation_question_mark: Did you know that we have already carried out similar projects at the Adolfo Suarez Madrid-Barajas Airport and the Warsaw Chopin Airport?\n.\n.\n:airplane: Nuestro equipo de Ferrovial Construcci\xc3\xb3n est\xc3\xa1 trabajando intensamente en la construcci\xc3\xb3n de la torre de control del @aeropuerto_jorgechavez en Lima, Per\xc3\xba.\n.\n:exclamation_question_mark: \xc2\xbfSab\xc3\xadas que ya hemos llevado a cabo proyectos similares como las torres de control de los aeropuertos Adolfo Suarez Madrid-Barajas y Chopin, en Varsovia?'",0,0,1080,6,,b'Lima - Per\xc3\xba',-12.0459591033 -77.0305627888
CIGCPjpj9x6,ferrovial,2020-11-27 12:31:40.000000,no,False,b'',b'',"b""Did you know that we helped refurbish the Crystal Palace in El Retiro Park in Madrid? :star-struck: It was designed by Ricardo Vel\xc3\xa1zquez Bosco and his construction project was inspired by the Crystal Palace in London.\n.\n:backhand_index_pointing_down: Let us know in the comments if you've ever been here.\n.\n.\n\xc2\xbfSab\xc3\xadas que ayudamos a reformar el Palacio de Cristal del Parque de El Retiro de Madrid? :star-struck: Fue dise\xc3\xb1ado por Ricardo Vel\xc3\xa1zquez Bosco y su proyecto de construcci\xc3\xb3n se inspir\xc3\xb3 en el Crystal Palace de Londres.\n.\n:backhand_index_pointing_down: Cu\xc3\xa9ntanos en los comentarios si alguna vez has estado aqu\xc3\xad.""",0,0,193,3,,"b'Madrid, Spain'",40.41666667 -3.70388889
CH7lXwMjzq8,ferrovial,2020-11-23 11:06:58.000000,no,False,b'',b'',b'Our vision of the world? Building infrastructure that improves the well-being of people.\n.\n\xc2\xbfNuestra visi\xc3\xb3n del mundo? Construir infraestructuras para mejorar el bienestar de las personas.',0,0,353,8,,,
CHzueVED9Gn,ferrovial,2020-11-20 09:52:35.000000,no,False,b'',b'',"b'Do you know about our project that helped the ""El Salado"" community in Colombia? :Colombia: We ensured that its inhabitants enjoy a continuous supply of quality water. How? :backhand_index_pointing_down:\n.\n:droplet::sun: We implemented a solar pumping system that works during the day, so it does not require batteries. This technology makes it possible to be independent of the electrical network, and therefore, reduce the operating costs of the system.\n.\n.\n\xc2\xbfConoces el proyecto que realizamos para la comunidad de El Salado en Colombia? :Colombia: Conseguimos que sus habitantes disfruten de un suministro continuado de agua de calidad. \xc2\xbfC\xc3\xb3mo? :backhand_index_pointing_down:\n.\n:droplet::sun: Implementamos un sistema de bombeo solar que funciona de d\xc3\xada, de manera que no requiere bater\xc3\xadas. Esta tecnolog\xc3\xada permite ser independiente de la red el\xc3\xa9ctrica, y por tanto, reducir los costes de funcionamiento del sistema.'",0,0,110,1,,b'Colombia',3.816667 -73.916667
CHpwHMlj2IK,ferrovial,2020-11-16 12:54:30.000000,no,False,b'',b'',"b'The I-77 Express Lanes in Charlotte, North Carolina help drivers travel more quickly through the north corridor. :motorway::automobile: They can decide to use the express lanes, the general purpose lanes or a combination of both.\n.\n:pushpin::face_with_monocle: An interesting fact: Did you know that since it officially opened to traffic 1 year ago, more than 7.7 million trips have been taken on the I-77 Express Lanes?\n.\n.\nLos carriles express de la I-77 en Charlotte (Carolina del Norte) ayudan a los conductores a viajar ma\xcc\x81s ra\xcc\x81pido por el corredor norte. :motorway::automobile: Pueden decidir usar los carriles express, los carriles de uso general o una combinacio\xcc\x81n de ambos.\n.\n:pushpin::face_with_monocle: Un dato curioso: \xc2\xbfSabi\xcc\x81as que desde que se abrio\xcc\x81 oficialmente al tra\xcc\x81fico hace 1 an\xcc\x83o, se han realizado ma\xcc\x81s de 7,7 millones de viajes por los carriles express de la I-77?'",0,0,144,2,,"b'Charlotte, N.C.'",35.0866974 -80.8584345
CHh8rOojSt6,ferrovial,2020-11-13 12:10:21.000000,no,False,b'',b'',"b""The London Crossrail is one of the greatest challenges that we've faced when working in a densely populated city. It has a thousand years of history and is 40 meters underground :train:\n.\n:backhand_index_pointing_right: This is the Farringdon Station. When the Elizabeth line opens, it will become the Crossrail central hub. 140 trains and 150,000 people will use it every hour, and it will combine history and avant-garde in the same space.\n.\n.\nEl Crossrail de Londres es uno de los mayores desaf\xc3\xados a los que nos hemos enfrentado al trabajar en una ciudad densamente poblada. Est\xc3\xa1 inmersa en mil a\xc3\xb1os de historia y se encuentra a 40 metros bajo tierra :train:\n.\n:backhand_index_pointing_right: Esta es la estaci\xc3\xb3n de Farringdon. Cuando se abra la l\xc3\xadnea Elizabeth, se convertir\xc3\xa1 en el eje central del Crossrail. 140 trenes y 150.000 personas lo utilizar\xc3\xa1n cada hora, combinando historia y vanguardia en un mismo espacio.""",0,0,204,5,,"b'Farringdon, London'",51.520905 -0.103675
CHdK9WJjmBp,ferrovial,2020-11-11 15:38:58.000000,no,False,b'',b'',b'We build the infrastructure that connects communities. Ready to join us on this journey?\n.\nConstruimos infraestructuras que conectan a las personas. \xc2\xbfEst\xc3\xa1s listo/a para unirte a nosotros en este viaje?',0,0,493,20,,,
CHagSp6jQwE,ferrovial,2020-11-10 14:47:39.000000,no,False,b'',"b'museoguggenheim,saulcg94,museoguggenheim,saulcg94'","b""The @museoguggenheim in Bilbao is one of the most iconic projects in the history of Ferrovial Construction :thumbs_up:\n.\nIt looks stunning from any angle, right? Let us know in the comments if you've ever visited it before.\n.\n:camera_with_flash: Thanks to @saulcg94 for capturing this shot of its interior.\n.\n.\nEl @museoguggenheim de Bilbao es uno de los proyectos ma\xcc\x81s ico\xcc\x81nicos que nuestros profesionales de Ferrovial Construccio\xcc\x81n han llevado a cabo a lo largo de nuestra historia :thumbs_up:\n.\nAu\xcc\x81n hoy desprende vanguardia por todos sus costados, \xc2\xbfverdad? \xc2\xa1Cue\xcc\x81ntanos en los comentarios si has estado alguna vez alli\xcc\x81!\n.\n:camera_with_flash:  Gracias a @saulcg94 por regalarnos esta magni\xcc\x81fica fotografi\xcc\x81a de su interior.""",0,0,190,11,,b'Museo Guggenheim',40.424334756 -3.7117483574
CHPsDpBDmZO,ferrovial,2020-11-06 09:58:49.000000,no,False,b'',"b'light_lightss,light_lightss'","b""One of the most outstanding buildings in the history of Madrid is the Casa de la Panader\xc3\xada. It's an iconic because of its fresco paintings, its spires with the clock and the barometer, and for being the first building to be constructed in the Plaza Mayor.\n.\n:clapping_hands: Did you know that our team of professionals from Ferrovial Construction participated in its rehabilitation? Tell us in the comments if you've ever been here!\n.\n:camera_with_flash: @light_lightss\n.\n.\nUno de los edificios m\xc3\xa1s destacados de la historia de Madrid es la Casa de la Panader\xc3\xada. Se trata de una infraestructura ic\xc3\xb3nica por sus frescos, sus chapiteles con el reloj y el bar\xc3\xb3metro, y por ser el primer edificio que se construy\xc3\xb3 en la Plaza Mayor.\n.\n:clapping_hands: \xc2\xbfSab\xc3\xadas que nuestro equipo de profesionales de Ferrovial Construcci\xc3\xb3n particip\xc3\xb3 en su rehabilitaci\xc3\xb3n? Cu\xc3\xa9ntanos en comentarios si has estado alguna vez all\xc3\xad.\n.\n:camera_with_flash: @light_lightss""",0,0,190,5,,"b'Plaza Mayor, Madrid'",19.4324421314 -99.2108013865
