shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIWIXPgAUp2,fifththirdbank,2020-12-03 18:33:10.000000,no,False,b'53communitycommitment',b'',"b'As a part of our community commitment, we\xe2\x80\x99ve invested $5M in partnership with the Community Reinvestment Fund and community development financial institutions to help minority and women business owners scale and build capacity.  #53CommunityCommitment \n\nLearn more about our commitment to improve the lives of our customers and well-being of our communities at http://go.53.com/6173HzYTV'",0,0,85,9,,,
CIDgwu3DDuM,fifththirdbank,2020-11-26 13:00:47.000000,no,False,b'happythanksgiving',b'',"b'Today and every day, we are thankful for you\xe2\x80\x94our customers, communities and employees. We are also grateful to carry forward the legacy our past leaders established. This quote from one of our former presidents sums it up. #happythanksgiving'",0,0,124,18,,,
CIByGMsHRr5,fifththirdbank,2020-11-25 20:53:41.000000,yes,False,"b'happythanksgiving,zelle,moneymoves,givethanks'",b'zellepay',b'Send money with @Zellepay from the Fifth Third mobile app and start a new holiday tradition with faraway kiddos. #happythanksgiving #zelle #moneymoves #givethanks',280,12.0,18,0,,,
CHcy4RPhSvj,fifththirdbank,2020-11-11 12:08:33.000000,no,False,"b'thankyou,veteransday'",b'',"b""Since 1858, Fifth Third employees have served their country on the front lines and the homefront. On Veterans Day and always, we are grateful for our past and present military veteran employees as well as our active service members for ensuring the freedoms we enjoy.  #thankyou #veteransday:United_States: \n\n(Images: Fifth Third's Honor Roll in WWII.)""",0,0,179,4,,,
CGlU8HJnzYA,fifththirdbank,2020-10-20 23:08:49.000000,yes,False,b'banksneveraskthat',b'',b'Stay alert. Here are the three most common ways people get hit by bank scams. #BanksNeverAskThat',275,27.033,14,5,,,
CGalTfCn-DX,fifththirdbank,2020-10-16 19:00:23.000000,no,False,b'banksneveraskthat',b'',b'We all get spammy texts. But what if it looks and sounds like your bank? Here\xe2\x80\x99s one way to tell it\xe2\x80\x99s a scam: It asks you to click a suspicious link. #BanksNeverAskThat.',0,0,37,3,,,
CGD1nU0HSMV,fifththirdbank,2020-10-07 23:00:12.000000,no,False,b'banksneveraskthat',b'americanbankersassociation',b'You have better things to do than worry about online scams. Take 5 minutes to become a pro scamspotter by taking the @americanbankersassociation #BanksNeverAskThat quiz at: banksneveraskthat.com',0,0,34,12,,,
CF2HYqMnYbI,fifththirdbank,2020-10-02 15:06:07.000000,no,False,b'',b'',b'October is National Disability Employment Awareness Month! Fifth Third is proud to offer ABLE accounts. ABLE can help individuals with disabilities and their families save for future expenses without losing federal benefits: 53.com/able',0,0,88,3,,,
CFPfdw0HxQk,fifththirdbank,2020-09-17 15:06:08.000000,no,False,"b'diversity,inclusion,equality,inclusiveleadership,diversityandinclusion,inclusiveworkplace'",b'',"b'\xe2\x80\x9cWe have the opportunity and charge to establish a more inclusive and diverse reality, particularly for our Black employees, customers and community members.\xe2\x80\x9d \xe2\x80\x93 Stephanie Smith, Chief Inclusion Diversity Officer  #diversity #inclusion #equality #inclusiveleadership #diversityandinclusion #inclusiveworkplace \n\nClick the link in the bio to learn more.'",0,0,100,11,,,
CE4kuLZBecG,fifththirdbank,2020-09-08 17:30:34.000000,yes,False,b'',b'hotsamsdetroit',b'See how Fifth Third and @hotsamsdetroit came together to preserve a 100-year legacy.',1244,155.233,125,23,,,
CEpm6KRlsT3,fifththirdbank,2020-09-02 22:00:02.000000,no,False,b'',b'',"b'\xe2\x80\x9cI\xe2\x80\x99m a dental specialist with a practice in Columbus, and I was feeling uncertain about what was next for my business. Stephanie A., a Small Business Community Lender at Fifth Third, put in the extra hours to secure the PPP loan we needed to give us confidence about the future. Her help and hard work truly made all the difference.\xe2\x80\x9d -Dr. Richard C., Columbus\n\nAt Fifth Third Bank, we\xe2\x80\x99re proud to help the small businesses in our community.\n\nTo learn more about how we are helping our communities, see the link in our bio.'",0,0,58,9,,,
CEpm6KRlsT3,fifththirdbank,2020-09-02 22:00:02.000000,no,False,b'',b'',"b'\xe2\x80\x9cI\xe2\x80\x99m a dental specialist with a practice in Columbus, and I was feeling uncertain about what was next for my business. Stephanie A., a Small Business Community Lender at Fifth Third, put in the extra hours to secure the PPP loan we needed to give us confidence about the future. Her help and hard work truly made all the difference.\xe2\x80\x9d -Dr. Richard C., Columbus\n\nAt Fifth Third Bank, we\xe2\x80\x99re proud to help the small businesses in our community.\n\nTo learn more about how we are helping our communities, see the link in our bio.'",0,0,58,9,,,
CEVAixdg6hS,fifththirdbank,2020-08-25 21:59:59.000000,no,False,b'',b'',"b'\xe2\x80\x9cThe nonprofit I work for helps women with behavioral health and substance abuse issues in Columbus, Ohio. When Melissa B.G. at Fifth Third sent over a bunch of pizzas as a surprise, it wasn\xe2\x80\x99t just dinner. It was proof of the kindness of strangers.\xe2\x80\x9d -Arlene R., Columbus\n\nAt Fifth Third Bank, we\xe2\x80\x99re proud to help the people in our community.\n\nTo learn more about how we are helping our communities, see the link in our bio.'",0,0,129,8,,,
CEIDsB7hrSU,fifththirdbank,2020-08-20 21:17:12.000000,no,False,"b'tbt,throwbackthursday,throwback'","b'graeters,walnuthillsrf'","b""We're drooling over this #TBT find in a former branch. This WWI bond dates back to 1918 & was purchased by Paul Graeter of the @Graeters Ice Cream family. Fifth Third purchased Walnut Hills Savings & Bank in 1919. Thank you, @WalnutHillsRF for this sweet historic treat! #throwbackthursday #throwback""",0,0,265,15,,,
CEC-_MEj28f,fifththirdbank,2020-08-18 22:00:04.000000,no,False,b'',b'',"b'\xe2\x80\x9cFor over 40 years, I\xe2\x80\x99ve been performing all over the world, but as a result of COVID-19, I was out of work for the first time in my life. The help and dedication of Fidel M. and Akbar G., Personal Bankers at Fifth Third, was crucial in my ability to secure a PPP loan, even as a self-employed individual. I could not have made this happen without their help.\xe2\x80\x9d -David C., Chicago\n\nAt Fifth Third Bank, we\xe2\x80\x99re proud to help any business, big or small.\n\nTo learn more about how we are helping our communities, see the link in our bio.'",0,0,86,1,,,
CD4rw-BAQNW,fifththirdbank,2020-08-14 21:59:42.000000,no,False,b'',b'',"b'\xe2\x80\x9cI\xe2\x80\x99m a volunteer firefighter, and I run an EMS service. When I realized how COVID-19 was going to affect my community, I knew what I had to do to help. If it hadn\xe2\x80\x99t been for Jason M. and Jessie B. at Fifth Third Bank\xe2\x80\x99s help getting my EMS business off the ground, I wouldn\xe2\x80\x99t have been in the position to do that. Fifth Third helped me so I could provide the best care possible to the people who need it.\xe2\x80\x9d -Tom M., Lancaster\n\nAt Fifth Third Bank, we\xe2\x80\x99re proud to help the people who take care of our community.\n\nTo learn more about how we are helping our communities, see the link in our bio.'",0,0,97,4,,,
CDwsrFPnksY,fifththirdbank,2020-08-11 19:33:42.000000,no,False,b'cincinnati',"b'myfountainsquare,john.cranley'","b'A gift to the city, the Fifth Third Center Stage on @myfountainsquare made its debut today, with Fifth Third leadership and Mayor @john.cranley taking care of the ribbon-cutting honors. Fifth Third and #Cincinnati--better together since 1858!'",0,0,267,14,,,
CDe737AAPpI,fifththirdbank,2020-08-04 22:00:11.000000,no,False,b'',b'',"b'\xe2\x80\x9cI\xe2\x80\x99m the Executive Director of the Coalition for Homelessness Intervention and Prevention, a nonprofit in Indianapolis focused on ending homelessness. When we became worried about staying afloat, Jacob B., a Business Banking Relationship Manager at Fifth Third Bank, helped us apply for the PPP loan we needed. Fifth Third made it possible for our staff to continue serving vulnerable people in our community.\xe2\x80\x9d -Dr. Chelsea H.C., Indianapolis\n\nAt Fifth Third Bank, we\xe2\x80\x99re proud to help the people who help those who need it most.\n\nTo learn more about how we are helping our communities, see the link in our bio.'",0,0,110,1,,,
CDPfDO6AKp-,fifththirdbank,2020-07-29 21:59:42.000000,no,False,b'',b'',"b'\xe2\x80\x9cAs the VP of Academic Affairs at Tennessee State, I know how disruptive COVID-19 has been to our students. Without the proper technology, you have students who are working at a severe disadvantage. Hosetta C., a Senior Manager of University Relations at Fifth Third, organized a donation that we used to get students the laptops they needed to work from home. Education is so important, and Fifth Third was instrumental in giving students the tools they needed to thrive.\xe2\x80\x9d -Dr. Alisa M., Nashville\n\nAt Fifth Third Bank, we\xe2\x80\x99re proud to help the students in our community.\n\nTo learn more about how we are helping our communities, see the link in our bio.'",0,0,140,7,,,
CDCEySeHtgF,fifththirdbank,2020-07-24 17:00:04.000000,no,False,b'',b'',"b'\xe2\x80\x9cSmall businesses are what makes a community thrive, and helping them during uncertain times is how you keep that community thriving. I\xe2\x80\x99m just happy to be in a position where I can help the businesses that mean so much to all of us.\xe2\x80\x9d -Brandon F., Fifth Third Financial Center Manager in Loveland, OH\n \nAt Fifth Third Bank, we\xe2\x80\x99re proud to keep our communities thriving by helping the small businesses that service them.\n\nTo learn more about how we are helping our communities, visit the link in our bio.'",0,0,58,5,,,
CC569CdFTE6,fifththirdbank,2020-07-21 13:00:14.000000,no,False,b'maskson',b'',"b'To look out for everyone\xe2\x80\x99s safety, we\xe2\x80\x99re asking customers, who are able, to wear a mask inside our branches. If you don\xe2\x80\x99t have a mask, we can give you one. #MasksOn'",0,0,96,2,,,
CCqcfGdgvrl,fifththirdbank,2020-07-15 12:45:23.000000,no,False,b'',b'',b'We are committed to taking ownership as an organization to stand firm against racism & inequality. We are part of the solution & we want to take action. The first step is educating ourselves & others. The Fifth Third Inclusion Toolkit provides information & resources that increase awareness & inspire action. Download it & join us as an ally at 53.com/racialequity',0,0,79,2,,,
