shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIWrWmmF_A7,flexaforeal,2020-12-03 23:41:42.000000,yes,False,b'50',b'',b'#50\xe2\x80\x99sChronicles Questions you ask yourself:man_shrugging_medium-dark_skin_tone::man_shrugging_medium-dark_skin_tone::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:',19609,60.033,3001,319,,,
CILtg3oFTy7,flexaforeal,2020-11-29 17:27:41.000000,yes,False,b'',"b'soultrain,davidson_frere'",b'Tonight!!!! Catch us on Soul Coming the Pre show to the @soultrain awards!!!! It\xe2\x80\x99s gonna be a great time!!! Suit Drip by: @davidson_frere',32764,11.466,4303,115,,,
CIJPsPSlg11,flexaforeal,2020-11-28 18:27:06.000000,yes,False,b'soultrainawards',"b'bet,flexaforeal,shaniceonline,skipmarley,infinitysong,tianamajor9,yungbbq,deborahcox,djcassidy,jazminesullivan,mouse_jones,crystalwaters,bevysmith,datwon,thedanielleyoung,reeezy,jmedia_'","b'Repost from @bet\n\xe2\x80\xa2\nSoul-Coming: Countdown to the #SoulTrainAwards hosted by @flexaforeal and @shaniceonline, featuring performances by @skipmarley, @infinitysong, @tianamajor9, and @yungbbq, along with appearances by @deborahcox, @djcassidy, @jazminesullivan, @mouse_jones, @crystalwaters, @bevysmith, @datwon, @thedanielleyoung, @reeezy, and @jmedia_, drops tomorrow 7/6c! Make sure to watch!'",5590,30.033,717,40,,,
CICyjYql6ta,flexaforeal,2020-11-26 06:17:26.000000,yes,False,b'soultrainawards',"b'shaniceonline,flexaforeal,shaniceonline'",b'Let\xe2\x80\x99s gooooooooooo!!!! Boo boo @shaniceonline and i are hosting the Soul Train Pre Show!! Tune in:folded_hands_medium-dark_skin_tone::folded_hands_medium-dark_skin_tone:\n\xe2\x80\xa2\nWonderful Black love will be on full display when the amazing @flexaforeal and @shaniceonline host Soul-Coming: Countdown to the #SoulTrainAwards this Sunday 7/6c!\n\nMake sure to watch and keep it locked for more :red_heart_selector::victory_hand_medium-dark_skin_tone: & SOUL dropping right after with the 2020 Soul Train Awards.',7376,10.466,1036,75,,,
CHqqFmmljxu,flexaforeal,2020-11-16 21:22:34.000000,yes,False,"b'50,inmymindim25,mymindstelliningmeyesbutmybody'",b'',b'Why does this happen:weary_face::weary_face::weary_face: #50\xe2\x80\x99schronicles #inmymindim25 #mymindstelliningmeyesbutmybodyistellingmeno',53939,35.866,7358,414,,,
CHZM_n3FZcL,flexaforeal,2020-11-10 02:42:26.000000,yes,False,"b'youngflex,crosscolorswaspoppin,thanksforthelovelolnetwork'",b'',b'O.G. Def Jam second appearance.. great times #youngFlex #crosscolorswaspoppin #thanksforthelovelolnetwork',47382,46.666,4332,127,,,
CHWOwxel0Va,flexaforeal,2020-11-08 22:57:31.000000,no,False,b'ripheav',b'bigbubtoday',b'Popped up on my FB memories:crying_face::crying_face:#ripHeav @bigbubtoday',0,0,6125,74,,,
CHLmY6XFS9d,flexaforeal,2020-11-04 19:54:09.000000,yes,False,"b'mysuitjacketwastoolong,iwasnervousworkingwithheriwass'",b'vanessabellcalloway',b'When @vanessabellcalloway was my sugar mama :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy: #mysuitjacketwastoolong #iwasnervousworkingwithheriwassuchafan',48376,67.666,3965,186,,,
CHI8a_YFy-8,flexaforeal,2020-11-03 19:07:08.000000,no,False,"b'themodelingyears,thoughtiwasonmyway,youngflex'",b'',b':face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:#themodelingyears #thoughtiwasonmyway:rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:#youngflex',0,0,3425,82,,,
CHGW76jFWTj,flexaforeal,2020-11-02 19:01:28.000000,yes,False,"b'classictv,oneonone'",b'',b'So much fun!! #classictv #oneonone',37778,29.333,4582,351,,,
CHDktA5lQhf,flexaforeal,2020-11-01 17:04:07.000000,yes,False,b'',b'lisaleslie',b'When @lisaleslie was my stalker :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:',34494,36.7,2309,102,,,
CHB0eL-loPq,flexaforeal,2020-11-01 00:42:58.000000,no,False,"b'mood,malcom,theballotorthebullet'",b'',b'#mood #Malcom #theballotorthebullet',0,0,15710,364,,,
CHBeZB5l-gO,flexaforeal,2020-10-31 21:32:26.000000,yes,False,b'',"b'therealalfonsoribeiro,kellyperine,therobertrichard'",b'So many great episodes and moments during one on one!! @therealalfonsoribeiro @kellyperine @therobertrichard',209065,18.566,18087,792,,,
CHBK9_qFhxy,flexaforeal,2020-10-31 18:40:19.000000,no,False,"b'theithinkicanmodelyears,youngflex,itsamazingwhatyoufindcleaningy'",b'',b'That album that never came out:face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing: #theithinkicanmodelyears #youngflex #itsamazingwhatyoufindcleaningyourgarage:face_with_tears_of_joy:',0,0,3392,99,,,
CG-PzGXFH4G,flexaforeal,2020-10-30 15:24:48.000000,no,False,"b'fbf,youngflex,iwastired,thephotographerwasweird,iputthathairstyleonthemap'",b'',b'#fbf when i tried to model :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy: #youngflex #iwastired #thephotographerwasweird:rolling_on_the_floor_laughing:#iputthathairstyleonthemap',0,0,12756,335,,,
CG5o93pFAIt,flexaforeal,2020-10-28 20:29:35.000000,yes,False,b'missyoudwayne',b'',"b'You would have been 56 today! I miss you every day big brother, i know you\xe2\x80\x99re watching over us:red_heart_selector::red_heart_selector::red_heart_selector:#missyoudwayne'",28692,24.0,2391,114,,,
