shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYij9Jrm7Y,ford,2020-12-04 17:00:26.000000,no,False,"b'fordmustang,shelbygt500'",b'roadandtrack',b'This just in \xe2\x80\x93 the #FordMustang #ShelbyGT500 has been named the 2021 @RoadandTrack Performance Car of the Year!\n.\nGT500 and Shelby are registered trademarks of Carroll Hall Shelby Trust.',0,0,125170,871,,,
CIV9vsPrAUP,ford,2020-12-03 17:00:15.000000,no,False,"b'ford,fordescape,hybrid,escapehybrid,suv'",b'',b'Your escape awaits.\n\xe2\x88\x99\n#Ford #FordEscape #Hybrid #EscapeHybrid #SUV',0,0,27036,241,,,
CITw-G_MpW2,ford,2020-12-02 20:30:11.000000,yes,False,"b'mustangmache,builtfordproud,ford,fordmustang,electricvehicles,ev'",b'',"b'With its muscular body and unbridled power, this is the spirit of Mustang, electrified.\n\n#MustangMachE #BuiltFordProud #Ford #FordMustang #ElectricVehicles #EV\n\n*Preproduction computer-generated image shown. GT model available late summer 2021.'",56504,10.0,21201,273,,,
CIQmaq9rPQa,ford,2020-12-01 15:00:12.000000,no,False,"b'ford,fordmustang,mustangmache'",b'',b'Targeted 0-60 in 3.5 seconds.*\n480 horsepower / 358 kW.*\nThe Mustang Mach-E GT Performance Edition packs thrilling performance into a whole new shape for the electric era.\n.\n#Ford #FordMustang #MustangMachE\n.\nPreproduction model shown. Available late summer 2021. Targeted 0-60 in 3.5 seconds. Ford test data based on typical industry methodology using 1-ft rollout. Calculated via peak performance of the electric motor(s) at peak battery power.\xc2\xa0\xc2\xa0Horsepower and torque are independent attributes and may not be achieved simultaneously. Your results may vary.\xc2\xa0\xc2\xa0MagneRide\xe2\x93\x87 is a trademarked technology of BWI Group.',0,0,91111,1530,,,
CIBXkZFHJdq,ford,2020-11-25 17:01:49.000000,no,False,"b'mustangmache,builtfordproud,ford,fordmustang,electricvehicles,ev'",b'',"b'With this much cabin space, you can stretch out on the long stretch of road ahead.\n\n#MustangMachE #BuiltFordProud #Ford #FordMustang #ElectricVehicles #EV\n\n*Preproduction CGI image shown. Available late 2020.'",0,0,48704,829,,,
CH-yrY9n3A3,ford,2020-11-24 17:00:58.000000,no,False,"b'ford,fordtrucks,ranger,builtfordtough'",b'',b'It\xe2\x80\x99s good to show a little detail.\n.\n#Ford #FordTrucks #Ranger #BuiltFordTough',0,0,57044,332,,,
CH8OZNmnQZo,ford,2020-11-23 17:05:26.000000,no,False,"b'ford,fordmustang,mustangmach1,mustang,mach1'",b'',"b'After a 40-year absence, Grabber Yellow is back \xe2\x80\x93 available on the 2021 Mustang, Mustang GT, all-new Mustang Mach 1 and Shelby:registered: GT500.:registered:\xe2\x80\x8b\n.\xe2\x80\x8b\n#Ford #FordMustang #MustangMach1 #Mustang #Mach1\xe2\x80\x8b\n.\xe2\x80\x8b\nPreproduction model shown. 2021 Ford Mustang Mach 1 available early spring 2021. GT500 and Shelby are registered trademarks of Carroll Hall Shelby Trust.'",0,0,92302,626,,,
CH0hKPfnT_Q,ford,2020-11-20 17:15:30.000000,no,False,"b'mustangmache,builtfordproud,ford,fordmustang,electricvehicles,ev'",b'',"b'Pure exhilaration with an EPA-estimated range of 300 miles**\n.\n#MustangMachE #BuiltFordProud #Ford #FordMustang #ElectricVehicles #EV\n.\n**Preproduction computer-generated image shown. Available late 2020.\n**Based on full charge with a Mustang Mach-E Premium with extended range battery and rear-wheel drive.\nActual range varies with conditions such as external elements, driving behaviors, vehicle maintenance,\nlithium ion battery age and state of health.'",0,0,27876,847,,,
CHsxCassL1f,ford,2020-11-17 17:00:22.000000,yes,False,b'builtforamerica',b'',"b'After 117 years of building in this country, the Ford Motor Company is no stranger to change. We stand with Americans to turn change into progress. #BuiltForAmerica'",268775,4.8,73732,640,,,
CHilyR-HrN6,ford,2020-11-13 18:09:35.000000,no,False,"b'mustangmache,builtfordproud,ford,fordmustang,electricvehicles,ev'",b'',b'Can\xe2\x80\x99t stop an icon.\n.\n#MustangMachE #BuiltFordProud #Ford #FordMustang #ElectricVehicles\n#EV\n.\n*Preproduction computer generated image shown. Available Late Summer 2021.',0,0,92358,1058,,,
