shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIY1Ds8gEh8,forever21,2020-12-04 20:04:28.000000,yes,False,b'',b'',b'Which is your fave?\n\nShop now \xe2\x80\x94 https://bit.ly/39JINGs',192912,61.666,13048,109,,,
CIXIyQBh9KZ,forever21,2020-12-04 03:57:47.000000,yes,False,"b'forever21men,bgca,forever21men'","b'markellcreative,bgca_clubs,forever21men,d.s.p.s.d'","b""Tune in now for an in-store experience with @markellcreative as he takes you around our Times Square location to show our holiday collection +must-haves and how we\xe2\x80\x99re following all the safety measures while shopping!\n\nDon't forget #Forever21Men is now available in ALL F21 locations + Join us in raising 1 MILLION to give back to @bgca_clubs ! With every purchase from our holiday collection, we will donate $1 to the Boys & Girls of America to help change and save lives.\n\nIn addition, to supporting with the holiday collection:\n\nFor every limited edition holiday gift bag purchase in-store, we will donated 50% of the proceeds to #BGCA + we\xe2\x80\x99ll be offering the option to round up to the nearest dollar online + in-store!\n\nFind a store near you \xe2\x86\x92\nhttps://bit.ly/2DnCCKx\n\nShop @forever21men \xe2\x86\x92\nhttps://bit.ly/2FHFjHH\n\nShop Holiday Collection \xe2\x86\x92\nhttps://bit.ly/3krTxeg\n\n:movie_camera: @d.s.p.s.d \n#forever21men""",40394,220.091,4480,36,,,
CIV9wBeBbJK,forever21,2020-12-03 17:00:15.000000,no,False,"b'f21xme,foreverbabe'","b'forever21,kindregardskat'",b'BUNDLED UP & \xf0\x9d\x91\xaa\xf0\x9d\x91\xb6\xf0\x9d\x92\x81\xf0\x9d\x92\x80 :sparkles:shop our best sellers now under $25 @ Forever21.com! \n\nMake sure to tag @forever21 + #f21xme for a chance to be featured like #foreverbabe @kindregardskat :yellow_heart:\n-----\n\xf0\x9d\x99\xa8\xf0\x9d\x99\x9a\xf0\x9d\x99\x96\xf0\x9d\x99\xa7\xf0\x9d\x99\x98\xf0\x9d\x99\x9d:\nDrop-Sleeve Sweater\nSweater-Knit Pants',0,0,24897,60,,,
CIUr4KhBfTi,forever21,2020-12-03 05:09:13.000000,yes,False,"b'bgca,forevergiving,itstheloveyougive,holidaygiftideas'",b'bgca_clubs',"b""Make sure you head over to our YouTube this week to watch her full unboxing including new web exclusives!\n\n+Don't forget to join us in raising 1 MILLION to give back to @bgca_clubs !\n\nWith every purchase from our holiday collection, we will donate $1 to the Boys & Girls of America to help change and save lives.\n\nIn addition, to supporting with the holiday collection:\n\nFor every limited edition holiday gift bag purchase in-store, we will donated 50% of the proceeds to #BGCA + we\xe2\x80\x99ll be offering the option to round up to the nearest dollar online + in-store!\n\nFind a store near you \xe2\x86\x92\nhttps://bit.ly/2DnCCKx\n\nShop Holiday Collection \xe2\x86\x92\nhttps://bit.ly/3krTxeg\n\n#forevergiving #itstheloveyougive #holidaygiftideas""",16324,350.333,1964,26,,,
CIUnxP1hicx,forever21,2020-12-03 04:31:10.000000,yes,False,b'',b'',b'PARTY IN OR PARTY OUT :partying_face::sparkles: shop our fave looks for any occasion now and save up to 70% off! \n\nMake sure to head to our stories to shop select styles! :red_heart_selector:',36087,15.743,3423,16,,,
CIURxTXBZG2,forever21,2020-12-03 01:16:43.000000,no,False,"b'howtostyle,foreverbabes,f21xme'","b'summerrachelwarren,amydiala,forever21'",b'#howtostyle our Pleated Plaid Mini Skirt by our #foreverbabes @summerrachelwarren + @amydiala :red_heart_selector:\nMake sure to tag @forever21 + #f21xme for a chance to be featured!\n-----\n\xf0\x9d\x99\xa8\xf0\x9d\x99\x9a\xf0\x9d\x99\x96\xf0\x9d\x99\xa7\xf0\x9d\x99\x98\xf0\x9d\x99\x9d:\nCropped Turtleneck Sweater\nPleated Plaid Mini Skirt\nRibbed Knit Leg Warmers',0,0,29606,79,,,
CIT9dwiBhd3,forever21,2020-12-02 22:19:17.000000,no,False,"b'f21xme,foreverbabe'","b'forever21,laurelryser'",b'THE \xf0\x9d\x91\xaa\xf0\x9d\x91\xb6\xf0\x9d\x92\x81\xf0\x9d\x92\x80  SET we\xe2\x80\x99re loving! shop our best sellers now under $25 @ Forever21.com! \n\nMake sure to tag @forever21 + #f21xme for a chance to be featured like #foreverbabe @laurelryser :yellow_heart:\n-----\n\xf0\x9d\x99\xa8\xf0\x9d\x99\x9a\xf0\x9d\x99\x96\xf0\x9d\x99\xa7\xf0\x9d\x99\x98\xf0\x9d\x99\x9d:\nDrop-Sleeve Sweater\nSweater-Knit Pants',0,0,14742,33,,,
CIRzVNjBOKb,forever21,2020-12-02 02:17:52.000000,yes,False,b'givingtuesday',b'bgca_clubs',"b'\xf0\x9d\x90\x88\xf0\x9d\x90\x93\xe2\x80\x99\xf0\x9d\x90\x92 \xf0\x9d\x90\x93\xf0\x9d\x90\x87\xf0\x9d\x90\x84 \xf0\x9d\x90\x8b\xf0\x9d\x90\x8e\xf0\x9d\x90\x95\xf0\x9d\x90\x84 \xf0\x9d\x90\x98\xf0\x9d\x90\x8e\xf0\x9d\x90\x94 \xf0\x9d\x90\x86\xf0\x9d\x90\x88\xf0\x9d\x90\x95\xf0\x9d\x90\x84! :red_heart_selector:Celebrate #GIVINGTUESDAY with us by helping us raise 1 MILLION to give back to @bgca_clubs ! With every purchase from the holiday collection, we will donate $1 back to the Boys and Girls Club of America to help change and save lives!\n\nWe\xe2\x80\x99d like to give thanks! So far we\xe2\x80\x99ve raised $655,055.10 as of 11/29! Comment below what you\xe2\x80\x99re doing to give back this holiday szn!:sparkles:'",22830,10.038,1855,60,,,
CIQ6RnAhxjJ,forever21,2020-12-01 17:53:41.000000,no,False,b'',"b'jamaicia,bgca_clubs'","b'Head to our stories to shop 5 COZY SLEEPWEAR with @jamaicia :sparkles:CYBER MONDAY EXTENDED! SHOP NOW AND SAVE UP TO 80% OFF!:police_car_light::money_with_wings:\n\nDon\xe2\x80\x99t forget to join us in raising 1 MILLION to give back to @bgca_clubs ! With every purchase from our holiday collection, we will donate $1 to the Boys & Girls of America to help change and save lives. So far we\xe2\x80\x99ve raised $655,055.10 since 11/29 !'",0,0,8185,34,,,
CIPqKsNBb7d,forever21,2020-12-01 06:13:50.000000,yes,False,b'',b'',b':police_car_light::money_with_wings:LAST CHANCE! DON\xe2\x80\x99T MISS OUT ON OUR CYBER MONDAY PARTY!!! SAVE UP TO 70 % OFF EVERYTHING SITEWIDE!!:sparkles: \xf0\x9d\x99\xbd\xf0\x9d\x99\xbe \xf0\x9d\x99\xb2\xf0\x9d\x99\xbe\xf0\x9d\x99\xb3\xf0\x9d\x99\xb4 \xf0\x9d\x99\xbd\xf0\x9d\x99\xb4\xf0\x9d\x99\xb4\xf0\x9d\x99\xb3\xf0\x9d\x99\xb4\xf0\x9d\x99\xb3\n\nGET COZY AND STOCK UP ON JACKETS & COATS UNDER $20!!! :money_with_wings::police_car_light:',36104,15.0,2668,34,,,
