shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYcAs4BsPI,gap,2020-12-04 16:03:10.000000,no,False,b'',b'',"b'Twinning with your little? Fun. Twinning in tie-dye? Double the fun. Mood-boosting color in cozy sweats is exactly how we want lounge.\xe2\x80\x8b \n. \nWe\'re featuring mama Miracle and her kiddo Lylah Lu, who this holiday\xc2\xa0season plans to give more love and light to everyone she meets. Also, socks.\xc2\xa0""One of my favorite holiday traditions is picking out socks for everyone. I\xc2\xa0believe they\'re the perfect gift!""'",0,0,4849,25,,,
CIWCdQQBGZP,gap,2020-12-03 17:42:54.000000,yes,False,b'',b'',"b""Presents with a purpose :globe_showing_Europe-Africa:\xc2\xa0 Gifting sustainably has never\xc2\xa0looked this good, felt\xc2\xa0this comfy or been this easy.\xc2\xa0\xe2\x80\x8b \n. \nSidenote, Gap Teen is now available in 200 stores\xc2\xa0nationwide! And as always, available on the site. So snag\xc2\xa0your favorites in-store or online before they're gone.""",11308,6.4,1172,12,,,
CIT_ghNhYe4,gap,2020-12-02 22:37:08.000000,no,False,b'',b'',"b""We're not saying these super-cool matching sets make the family photo op \xe2\x80\x94 but we're not, not saying that.""",0,0,6583,35,,,
CITZSAxhR2f,gap,2020-12-02 17:03:06.000000,no,False,b'',b'shaedband',"b'This week on Gap House Sessions: @shaedband. Tune in LIVE this Thursday, December 3 at 7PM EST/4PM PT. Any songs you want to hear? Leave your requests in the comments!'",0,0,885,7,,,
CIRkymNhqVm,gap,2020-12-02 00:08:52.000000,yes,False,"b'givingtuesday,givingtuesday,sharethegapdream'","b'steve01450,msnbc,bgca_clubs,bgca_clubs'","b'@steve01450\xe2\x80\x99s khakis are more than just an internet sensation\xe2\x80\x94they\xe2\x80\x99re doing some good. As a part of #GivingTuesday, Steve made the announcement on @msnbc that Gap is donating 500 pairs of his now famous khakis to @bgca_clubs Workforce Readiness Program.\n.\nIf you\xe2\x80\x99re looking for a way to participate in #GivingTuesday, check out our #ShareTheGapDream dance challenge happening over on TikTok. We\xe2\x80\x99re donating $10 to @bgca_clubs for every eligible video through 12/31, up to $50,000. Head to our stories to learn more.'",10782,206.733,590,16,,,
CIJFhi0BaB8,gap,2020-11-28 16:58:03.000000,no,False,b'',b'',"b'Yummy, candy-hued extras matched with a beyond-soft quilted jacket. Does\xc2\xa0this cozy combo spark joy? 1,000 times yes.'",0,0,2940,13,,,
CH39JmshQlL,gap,2020-11-22 01:17:48.000000,no,False,b'',b'daniellegervino',"b""114. The number of discarded plastic bottles used to make this Upcycled Puffer \xe2\x80\x94 and the approx. number of times a day you'll feel like snuggling up in it. Just ask @daniellegervino.""",0,0,7789,25,,,
CH3pjAXBpuV,gap,2020-11-21 22:26:30.000000,no,False,b'',b'',"b""Today in Stories, we're breaking down the top 10 gifts *already* flying off our shelves this year \xe2\x80\x94 any guesses what they are?\n.\nGo weigh in on your favorites, then head to the Gift Shop to snag them before they're gone.""",0,0,4270,10,,,
CH0lx74BLpH,gap,2020-11-20 17:56:12.000000,yes,False,b'',b'',b'Our comfortable masks* come in 2\xc2\xa0silhouettes + so many giftable colors and prints.\xc2\xa0Tap the link in our bio to shop.\xc2\xa0\xe2\x80\x8b',20320,6.6,1947,19,,,
CHyCSBuhz0A,gap,2020-11-19 18:07:12.000000,no,False,b'',b'',"b'More and more (and more!) patterns, please. This is the patchwork jacket of our cottagecore dreams (sewing skills not required).'",0,0,5061,34,,,
CHvYf4VjuXs,gap,2020-11-18 17:24:33.000000,yes,False,b'dreamthefuture',b'',b'Here\xe2\x80\x99s to all kinds of warm and cozy feelings. And spontaneous dance\xc2\xa0parties. #DreamtheFuture',11990,15.033,1168,18,,,
CHszrYHhDeZ,gap,2020-11-17 17:23:23.000000,no,False,b'',b'',"b""Tis the season for outfits that shine. :crescent_moon: Even if you're just going to the living room.\xc2\xa0:couch_and_lamp:\n.\nTap to shop these Party From Home must-haves.""",0,0,4622,11,,,
CHqseZFB66y,gap,2020-11-16 21:43:20.000000,yes,False,b'',b'',"b'Sleek patterns. Feel-good textures. Easy-to-move fabrications. New GapFit styles for when\xc2\xa0you\xe2\x80\x99re\xc2\xa0home but still moving (and special enough to give, too!).'",13907,15.033,1157,17,,,
CHng_bYBa8o,gap,2020-11-15 16:03:53.000000,no,False,b'',b'',"b'Outer layers? Try outfit MAKERS. See the three jackets we can\xe2\x80\x99t wait to wear (plus, they\xe2\x80\x99re totally gift-worthy \xe2\x80\x94 hint, hint).\n.\nP.S. Have you tried Afterpay? Shop now, pay later (interest-free!). It\xe2\x80\x99s that easy.'",0,0,9123,24,,,
CHlizGNhLaL,gap,2020-11-14 21:41:41.000000,yes,False,b'dreamthefuture',b'',b'Sending\xc2\xa0out vibes in a big way as we jump into the holiday season. #DreamTheFuture',18991,29.766,1547,17,,b'Piccadilly Circus',51.5100179276 -0.1351940632
CHirlrRh-G8,gap,2020-11-13 19:01:10.000000,yes,False,b'',b'',"b""Our favorite new way to upgrade your closet? Shop today and pay later in 4 (interest-free!) installments with Afterpay. It's that easy.""",13384,3.7,1318,15,,,
CHgb5iGBk9A,gap,2020-11-12 22:04:43.000000,no,False,b'',b'',"b'Why is the Universal Jegging the best-fitting jean in the world? Soft denim that keeps its shape. High-stretch fabric for unbelievable comfort. A contoured waistband\xc2\xa0that forms to you.\xc2\xa0Finally, jeans that make us want to wear jeans again.'",0,0,3614,19,,,
CHde3Q_hDfQ,gap,2020-11-11 18:32:54.000000,no,False,b'',b'',"b'Multitasker, shot caller, game changer.\xc2\xa0\nOur new Universal Jegging is designed to\xc2\xa0do it all.\xc2\xa0\nBecause you do it all.'",0,0,2522,15,,,
CHa5jeZjLpT,gap,2020-11-10 18:28:24.000000,no,False,b'',b'',"b'Meet the Universal Jegging.\xc2\xa0\n\nDesigned for every woman in sizes 24-35 to look just as good as they feel.\xc2\xa0\n\nTell us\xe2\x80\x94how will you wear yours?\xc2\xa0\n\nShare in the comments, we can\xe2\x80\x99t wait to hear.'",0,0,4479,29,,,
CHIgSSXh0cf,gap,2020-11-03 15:01:25.000000,yes,False,b'',b'rockthevote',"b'See you at the polls, America. :waving_hand_medium-dark_skin_tone::waving_hand_medium-light_skin_tone::waving_hand_dark_skin_tone::waving_hand_light_skin_tone:\n.\n\xc2\xa0P.S. Any info you need, @RockTheVote has.'",13810,4.0,1477,64,,,
CHGzTZtB9yp,gap,2020-11-02 23:08:58.000000,no,False,b'',"b'rockthevote,daintydanamarie,kristenp1,arieljoi,instant.ricky,heatherburnshealthyhabits,kayla_skye18'","b'PSA: Looking this fierce is just the fringe benefit of fulfilling your civic duty:exclamation_mark::ballot_box_with_ballot::exclamation_mark:\n.\nIs your plan in place for tomorrow? Head to @RockTheVote for any informaton you may need. Then, head to our site to check out more Gap Collective tees.\n.\n:camera:: @daintydanamarie, @kristenp1, @arieljoi, @instant.ricky, @heatherburnshealthyhabits, @kayla_skye18'",0,0,3212,26,,,
CHGR6UahKtH,gap,2020-11-02 18:17:11.000000,no,False,b'standunited',b'rockthevote',"b'Head to @rockthevote for all the information you need to get organized for Election Day, tomorrow, 11/3. #StandUnited'",0,0,1380,22,,,
CHEYKwzBUKO,gap,2020-11-02 00:33:32.000000,yes,False,b'',b'zachv_pat',b'Good news \xe2\x80\x94 brothers/icons @zachv_pat just sorted the rest of your fall wardrobe.\n.\nShow some love in the comments!',60541,19.066,5706,163,,,
CG-b6NghNHR,gap,2020-10-30 17:16:54.000000,yes,False,b'',b'',b'Confetti colors. Luxe knits (cashmere!). So much COMFORT. Our latest sweaters are stitches above the rest.',31597,2.0,1830,24,,,
CG74sQOhNxN,gap,2020-10-29 17:28:38.000000,yes,False,b'',b'',"b""Commemorate the year of PJs-all-day in a matching moment for the whole crew. \xe2\x80\x8b\n.\xe2\x80\x8b\nInsider tip: the best prints don't last, get your family's set ASAP.""",29309,4.0,2748,36,,,
CG5ROvYheDU,gap,2020-10-28 17:01:06.000000,no,False,b'',b'',"b'Sweaters + denim = your closet BFFs. And just like a true friend, this pairing has your back on those I-have-nothing-to-wear mornings.'",0,0,5043,19,,,
CG0CWPnhKr_,gap,2020-10-26 16:14:51.000000,no,False,b'',b'tashpointtoh',"b""Sleek denim that feels as good as it looks is always the goal \xe2\x80\x94 for @tashpointtoh it's also the reality.\xc2\xa0 :hundred_points:\n.\nTap to shop the High-Rise Favorite Jegging.\xc2\xa0Available in sizes 24-35.""",0,0,3054,41,,,
CGx4KhbB4k8,gap,2020-10-25 20:07:24.000000,no,False,b'',b'',"b'That feeling when you can\xe2\x80\x99t get any more comfortable. Guess what\xe2\x80\x94we\xe2\x80\x99ve got the coziest, dreamiest outfit for that.\xe2\x80\x8b\n.\xe2\x80\x8b\nThe fastest way to cozy? Choose Buy Online, Pick-Up In Store (or Curbside) at checkout and get your new favorites in a flash. \xe2\x80\x8b'",0,0,8440,33,,,
CGu5uznhrSE,gap,2020-10-24 16:23:22.000000,no,False,b'standunited',b'',"b""For the first time in U.S. history, we're getting an entire day dedicated to voting early \xe2\x80\x94 so school, work, long lines, or bad commutes on Election Day won\xe2\x80\x99t stop your ballot from being counted. Who's taking advantage? #StandUnited""",0,0,1091,5,,,
CGsUmQ4hYoT,gap,2020-10-23 16:20:24.000000,no,False,b'',b'',b'Our sherpa outerwear for her & him brings major softness all. season. long.',0,0,4412,18,,,
