shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYU_NVhyFk,geico,2020-12-04 15:01:47.000000,no,False,"b'giftideas,auntproblem'",b'',b'Save money with GEICO and spoil all the aunts in your house with these #giftideas! \n#AuntProblem',0,0,146,2,,,
CIVwQp9hnIx,geico,2020-12-03 15:02:23.000000,no,False,b'giftideas',b'',b'#GiftIdeas for your cousin whom you don\xe2\x80\x99t know very well but know that one time she said she likes giraffes.',0,0,230,12,,,
CITNQdoBIeT,geico,2020-12-02 15:18:02.000000,no,False,b'giftideas',b'',b'#Giftideas for your mom this holiday season! Straight from your favorite insurance company.',0,0,323,7,,,
CIQmaLMM9B8,geico,2020-12-01 15:00:15.000000,no,False,"b'givingtuesday,geicocares'",b'',"b""BoatUS Foundation for Boating Safety and Clean Water\nThe Children\xe2\x80\x99s Hospital of Buffalo Foundation \nSamaritan Inn\n808 Cleanups\nChildren\xe2\x80\x99s Oncology Service\nDomestic Violence Intervention Program \nLoBo Ranch\nMacon Area Habitat for Humanity, Inc.\nChildren\xe2\x80\x99s Hospital Navicent Health Foundation\nGirls Who Code\nThe Kylie Rowand Foundation\nAmerican Red Cross\nYouth On Their Own\nRonald McDonald House Charities New York Metro \nL'Arche Jacksonville\nWNY Heroes\nChild Rescue Coalition\nHope For Dogs Rescue\nElysian Foundation\nThe Leukemia & Lymphoma Society\nKidsPACK\nBIGG B Foundation, INC\nUnited in Pink\nStrive For College\nGenerate Hope\nIrreverent Warriors \nPal-O-Mine Equestrian inc.\nCamp Good Days and Special Times\nRayan\xe2\x80\x99s Crayons Inc.\nAloha United Way\nMunicipal Garden Dad's Club\nIowa City Animal Care and Adoption Center\nMeals on Wheels of Polk County\nThe Cystic Fibrosis Foundation\nLeashes of Valor\nAfter-School All-Stars, Washington DC (ASAS DC)\nEast Bay Center  for the Performing Arts\nCaleb's Assist \nMatthew  Fetzer Foundation \nDanceability Inc\nFlags for Fallen Vets (FFFV)\nAlaska Network on Domestic Violence and Sexual Assault\nGarrett M Brockway Foundation \nMagnolia Montessori Academy\nClearbrook\nThrYve Consulting, Incorporated\nRebuilding Together Montgomery Country\nPride Academy PTSA\nIntermountain Centers \nUnited Cerebral Palsy Association of Nassau County Inc. \nTransforming Care\nFoundation Fighting Blindness\nHUGS (Helping, Understanding, & Group Support)\nYoung Parents Network\nCentral Florida Center for Speech and Hearing\nFriends of the DOUGLASS THEATRE\nMultiple Sclerosis Center of Georgia Inc.\nCREATE Arts Center in Silver Spring\nMostly Monkeys\nDigdeep\nAli Forney Center\nAlbright-Knox Art Gallery\nAfter-School All-Stars North Texas (ASAS)\nIHS Institute for Human Services, Inc.\nFur Fun Rescue Inc.\nThe Heroes Journey\nAmerican SIDS Institute\nJAMO Bridge\nPoway Rodeo Volunteers Association\nSouthern Arizona Cat Rescue\nCystic Fibrosis Foundation - Long Island Chapter\nSchnauzer Ranch and Friends Inc. \nAlaska Miss Amazing\nCedar Rapids Humane Society\nSPCA Tampa Bay\nDestination Immagination\nAmerican Cancer Society\nNational Brain Tumor Society\n\n#GivingTuesday #GEICOCares""",0,0,166,6,,,
CIOBtcXB61g,geico,2020-11-30 15:00:56.000000,no,False,b'cybermonday',b'',"b""It's #CyberMonday, and the Raccoons have taken over the shop! Head over to geicostore.com to see what they have in store.""",0,0,199,6,,,
CIDub1BsDdT,geico,2020-11-26 15:00:20.000000,no,False,"b'thanksgiving,happythanksgiving'",b'',b'Happy Thanksgiving from our GEICO family to yours!\n\n#thanksgiving #happythanksgiving',0,0,277,5,,,
CHsjSTSg0vv,geico,2020-11-17 15:00:16.000000,yes,False,b'',b'',b'When your theme song follows you wherever you go...',16342,20.966,250,8,,,
CHp-fPWhhEf,geico,2020-11-16 15:00:16.000000,yes,False,b'',b'',"b""When your neighbors' fencing encroaches on your home ... :person_fencing:""",9482,15.0,187,3,,,
CHfrpbWlJAK,geico,2020-11-12 15:03:14.000000,yes,False,b'auntproblem',b'',"b'Don\xe2\x80\x99t know who needs to hear this, but the milk is expired. And so is the cottage cheese. And the eggs. #AuntProblem'",9644,15.0,158,3,,,
CHdGhRTFt2l,geico,2020-11-11 15:00:18.000000,no,False,b'',b'',,0,0,254,7,,,
CHbECxMF03U,geico,2020-11-10 20:00:10.000000,no,False,b'',b'',,0,0,262,9,,,
CHbECxMF03U,geico,2020-11-10 20:00:10.000000,no,False,b'',b'',,0,0,262,9,,,
CHahttCB4tn,geico,2020-11-10 15:00:15.000000,yes,False,b'whenmomtexts',b'',b'#WhenMomTexts',2681,20.0,85,4,,,
CHX86nQsH-z,geico,2020-11-09 15:00:10.000000,no,False,b'',b'',,0,0,344,12,,,
CHQOltflegb,geico,2020-11-06 15:00:42.000000,yes,False,b'',b'',"b'Be like a sloth, take your time getting ready this morning.'",23355,10.5,566,2,,,
CHNpvFul5Hg,geico,2020-11-05 15:00:11.000000,no,False,b'',b'',,0,0,431,9,,,
CHLFUquBZGs,geico,2020-11-04 15:03:23.000000,no,False,b'geicobehindthescenes',b'',"b""Today, we're throwing it back to one of our recent commercials with some more #GEICOBehindTheScenes""",0,0,291,5,,,
CHIgJi9DEjm,geico,2020-11-03 15:00:14.000000,yes,False,b'',b'',"b'Houston, you seeing this? :star-struck:'",16806,15.0,528,10,,,
CHF7XCSBvaG,geico,2020-11-02 15:00:15.000000,yes,False,b'itsgeicoeasy',b'',"b'Already got my 40,000 steps today! :woman_walking_selector: :dog:  #ItsGEICOEasy'",10877,15.0,155,0,,,
CG-GGfNsOYM,geico,2020-10-30 14:00:12.000000,no,False,"b'geicoween,halloween'",b'',"b""As our monthlong celebration of #GEICOween comes to a close, we'd like to wish all of our friends, fans, and followers a very happy and safe #Halloween. How will you be celebrating?""",0,0,2749,6,,,
CG8DpK1lPlA,geico,2020-10-29 19:00:15.000000,no,False,b'geicoweencostume',b'',"b""Even our old pal Pinocchio is getting in on the #GEICOweenCostume contest! We can't tell if this is cute or ... terrifying.""",0,0,2401,9,,,
CG7hT21MzYa,geico,2020-10-29 14:00:15.000000,no,False,b'geicoweencostume',b'',b'Maxwell is rocking the simple-yet-effective look for his #GEICOweenCostume!',0,0,2410,1,,,
CG7hToMMyfB,geico,2020-10-29 14:00:11.000000,no,False,b'',b'',,0,0,573,22,,,
CG5FbLvFc_S,geico,2020-10-28 15:18:08.000000,no,False,"b'geicoweencostume,humpday'",b'',"b""Caleb's #GEICOweenCostume is on-point for #HumpDay!""",0,0,1754,8,,,
CG48rgZBrXo,geico,2020-10-28 14:01:32.000000,no,False,"b'geicoween,geicobehindthescenes'",b'',b'#GEICOween is a combination of what two words? These behind-the-scenes tidbits should answer all your burning questions! #GEICOBehindTheScenes',0,0,194,4,,,
CG2Xt7CMTMT,geico,2020-10-27 14:00:12.000000,no,False,b'',b'',,0,0,647,24,,,
CGU5Y-RAzp9,geico,2020-10-14 14:00:17.000000,yes,False,b'boomerang',b'',"b'Everyone\xca\xbcs asking us to post a #boomerang so\xe2\x80\xa6here it is! (P.S. How do you do, fellow kids?)'",12657,15.0,166,2,,,
CGP08NfBFHK,geico,2020-10-12 14:45:03.000000,no,False,"b'howitstarted,howitstartedhowitsgoing,thegeicogecko,geicogecko'",b'thegeicogecko',b'@thegeicogecko\n\n#howitstarted #howitstartedhowitsgoing #thegeicogecko #geicogecko',0,0,21600,22,,,
CGC30a-FIin,geico,2020-10-07 14:00:13.000000,no,False,"b'geicoween,geicoweenbingo'",b'',"b""It's time to play #GEICOween bingo! \nHow many of these activities will you fit in this month? Take a screenshot, check them off, and post your results with #GEICOweenBingo!""",0,0,211,2,,,
