shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIVlWy0M8u8,generaligroup,2020-12-03 13:27:06.000000,no,False,"b'idpd,notalldisabilitiesarevisible,beboldforinclusion'",b'',"b'What does an inclusive environment look like?\n\nToday we celebrate the International Day of Persons with Disabilities, and this year it reminds us that \xe2\x80\x9cNot all disabilities are visible\xe2\x80\x9d.\n\nWe want to foster a workplace and culture that breaks down barriers, physical and mental, focusing on the recognition of wider social needs and responsibilities. An inclusive workplace is the result of a commitment to create structures, practices and attitudes that allow persons of all, diverse abilities to fully participate and contribute.\n\n#IDPD #NotAllDisabilitiesAreVisible #BeBoldForInclusion'",0,0,125,1,,,
CIQ0-QzsiDR,generaligroup,2020-12-01 17:07:21.000000,no,False,"b'beboldforinclusion,lifetimepartner,generali2021,generali4sustainability'",b'nasdaq',"b'The @Nasdaq Tower in Times Square, New York, lit up with Generali\xe2\x80\x99s Diversity & Inclusion commitment as part of the Advancing Equality Tower Campaign.\n\nAt Generali, we are proud to champion Diversity & Inclusion, and build people from all different backgrounds into the leaders of the Insurance industry.\n\nIt is our differences that make the difference. \n\nThank you to Nasdaq for Advancing Equality and helping us promote #BeBoldForInclusion.\n\n#LifetimePartner #Generali2021 #Generali4Sustainability'",0,0,789,30,,"Times Square, New York City",40.7579445893 -73.9855277538
CIBWSsJM9y_,generaligroup,2020-11-25 16:50:39.000000,no,False,"b'generali4sustainability,buildingthehome,thsninaction'",b'thehumansafetynet',"b'An innovative system of anti-flooding tanks is being built at the entrances of the Procuratie Vecchie, the future home of @thehumansafetynet in the emblematic Piazza San Marco in Venice, to keep high tides at bay with effective and environmentally friendly materials.\n\nThe intervention is part of Generali Real Estate\xe2\x80\x99s response to physical climate risk, which is based on climate modelling datasets, hazard assessment algorithms and risk maps that allow to forecast risk exposure and identify appropriate adaptation measures.\n\n#Generali4Sustainability #buildingthehome #THSNInAction'",0,0,337,1,,,
CHx3msEKVpY,generaligroup,2020-11-19 16:34:15.000000,yes,False,"b'weareallaboutyou,lifetimepartner'",b'',"b""The 2nd phase of our Global Brand Campaign is being launched across markets, celebrating our attitude that defines how we do things: it's about having heart, being passionate and human. \n\n#WeAreAllAboutYou #LifetimePartner""",1036,63.953,175,2,,,
CHauNe3saO_,generaligroup,2020-11-10 16:49:17.000000,no,False,"b'lifetimepartner,thsn,thsn4families,thsninaction,peoplehelpingpeople'",b'thehumansafetynet',"b'\xe2\x80\x9cAs an agent, my job is to protect families and properties. So for me, getting involved to help vulnerable families is simply a natural extension of my job.\xe2\x80\x9d\n\nChristian is a French agent based in Bordeaux who decided to become a sponsor for the local home of @thehumansafetynet, \xe2\x80\x9cLa Maison des Familles.\xe2\x80\x9d Among other initiatives, Christian initiated a fundraising campaign that enabled vulnerable families to enjoy a weekend trip, during which they could spend together some time away from everyday difficulties and create new, stronger connections.\n\n#LifetimePartner #THSN #THSN4Families #THSNinAction #peoplehelpingpeople'",0,0,158,1,,,
CHLUb3hMKpR,generaligroup,2020-11-04 17:15:27.000000,no,False,"b'generali4sustainability,realestate,design'",b'',"b'Generali Real Estate\xe2\x80\x99s flagship building in London, FenCourt, continues to gather prestigious recognitions!\n\n- Winner of the \xe2\x80\x98Excellence in Design Award\xe2\x80\x99, in the ""Professional Large Project"" category, by The American Institute of Architects (AIA) UK Chapter.\n\n- FenCourt\xe2\x80\x99s \xe2\x80\x9cThe Garden at 120\xe2\x80\x9d, the City of London\xe2\x80\x99s largest rooftop public space, is the winner of the Green Good Design Award.\n\nCongratulations to the team!\n\n#Generali4Sustainability #realestate #design'",0,0,327,5,,,
CG2sWmGsgep,generaligroup,2020-10-27 17:00:23.000000,no,False,"b'lifetimepartner,thsn,thsn4refugees,thsninaction,peoplehelpingpeople'",b'thehumansafetynet',"b'\xe2\x80\x9cVolunteering not only lets us give something back from a professional point of view, but involves a lot of human touch. These entrepreneurs gave me so much in terms of enthusiasm, new hope and a different way of looking at things!\xe2\x80\x9d\n\nCarlo Trabattoni, CEO of Generali Investments Partners, has been personally engaged in skilled volunteering in Zurich with @thehumansafetynet. Working together with a group of colleagues, he supported refugees in developing their business ideas and provided advice on how to find future partners or investors.\n\n#LifetimePartner #THSN #THSN4Refugees #THSNinAction #peoplehelpingpeople'",0,0,120,1,,,
CG0GL67s7k3,generaligroup,2020-10-26 16:48:24.000000,no,False,"b'generaliweproud,lgbtqiinclusioncounts,beboldforinclusion,lifetimepartner,generali4sustainability'",b'',"b'Generali is proud to support LGBTQI+ colleagues by launching ""We Proud"", the new Employee Resource Group (ERG) whose mission is to support LGBTQI+ employees and their allies in order to improve workplace inclusion, raise awareness on the challenges LGBTQI+ employees face and improve understanding of the needs of a diverse workforce and customer base.\n\nTo be sustainable and reach our ambition to become Lifetime Partner to our customers, we must further embrace the differences that make the difference.\n\n#GeneraliWeProud #LGBTQIinclusioncounts #BeBoldForInclusion #LifetimePartner #Generali4Sustainability'",0,0,105,1,,,
CGnI4VnqEH9,generaligroup,2020-10-21 16:02:46.000000,yes,False,"b'buildingthehome,thsninaction'",b'thehumansafetynet',"b""Specialised workers, building engineers, project architects, art restorers, ancient knowledge, modern tools, human passion: discover the progress of a respectful restoration inside the Procuratie Vecchie in St. Mark's Square in Venice.\n\nAt the end of 2021, this will become the home of @thehumansafetynet, a place open to everyone willing to positively impact on the lives of people living in vulnerable contexts worldwide.\n\n#buildingthehome #THSNInAction""",339,43.36,54,1,,,
CGSkTQGszC3,generaligroup,2020-10-13 16:17:22.000000,no,False,"b'lifetimepartner,thsninaction,thsn4families,peoplehelpingpeople'","b'thehumansafetynet,missionbambini,generaliitalia'","b'\xe2\x80\x9cThe Centre and Casa Zoe have become like a family to us.\xe2\x80\x9d\n\nA new, big family is what Simona found at @thehumansafetynet\xe2\x80\x99s partner @missionbambini centre in Moncalieri (Turin), where she had the chance to meet other parents, share advice and experiences, and enjoy the time with her daughter Greta.\n\n#LifetimePartner #THSNinAction #THSN4Families #peoplehelpingpeople @generaliitalia'",0,0,136,5,,,
