shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIDgzKolIEl,generalmills,2020-11-26 13:00,no,False,,,"b""Happy Thanksgiving! However you're celebrating this year, we hope your day is filled with joy, gratitude and good food. :red_heart_selector:""",0,0,435,2,437,,
CH-wc7Zn_We,generalmills,2020-11-24 16:41,no,False,,"pillsbury,bettycrocker","b'To get into the holiday spirit, we asked @pillsbury and @bettycrocker what the most-clicked holiday recipes are on their sites. See all the top picks at the link in bio.'",0,0,122,1,123,,
CH0NOIMnrqz,generalmills,2020-11-20 14:21,no,False,,bsweet.today,b'Who\xe2\x80\x99s excited to bake cookies this weekend? :cookie: :red_heart_selector:\n\n:camera_with_flash:: @bsweet.today',0,0,705,44,749,,
CHvD7yzH1TJ,generalmills,2020-11-18 14:27,yes,False,,,"b'The family of Laura Rott, runner-up in the first Pillsbury Bake-Off Contest in 1949, recently donated a vintage electric range and apron from the contest to the General Mills Archives. Learn more about Rott\xe2\x80\x99s story and the historic donation on our blog (link in bio, navigate to history section).'",3111,114.905,258,6,264,,
CHsrVONn_m4,generalmills,2020-11-17 16:10,no,False,,wheatiescereal,"b'Leah Martin had always dreamed of meeting tennis superstar Serena Williams, but never believed it would actually happen. But after she saw @wheatiescereal\xe2\x80\x99s sweepstakes with the chance to win a virtual meeting with Williams, she took her shot at the opportunity. And she won! See what Martin had to say about the once in a lifetime opportunity (link in bio).'",0,0,360,6,366,,
CHfpLCRlDXA,generalmills,2020-11-12 14:41,no,False,,,"b""While the holidays will look different this year, General Mills is here to help you find ways to celebrate. \n\nFrom catering more intimate dinners and learning new cooking skills to starting new traditions, our brands have the solutions you need to make cooking and baking easy, affordable and full of joy this holiday season. \n\nVisit our blog to see what our brands are dishing up (link in bio). And head to our Story to let us know what support you're looking for this holiday season.""",0,0,256,7,263,,
CHdAiKaH0Kh,generalmills,2020-11-11 14:07,no,False,generalmillslife,,"b'On this Veterans Day in the U.S., we honor and salute our employees who have served in the U.S. military, and those who continue to serve, for their admirable service and sacrifice. We also give special recognition to the ""force behind the force"" - our employees who have family members serving in the military. \n\nPictured here is Emily Thomas, vice president, managing director of our Natural & Organic operating unit, with her husband Matt Thomas, Lieutenant Colonel in the Minnesota Air National Guard, and their kids.\n\nEmily told us, ""I\'m incredibly proud of my husband and all of those who serve or have served. Families play such a critical role as well, so we send our thoughts to all of those who are missing a loved one this holiday season.""\n \nAt General Mills, we\xe2\x80\x99re proud to support veterans and their families with the Veterans Network, a special community that provides mentorship for veteran applicants and new hires, ongoing support that\xe2\x80\x99s tailor-made for veteran employees and their families, and volunteer work with community programs.\n \nHow are you celebrating and honoring Veterans Day? #generalmillslife'",0,0,831,5,836,,
CHYTeB5n8Ec,generalmills,2020-11-09 18:17,no,False,generalmillslife,,"b'Meet Janavi Kumar, digital senior sensory scientist at General Mills. Like many others, Kumar has had to adapt to working from home during the pandemic \xe2\x80\x93 shown here in her home office setup that helps keep her moving throughout the day.\n \nSensory scientists help invoke, measure and analyze sensory perception to food, and help translate those into remarkable product experiences for consumers. In her role, Kumar focuses on experimentation with digital tools and new technologies to enhance the way we collect and utilize sensory and consumer data.\n \nShe told us, \xe2\x80\x9cI love that I get to work for a company that has innovation in its DNA, and in a role where I can bring my passion for experimentation, and working on cutting-edge research, everyday!\xe2\x80\x9d #generalmillslife'",0,0,830,11,841,,
CHGGHZrFHHg,generalmills,2020-11-02 16:34,yes,False,messfreechallenge,"k1ngkyrg1os,andymurray,sofia.kenin,oldelpaso","b'Tennis stars from around the world, including @k1ngkyrg1os @andymurray and @sofia.kenin are giving back to local food banks with the #MessFreeChallenge \xe2\x80\x93 a challenge to play tennis one-handed with no spills while eating the newly launched @OldElPaso Tortilla Pocket. From Australia to Europe and the Americas, the donations in each region took off, with 100,000 products/meals being donated. See more of the global match on our blog. (link in bio)'",1085,59.8,149,5,154,,
CHAdWrFnNpB,generalmills,2020-10-31 12:01,no,False,,,b'Wishing you and your family a safe and spooky Halloween! \n\nIllustrations by Manny Galan',0,0,1621,66,1687,,
CG-BFZvn8Pc,generalmills,2020-10-30 13:16,no,False,themandalorian,,b'The perfect pairing for season 2 of #TheMandalorian',0,0,2438,85,2523,,
CGsuHBHnHhB,generalmills,2020-10-23 20:03,no,False,countchocula,a2gavurin,b'Make staying home extra sweet with a bowl of #CountChocula\n:camera_with_flash:: @a2gavurin',0,0,651,43,694,,
CGWZmd3HgRb,generalmills,2020-10-15 04:00,no,False,"monstercerealsweepstakes,monstercerealsweepstakes,monstercerealsweepstakes",kombatbaby,"b""*SWEEPSTAKES* The Monster Cereals are back! But you\xe2\x80\x99ve never seen them like this. Award-winning special effects artist @kombatbaby brought our iconic Monster Cereal characters \xe2\x80\x93 Boo Berry, Count Chocula and Franken Berry \xe2\x80\x93 to life as three one-of-a-kind busts. And one of them could be yours. \n\nHere's how to enter the #MonsterCerealSweepstakes: \n- Like this post \n- Tell us which Monster from the Monster Cereals is your favorite in the comments below, using the hashtag #MonsterCerealSweepstakes \n\nNO PURCHASE NECESSARY. Must be 18 years old to enter. Each comment equals one entry. One entry per person. The sweepstakes ends on October 22, 2020, at 11:59 p.m. ET. See the full official Monster Cereal Sweepstakes rules at the link in bio. #MonsterCerealSweepstakes""",0,0,19270,13185,32455,,
CGFjoiJH_vt,generalmills,2020-10-08 15:01,yes,False,,,"b'Although this Halloween looks different, we believe it can still be special. That\xe2\x80\x99s why we\xe2\x80\x99re doing something we\xe2\x80\x99ve never done before. Stay tuned for a monstrous surprise on 10.15.20. :eyes:'",40272,49.344,2187,123,2310,,
