shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CHYhUyjngkr,generalmotors,2020-11-09 20:18:12.000000,no,False,b'',b'automotivenews',"b""Congratulations to all of the leaders recognized as this year's @automotivenews' Top 100 Leading Women in the North American Auto Industry, including our own Mary Barra, Pam Fletcher, Stacy Lynett, Susan Sheffield, Christine Stiek and Deborah Wahl. The examples being set by these women today will help the next generation of women to transform the world tomorrow. Learn more at the link in our bio.""",0,0,1558,93,,,
CGP-alBHoZR,generalmotors,2020-10-12 16:07:56.000000,yes,False,b'ev',b'',"b""What's your vehicle style? With our flexible #EV Ultium platform we're re-imagining what it means to go all-electric. Follow the link in our bio to learn more.""",17722,13.0,2077,248,,,
CF94yC4Hnco,generalmotors,2020-10-05 15:32:42.000000,yes,False,b'renewableenergy',b'',"b""We've committed to sourcing 100% of our global energy from renewables by 2040 because we know sustainable production is just as important as sustainable products. Learn more about our #RenewableEnergy journey at the link in our bio.""",3571,59.032,449,26,,,
CF20rXFHecE,generalmotors,2020-10-02 21:42:01.000000,yes,False,"b'stem,publicschoolteacher,electrifyingengineering'",b'donorschoose',"b""If you're a K-6 #STEM #PublicSchoolTeacher, you're invited to join us in #ElectrifyingEngineering for your students while earning funding for your classroom at the same time. Learn more about our collaboration with @DonorsChoose at the link in our bio.\n\nNot a teacher? Help us spread the word by tagging one below!""",4461,29.99,526,47,,,
CFzyBson5-3,generalmotors,2020-10-01 17:22:32.000000,yes,False,b'',b'',"b""As an illustration major, Carly Davis wasn't sure what her path would look like after graduation. That changed when she was introduced to industrial design by her 3D design professor. Here's how she's using her illustration skills to visualize future products and help bring them to life.""",4310,209.165,508,96,,,
CFu_krAHqTD,generalmotors,2020-09-29 20:43:01.000000,no,False,"b'ev,evs'",b'chevrolet',"b""When you're committed to building an electric future, it's more than a job \xe2\x80\x94 it's a lifestyle. This Thursday at 3PM EDT, join @Chevrolet #EV experts for a live Power Panel on Chevy's Youtube channel, where they'll be answering your questions and discussing the future of #EVs.""",0,0,1565,48,,,
CFZyUNanV6Z,generalmotors,2020-09-21 15:03:19.000000,yes,False,b'ev',b'',"b""Over the last 2 months, we've announced numerous updates to our #EV programs that span nearly every aspect of the EV ecosystem, from accelerating development and adoption to investments in charging infrastructure. At the link in our bio, President Mark Reuss offers a closer look at why this multi-faceted approach is the key to winning the EV race.""",12974,20.182,1526,115,,,
CFR8mG8njn-,generalmotors,2020-09-18 14:00:37.000000,yes,False,b'',b'',"b""We envision a safe, healthy future for everyone, and our team members continue to prove they have what it takes to help us get there. Today, as we wrap up our annual Global Safety Week, we're paying tribute to our employees, contractors and suppliers from around the world who came together to face the unprecedented challenges posed by the COVID-19 pandemic.""",4871,194.279,624,15,,,
CFQB46hnWm3,generalmotors,2020-09-17 20:08:12.000000,yes,False,b'',b'cadillac',"b""We're combining the classic @Cadillac style with our all-new Ultium battery system to electrify American luxury. Learn more about the recently revealed LYRIQ show car at the link in our bio.""",11289,28.858,1472,26,,,
CFIOgCjnaFr,generalmotors,2020-09-14 19:23:16.000000,yes,False,b'gmchummerev',b'gmc',"b""Sometimes the biggest leaps forward are actually diagonal. Here's a sneak peek at @GMC's upcoming #GMCHummerEV. Tune in to the full vehicle reveal on October 20 to learn more.""",12863,26.986,2027,55,,,
CEAOh0lnumU,generalmotors,2020-08-17 20:22:06.000000,yes,False,b'',b'',"b'""I knew right there that\'s what I wanted to do. I want to make people say wow.""\xc2\xa0\n\nWhile walking down the streets of Brazil with her father as a kid, Junia Martins Lapp had what she calls a ""wow moment"" when a red sportscar drove by. Above, she shares the story of how she followed that passion all the way to our Design Center in Warren, Mich.'",6381,213.665,563,143,,,
CD2Aehbnyg6,generalmotors,2020-08-13 21:03:05.000000,yes,False,b'evs',b'cadillac',"b""The world has changed drastically since we announced our flexible platform and Ultium battery system, but we remain steadfast in our commitment to an all-electric future. We're excited to introduce the @cadillac LYRIQ show car, our first (of many) Ultium-powered #EVs to be revealed. Follow the link in our bio to learn more.""",15623,30.024,1808,65,,,
