shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIWOsqVHwmb,globelifefield,2020-12-03 19:28:21.000000,no,False,b'',b'',"b'Giddy up, y\xe2\x80\x99all.'",0,0,1673,17,,b'Globe Life Field',32.7514995756 -97.0827767194
CIT4tRpnirK,globelifefield,2020-12-02 21:37:43.000000,no,False,b'',b'',b'It\xe2\x80\x99s (almost) Rodeo Time in Texas.',0,0,2182,31,,b'Globe Life Field',32.7514995756 -97.0827767194
CIBo3YdnVSO,globelifefield,2020-11-25 19:32:57.000000,no,False,"b'giveaway,holidaygiveaway,arlington,sweepstakes'",b'',b'Check out our post from Monday to find out how you could win the ultimate Arlington holiday giveaway! \n\nEnds tonight! :hourglass_not_done:\n\n#giveaway #holidaygiveaway #arlington #sweepstakes',0,0,195,1,,b'Globe Life Field',32.7514995756 -97.0827767194
CH8bm26H6v_,globelifefield,2020-11-23 19:13:04.000000,yes,False,b'',"b'globelifefield,livebyloews_arlington,luminovaholidays,forkingandcountry'",b'Giveaway alert! Enter now through Wednesday at 8pm CT for a chance to win the ultimate Arlington holiday experience. \n\nHOW TO ENTER\n\n:snowflake_selector:Follow:\n\xe2\x80\xa2 @globelifefield \n\xe2\x80\xa2 @livebyloews_arlington\n\xe2\x80\xa2 @luminovaholidays \n\xe2\x80\xa2 @forkingandcountry \n\n:snowflake_selector:Tag 3 friends in the comments below\n\nLink in bio for rules.',1324,22.966,140,57,,b'Globe Life Field',32.7514995756 -97.0827767194
CH0wVAznrQ9,globelifefield,2020-11-20 19:28:12.000000,yes,False,b'',b'luminovaholidays',b':musical_notes: It\xe2\x80\x99s beginning to look a lot like (@luminovaholidays) Christmas :musical_notes:',5807,15.366,684,10,,,
CHqkVcVHOeU,globelifefield,2020-11-16 20:30:50.000000,no,False,b'',b'luminovaholidays',b'@luminovaholidays opens FRIDAY!',0,0,424,4,,b'Globe Life Field',32.7514995756 -97.0827767194
CHii5CEn4ae,globelifefield,2020-11-13 17:44:17.000000,no,False,b'',b'',b':index_pointing_up_selector:more week',0,0,773,3,,b'Globe Life Field',32.7514995756 -97.0827767194
CHQjEIhHzz_,globelifefield,2020-11-06 17:59:29.000000,no,False,b'',b'',b'Watch the world\xe2\x80\x99s best cowgirls compete in the inaugural championship for breakaway roping! NFBR tickets and info: texasrangers.com/nfr',0,0,194,1,,b'Globe Life Field',32.7514995756 -97.0827767194
CG5Ip4UnnN3,globelifefield,2020-10-28 15:46:10.000000,no,False,b'postseason',b'',b'Thanks for letting us share Globe Life Field with you. #Postseason',0,0,2361,21,,,
CG3CFa9h9ai,globelifefield,2020-10-27 20:10:34.000000,no,False,b'worldseries',b'',b'The roof will remain closed for Game 6 of the #WorldSeries.',0,0,1496,13,,,
