shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIX70FZniGL,halkbank,2020-12-04 11:21:49.000000,no,False,b'kobi',b'',"b'#KOB\xc4\xb0G\xc3\xbcncesi serimiz, Dr. Habibe Ak\xc5\x9fit\xe2\x80\x99in kaleme ald\xc4\xb1\xc4\x9f\xc4\xb1 Etkin Toplant\xc4\xb1 Y\xc3\xb6netimi \xc4\xb0\xc3\xa7in Ne Yapmal\xc4\xb1y\xc4\xb1m? ba\xc5\x9fl\xc4\xb1kl\xc4\xb1 yaz\xc4\xb1yla devam ediyor. \xc4\xb0\xc5\x9f hayat\xc4\xb1n\xc4\xb1n vazge\xc3\xa7ilmezi olan toplant\xc4\xb1lar\xc4\xb1n performanslar\xc4\xb1n\xc4\xb1 art\xc4\xb1rmak i\xc3\xa7in neler yap\xc4\xb1labilece\xc4\x9fine dair ipu\xc3\xa7lar\xc4\xb1n\xc4\xb1 okumak i\xc3\xa7in halkbankkobigelisim.com.tr sitemizi ziyaret edebilirsiniz.'",0,0,376,28,,,
CIVC-KNHiP7,halkbank,2020-12-03 08:31:56.000000,yes,False,b'',b'',"b'Bug\xc3\xbcn fark\xc4\xb1ndal\xc4\xb1k g\xc3\xbcn\xc3\xbc ve bu bir kutlama de\xc4\x9fil\xe2\x80\xa6 Bug\xc3\xbcn engellilerin ya\xc5\x9fad\xc4\xb1\xc4\x9f\xc4\xb1 sorunlar\xc4\xb1n fark\xc4\xb1nda olma g\xc3\xbcn\xc3\xbcd\xc3\xbcr. Gelin hep birlikte sevgi ile engelleri ortadan kald\xc4\xb1ral\xc4\xb1m, kimseyi geride b\xc4\xb1rakmayal\xc4\xb1m.'",2598,150.3,347,13,,,
CIStxtDHoL3,halkbank,2020-12-02 10:42:57.000000,no,False,b'',b'',"b""Birikimleriniz Halkbank ile de\xc4\x9fer kazan\xc4\xb1yor! D\xc3\xb6vizden TL\xe2\x80\x99ye D\xc3\xb6n\xc3\xbc\xc5\x9f\xc3\xbcm Mevduat Hesab\xc4\xb1 ile birikiminizi TL'ye \xc3\xa7evirin, ilave faiz oran\xc4\xb1yla kazan\xc4\xb1n! Detayl\xc4\xb1 bilgi i\xc3\xa7in web sitemizi ziyaret edebilirsiniz.""",0,0,321,16,,,
CIP-Bjjn2Lx,halkbank,2020-12-01 09:07:12.000000,no,False,b'',b'',"b'Faturalar\xc4\xb1n\xc4\xb1z i\xc3\xa7in Abone24\xe2\x80\x99e otomatik \xc3\xb6deme talimat\xc4\xb1 verin, son \xc3\xb6deme tarihini d\xc3\xbc\xc5\x9f\xc3\xbcnmeyin! Detayl\xc4\xb1 bilgi i\xc3\xa7in web sitemizi ziyaret edebilirsiniz.'",0,0,325,17,,,
CIOE_oKH6sH,halkbank,2020-11-30 15:29:38.000000,no,False,b'',b'',b'Bankac\xc4\xb1l\xc4\xb1k i\xc5\x9flemlerinizi diledi\xc4\x9finiz zaman ve diledi\xc4\x9finiz yerde kolayl\xc4\xb1kla ger\xc3\xa7ekle\xc5\x9ftirebilmeniz i\xc3\xa7in dijital bankac\xc4\xb1l\xc4\xb1k kanallar\xc4\xb1m\xc4\xb1z ile 7/24 hizmetinizdeyiz!',0,0,523,30,,,
CIGFvkinupY,halkbank,2020-11-27 13:02:15.000000,no,False,b'kobi',b'',"b'#KOB\xc4\xb0G\xc3\xbcncesi serimiz bu hafta, Dr. Habibe Ak\xc5\x9fit\xe2\x80\x99in kaleme ald\xc4\xb1\xc4\x9f\xc4\xb1 ""Zaman Yiyici Tuzaklarla Nas\xc4\xb1l Ba\xc5\x9f Edebilirim?"" ba\xc5\x9fl\xc4\xb1kl\xc4\xb1 yaz\xc4\xb1yla devam ediyor. Zaman\xc4\xb1m\xc4\xb1z\xc4\xb1 nas\xc4\xb1l daha etkin \xc5\x9fekilde kullanabilece\xc4\x9fimize dair bilgilerin anlat\xc4\xb1ld\xc4\xb1\xc4\x9f\xc4\xb1 yaz\xc4\xb1m\xc4\xb1z\xc4\xb1 okumak i\xc3\xa7in halkbankkobigelisim.com.tr sitemizi ziyaret edebilirsiniz.'",0,0,273,33,,,
CIF2QkHnMrl,halkbank,2020-11-27 10:46:57.000000,no,False,b'',b'',"b""SGK \xc3\xb6demelerinizde kolayl\xc4\xb1klar Halkbank'ta! Siz de SGK prim \xc3\xb6demelerinizi \xc5\x9fubeye gitmeden Halkbank Mobil uygulamam\xc4\xb1z veya internet \xc5\x9fubemiz \xc3\xbczerinden kolayl\xc4\xb1kla ger\xc3\xa7ekle\xc5\x9ftirebilirsiniz. Detayl\xc4\xb1 bilgi i\xc3\xa7in web sitemizi ziyaret edebilirsiniz.""",0,0,321,7,,,
CIDmBx-HPQ_,halkbank,2020-11-26 13:46:38.000000,no,False,b'',b'',"b'Para transferi i\xc3\xa7in IBAN bilmeye, i\xc5\x9flem saati beklemeye son! Art\xc4\xb1k mobil ve internet \xc5\x9fubemiz \xc3\xbczerinden Kolay Adres bilgilerinizi hesab\xc4\xb1n\xc4\xb1za tan\xc4\xb1mlayabilecek ve IBAN\xe2\x80\x99s\xc4\xb1z 7/24 para transferi yapabileceksiniz. Hayat\xc4\xb1n\xc4\xb1z\xc4\xb1 kolayla\xc5\x9ft\xc4\xb1racak teknoloji \xc3\xa7ok yak\xc4\xb1nda Halkbank\xe2\x80\x99ta!'",0,0,404,10,,,
CIBQ5o-HOz6,halkbank,2020-11-25 16:04:15.000000,yes,False,"b'25kas\xc4\xb1mkad\xc4\xb1na\xc5\x9fiddetehay\xc4\xb1r,g\xc3\xb6rmezdengelme'",b'',"b'Kad\xc4\xb1na y\xc3\xb6nelik \xc5\x9fiddet onu g\xc3\xb6rmezden gelenlerden g\xc3\xbc\xc3\xa7 al\xc4\xb1r. \xc5\x9eiddet uygulayan ki\xc5\x9finin ekonomik durumu, stat\xc3\xbcs\xc3\xbc, e\xc4\x9fitim durumu ne olursa olsun g\xc3\xb6rmezden gelmeyin! Kad\xc4\xb1na y\xc3\xb6nelik \xc5\x9fiddete hep birlikte dur diyelim! #25Kas\xc4\xb1mKad\xc4\xb1na\xc5\x9eiddeteHay\xc4\xb1r #G\xc3\xb6rmezdenGelme'",6436,58.666,684,19,,,
CIBOOaoH85I,halkbank,2020-11-25 15:40:10.000000,no,False,b'',b'',b'Vergi \xc3\xb6demelerinizi otomatik \xc3\xb6deme talimat\xc4\xb1 vererek kolayl\xc4\xb1kla ve zaman\xc4\xb1nda ger\xc3\xa7ekle\xc5\x9ftirebilirsiniz. Detayl\xc4\xb1 bilgi i\xc3\xa7in web sitemizi ziyaret edebilirsiniz.',0,0,328,3,,,
