shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CGkXimKj312,halliburton,2020-10-20 14:12,no,False,breastcancerawarenessmonth,,"b'Halliburton employees from around the world participated in \xe2\x80\x9cGo Pink Day\xe2\x80\x9d in honor of #BreastCancerAwarenessMonth, sharing photos and stories of their support in the fight against breast cancer.'",0,0,557,25,582,,
CFcoRyCF_i_,halliburton,2020-09-22 17:33,yes,False,halliburtonhelps,kidsmealshouston,"b'Halliburton has long been a proud supporter of @kidsmealshouston, a Houston non-profit that delivers meals to preschool aged children. With the pandemic more than doubling the amount of children served in their program, Kids\xe2\x80\x99 Meals needs help more than ever. Check out the different ways that you can help end childhood hunger through Kids\xe2\x80\x99 Meals >> https://halliburtonblog.com/halliburton-supports-kids-meals-to-help-end-childhood-hunger/ #HalliburtonHelps'",1544,19.866,93,3,96,,
CFAcy-IlIbE,halliburton,2020-09-11 18:54,no,False,"neverforget,halliburtonhelps,911day","911day,kidsmealshouston","b""Halliburton is proud to support the mission of @911day to make the world a better place in remembrance of those lost on 9/11. Today, Halliburton employees volunteered their time at @kidsmealshouston, a non-profit whose mission is to deliver free, healthy meals year-round to the doorsteps of Houston's hungriest preschool-aged children. Let\xe2\x80\x99s #NeverForget what we\xe2\x80\x99re capable of doing together. #HalliburtonHelps #911day""",0,0,236,6,242,,
CEXEI80jE9z,halliburton,2020-08-26 17:09,no,False,,"aldineschooldistrict,compudopt","b'Halliburton donates nearly 1,000 laptops and phones to @aldineschooldistrict and @compudopt to help students with virtual learning.\n \n\xe2\x80\x9cThese devices will go straight into the hands of students and be put to good use immediately. Thank you Halliburton for all of your support!\xe2\x80\x9d said Abel Garza, Assistant Superintendent of Community and Governmental Relations, Aldine ISD.\n \n\xe2\x80\x9cWe are so thankful for Halliburton\xe2\x80\x99s generosity during this challenging time. These devices will make a huge difference for students without proper access to technology while they are navigating this new world of online school,\xe2\x80\x9d said Colin Dempsey, Executive Director of Comp-U-Dopt.'",0,0,538,27,565,,
CEFRi91DM-Q,halliburton,2020-08-19 19:20,no,False,,houston,"b'Congratulations to our own Tracy Josefovsky, Summer Condarco and Shobhana Mani for being named as one of @Houston Business Journal\xe2\x80\x99s 2020 Women Who Mean Business honorees!'",0,0,435,15,450,,
CDQ7sO9jbv6,halliburton,2020-07-30 11:29,yes,False,,"halliburtonlabs,halliburtonlabs","b'Demand for energy is existential. It is clear that future energy supply will come from many different sources in addition to hydrocarbons. That\xe2\x80\x99s why we are proud to introduce @halliburtonlabs , a collaborative environment where entrepreneurs, academics, investors and industrial labs come together to advance cleaner, affordable energy.\n \nFollow @halliburtonlabs and visit their website for more information >> https://www.halliburtonlabs.com/'",2583,15.033,296,4,300,,
CCloKvelx-x,halliburton,2020-07-13 15:51,no,False,nationalforestweek,nationalforests,b'Happy #NationalForestWeek! We\xe2\x80\x99re excited to celebrate our forests and grasslands alongside @nationalforests. Visit http://nationalforestweek.org/ to get involved today.',0,0,115,3,118,,
CA8kot9FzqE,halliburton,2020-06-02 20:40,no,False,"pridemonth,21daysallychallenge,play,pridewithoutboundaries,diversity,inclusion,pride,lgbtq",pride_circle,b'Halliburton\xe2\x80\x99s PRIDE Employee Resource Group is kicking off #PrideMonth with @pride_circle #21DaysAllyChallenge - a unique campaign aimed at educating and sensitizing all participants and ultimately building a community of passionate allies. How many of the 21 activities will you participate in throughout June? \nSign up today to take part and support the Halliburton team >> https://www.thepridecircle.com/21daysallychallenge/?gsr=6ruFZ-irhmkbxJJ#play-here \n#pridewithoutboundaries #diversity #inclusion #pride #lgbtq',0,0,346,20,366,,
B_SjwksjvBa,halliburton,2020-04-22 16:32,no,False,earthday2020,"treesforhouston,nationalforests","b'Sustainability is one of our core Guiding Principles at Halliburton. In honor of #EarthDay2020, we\xe2\x80\x99re taking a look back at a few of our contributions this past year to @treesforhouston , @nationalforests and the Duncan Heritage Trails. How are you celebrating Earth Day?'",0,0,491,8,499,,
B-xWfoCjVKL,halliburton,2020-04-09 19:02,no,False,nationalpublichealthweek,,"b'This week is #NationalPublicHealthWeek, but we celebrate those who are on the frontline every day. Halliburton thanks and supports our health and safety heroes for their bravery during this global pandemic. Thank you for your dedication to keeping us safe today and every day!'",0,0,417,3,420,,
B-sXwk2Dzis,halliburton,2020-04-07 20:36,no,False,,,b'Read more about our COVID 19 response >> halliburton.com/covidresponse',0,0,289,2,291,,
B-M3yW_l9Ck,halliburton,2020-03-26 15:01,no,False,eachforequal,,"b'Asiya Abbasi, the first Halliburton female drilling fluids engineer in Pakistan, features her journey at Halliburton and provides advice for women in the oil and gas industry in this week\xe2\x80\x99s #EachforEqual story! How will you help make our world more equal? https://bit.ly/2xjbclE'",0,0,884,25,909,,
B-M3yW_l9Ck,halliburton,2020-03-26 15:01,no,False,eachforequal,,"b'Asiya Abbasi, the first Halliburton female drilling fluids engineer in Pakistan, features her journey at Halliburton and provides advice for women in the oil and gas industry in this week\xe2\x80\x99s #EachforEqual story! How will you help make our world more equal? https://bit.ly/2xjbclE'",0,0,884,25,909,,
B-K_osfl7z1,halliburton,2020-03-25 21:31,no,False,"socialdistancing,halliburtonhelps",kidsmealshouston,"b'Even during #socialdistancing, our employees and their families are finding unique ways to help serve the communities around them. Check out Maizey, daughter of our Community Relations Manager Melissa Sowell, decorating bags while video chatting with her friend to help @kidsmealshouston continue to feed over 6,000 meals a day while students are out of school. Way to go Maizey! #HalliburtonHelps'",0,0,332,2,334,,
B97Wuo0lP1k,halliburton,2020-03-19 19:45,no,False,"throwbackthursday,sponsor",dfshouston,"b'#ThrowbackThursday : Halliburton was honored to be a Clean Sweep #Sponsor at the 17th Annual Models of Success event featuring @DFShouston client success stories! \nThroughout the month, we are participating in their Send One Suit Month drive \xe2\x80\x93 one of the largest suit donation drives in Houston \xe2\x80\x93 helping empower women to achieve economic independence by providing a network of support, professional attire and the development tools. \nLearn 7 ways you can get involved here: https://dressforsuccess.org/get-involved/'",0,0,270,1,271,,
B9pZrpwAhMs,halliburton,2020-03-12 20:25,yes,False,"wearehalliburton,halliburton,halliburtoncareers,diversity,diversitymatters,oilandgas,oilandgascareers,innovation",,"b'We are committed to creating a more diverse workplace- welcoming different perspectives, different insights, and different points of view. We believe embracing diversity broadens thinking, stimulates innovation and generates unique solutions to the world\xe2\x80\x99s energy challenges. Join us at http://bit.ly/HalliburtonCareers\n\xe2\x80\xa2\n\xe2\x80\xa2\n\xe2\x80\xa2\n#WeAreHalliburton #Halliburton #HalliburtonCareers #Diversity #DiversityMatters #OilAndGas #OilAndGasCareers #Innovation'",5593,107.873,713,18,731,,
B9hpnvcA67o,halliburton,2020-03-09 21:08,yes,False,safetymomentmonday,,b'This week\xe2\x80\x99s #SafetyMomentMonday comes from our Halliburton Safety Kids! What advice would your kids give you about safety in the workplace?',2296,123.833,235,9,244,,
B9hjnGZgFGd,halliburton,2020-03-09 19:17,no,False,"iwd2020,eachforequal",,"b'Today we kicked off #IWD2020 with an executive-led discussion about Halliburton\xe2\x80\x99s global, diverse workforce. As part of our own #EachforEqual campaign, continue to follow us throughout the month of March to see how we are celebrating employee achievements at Halliburton.\n\nComment below and let us know how you will help forge a gender equal world!'",0,0,432,5,437,,
B9Py0sgAoXY,halliburton,2020-03-02 21:44,no,False,"engineersweek,utgirlday,eweek,eweek2020,womeninstem,innovation,stem,utaustin,utwep,powerofshe,womeninenergy,halliburton,halliburtoncareers",,"b'Halliburton is proud to support and encourage the next generation of female leaders in STEM. We closed #EngineersWeek by challenging young minds with hands-on activities at #UTGirlDay with our partner, Women in Engineering Program - at The University of Texas at Austin. With over 8,000 students in attendance, we know the future is pow-HER-ful!\n-\n-\n-\n#EWeek #EWeek2020 #WomenInSTEM #Innovation #STEM #UTAustin #UTWEP #PowerOfShe #WomenInEnergy #Halliburton #HalliburtonCareers'",0,0,453,5,458,Girl Day at UT Austin,30.2888857845 -97.7356797784
B8t11T6lJIG,halliburton,2020-02-18 17:16,no,False,"girlday,utgirlday,introduceagirltoengineeringday,engineersweek,girlsinstem,womeninstem,stem,halliburton,halliburtoncareers",utwep,"b'Halliburton is proud to partner with @UTWep for Girl Day at UT Austin - a free event for K-8 students with over 150 hands-on activities and demonstrations. Join us this Saturday, February 22, as we help students explore science, technology, engineering, and math! http://bit.ly/UTGirlDay2020\n-\n-\n-\n#GirlDay #UTGirlDay #IntroduceAGirlToEngineeringDay #EngineersWeek #GirlsInSTEM #WomenInSTEM #STEM #Halliburton #HalliburtonCareers'",0,0,263,1,264,,
B8PnGfcleZc,halliburton,2020-02-06 23:30,no,False,"throwbackthursday,halliburtonhelps,houmarathon,houhalf,hou5k,runhou",,"b'#ThrowbackThursday : More than 100 runners from Halliburton participated in the 2020 Chevron Houston Marathon and Aramco Half Marathon. Halliburton runners participated through the Run for a Reason charity program that allows participants to collect donations on behalf of an official charity of their choice.  Congratulations team, way to show that #HalliburtonHelps!\n\n#houmarathon #houhalf #hou5k #runhou'",0,0,417,7,424,,
