shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYMYperIFz,hasbro,2020-12-04 13:46:37.000000,no,False,b'',b'',"b'Spotted in Amazon\xe2\x80\x99s Holiday Wish Book, Cubby Hill \xe2\x80\x93 a new storybook series from Hasbro in partnership with award-winning creator Cori Doerrfeld! This charming and reassuring story follows a young bear and his friends as they learn that even though the world can be scary, sometimes new friends and new fun are just around the corner!\nParents, tap the photo to shop!'",0,0,578,16,,,
CIWTqslj_95,hasbro,2020-12-03 20:12:07.000000,yes,False,b'',b'',"b'We\xe2\x80\x99re committed to improving the lives of all children and all families, especially during these unprecedented times. The events of this past year have challenged us to adapt and rise to the occasion to meet the needs of our consumers, employees, supply chains, and communities around the world. \n \nWe shifted our attention to support our employees and communities throughout the COVID-19 pandemic, restated our commitment to diversity & inclusion and continued to make progress against our long-term goals. We pledged to eliminate plastic in our packaging by the end of 2022, expanded the Hasbro Toy Recycling program to six countries and continued to conduct full human rights and ethical sourcing reviews of our suppliers. We even became the first toy and game company to pilot the Higg Index to further measure the environmental impacts of our supply chain.\n \nRead more about our progress and goals for the future in our newly issued 2019-2020 Corporate Social Responsibility (CSR) Update.'",3436,66.166,521,9,,,
CIReSkfLS8v,hasbro,2020-12-01 23:08:23.000000,no,False,b'',b'marinetoysfortotsfoundation',"b""This holiday season, more families are seeking the assistance of our partners at @MarineToysforTotsFoundation than ever before. We're proud to help them deliver joy and a message of hope to children in need across the country with a donation of more than 1 Million toys and games.""",0,0,643,19,,,
CIQgjuDj6V4,hasbro,2020-12-01 14:10:27.000000,yes,False,b'',b'',"b'Parents, want a holiday gift that\xe2\x80\x99s unBEARably adorable?! Look for this loveable and interactive furReal Polar Bear exclusively on Amazon (Tap to shop).'",4508,18.033,541,18,,,
CIOTPYyrE5k,hasbro,2020-11-30 17:34:07.000000,no,False,b'',b'',"b'FurReal Mama Josie the Kangaroo makes for the best fur-ever friend this holiday season! Parents, tap to shop!'",0,0,798,9,,,
CIOG4BwrhsP,hasbro,2020-11-30 15:46:04.000000,no,False,b'',b'',"b""OK, I'll ask mom to get you some new friends...:face_with_tears_of_joy: :shopping_cart: \nParents, tap the photo to shop.""",0,0,1184,13,,,
CIN_vy1rD6t,hasbro,2020-11-30 14:43:47.000000,no,False,b'cybermonday',b'',b'Get a step ahead on holiday shopping this #cybermonday with Playskool!',0,0,546,5,,,
CIGiSfbLTjJ,hasbro,2020-11-27 17:11:41.000000,no,False,b'',b'',b'Well someone finished their holiday shopping early :face_with_tears_of_joy::wrapped_gift:',0,0,764,32,,,
CID9QzALg0F,hasbro,2020-11-26 17:09:40.000000,no,False,"b'repost,thanksgiving,thanksgiving2020,cubbyhill,acubbyhilltale,thegivingday,coridoerrfeld,hasbro,picturebook,picturebookart,newpicturebook,communitylove,kidlit,kidlitart'","b'abramskids,coridoerrfeld'",b'#repost @abramskids Wishing a happy and safe Thanksgiving to you and your family! We\xe2\x80\x99ll be spending the day channeling the giving spirit of the Cubby Hill community and reading @coridoerrfeld\xe2\x80\x99s latest adventure of Cooper Cub and his friends. \n\xe2\x80\x8b.\n\xe2\x80\x8b.\n\xe2\x80\x8b:copyright: 2020 Hasbro\n\xe2\x80\x8b.\n\xe2\x80\x8b.\n\xe2\x80\x8b.\n\xe2\x80\x8b#Thanksgiving #Thanksgiving2020#CubbyHill #ACubbyHillTale#TheGivingDay #CoriDoerrfeld#Hasbro #picturebook #picturebookart#newpicturebook #communitylove#kidlit #kidlitart',0,0,703,7,,,
CIDgteDM0C0,hasbro,2020-11-26 13:00:13.000000,no,False,b'',b'',b'Wishing you and yours a wonderful Thanksgiving filled with laughter and fun!',0,0,1314,39,,,
CH_SNTIrooh,hasbro,2020-11-24 21:36:29.000000,no,False,b'repost',b'disneydescendants',"b""#Repost @disneydescendants: It's Evie's first time seeing Mal in her wedding dress! Swipe :right_arrow_selector: to see the full conversation... there may even be a special imaginary guest :prince:""",0,0,1106,27,,,
CH8UqdEsI2A,hasbro,2020-11-23 18:00:19.000000,yes,False,b'transformerswfc',b'nxonnetflix',"b'All seems lost, but the war rages on. Transformers: War For Cybertron Earthrise debuts December 30 only on @NXonNetflix\n \n#TransformersWFC'",4479,10.0,699,15,,,
CH2uLwdrq6_,hasbro,2020-11-21 13:47:47.000000,no,False,b'',b'',"b'Chase, Glow, or Step right into the holidays with Playskool! Parents, check out the deals on Playskool at Amazon! Some limitations apply.'",0,0,793,9,,,
CHvMCFurfAU,hasbro,2020-11-18 15:34:41.000000,no,False,b'',b'',"b'Holiday Wish List is on :fire:! Look for new FurReal Moodwings Baby Dragon to add a little extra excitement to your kids wish list this year. Parents, tap photo to shop!'",0,0,1013,16,,,
CHqFvQvre-R,hasbro,2020-11-16 16:03:28.000000,no,False,b'',b'',"b'From play time to mealtime, Mama Josie the Kangaroo makes life an adventure! \nParents, tap to shop.'",0,0,824,18,,,
CHnZswFAezl,hasbro,2020-11-15 15:00:13.000000,no,False,b'candyland',b'foodnetwork',"b'Watch Candy Land, the baking competition TV show inspired by this classic game premiering tonight on @FoodNetwork at 9/8pm central #Candyland'",0,0,1096,31,,,
CHiQLWpL7v6,hasbro,2020-11-13 15:00:46.000000,no,False,b'worldkindnessday',b'',b'Kindness makes a difference #WorldKindnessDay',0,0,979,33,,,
CHf4CSGL6oi,hasbro,2020-11-12 16:51:20.000000,no,False,b'',b'',"b'Shhhh\xe2\x80\xa6.she\xe2\x80\x99s sleeping (if you wake her, you take her!) Celebrating Fierce Mommas everywhere with New FurReal Moodwings Baby Dragon. \nParents, tap to shop.'",0,0,2322,26,,,
CHYlHVNLkxH,hasbro,2020-11-09 20:51:19.000000,no,False,"b'repost,rubikscubemosaic,rubikscube,mosaicmonday,rubyrubiks,adventureeveryturn,cubeathome'","b'rubiks_official,thecubeabides'",b'#repost @rubiks_official Check out this amazing #RubiksCubeMosaic made by our ambassador @thecubeabides to celebrate 40 years of the #RubiksCube ! The mosaic is made out of 720 Rubik\xe2\x80\x99s Cubes! Swipe :left_arrow_selector: to see how it was made! #MosaicMonday #RubyRubiks #AdventureEveryTurn #CubeAtHome',0,0,1205,24,,,
CHQMVx2LPh5,hasbro,2020-11-06 14:40:54.000000,no,False,b'',b'',b'It\xe2\x80\x99s a winter wonderland of Pets! Count down the days with 24 adorable surprises. Available exclusively at Amazon.',0,0,1213,67,,,
CHNhB8QrNTY,hasbro,2020-11-05 13:43:59.000000,no,False,b'',b'',"b'Chase. Go. Pop. Repeat.  Parents, tap to shop.'",0,0,760,6,,,
CHAoXfbLfWo,hasbro,2020-10-31 13:37:58.000000,no,False,b'',b'',"b':butterfly::cat_face::unicorn_face:, oh my! Happy Halloween from Baby Alive!'",0,0,845,21,,,
CG-598rL4vq,hasbro,2020-10-30 21:33:17.000000,no,True,"b'repost,ad,sweetparents,ad'","b'nph,playdoh,hasbro,playdoh'","b'#repost #ad @NPH This year, we\xe2\x80\x99re creating family memories that are sure to last WAY longer than our Halloween candy ever did with the new Kitchen Creations Candy Delight Playset from @Playdoh. From Play-Doh gummy bears and chocolate bars to pretend peanut butter cups \xe2\x80\x93 we\xe2\x80\x99re cranking out everything we\xe2\x80\x99ll need to enjoy a \xe2\x80\x9csweet\xe2\x80\x9d Halloween this year. Share your best Play-Doh candy creations using #SweetParents \xe2\x80\x93 we want to see how you\xe2\x80\x99re celebrating the holiday with your family! #ad @hasbro @playdoh'",0,0,1028,30,,,
CG-iozkrokh,hasbro,2020-10-30 18:09:25.000000,no,False,"b'repost,ad,ad,sweetparents'","b'dbelicious,playdoh,hasbro,playdoh'","b'#repost #ad @dbelicious Showing off our \xe2\x80\x9csweet\xe2\x80\x9d side with the new Kitchen Creations Candy Delight Playset from @Playdoh. #ad We\xe2\x80\x99re cranking out pretend candies and creating TONS of fun Play-Doh \xe2\x80\x9ctreats\xe2\x80\x9d without overloading on Halloween sweets this year! We\xe2\x80\x99ve got all the Play-Doh gummy bears, pretend candy cups, and even play chocolate bars we could ever need! #SweetParents @hasbro @playdoh'",0,0,946,14,,,
