shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CH73o5uBb8a,hersheys,2020-11-23 13:47:05.000000,yes,False,b'',b'',b'New never tasted so sweet :face_savoring_food:',8469,6.0,1718,28,,,
CH0FF6YBO2n,hersheys,2020-11-20 13:10:29.000000,yes,False,b'',b'',b'Sprinkle some sweetness',12452,8.236,2022,347,,,
CHp5vP8hPlb,hersheys,2020-11-16 14:19:47.000000,yes,False,b'',b'',b'New HERSHEY\xe2\x80\x99S KISSES TREASURE SURPRISE. A surprise My Little Pony toy and tasty milk chocolate in every chest!',5987,9.013,1109,37,,,
CHc_NznprEM,hersheys,2020-11-11 13:56:21.000000,no,False,b'',b'',"b'Baking at home? There\xe2\x80\x99s a prize for that :smiling_face_with_smiling_eyes: Don\xe2\x80\x99t forget to enter the HERSHEY\xe2\x80\x99S MINI KISSES Baking Contest for your chance to win awesome prizes! Details via our website here: www.minikissescontest.com. Ends 11/30/20. Legal residents of 50 US/DC, 18+ at time of entry. Entry Period begins at 9:00 AM ET on 10/1/20 and ends 11/30/20. Judging Period begins 12/1/20 and ends 12/13/20. To enter and for Official Rules, visit www.minikissescontest.com. Void where prohibited.'",0,0,1736,34,,,
CHa9BYxJK6l,hersheys,2020-11-10 19:00:00.000000,yes,False,b'',b'',b'New HERSHEY\xe2\x80\x99S KISSES TREASURE SURPRISE. A surprise Transformers toy and tasty milk chocolate in every chest!',5371,8.463,1172,27,,,
CGr8IVyJ5_7,hersheys,2020-10-23 12:47:38.000000,yes,False,"b'heartwarmingtheworld,halloween'",b'',b'No one can resist the power of a HERSHEY\xe2\x80\x99S bar. #heartwarmingtheworld #halloween',7675,9.988,1626,116,,,
CGUx1vqpstz,hersheys,2020-10-14 12:54:09.000000,no,False,b'',b'',"b'Prep, bake, win! Enter the HERSHEY\xe2\x80\x99S MINI KISSES Baking Contest for your chance to win awesome prizes :pie::sparkles: Details via our website here: www.minikissescontest.com. Ends 11/30/20. Legal residents of 50 US/DC, 18+ at time of entry. Entry Period begins at 9:00 AM ET on 10/1/20 and ends 11/30/20. Judging Period begins 12/1/20 and ends 12/13/20. To enter and for Official Rules, visit www.minikissescontest.com. Void where prohibited.'",0,0,1978,34,,,
CFwzlxzpPc3,hersheys,2020-09-30 13:37:32.000000,yes,False,b'heartwarmingtheworld',b'',b'A HERSHEY\xe2\x80\x99S bar is made for sharing. #heartwarmingtheworld',7783,6.0,1714,44,,,
CFu8QqPJLR9,hersheys,2020-09-29 20:15:19.000000,yes,False,b'heartwarmingtheworld',b'',b'Nothing brings everyone together faster than a HERSHEY\xe2\x80\x99S bar #heartwarmingtheworld',9702,8.416,2144,29,,,
CFiKUMsJXdN,hersheys,2020-09-24 21:06:45.000000,no,False,b'',b'gotmilk',b'Whip up a new twist on your favorite... chocolate milk. @gotmilk',0,0,2729,26,,,
CFfD5S3JNGo,hersheys,2020-09-23 16:13:27.000000,yes,False,b'',b'',"b'Dip, swirl, enjoy :face_savoring_food:'",7050,3.033,1384,16,,,
CFcMoH8pA_Z,hersheys,2020-09-22 13:32:00.000000,yes,False,b'',b'',"b'Sundae, any day'",5382,3.0,1444,17,,,
CEokyE4DNuw,hersheys,2020-09-02 12:23:16.000000,yes,False,b'',b'',b'The magic of chocolate milk :face_savoring_food:',6455,3.6,1884,57,,,
CEjfkdDpK1t,hersheys,2020-08-31 13:01:42.000000,yes,False,b'heartwarmingtheworld',b'',"b'Just in time for school, we\xe2\x80\x99ve joined forces with your favorite super heroes. Collect all seven bars. #heartwarmingtheworld'",5860,6.0,1285,34,,,
