shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CHM98h2gHve,hikvision,2020-11-05 08:58:13.000000,yes,False,"b'hiklive,hikvsion,hikproconnect'",b'',"b'Our Hik-ProConnect live webinar is coming! 4 pm (UTC +8), Nov 11. Register now to get ideal security service solution. Whether it\xe2\x80\x99s for installation or maintenance, with Hik-ProConnect, security teams can manage multiple sites with power and efficiency. \nshorturl.at/duxO7\n#HikLive #Hikvsion #HikProConnect'",1589,59.713,163,8,,,
CG9mxgUAg-V,hikvision,2020-10-30 09:26:34.000000,yes,False,"b'hikvision,halloween'",b'',"b'The trick-or-treat season is upon us again. Guess who is in the costume this time? Happy Halloween, from Hikvision!\r#Hikvision #halloween'",4244,10.3,386,9,,,
CFzIqBXAATu,hikvision,2020-10-01 11:24:18.000000,yes,False,"b'hikvison,family,midautumnfestival2020'",b'',"b':red_paper_lantern::full_moon::moon_cake:We wish that your career and life, as the round moon on Mid-Autumn Day, be bright and perfect. #Hikvison #family #midautumnfestival2020'",1878,4.733,160,3,,"b'Hangzhou, China'",30.25 120.167
CFMSdmTA9c8,hikvision,2020-09-16 09:14:39.000000,no,False,"b'darkfighter,yewview,hikinspiration,wildlife,womencrushwednesday'",b'thewildlifekate',"b'How exciting! A couple of days ago, @thewildlifekate wired up a Hikvision #DarkFighter camera to monitor the new #Yewview wildlife pond! #HikInspiration #Wildlife #womencrushwednesday \n:smiling_face_with_3_hearts:Like or comment below if you like to see what dark fighter captured'",0,0,1199,29,,b'United Kingdom',54.0 -2.0
CE_K1P2FXr1,hikvision,2020-09-11 07:08:56.000000,yes,False,"b'hikvision,aidashcam,southafrica'",b'',b'Enjoy safe and splendid journeys across South Africa! #Hikvision #AIDashcam #SouthAfrica\n\nTag a friend :helicopter: that you wanna travel there with or\nComment Below :backhand_index_pointing_down: your most remarkable road trip',2971,98.6,208,9,,,
CEJNdFoA5QW,hikvision,2020-08-21 08:31:23.000000,yes,False,b'seemore',b'',"b'Check out our protection efforts for our ""feathered friends"". Would you like to join us? Wear the pink eyeshadow and take a photo. Tag us in your post & use #SeeMore!'",1579,82.633,113,10,,,
CEElj9xgkrY,hikvision,2020-08-19 12:56:14.000000,no,False,"b'seemore,savewildlife,hikvision'",b'',b':penguin:The ANSWER is African Penguins! \nIs your answer correct?\n\n:partying_face:Let\xe2\x80\x99s welcome our new friend with unique pink eyeshadows!\n\n#SeeMore #savewildlife #Hikvision',0,0,223,7,,b'South Africa',-29.0 24.0
CEBRIg7graA,hikvision,2020-08-18 06:00:00.000000,no,False,"b'savewildlife,seemore,hikvision'",b'',b':nerd_face:QUIZ TIME\n\n:panda_face::tiger_face::duck::dolphin::question_mark:\n\nHikvision has supported protection efforts for wildlife in crisis. Can you guess who is our new friend in Africa\xef\xbc\x9f\n\n#SaveWildLife #SeeMore #Hikvision',0,0,187,11,,b'South Africa',-29.0 24.0
CDyJSKAA257,hikvision,2020-08-12 09:02:48.000000,no,False,"b'hikinspiration,wednesdaymotivation,securitycameras,hikvisionptz'",b'dmcsystemsllc',"b'Our #Hikinspiration of this week #wednesdaymotivation #securitycameras \n\n:thumbs_up:In Las Vegas, @dmcsystemsllc installed three of these huge #HikvisionPTZ cameras with 360 degree coverage!'",0,0,1678,80,,b'Las Vegas Nevada',36.1338306009 -115.0851742946
CDiul0lAmmT,hikvision,2020-08-06 09:23:58.000000,yes,False,"b'hikvisionuk,colorvucompare'",b'',b'CALLING ALL HIKVISIONER\xef\xbc\x81\nCheck out #HikvisionUK #ColorVuCompare Competition for a chance to WIN 1 of 20 ColorVu cameras\xef\xbc\x81\n\n:clapping_hands:To enter? Link in Stories',3219,20.081,259,7,,,
CDTRjoTA12k,hikvision,2020-07-31 09:18:38.000000,no,False,"b'hikvisionptz,hikinspiration,summervibes,realinstaller'","b'dvsltd,select_pro_security_eletrics'","b'Cheers to the weekend, Hikvisioners! #HikvisionPTZ #Hikinspiration \n\nComment Below:backhand_index_pointing_down: How has your summer been? #summervibes\n\nCredited to @dvsltd\xe2\x80\x99s #Realinstaller @select_pro_security_eletrics'",0,0,224,5,,,
CDJAsnBAPYG,hikvision,2020-07-27 09:38:54.000000,no,False,"b'wildlife,hikinspiration,hikvisionthermalimaging'",b'asonjakt.se',b'Our Swedish Hikvisioner @asonjakt.se looked into wild the other night. :boar::deer: #WildLife #Hikinspiration\nComment Below:backhand_index_pointing_down:What did you find using our #HikvisionThermalImaging techniques?',0,0,411,7,,b'Sweden',61.0 15.0
CDBH436Fh80,hikvision,2020-07-24 08:15:48.000000,yes,False,"b'hikvisionipcamera,hikvisionwifikit'",b'',"b'Hello Hikvisioner, the newly released Hikvision Wi-Fi Kit features strong capability to counteract the effect of common digital distractions. Watch this video and see how the shop owner gets clear real-time CCTV videos with Hikvision Wi-Fi kit. #HikvisionIPCamera #HikvisionWiFiKit'",5214,78.226,408,9,,,
CCu7ZiuAjTe,hikvision,2020-07-17 06:34:20.000000,yes,False,"b'hikvision,hikinspiration,wildlife,tbt'",b'thewildlifekate',b'Feeling weekend? This adorable fox cub was chilling in front of #Hikvision camera last night! :fox_face:\n:camera:Featured by @thewildlifekate #Hikinspiration #WildLife #tbt',4969,28.466,417,17,,,
B99GhaShFxt,hikvision,2020-03-20 12:01:59.000000,no,False,"b'forestday,hikvision,thermal,firedetection'",b'',b'You see a tree? We see a forest in the making!\nWe believe the true power comes from the vitality of every single individual. It just needs more care. #ForestDay #Hikvision #thermal #firedetection',0,0,461,25,,,
B9yulH1gpi8,hikvision,2020-03-16 11:20:40.000000,yes,False,"b'hikvision,thermal'",b'',"b""Safer, Faster, Smarter. Check out this video for #Hikvision's professional #thermal-based fever screening solutions.""",3888,59.966,261,12,,,
B9qgtztg0Jq,hikvision,2020-03-13 06:46:00.000000,yes,False,b'',b'',b'Hikvision PoE Swith vs others - Ensures longer transmission distance. 300-meter ultra-long distance transmission via 8 wires.',4028,60.006,417,16,,,
B9g1B_BAMzT,hikvision,2020-03-09 12:30:54.000000,yes,False,b'',b'',b'Hikvision PoE Swith vs others - Provides higher power supply.',3289,46.719,326,14,,,
