shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYEQrUgUC0,hiltoncarter,2020-12-04 12:35:37.000000,no,False,b'',b'',"b'Being mindful of the fragility of new growth is so important. Whether that\xe2\x80\x99s your plants unfurling new foliage or maybe someone close to you trying their hand at something new, stepping out of their comfort zone, in the search for their happiness. When I started taking my chance at being a plant/interior stylist as a side hustle, I was so unsure of myself. But luckily I had a group of people around me that were so supportive during that very fragile state. Instead of telling me to \xe2\x80\x9cstick with film\xe2\x80\x9d or whatever, they encouraged me to keep going and not just settle for what was in front of me. Be mindful of those in your life that are taking that leap and betting on themselves. Help to encourage them and support them in every way you can. We only get this one life. Let\xe2\x80\x99s grab it by the marimo balls and make it the best we possibly can! For all the creatives out there, KEEP GOING!! :flexed_biceps_medium-dark_skin_tone::black_heart:'",0,0,4451,56,,"b'Baltimore, Maryland'",39.2944 -76.614
CIVdus7gSD_,hiltoncarter,2020-12-03 12:20:27.000000,no,False,b'mommasboy',b'',"b'Since we\xe2\x80\x99re talking about gift giving, I\xe2\x80\x99d like to send all the love I can to the woman that gave me the gift of life 41 years ago today! To this woman I owe everything. As a young single mother she had her struggles but her hard work and faith cleared a path for her and ultimately us. I was a curious and demanding kid. This was push my mother to toss out the \xe2\x80\x9cyou\xe2\x80\x99re working my last nerve\xe2\x80\x9d idiom daily. But the love for her son was boundless. She laid the foundation, put up the scaffolding and built me into the man I am today. She sacrificed so much to see that I succeeded, thrived if you will. I know many might say that\xe2\x80\x99s a mother\xe2\x80\x99s duty but growing up in the 80s in Baltimore was hard. She could have easily fallen for so many of the temptations surrounding her but somehow she remained strong and focused. When I was younger I\xe2\x80\x99d watch her come home from overtime shifts at a job she hated, day after day, month after month, year after after. Still, she\xe2\x80\x99d make sure to be at every football game, art school event, etc that she could. While she gave me the ability to live out my dream as an artist, an athlete, a creative...she abandoned her childhood dreams and made ME, her son, her new dream. She put everything she possibly could into me and I hope I\xe2\x80\x99ve somehow made that dream come true. Today I celebrate the day I was born by celebrating her. I love you, ma! :heart_suit_selector::folded_hands_medium-dark_skin_tone: #mommasboy'",0,0,11121,520,,"b'Baltimore, Maryland'",39.2944 -76.614
CIS68BEAMgP,hiltoncarter,2020-12-02 12:37:57.000000,no,False,b'',b'',"b'I\xe2\x80\x99ve always been a huge fan of the rule of thirds. Basically, a third of your space should be filled with plants. :winking_face::herb:'",0,0,10095,98,,"b'Baltimore, Maryland'",39.2944 -76.614
CIRPXThgiEl,hiltoncarter,2020-12-01 20:57:58.000000,no,False,b'',b'',b'Just because tending to your plants is a dirty job doesn\xe2\x80\x99t mean you need to get dirty. My dark denim PLANT KEEPER aprons are back in stock!',0,0,1527,23,,"b'Baltimore, Maryland'",39.2944 -76.614
CIQUwrogVOI,hiltoncarter,2020-12-01 12:25:53.000000,no,False,b'',b'',b'Bringing in a selloum philodendron can make any space feel a lot more tropical and a little less blah. :herb::black_heart:',0,0,3479,19,,"b'Baltimore, Maryland'",39.2944 -76.614
CIORzN3ge82,hiltoncarter,2020-11-30 17:21:32.000000,no,False,b'',b'',b'PYT(pretty young thang) :herb::black_heart:',0,0,4686,33,,"b'Baltimore, Maryland'",39.2944 -76.614
CILRDlig4tY,hiltoncarter,2020-11-29 13:17:18.000000,no,False,b'',b'',"b'We might not have a Christmas tree but we do have a lot of other greenery to decorate the house with! Spring is definitely the \xe2\x80\x9cmost wonderful time of the year\xe2\x80\x9d but I love to see people get into the holiday spirit. As a kid my mother would get so excited about this time of the year and would play Christmas music from November 1st through the new year. I found it so annoying as a kid but now as an adult every time I hear a Christmas song I think of my mother, I smile and if you catch me off guard, I\xe2\x80\x99m singing as if I was the one that wrote the jam. We were a Motown Christmas family. :winking_face::herb: Lastly, shoutout to all of my Sagittarius out there!! Let\xe2\x80\x99s get older and more refined together! :bottle_with_popping_cork:'",0,0,12820,172,,"b'Baltimore, Maryland'",39.2944 -76.614
CIIsnZtgPdW,hiltoncarter,2020-11-28 13:20:24.000000,no,False,b'',b'',b'What\xe2\x80\x99s an indoor jungle without the jungle cat? Feels like you can\xe2\x80\x99t have one without the other. :black_heart::herb:',0,0,7415,59,,"b'Baltimore, Maryland'",39.2944 -76.614
CIGZHPLAbm7,hiltoncarter,2020-11-27 15:51:30.000000,no,False,b'',b'',"b'With all the gift giving, why not give the gift that keeps on giving?! Yes, you got it, propagation. What better way to share your passion for greenery with a loved one who would LOVE a piece of your collection? It\xe2\x80\x99s simple and rather low cost...unless we\xe2\x80\x99re talking variegated fiddle leaf fig cuttings! :winking_face::green_heart::herb: Btw, don\xe2\x80\x99t forget to support your local businesses and your local creators!'",0,0,3859,18,,"b'Baltimore, Maryland'",39.2944 -76.614
CIGB-VygQ2s,hiltoncarter,2020-11-27 12:29:19.000000,no,False,b'',b'',"b'After all the turkey, you might need to find a place a get away! :black_heart::herb:'",0,0,5958,37,,"b'Baltimore, Maryland'",39.2944 -76.614
