shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYboiMhHzM,hm,2020-12-04 15:59:52.000000,no,False,b'hm',b'',b'Comfort can really be this easy. :cloud_selector: #HM\n\nCotton-blend sweatshirt: 0874113009\nCord Flared Leggings: 0943152002\nRibbed hat :0732409036\nPlatform boots: 0916256005',0,0,97717,175,,,
CIXruHoBmMr,hm,2020-12-04 09:01:11.000000,no,False,b'',b'',"b'Is it spring yet? Well, we just couldn\xe2\x80\x99t wait. Our mint-fresh news is ready for you.\n\nSweatshirt: 0926697003\nJoggers High Waist: 0759814044\nShort necklace: 0803609004'",0,0,94458,168,,,
CIWOH8thQyZ,hm,2020-12-03 19:23:27.000000,yes,False,"b'hmbringonthefuture,hm'",b'',b'The future always looks brighter after a blowout. :dizzy: #HMBringOnTheFuture #HM',505820,6.0,23449,137,,,
CIV9oDWB7Mg,hm,2020-12-03 16:59:31.000000,yes,False,"b'hmbringonthefuture,hm'",b'',b'2020 has taken its toll on us all.:black_heart: What are your hopes and wishes for the new year? :party_popper: #HMBringOnTheFuture #HM',225085,30.0,19753,122,,,
CIVjRDBh-5h,hm,2020-12-03 13:08:50.000000,no,False,"b'hmbringonthefuture,hm'",b'originalkoffee',"b""New Year's might be a little different this year.:red_heart_selector: Turn the sound on for our hopeful and heartwarming New Year's poem featuring @originalkoffee. #HMBringOnTheFuture #HM""",0,0,30621,146,,,
CIS5-RUhUNR,hm,2020-12-02 12:32:22.000000,yes,False,"b'hm,hmconsciousexclusive'",b'',"b'For the first time our design team welcomes you into their studio, following the design process behind the Waste collection for A/W20. #HM #HMConsciousExclusive'",222663,558.326,14364,141,,,
CISdw2mhrVv,hm,2020-12-02 08:23:02.000000,no,False,"b'womenandwavesxhm,hm'","b'jessicavanderleahy,oceanastrachan,elisetrigger,womenandwaves'","b""Somewhere in the world right now, the sun is shining and the surf's up! :water_wave: We\xe2\x80\x99re happy to announce that the Women & Waves collab is now available in Australia, New Zealand, South Africa, Peru, Chile and Uruguay. #WomenandWavesxHM #HM @jessicavanderleahy,@oceanastrachan, @elisetrigger @womenandwaves \n\nZip-up bikini top : 0880134001 \r\nBrazilian bikini bottoms: 0873058001\r\nSwimsuit High leg: 0873080001 \r\nLong-sleeved swimsuit: 0877485001""",0,0,80554,152,,b'Australia',-25.0 135.0
CIQn35UhGQj,hm,2020-12-01 15:12:53.000000,no,False,"b'hmconsciousexclusive,hmxme,hm,regram'","b'fiahamelijnck,sonnyturner___,paulienriemis,alaa.slm,vivid,bighairloudmouth,reeceking_,janitaautio,blancamiro'","b'You all look like poetry in motion! We can\xe2\x80\x99t wait to see more #HMConsciousExclusive looks. :green_heart:  The online collection starts launching today. #HMxME #HM #regram @fiahamelijnck, @sonnyturner___, @paulienriemis, @alaa.slm, @vivid, @bighairloudmouth, @reeceking_, @janitaautio, @blancamiro\n\nTulle dress: 0918109001\nLyocell-blend dress:0918126002 \nFabric flower-covered dress: 0914142001\nCropped silk-blend blazer: 0918110001\n\nTailored silk-blend trousers :0918142001\nJacquard-patterned shirt 0935192001\nJacquard-patterned trousers: 0918137001\nOff-the-shoulder dress: 0918128001'",0,0,52008,436,,,
CIP4QsNBgRS,hm,2020-12-01 08:16:51.000000,no,False,"b'hmconsciousexclusive,hm'","b'zinniakumar,selmapaulsen_,saptieu'",b'Creative forms of recycling and reuse take us one step closer to a circular fashion future.  #HMConsciousExclusive launches online from 1 December. @zinniakumar @selmapaulsen_ @saptieu #HM \n\nPicture 1.\nLeft: Fabric flower-covered dress: 0914142001\nMultifunctional clip earrings: 0908227001\nMiddle: Jacket and brooch: 0929164001\nRight: Off-the-shoulder dress: 0918128001\nLinked-ring necklace: 0908242002\nPicture 2.\nFabric flower-covered dress: 0914142001\nPicture 3.\nLeft: Fabric flower-covered dress: 0914142001\nMultifunctional clip earrings: 0908227001\nMultifunctional boots: 0908252001\nMiddle: Off-the-shoulder dress: 0918128001\nLinked-ring necklace: 0908242002\nRight: Jacket and brooch: 0929164001\nTailored silk-blend trousers: 0918142001',0,0,44029,207,,,
CIOGv6yhK7N,hm,2020-11-30 15:44:58.000000,no,False,"b'hmconsciousexclusive,hm'",b'zinniakumar',"b""Can we re-think silk? Conscious Exclusive is an incubator for innovative materials that are eventually used in H&M's main collections. #HMConsciousExclusive A/W20 launches online from 1 December. #HM @zinniakumar""",0,0,25329,174,,,
CINm92xBHZ2,hm,2020-11-30 11:07:15.000000,no,False,"b'hmconsciousexclusive,hm'","b'selmapaulsen_,saptieu'",b'Can you wear leftovers? #HMConsciousExclusive A/W20 launches online from 1 December. #HM @selmapaulsen_ @saptieu',0,0,48668,119,,,
