shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYhZeIDV99,hobbylobby,2020-12-04 16:50:25.000000,yes,False,b'',b'',b'Both the young and the young at heart will love making these snowman! Start with one of our snowman kits and watch the magic happen.',31590,20.0,1866,29,,,
CIYTpuQjfK9,hobbylobby,2020-12-04 14:50:10.000000,no,False,b'',b'',b'Add a dash of color to your holiday decor and crafts with designer items from The Paper Studio:registered:.',0,0,2623,7,,,
CIWBQVWL0sZ,hobbylobby,2020-12-03 17:30:53.000000,no,False,b'',b'',b'Dress up your space with a new wreath! Swipe to see more ways to deck the halls for the holidays this year.',0,0,6216,39,,,
CIOQCP5lzOe,hobbylobby,2020-11-30 17:06:08.000000,no,False,b'',b'',b'Give your mantel the modern upgrade it deserves with elegant holiday decor.',0,0,4827,30,,,
CIOIBSql-4d,hobbylobby,2020-11-30 15:56:06.000000,no,False,b'',b'',b'Count down the days until Christmas with a custom wintry calendar! Find the link in our bio or visit the Seasonal section of our DIY Projects & Videos page for supplies and directions.',0,0,9483,60,,,
CIOIBSql-4d,hobbylobby,2020-11-30 15:56:06.000000,no,False,b'',b'',b'Count down the days until Christmas with a custom wintry calendar! Find the link in our bio or visit the Seasonal section of our DIY Projects & Videos page for supplies and directions.',0,0,9483,60,,,
CIJwqt4lE2n,hobbylobby,2020-11-28 23:15:04.000000,no,False,b'',b'',b'Stitch up a very merry Christmas with cheerful seasonal fabrics.',0,0,3706,19,,,
CIGf7fzleJx,hobbylobby,2020-11-27 16:51:06.000000,no,False,b'',b'',b'Deck the halls from floor to ceiling with our selection of pre-lit Christmas trees.',0,0,8368,41,,,
CIGSr0phZrn,hobbylobby,2020-11-27 14:55:35.000000,yes,False,b'',b'',b'These adorable felt ornaments are a perfectly giftable craft your entire family will love to make together.',30057,20.0,1870,10,,,
CIEVV-bFYyF,hobbylobby,2020-11-26 20:40:07.000000,no,False,b'',b'',"b'Add a pop of color to your holiday decor with rich, vibrant hues and playful animal print.'",0,0,4970,25,,,
CIBYZs_llXa,hobbylobby,2020-11-25 17:09:07.000000,no,False,b'',b'',"b'When the weather outside is frightful, classic candles are so delightful!'",0,0,4209,29,,,
CH-4LvIFIWa,hobbylobby,2020-11-24 17:49:07.000000,no,False,b'',b'',b'Stay cozy all winter long with a pair of crocheted Christmas slippers! Visit our Facebook page for the pattern.',0,0,4528,87,,,
CH8PREQlYvu,hobbylobby,2020-11-23 17:13:06.000000,no,False,b'',b'',b'Create your own wood winter wonderland with nutcrackers and holiday icons. Visit your local Hobby Lobby:registered: for seasonal availability!',0,0,3441,22,,,
CH8FxY5FHZ7,hobbylobby,2020-11-23 15:50:08.000000,no,False,b'',b'',b'Embroider up a design fit for any festivities in your home. Simply trace your design and stitch away to make your creation! Find the link in our bio or visit the Needle Arts section of our DIY Projects & Videos page for supplies and directions.',0,0,3374,11,,,
CH4GOHxDSaU,hobbylobby,2020-11-22 02:37:05.000000,no,False,b'',b'',b'Party planning is hard. Make it a little easier for your favorite hostess with heartfelt and unique gift baskets.',0,0,5451,22,,,
CH3seHslrT3,hobbylobby,2020-11-21 22:52:05.000000,no,False,b'',b'',b'Bring on the Christmas cheer with festive seasonal crafts.',0,0,4026,57,,,
CH0eRObLJuC,hobbylobby,2020-11-20 16:50:25.000000,yes,False,b'',b'',"b'Creating beautiful marbled ornaments is as easy as one, two, three! Make these at your next family night for even more fun. Find the supplies at your local Hobby Lobby:registered:.'",71766,20.0,4470,93,,,
CH0Qo5jjLXN,hobbylobby,2020-11-20 14:51:11.000000,no,False,b'',b'',"b'Add fabulous, customizable additions to your model collections with classic boxed model kits.'",0,0,1947,12,,,
CHyVm6CF-1P,hobbylobby,2020-11-19 20:56:06.000000,no,False,b'',b'',b'Leave an impression when you personalize your jewelry projects with stamped cuff rings.',0,0,2117,9,,,
CHvW9CHFzUO,hobbylobby,2020-11-18 17:10:08.000000,no,False,b'',b'',b'Adorn your tree in classic farmhouse style this Christmas. :Christmas_tree: Visit your local Hobby Lobby:registered: for seasonal availability.',0,0,11625,61,,,
