shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CITtXWant-Y,holidayinn,2020-12-02 19:58:44.000000,no,False,b'2020wrapped',b'',"b""Turns out we're partial to songs that feature our name. Hotel, motel, Holiday Inn.... :musical_notes: #2020Wrapped\xe2\x80\x8b""",0,0,179,14,,,
CH-bOs2A9cZ,holidayinn,2020-11-24 13:36:12.000000,no,False,b'',b'',"b'These mashed potatoes are so good, you\'ll have even the pickiest eater saying, ""More please!"" Bonus: they\'re easy to make and require few ingredients. :down_arrow_selector:\n\nIngredients:\n5 pounds (2.27 kg) potatoes (russet, Yukon gold, red, or a mix!)\n2 large cloves garlic, minced\nfine sea salt\n6 tablespoons (15 ml) butter\xe2\x80\x8b, melted\n1 cup (0.24 l) whole milk, or milk of your choice\n4 ounces (0.12 l) cream cheese, room temperature\nToppings! :face_savoring_food:\n\nCooking Instructions:\nStep 1\nCut and boil the potatoes. With or without skins, your potatoes should be cut evenly in about one-inch chunks. Transfer to a pot of cold water, then heat on high until boiling. Once boiling, cook for 10-12 minutes. Drain carefully. \n\nStep 2\nHeat the butter, milk and an additional 2 teaspoons of sea salt together either in a small saucepan or in the microwave until the butter is just melted.\n\nStep 3\nMash the potatoes to your desired consistency. Add half the butter mixture and fold it into the potatoes. Repeat with the remaining butter, then again with the cream cheese. Serve warm with your favorite toppings.'",0,0,223,11,,,
CHwwx0ao1GM,holidayinn,2020-11-19 06:15:00.000000,no,False,"b'bethereirl,holidayinn,experienceihg,holidayinndenver,milehighcity'",b'',b'Go ahead. Take that detour you\xe2\x80\x99ve always wanted to take. Link in bio.\n\n#BeThereIRL #HolidayInn  #ExperienceIHG #HolidayInnDenver #MileHighCity',0,0,249,3,,b'Holiday Inn Denver East - Stapleton',39.7643453127 -104.9042097648
CHmclhCnDf4,holidayinn,2020-11-15 06:06:10.000000,no,False,"b'bethereirl,experienceihg,scenicroute'",b'',"b""We\xe2\x80\x99re There for that holiday road trip. We're also there when you get carried away taking the scenic route home. Link in bio.\n\n#BeThereIRL #ExperienceIHG #ScenicRoute""",0,0,130,1,,b'The Scenic Route',None None
CHjxRi5oxtk,holidayinn,2020-11-14 05:09:24.000000,no,False,b'happydiwali',b'',"b'#HappyDiwali from all of us at Holiday Inn. May this festive season bring smiles, good health and peace for you and your family.'",0,0,269,7,,,
CHhj8jLAuL2,holidayinn,2020-11-13 08:34:25.000000,no,False,b'worldkindnessday',b'',"b'Kindness toward the planet, each other, and ourselves\xe2\x80\x94it\xe2\x80\x99s all essential. How are you showing a little more love this #WorldKindnessDay?\xe2\x80\x8b'",0,0,150,1,,,
CHe5Pi1Fi2e,holidayinn,2020-11-12 07:42:38.000000,no,False,"b'bethereirl,holidayinnmexico,50thanniversary'",b'',"b'Nothing better than:sun_selector:, :umbrella_on_ground:, and :smiling_face_with_sunglasses:\xe2\x80\x94all things you\xe2\x80\x99ll find in Mexico. Psst\xe2\x80\xa6 we\xe2\x80\x99re celebrating 50 years there this year, as if you needed a reason to plan a visit.\n\n#BeThereIRL #HolidayInnMexico #50thAnniversary #:Mexico:'",0,0,172,2,,b'Mexico',23.316667 -102.366667
CG_m9LAn-QE,holidayinn,2020-10-31 04:06:27.000000,yes,False,"b'bethereirl,experienceihg,staugustinelighthouse,happyhalloween,ghosthunters'",b'',"b'We\xe2\x80\x99re There to bring you close to all the spooks of the season. Deciding whether ghosts actually haunt this historic lighthouse? Well, that\xe2\x80\x99s up to you. :ghost: Then, sleep haunt-free at Holiday Inn St. Augustine \xe2\x80\x93 Historic.\n\n#BeThereIRL #ExperienceIHG #staugustinelighthouse #HappyHalloween #GhostHunters'",1534,3.966,160,1,,b'St. Augustine Lighthouse & Maritime Museum',29.8851406456 -81.2881529044
CGyycEPpgvk,holidayinn,2020-10-26 04:36:36.000000,no,False,"b'bethereirl,holidayinnmexico,50thanniversary'",b'',"b'We\xe2\x80\x99re There. For fiestas, fetes, and all the festivity in between. Oh, and while we\xe2\x80\x99re on the topic of celebration, we\xe2\x80\x99re celebrating 50 years in Mexico this year! Salud! :party_popper:\n\n#BeThereIRL #HolidayInnMexico #50thAnniversary #:Mexico:'",0,0,308,7,,b'Mexico',23.316667 -102.366667
CGrusyjgvL_,holidayinn,2020-10-23 10:49:23.000000,no,False,b'bethereirl',b'',"b'It\xe2\x80\x99s tough to #BeThereIRL right now, but we have good news: it\xe2\x80\x99s finally Fri-Yay! First @ buys the first round\xe2\x80\x94virtually if necessary.'",0,0,124,4,,,
