shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIZRuqxjnuY,hologic,2020-12-04 23:52:33.000000,no,False,b'',b'amyjordanofficial',"b'\xe2\x80\x9cThis is a gift from the process that I didn\xe2\x80\x99t expect to be a gift\xe2\x80\x9d \xe2\x80\x93 Learn about Amy Jordan\xe2\x80\x99s journey from routine screening appointment to beating cervical cancer. And at your next annual visit, ask your doctor about screening with Pap+HPV.  Thank you @amyjordanofficial for sharing your story and the importance of screening.'",0,0,177,5,,,
CIRj4LGDJAQ,hologic,2020-12-01 23:58:03.000000,yes,False,b'worldaidsday',"b'medaccessuk,chai_health,britishhivassoc,itnproductions'","b'This #WorldAIDSDay, we are proud to take part in the fight against HIV/AIDS and support access to critical testing and life-saving treatment globally. Find out how the Hologic Global Access Initiative, in partnership with @MedAccessUK and @CHAI_health, is committed to help achieve the 2030 UNAIDS 95-95-95 targets in this film by @BritishHIVAssoc and @ITNProductions.'",541,354.3,54,0,,,
CHx6s7LlGVk,hologic,2020-11-19 17:00:59.000000,no,False,b'dxa',b'',b'The Horizon:registered: #DXA System helps you work hand-in-hand with your clients. You can monitor the progress they\xe2\x80\x99re making and get them through the most challenging workouts.',0,0,57,1,,,
CHuspNPrpsI,hologic,2020-11-18 11:00:27.000000,no,False,b'reproductivehealth',b'aep.youth',"b'We are proud to sponsor @aep.youth to launch the Safe Open United Loves for Sisters (SOUL Sisters) Care Centre, a safe environment for adolescent girls and young women in Zambia to have access to #reproductivehealth products and education.'",0,0,74,7,,,
CHimNmCFRbX,hologic,2020-11-13 18:13:26.000000,yes,False,"b'mammogram,ultrasound,bcam2020,whyidoit'",b'',b'We want to thank our colleagues for highlighting the importance of routine breast health screening by scheduling their own #mammogram or #ultrasound and encouraging loved ones to do the same. #BCAM2020 might be over but the fight against breast cancer continues. #WhyIDoIT',399,35.8,70,1,,,
CHdONbbHtpe,hologic,2020-11-11 16:07:22.000000,no,False,"b'veteransday,veterans,military'",b'',"b'This #VeteransDay, we honor all #veterans and active duty #military for their service to our country. Meet several of our colleagues who reflect on how their experiences in the military have influenced their careers at Hologic.:United_States::United_States:'",0,0,88,0,,,
CHGW4UUFj3f,hologic,2020-11-02 19:00:37.000000,no,False,"b'mealplans,dxa,cleaneating'",b'',b'Nutrition is not a one-portion-fits-all type of deal :strawberry::banana::tangerine: The Horizon:registered: DXA System provides information that can help you create those unique #MealPlans tailored to your clients\xe2\x80\x99 needs. #DXA #CleanEating',0,0,47,0,,,
CG-axmHlCEv,hologic,2020-10-30 17:00:44.000000,no,False,"b'breastcancerawarenessmonth,womenshealth,nasdaqhonoree'",b'',"b'Leslie Grenier, Senior Manager of HR Shared Services, is recognized as a key member and thought partner to her team. This #BreastCancerAwarenessMonth, she highlights the importance of preventative care in #womenshealth. #Nasdaqhonoree'",0,0,57,2,,,
CG5EotyFbeW,hologic,2020-10-28 15:11:06.000000,no,False,"b'womenshealth,breastcancerawarenessmonth,nasdaqhonoree'",b'',"b""Jim McCormack, Global Commodity Manager, is driven by his colleagues' dedication to improve #womenshealth. He highlights the importance of #BreastCancerAwarenessMonth. #Nasdaqhonoree""",0,0,55,1,,,
CG0AGBhlrKV,hologic,2020-10-26 15:55:11.000000,no,False,"b'womenshealth,breastcancerawarenessmonth,nasdaqhonoree'",b'',"b'Tonya Shin, our Technical Service Engineer, is a valuable member of the U.S. Diagnostics Service team and a proud supporter of #womenshealth. She shares what #BreastCancerAwarenessMonth means to her. #Nasdaqhonoree'",0,0,56,0,,,
