shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIY6vZrF61V,homedepot,2020-12-04 20:31:41.000000,no,False,b'',b'_ashleighlaurn',"b'Give a gift that keeps on giving, like this personalized Lazy Susan Tray! It\xe2\x80\x99s perfect to serve cookies during the holidays and it can act as a decor piece year-round. Tap the link in our bio for step-by-step instructions from @_ashleighlaurn and The Home Depot\xe2\x80\x99s On-Trend DIY Workshops.'",0,0,941,14,,,
CIWupJLlbTj,homedepot,2020-12-04 00:07:29.000000,no,False,b'',b'',b'Create a warm and welcoming space ideal for sitting and unwrapping gifts with the ones you love. Tap the link in our bio to shop everything you see here.',0,0,1994,21,,,
CIUQJOCF0U-,homedepot,2020-12-03 01:02:30.000000,no,False,b'',b'nicholnaranjo',"b'Add nature-inspired holiday decor to your home this season. Lots of greens, a few trees and even a little citrus will accomplish the look! Tap the link in our bio to see how @nicholnaranjo styled this space.'",0,0,1528,25,,,
CIRrhEqF7FJ,homedepot,2020-12-02 01:03:58.000000,no,False,b'',b'',b'Invite the holiday spirit into your entryway with classic decor from The Home Depot.',0,0,2606,26,,,
CIPGaPUF_tr,homedepot,2020-12-01 01:01:15.000000,no,False,b'',b'suzannahstanley',b'Deck the halls with fresh greenery for a classic and easy festive look. Get the full details from @suzannahstanley on our blog.',0,0,3102,34,,,
CIMfPuOlZpo,homedepot,2020-11-30 00:40:32.000000,no,False,b'',b'',b'Holiday baking never tasted so good :pie:  Whip up a new tradition or make a family favorite with our assortment of small appliances. Tap the link in our bio to shop now.',0,0,1252,17,,,
CIHRh-aFk3c,homedepot,2020-11-28 00:04:30.000000,no,False,b'',b'',"b'From slicing and dicing to baking and broiling, these cool kitchen tools will help you make each holiday recipe a success. Tap the link in our bio to shop Black Friday prices now.'",0,0,1349,43,,,
CID95CdFy5D,homedepot,2020-11-26 17:15:28.000000,yes,False,b'',b'thriftdiving',"b'Today, and everyday, we\xe2\x80\x99re thankful for our associates and customers.\n\n:camera_with_flash:: @thriftdiving'",16578,35.233,1151,52,,,
CICNK8TF3-f,homedepot,2020-11-26 00:50:12.000000,no,False,b'',b'kourtnileigh',b'Set the stage for your Thanksgiving feast with a table everyone will be thankful for! Click the link in our bio for holiday prep tips from @kourtnileigh and to shop all festive decor from The Home Depot.',0,0,1767,30,,,
CH_oynlFPrd,homedepot,2020-11-25 00:53:49.000000,no,False,b'',b'classyclutter',b'Put a modern spin on traditional holiday decor with a poinsettia planter. Check out our DIY On-Trend Workshops for easy-to-follow steps for this festive project. \n\n:camera_with_flash:: @ClassyClutter',0,0,1660,31,,,
