shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYihtHFVaU,hondaukmotorcycles,2020-12-04 17:00:14.000000,no,False,b'',b'',"b'Honda UK are delighted to announce they are back in British Motocross Championship action with a brand new title sponsor and will be known as Crendon Fastrack Honda. The squad, backed by one of the UK\xe2\x80\x99s leading Timber Engineering companies Crendon, will be formed of British champion Tommy Searle and Jake Nicholls returning in the MX1 class, with Jay Hague joining the team for an MX2 championship assault. The team will contest the UK\xe2\x80\x99s two highest-level series, the British championship and MX Nationals.'",0,0,425,2,,,
CIXyd8-sLVy,hondaukmotorcycles,2020-12-04 10:00:16.000000,no,False,b'',b'',"b'Neo Sports Caf\xc3\xa9 has evolved. The CB1000R has been completely restyled, from the sleek headlight to the newly redesigned aluminium subframe, with an individual and aggressive character. http://spr.ly/6172HKmcy'",0,0,1154,1,,,
CIVpIhiD4oq,hondaukmotorcycles,2020-12-03 14:00:10.000000,yes,False,b'',b'',"b'Honda dealer showrooms are open in England, Wales & Scotland (except level 4). Northern Ireland Dealers remain closed until TBC\nOur dealer network continues to follow the latest government advice and social distancing guidelines to ensure everyone remains safe.\nPlease contact your local dealer ahead of making the journey to discuss your individual requirements.'",4037,6.033,624,5,,,
CIVNqTgMvqE,hondaukmotorcycles,2020-12-03 10:00:11.000000,no,False,"b'hondamotorcycles,scooters,pcx125'",b'',b'The PCX125 is one of our best-selling 125cc scooters and for 2021 it gets even better! #HondaMotorcycles #Scooters #PCX125',0,0,678,4,,,
CITEWZWMtxY,hondaukmotorcycles,2020-12-02 14:00:21.000000,no,False,"b'honda,hondaracing,motogp,wsbk,racingnews'",b'',"b'For the first time, you can join Team Honda for their annual motorcycle motorsport announcements! We want to include all our racing fans in the latest news of rider lineup across our world motorcycling stage! This is one not to miss! #Honda #Hondaracing #MotoGp #WSBK #RacingNews'",0,0,368,0,,,
CIP9NUYsDuT,hondaukmotorcycles,2020-12-01 09:00:13.000000,no,False,"b'hondamotorcycles,crf300l,crf300rally,2021models'",b'',b'Exciting news time again! We are excited to announce the launch of 2 more brand new models! This time for our adventure and off-road range! The all-new CRF300L and CRF300Rally! #HondaMotorcycles #CRF300L #CRF300Rally #2021Models',0,0,1712,25,,,
CIIVsjgMYzV,hondaukmotorcycles,2020-11-28 10:00:16.000000,no,False,"b'hondaukmotorcycles,goldwing,touring,ultimatetourer'",b'',b'The Gold Wing is equipped with so many useful features including heated grips and heated seats! Making touring luxurious #HondaUkMotorcycles #GoldWing #Touring #UltimateTourer',0,0,2199,5,,,
CIDMGb2ADNN,hondaukmotorcycles,2020-11-26 10:00:13.000000,no,False,"b'hondaukmotorcycles,africatwin,adventuresport,onroad,offroad'",b'',"b'The Adventure Sport is not just for the road! You can take your adventure anywhere, tarmac or dirt! The choice is yours. #HondaUkMotorcycles #AfricaTwin #AdventureSport #OnRoad #OffRoad'",0,0,1127,5,,,
CIDMGb2ADNN,hondaukmotorcycles,2020-11-26 10:00:13.000000,no,False,"b'hondaukmotorcycles,africatwin,adventuresport,onroad,offroad'",b'',"b'The Adventure Sport is not just for the road! You can take your adventure anywhere, tarmac or dirt! The choice is yours. #HondaUkMotorcycles #AfricaTwin #AdventureSport #OnRoad #OffRoad'",0,0,1127,5,,,
CH-5w_VhPq1,hondaukmotorcycles,2020-11-24 18:03:05.000000,yes,False,b'',b'',"b'The Rebel family is getting bigger, Welcome to the all new Honda CMX1100 Rebel, You can see all the details on our website here \nhttp://spr.ly/6171Hy6wF'",3576,26.966,569,16,,,
