shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYij93MGTz,hormelfoods,2020-12-04 17:00:28.000000,no,False,"b'chilicheese,cornchipchilipie,hormelchili,yum,easymeals'",b'hormelchili',"b'Mix together cheddar cheese, @hormelchili and corn chips. Microwave until hot & top with sour cream & onions. Enjoy. #chilicheese #cornchipchilipie #hormelchili #yum #easymeals'",0,0,77,3,,,
CIV92pis71T,hormelfoods,2020-12-03 17:01:12.000000,no,False,"b'soup,turkeyrecipes,yum,stew,easymeals'",b'',"b'Super simple, super tasty and ready in under 60 minutes, this Easy Turkey Stew is the one for you. It\xe2\x80\x99s chock full of veggies, too. #soup #turkeyrecipes #yum #stew #easymeals'",0,0,57,4,,,
CIUJPZhHov8,hormelfoods,2020-12-03 00:02:23.000000,yes,False,b'',b'',"b""To make a classic grilled cheese sandwich even better, add a few slices of SPAM:registered: Classic. Now it's extra classic. Enjoy warm and toasty goodness.""",622,23.833,64,2,,,
CII0rhLM1py,hormelfoods,2020-11-28 14:30:54.000000,no,False,"b'breakfast,bacon,tacos,yum'",b'blacklablebacon',"b'Breakfast, but taco style. @blacklablebacon, eggs, refried beans & shredded cheese :taco::taco::taco: Get the recipe at the link in our bio. #breakfast #bacon #tacos #yum'",0,0,68,1,,,
CIEsAQMsAkf,hormelfoods,2020-11-26 23:58:08.000000,no,False,b'',b'',"b'Sometimes, especially when we construct a sandwich entirely of leftovers, we start to think the leftovers may be the best part. Get the recipe for The Waffled Gobbler & more turkey sandwiches at the link in our bio.'",0,0,58,3,,,
CID9blHjAmO,hormelfoods,2020-11-26 17:11:32.000000,yes,False,b'macysparade',b'jennieo',"b'@jennieo has been a huge part of Thanksgiving for over 80 years, and what says Thanksgiving bigger and more boldly than the #MacysParade? Take a look behind the scenes as the Turkey Day Spectacular float is taken from concept to the streets of NYC: https://www.hormelfoods.com/inspired/story/we-love-a-parade/'",458,218.038,59,3,,,
CIB5uwanoSn,hormelfoods,2020-11-25 22:00:59.000000,yes,False,b'',"b'columbuscraftmeats,thesalamisamurai'","b'Known to many as The Salami Guy, Evan Inada has been the charcuterie director for @columbuscraftmeats for many years. Evan is dedicated to making charcuterie fun for all through his media, innovation and creative work around building the perfect charcuterie bite to highlight every salami experience. Follow his adventures at @thesalamisamurai'",402,485.708,59,3,,,
CIBXdZsFXox,hormelfoods,2020-11-25 17:03:10.000000,yes,False,b'',"b'chef_ljm,jennieo'","b'@chef_ljm shows us how to make an entire Thanksgiving dinner, including a @jennieo turkey breast prepared in the air fryer. He holds a degree in culinary arts from Le Cordon Bleu and has traveled the world, extending his knowledge and expertise of international cuisine, ranging from Latin American to Peruvian, as well as American and French fine dining.'",278,1019.884,44,1,,,
CIBIeRzlmCu,hormelfoods,2020-11-25 14:49:54.000000,no,False,"b'repost,jennieo'","b'grilledcheesesocial,jennieo,jennieo'","b'#Repost @grilledcheesesocial \n\xe3\x83\xbb\xe3\x83\xbb\xe3\x83\xbb\nIn case you still haven\xe2\x80\x99t decided how you\xe2\x80\x99re going to make your Turkey, i teamed up with @jennieo to bring you this beautiful and easy Buttermilk Brined Turkey Recipe! :raising_hands::turkey::sparkles:I also wrote out the ultimate Turkey Cooking Guide from everything i learned while doing the #jennieo Turkey Hotline takeover! :nerd_face::thumbs_up: So let\xe2\x80\x99s make the Turkey on my stories now \xe2\x80\x94 you can find the links there and in my profile! :smiling_face_with_3_hearts::two_hearts:\n\nButtermilk Brined Turkey \n \n1 (12 to 18-pound) @jennieo Fresh Whole Turkey\n1 gallon buttermilk\n\xc2\xbd cup hot sauce\n\xc2\xbd cup salted butter, room temperature\n2 tablespoons favorite seasoning, such as a Creole blend\nOnion, lemon, orange, garlic, thyme, rosemary and sage, if desired\n \nRemove neck and giblets from turkey cavity and set aside. These may be used to prepare gravy or stuffing. The plastic leg clamp should be left on during cooking.\n \nIn large brining bag or stockpot, combine buttermilk and hot sauce; add turkey, breast side down Cover and refrigerate 24 hours.\n \nAfter 24 hours, remove turkey from brine and wipe most of the brine off, leaving a thin coat. Place turkey on rack in shallow pan, breast side up. \n \nHeat oven to 325\xc2\xb0F. Spread butter all over turkey. Sprinkle with seasoning blend.  Fill turkey cavity with onion, lemon, orange, garlic, thyme, rosemary and sage, if desired. Loosely cover turkey with foil. Roast 1 hour. Remove foil. Roast 3\xc2\xbc to 3\xc2\xbe hours or until timer pops up and turkey is fully-cooked, 180\xc2\xb0F as measured by a meat thermometer inserted into the thickest part of the thigh. ALWAYS confirm doneness with a meat thermometer. Juices should run clear. Let turkey stand 20 minutes before carving.'",0,0,63,1,,,
CH_aFV8MKV5,hormelfoods,2020-11-24 22:45:20.000000,no,False,b'',b'',"b'Join us live on YouTube tonight for the World\xe2\x80\x99s Largest Virtual Friendsgiving Hormel Foods Edition featuring Boyz II Men, Taylor Dayne, Joey Fatone, Carson Kressley, Kevin ""KevOnStage"" Fredericks, Karen Huger, Mia Mastroianni, Paul Zahn and more!\nMake memories with friends and family near and far while enjoying celebrity guest appearances, musical performances, and helpful holiday cooking and entertaining tips. Get the link in our bio.'",0,0,111,2,,,
