shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYb0h9ltg9,hp,2020-12-04 16:01:34.000000,yes,False,b'',b'',b'Gifts under the tree and crafts inside the printer...it\xe2\x80\x99s a Christmas miracle. Visit the link in bio to download and print hundreds of free holiday crafts and cards.',4343,16.0,803,25,,,
CHbH_oTDW7u,hp,2020-11-10 20:35:07.000000,yes,False,b'',b'',"b'See the future through the eyes of real life changemakers Tiana Day, Jacqueline Azah, Fionn Ferreira and Kavya Kopparapu. Whether you want to reform education, clean up the ocean, reverse climate change or become the next leader of your country, your aspirations have no limits. HP\xe2\x80\x99s new powerful PCs won\xe2\x80\x99t hold you back, so you can focus on every dream in the making. [link in bio]'",6976,75.093,751,80,,,
CHay4IIDcuk,hp,2020-11-10 17:31:15.000000,yes,False,b'',b'unwomen',"b'""When you create an opportunity for women, you actually unleash a force for good."" Phumzile Mlambo-Ngcuka, Executive Director, @unwomen. Watch this video to learn how HP LIFE teams up with UN Women to provide free skills-training in Mexico.'",4619,128.986,638,16,,,
CCBlHNBDOGt,hp,2020-06-29 15:52:06.000000,yes,False,b'',b'',"b""The earliest days of the pandemic were a blur, but one thing was clear: There wasn't enough protective equipment to go around. How a virtual partnership between a cardiologist and an engineer unfolded in real-time, bringing 3D-printed face shields to the healthcare workers on the front lines who needed them most. [Watch their incredible story at the link in bio :clapper_board:]""",11259,16.843,1940,772,,,
CByDQ8cjGFn,hp,2020-06-23 15:07:25.000000,no,False,b'windowsofhope',"b'zbyhp,trochut,mexifunk'",b'These inspirational posters for our #WindowsOfHope initiative were designed by @zbyhp ambassadors @trochut and @mexifunk. \xe2\x80\x9cStay Strong Be Kind\xe2\x80\x9d by Alex Trochut and \xe2\x80\x9cBlossoming Hope\xe2\x80\x9d by Orlando Arocena are available to print and download for free at the link in bio.',0,0,2402,161,,,
CBveBY6jbkW,hp,2020-06-22 15:03:58.000000,yes,False,b'',b'',b'See how a printed adventure takes you soaring to new heights and brings learning to life. Learn more at the link in bio.',9415,15.043,1440,102,,,
CBlEplADIQS,hp,2020-06-18 14:09:31.000000,yes,False,b'fathersday',"b'thimblepress,bykellymalka,mewmaggieward'","b""Dads, fathers, pops \xe2\x80\x93 we've got free #FathersDay cards for all of them. Print yours at hp.com/fathersday with designs from @thimblepress, @bykellymalka, @mewmaggieward and more! Plus printable envelopes too.""",7664,15.999,1318,71,,,
CBig9FolpmD,hp,2020-06-17 14:19:06.000000,yes,False,"b'distancelearning,elearning,educators,virtuallearning,virtualteaching,teacher'",b'',"b'From virtual poetry slams to virtual hugs, how one middle school teacher is rising to the challenge of distance learning :red_apple:. [Watch her story in the link in bio :clapper_board:] #distancelearning #elearning #educators #virtuallearning #virtualteaching #teacher'",10483,15.009,1245,55,,,
CBeIGe7jOCm,hp,2020-06-15 21:24:52.000000,no,False,b'printplayandlearn',"b'thedadlab,cara_florance,figmentcreative'","b'Board games, paper x-rays, science experiments and more! :game_die::bone::test_tube:\nExplore tons of new activities to print from home this summer at hp.com/printandlearn and comment below which one you are most excited to print out with your family! Then show us your projects by tagging us and using the hashtag #PrintPlayandLearn\nActivities above by: @thedadlab, @cara_florance, & @figmentcreative'",0,0,2641,53,,,
CBdjFO3KD12,hp,2020-06-15 16:01:23.000000,no,False,b'',b'',b'Introducing the all-new HP ENVY 6000 series. Thoughtfully designed to make printing effortless for the whole family. Click the link in bio to learn more.',0,0,5943,146,,,
