shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIWQNrhDPj8,hpe,2020-12-03 19:41:36.000000,no,False,b'idpd2020',"b'warriors,spursofficial'","b""Technology helps our partners @warriors and @spursofficial create experiences that are unforgettable and accessible to all. We're proud to help them in this commitment. #IDPD2020\n\xe2\x80\xa2\xc2\xa0 \xe2\x80\x9cChase Center and the Golden State Warriors are committed to understanding the needs of our guests and team members in order to create an inclusive and welcoming environment for all,\xe2\x80\x9d says Darcy Pease, Golden State\xe2\x80\x99s Manager of ADA & Guest Experiences.\n\xe2\x80\xa2\xc2\xa0 \xe2\x80\x9cThe design stage of our new home involved fans with a range of disabilities,\xe2\x80\x9d says SpursAbility Chair Jo McNicol, \xe2\x80\x9cand the result is an inclusive matchday experience in a stadium with facilities that everyone can enjoy.\xe2\x80\x9d""",0,0,595,3,,,
CIT8I-eDCjj,hpe,2020-12-02 22:10:58.000000,yes,False,b'biodiversity',b'lifeatpurdue',"b'On a mission to record the planet, Purdue University professor Bryan Pijanowski is preserving beautiful places for future generations. :globe_showing_Americas:  From paleotropical rainforests to barren deserts, his team has ventured into the wild to collect audio data from 80% of the earth\xe2\x80\x99s major ecosystems. They\xe2\x80\x99re working with HPE to store 4 million files from 600 places around the world that the team will study for signs of global change, leading to crucial #biodiversity insights that help sustain the planet. Visit the link in our bio to read the full story \xe2\x80\x93 and see what Dr. Pijanowski has found so far. @lifeatpurdue'",1222,48.761,202,3,,,
CIBLaS6rguz,hpe,2020-11-25 15:15:34.000000,no,False,"b'gobblegobble,happythanksgiving'","b'disney,spursofficial,venturiracing,warriors'","b'No matter where you are this holiday season, have a seat at our table. Our partners shared their favorite recipes for this holiday season. #GobbleGobble #HappyThanksgiving \n@disney  @spursofficial  @venturiracing  @warriors'",0,0,192,3,,,
CH87N2WDcZg,hpe,2020-11-23 23:38:25.000000,yes,False,"b'smartcity,elementpodcast'",b'bernard.marr',"b'The \xe2\x80\x9cdeath of cities\xe2\x80\x9d predictions are premature. In fact, technology is helping cities from London to L.A. adapt to new priorities like sanitation and contact tracing. Tap the link in our bio to hear #smartcity predictions from actual experts \xe2\x80\x94 @bernard.marr, Yanick Pouffary and Lorenzo Gonzales \xe2\x80\x94\xc2\xa0only on the #ElementPodcast:studio_microphone:'",945,37.283,113,0,,,
CHqWGRZD3Rz,hpe,2020-11-16 18:26:39.000000,yes,False,"b'exascale,hpc,elementpodcast'",b'bernard.marr',"b'An exponential increase in supercomputing power is right around the corner. To hear predictions about what will be possible in the #Exascale era of #HPC from @bernard.marr and other experts, tap the link in our bio and tune in to the #ElementPodcast:studio_microphone:.'",965,34.95,99,0,,,
CHE6Q1_jC_V,hpe,2020-11-02 13:00:02.000000,yes,False,b'',b'',"b'We\xe2\x80\x99re joining team members, customers and partners in celebrating 5 years of advancing the way people live and work. So, who wants the first byte of birthday cake?\xc2\xa0:birthday_cake:'",2215,14.333,368,15,,,
CGnOMMHjHqc,hpe,2020-10-21 16:48:13.000000,no,False,"b'family,wearehpe'",b'',"b'Employees at HPE\xe2\x80\x99s Technology Renewal Centre in Erskine, Scotland say the facility is welcoming and colleagues are always willing to help one another. In some cases, work is a true #family affair \xe2\x80\x93 the center counts many sets of relatives among its employees, including Operations Manager Jackie and his son Jack, Production Manager Ian and his son Tomas, and Peter and his grandson Robert. #WeAreHPE'",0,0,488,2,,,
CGVAoq6jSxH,hpe,2020-10-14 15:03:26.000000,no,False,b'hispanicheritagemonth',"b'disney,waltdisneyimagineering,waltdisneyworld'","b'How does prioritizing innovation and inclusion help our partner @Disney create unforgettable experiences for families from around the world? #HispanicHeritageMonth\n\n\xe2\x80\xa2 \xe2\x80\x9cWe live for the moment that our diverse multi-generational guests can enter an immersive world and each generation can be overtaken by the magic that Walt Disney Imagineering creates,\xe2\x80\x9d says Alfredo Ayala, Executive Research & Development Imagineer, @waltdisneyimagineering.\n\xe2\x80\xa2\xc2\xa0ESPN Wide World of Sports @waltdisneyworld\xc2\xa0GM Jose Mola\xe2\x80\x99s multicultural upbringing helps him solve problems: \xe2\x80\x9cThis openness to other vantage points has been a great benefit for me as a leader.\xe2\x80\x9d'",0,0,338,1,,,
CF2JyVCj5MM,hpe,2020-10-02 15:26:57.000000,no,False,b'wearehpe',b'',"b'This hurricane season, it feels especially important\xc2\xa0to be pup-pared. :dog_face: That\xe2\x80\x99s why HPE\xc2\xa0employees working from home in hurricane-prone\xc2\xa0areas like Puerto Rico are happy to have our\xc2\xa0emergency kits with the essentials. This one\xc2\xa0found its way to Brownie, HPE Procurement Operation Analyst\xc2\xa0Abimael Lopez\xe2\x80\x99s Labrador retriever, during\xc2\xa0Hurricane Laura.\n\xc2\xa0\nThe HPE Aguadilla team is safe \xe2\x80\x93 Brownie included \xe2\x80\x93\xc2\xa0and we\xe2\x80\x99re inspired by their\xc2\xa0pawsitivity. :paw_prints: :winking_face: \xc2\xa0#WeAreHPE'",0,0,815,15,,,
CFfH1TeDxrH,hpe,2020-09-23 16:47:20.000000,no,False,b'hispanicheritagemonth',"b'redbullracing,institutoayrtonsenna'","b'\xe2\x80\x9cI come from a Portuguese and Brazilian background, and there is nothing I\'m more proud of. I love our culture, and I especially admire the ability that our people have of being grateful \xe2\x80\x94 even through tough times.""\n\nSergio Sette C\xc3\xa2mara, Test & Reserve Driver with our partner @redbullracing, hopes to give back to his home country by supporting Brazilian motorsports throughout his career. He\'s proud to be an ambassador with @institutoayrtonsenna, serving\xc2\xa0as a role model to younger generations. :Portugal::Brazil:\n\n#HispanicHeritageMonth'",0,0,295,2,,,
