shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIY-AdVAYSN,huggies,2020-12-04 21:00:18.000000,yes,False,b'upearlytonight',b'scarymommy',"b'Surprise! Huggies:registered: and @scarymommy have created a late-night talk show series for moms, by moms. \xe2\x80\x9cUp Early Tonight\xe2\x80\x9d premieres 12/17 on Hulu. :popcorn:\n\nWant to see more? Trailer coming soon! \n\n \n\n#UpEarlyTonight'",1007,6.866,63,8,,,
CIBj5ianHvx,huggies,2020-11-25 18:49:41.000000,no,False,"b'helpinghugs,helpinghugs,diaperbank,diaperneed,diaperneedawareness'","b'diapernetwork,westsidebabysea'","b'Huggies:registered: is truly thankful for our founding partnership with @diapernetwork and the 200+ member diaper banks that help support families in need across the US. Each of the member diaper banks are an important part of the communities they serve.\n \n@westsidebabysea has been providing essentials for families in need in the Seattle, WA area since 2001, and they are a member of The National Diaper Bank Network. So far this year, the WestSide Baby team has distributed 2 million+ diapers to their community.  With #HelpingHugs, they help to support ensuring every child has the basic essentials to thrive. \n\nThank you WestSide Baby team and all of the NDBN member diaper banks for your dedication, passion and service to your community. Huggies:registered: is proud to support you. :red_heart_selector:\n.\n#HelpingHugs #diaperbank #diaperneed #diaperneedawareness'",0,0,268,13,,,
CH0RqaznfJ6,huggies,2020-11-20 15:00:13.000000,no,False,b'',b'',b'Anyone else? :grinning_squinting_face: \n.\nVia: motivation__for__mom',0,0,327,33,,,
CHxs3gqFhwa,huggies,2020-11-19 15:00:12.000000,no,False,b'',"b'bow_smiles,samreenk'",b'Thanks for sharing some of your Fall family moments with us. :maple_leaf: What outdoor activity has your Little Mover enjoyed? \n.\n:camera_with_flash: :\n@bow_smiles \n@samreenk \njenaay_sais_quoi',0,0,120,7,,,
CHsceqzj94l,huggies,2020-11-17 14:00:53.000000,yes,False,"b'helpinghugs,worldprematurityday,prematurityawareness'","b'handtohold,handtohold'","b'There\xe2\x80\x99s nothing like holding your NICU baby for the first time. Did you know that 400,000 babies are born preterm each year (prior to 37 weeks gestation)? Moms and Dads of premature babies are more likely to develop short term and long term mental health challenges as a result. Huggies:registered: proudly sponsors @handtohold to make virtual support services free for all NICU families who need it. Hand to Hold is a nonprofit 501(c)3 that provides powerful resources and support to families before, during and after a NICU stay. :baby::red_heart_selector:\n.\n#HelpingHugs #WorldPrematurityDay #prematurityawareness\n.\nFor more details on @handtohold, click our link in bio.'",1860,30.033,155,5,,,
CHiW9uajBNm,huggies,2020-11-13 16:00:13.000000,no,False,"b'relatable,dadjokes,dadhumor,newdad,parentmemes,parentinghumor,naptime'",b'thedad',b'A Friday Funny from our friends @thedad :raising_hands: \n.\n#Relatable #DadJokes #DadHumor #NewDad #ParentMemes #ParentingHumor #NapTime',0,0,195,11,,,
CHdwdPIpeLB,huggies,2020-11-11 21:06:45.000000,no,False,b'',b'',,0,0,142,35,,,
CG-us5DJTrn,huggies,2020-10-30 19:54:58.000000,no,False,b'',"b'_mtm93,jaden_thejedi,luisemiliano_'",b'What a treat :candy: to receive so many fun Fall photos from our Huggies:registered: fans! Here are just a few to enjoy. Have a safe and Spooktacular :ghost: weekend!\n.\nPC :camera_with_flash:: \n@_mtm93\n@jaden_thejedi\n@luisemiliano_\nFB: Angela Geraci Guira',0,0,226,33,,,
CG5yhUBp20H,huggies,2020-10-28 21:52:09.000000,no,False,"b'huggon,fallvibes,halloweenbaby,pumpkinpatchphotoshoot,fall,cutebaby'",b'kristina_piccione',"b'We know that our Fall :jack-o-lantern: festivities look a little different this year, however, this Little Mover reminds us that we can still have a FALL-TASTIC :maple_leaf: time! Tag #HuggOn in your Fall Fun for a chance to be featured on Huggies social. \n.\n:camera_with_flash: : @kristina_piccione\n.\n#fallvibes #halloweenbaby #pumpkinpatchphotoshoot #fall #cutebaby'",0,0,209,5,,,
CG5yhUBp20H,huggies,2020-10-28 21:52:09.000000,no,False,"b'huggon,fallvibes,halloweenbaby,pumpkinpatchphotoshoot,fall,cutebaby'",b'kristina_piccione',"b'We know that our Fall :jack-o-lantern: festivities look a little different this year, however, this Little Mover reminds us that we can still have a FALL-TASTIC :maple_leaf: time! Tag #HuggOn in your Fall Fun for a chance to be featured on Huggies social. \n.\n:camera_with_flash: : @kristina_piccione\n.\n#fallvibes #halloweenbaby #pumpkinpatchphotoshoot #fall #cutebaby'",0,0,209,5,,,
