shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIQ5xPalf7E,humana,2020-12-01 17:49:20.000000,yes,False,"b'covid19,humanahasmecovered'",b'',"b'As winter approaches, it\xe2\x80\x99s important to wear your mask when you leave home to slow the spread of #COVID19. \n\nIf you have a Humana mask, we want to see you wearing it! For each picture shared with #HumanaHasMeCovered, we\xe2\x80\x99ll donate 10 masks to Feeding America\xe2\x80\x94up to 10,000 in all\xe2\x80\x94to help keep people safe through the holidays and beyond. Working hard to protect your health, and the community\xe2\x80\x99s health. That\xe2\x80\x99s human care. \n\nBy sending a photo you are giving permission for Humana to use your image.'",163257,9.0,758,29,,,
CG8T4g9r0R3,humana,2020-10-29 21:22:00.000000,no,False,"b'covid19,humancare'",b'',"b'One thing no one should have to stress about is being able to get a\xe2\x80\xaf#COVID19\xe2\x80\xaftest.\xe2\x80\x8b \n\nThat\xe2\x80\x99s where #HumanCare comes in. Not only is testing available with a primary care physician, but Humana also offers at-home test kits through LabCorp:registered: or drive-thru testing at Walmart Neighborhood Market pharmacy windows.'",0,0,559,11,,,
CG8T0nWlRYB,humana,2020-10-29 21:21:28.000000,yes,False,b'',b'',"b'Human Care goes beyond your physical health\n\nHuman Care at Humana looks at every facet of your life and works with you to create a plan that fits your needs. For Joanne, that meant not only physically recovering from a stroke, but staying connected with her friends and keep her mind sharp, too.'",493,153.681,55,1,,,
CG8TpbBF-2O,humana,2020-10-29 21:20:08.000000,yes,False,b'humancare',b'',"b""Making it easier to safely see your doctor. That's what we call #HumanCare""",156556,30.033,1841,19,,,
CG8TNIklFYY,humana,2020-10-29 21:16:05.000000,no,False,"b'maskup,flushot,sleevesup,fightflu'",b'',"b'This year, getting your flu shot is more important than ever. That\xe2\x80\x99s because we\xe2\x80\x99re battling COVID-19 and the flu at the same time, and a spike in flu cases could overwhelm doctors and hospitals. Swipe right to see how you can protect yourself and those you love from both COVID-19 and the flu.\n#maskup #flushot #sleevesup #fightflu'",0,0,560,23,,,
CG8TBCdLCWZ,humana,2020-10-29 21:14:26.000000,no,False,b'thatshumancare',b'',b'Healthcare that helps keep people safe and comfortable. Now #ThatsHumanCare.',0,0,932,35,,,
CG8SN21lS4B,humana,2020-10-29 21:07:27.000000,yes,False,b'',b'',"b'Human Care is healthcare with variety\n\nAlways on the go, retirement wasn\xe2\x80\x99t easy for Georgette. Humana helped her find a doctor who listens, and her local Humana neighborhood center provides the activity she needs to keep going and going.'",336,131.009,44,2,,,
CG8SB0HFVjr,humana,2020-10-29 21:05:48.000000,no,False,b'',b'',"b'Breast Cancer Awareness Month may be coming to an end, but breast health matters year-round. Check out the National Breast Cancer Foundation website to learn the risk factors, early warning signs and how to reduce your risk.'",0,0,73,1,,,
CG8NM28LI3t,humana,2020-10-29 20:23:47.000000,yes,False,b'',b'',b'Your health is everyone\xe2\x80\x99s health. \nHelp prevent the spread of coronavirus.',149546,15.033,4315,44,,,
CG8M5x6lQhG,humana,2020-10-29 20:21:01.000000,yes,False,b'',b'',"b'\xe2\x80\x9cThey treat me like a human being\xe2\x80\x9d\n\nWhen Van\xe2\x80\x99s knees forced him to stop working as a truck driver, he cried. Humana listened to him, worked with him and helped him get back on the road, in a very different way.\xe2\x80\x8b'",926,141.678,139,0,,,
