shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIXa9Q-B0rX,hyundaimobisin,2020-12-04 06:34:43.000000,no,False,"b'hyundaigenuineaccessories,hyundaimobisin'",b'',b'Thanks to all our heroes for their dedication and services to our nation and wishing them all a very Happy India Navy Day!\n\n#HyundaiGenuineAccessories \n#HyundaiMobisIN',0,0,41,0,,,
CIUuuSOhIjA,hyundaimobisin,2020-12-03 05:29:56.000000,yes,False,"b'allnewi20,i20accessories,hyundaigenuineaccessories,hyundaimobisin'",b'',b'Choose from a wide range of Hyundai Genuine Seat Covers for a next-level driving experience. \n\n#Allnewi20 \n#i20Accessories \n#HyundaiGenuineAccessories \n#HyundaiMobisIN',376,30.0,23,0,,,
CINQSbKhl5Q,hyundaimobisin,2020-11-30 07:49:05.000000,no,False,"b'hyundaigenuineaccessories,hyundaimobisin'",b'',"b'May Guru Nanak Dev Ji inspire you to achieve all your goals, bless you, with peace and bestow you with eternal joy and happiness.\nHappy Gurpurab! \n\n#HyundaiGenuineAccessories\n#HyundaiMobisIN'",0,0,83,0,,,
CILQgx2BlSD,hyundaimobisin,2020-11-29 13:12:33.000000,no,False,"b'hyundaigenuineaccessories,hyundaimobisin,hyundaii20'",b'',b'Rediscover the spirit of driving like never before with Radiant Pack Accessories Kit in your all-new i20\n\n #HyundaiGenuineAccessories\n#HyundaiMobisIN\n#Hyundaii20',0,0,100,4,,,
CIFfWqrhQ1_,hyundaimobisin,2020-11-27 07:26:48.000000,no,False,"b'hyundaigenuineaccessories,hyundaimobisin,hyundaii20'",b'',b'Unlock new journeys and embrace the open roads in your all-new i20 with Essentio Pack Accessories Kit. \n\n#HyundaiGenuineAccessories\n#HyundaiMobisIN\n#Hyundaii20',0,0,72,0,,,
CIAPD-6hu2b,hyundaimobisin,2020-11-25 06:28:14.000000,no,False,"b'hyundaigenuineaccessories,hyundaimobisin,hyundaii20'",b'',b'Witness the exceptional in your all-new i20 with Premium Pack Accessories kit. \n\n#HyundaiGenuineAccessories\n#HyundaiMobisIN\n#Hyundaii20',0,0,101,0,,,
CH93_VDhlwS,hyundaimobisin,2020-11-24 08:55:43.000000,yes,False,"b'hyundaicreta,hyundaicretaaccessories,hyundaigenuineaccessories,hyundaimobisin'",b'',b'Accentuate your all-new Creta with bold and extravagant Hyundai Genuine Accessories curated for your optimum driving experience. \n\n#HyundaiCreta\n#HyundaiCretaAccessories\n#HyundaiGenuineAccessories\n#HyundaiMobisIN',241,254.539,25,0,,,
CH7bwBUhK8-,hyundaimobisin,2020-11-23 09:42:54.000000,no,False,"b'hyundaicreta,hyundaicretaaccessories,hyundaigenuineaccessories,hyundaimobisin'",b'',b'Luxury arrives in style. Experience the amazing Off Road Platinum Plus Pack with the all-new Creta. \n\n#HyundaiCreta\n#HyundaiCretaAccessories\n#HyundaiGenuineAccessories\n#HyundaiMobisIN',0,0,91,0,,,
CH2Bqj0hutO,hyundaimobisin,2020-11-21 07:18:46.000000,no,False,"b'hyundaicreta,hyundaicretaaccessories,hyundaigenuineaccessories,hyundaimobisin'",b'',b'Stepping out for a weekend getaway? Make sure you have all the comfort and ease with Convenience Gold Pack Accessories Kit for your all-new Creta. \n\n#HyundaiCreta\n#HyundaiCretaAccessories\n#HyundaiGenuineAccessories\n#HyundaiMobisIN',0,0,125,0,,,
CHw5HGah2t0,hyundaimobisin,2020-11-19 07:27:59.000000,yes,False,"b'internationalmensday,hyundaicreta,hyundaicretaaccessories,hyundaigenuineaccessories,hyundaimobisin'",b'',"b""This #InternationalMensDay, let's appreciate all the men in our lives who have always stood strong.\n\n#HyundaiCreta\n#HyundaiCretaAccessories\n#HyundaiGenuineAccessories\n#HyundaiMobisIN""",257,17.7,27,0,,,
CHuQqZgBdzS,hyundaimobisin,2020-11-18 06:55:54.000000,no,False,"b'hyundaicreta,hyundaicretaaccessories,hyundaigenuineaccessories,hyundaimobisin'",b'',b'Venture out and unfasten new journeys with Classy Platinum Pack accessories for your all-new Creta. \n\n#HyundaiCreta\n#HyundaiCretaAccessories\n#HyundaiGenuineAccessories\n#HyundaiMobisIN',0,0,216,0,,,
CHpPY6Bhl9h,hyundaimobisin,2020-11-16 08:08:34.000000,no,False,"b'hyundaicreta,hyundaicretaaccessories,hyundaigenuineaccessories,hyundaimobisin'",b'',b'Celebrate this festive season with the best. Pamper your all-new Creta with this amazing Essentio Silver Pack Accessories collection. \n\n#HyundaiCreta \n#HyundaiCretaAccessories \n#HyundaiGenuineAccessories \n#HyundaiMobisIN',0,0,156,0,,,
CHkeHjqB2m_,hyundaimobisin,2020-11-14 11:41:13.000000,yes,False,"b'hyundaigenuineaccessories,hyundaimobisin,hyundaii20'",b'',b'This Diwali double your celebrations and bloom with joy using the Hyundai Genuine Chrome Accessories Kit.\n\n#HyundaiGenuineAccessories\n#HyundaiMobisIN\n#Hyundaii20',239,13.0,28,2,,,
