shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIVwzMahnDL,ibm,2020-12-03 15:12:06.000000,yes,False,b'beequal',b'',"b'Growing up as a daughter of civil rights activists, Vicky Andrade learned about systemic racism in America at a very young age. Watch the IBMer share her perspective and hear why she remains optimistic about the future. #BeEqual'",4397,290.861,551,14,,,
CITNkQUBWoY,ibm,2020-12-02 15:21:21.000000,yes,False,b'',b'',"b""Leading in innovation means leading with technology. Quantum computing doesn't have to be confusing. We're breaking down common quantum myths. Learn more: https://ibm.co/3qkgcO4""",14831,103.139,1716,20,,,
CIQm1meh9s7,ibm,2020-12-01 15:03:50.000000,no,False,b'',b'',"b'IBM Plex is our global typeface family\xe2\x80\x94distinct and purposeful, it spans over 100 languages with more to come. Download Plex through the link in our bio.'",0,0,3785,41,,,
CH0eB9oBypR,ibm,2020-11-20 16:48:09.000000,no,False,b'ibmquantum',b'',"b'With unmatched industry and scientific expertise, #IBMQuantum can help businesses find solutions to problems once thought impossible to solve. Tap the link in our bio to learn about the benefits of IBM Quantum.'",0,0,4811,126,,,
CHqF2oTBFEA,ibm,2020-11-16 16:05:35.000000,yes,False,b'beequal',b'',"b'Progress can start with a conversation. Listen to Alonzo Weatherby, an Atlanta-based IBMer, speak to the power of racial discussion, empathy and support. #BeEqual'",9127,274.147,671,24,,,
CG7jXQahXJx,ibm,2020-10-29 14:18:02.000000,no,False,b'',b'',"b'Capable of meeting today\xe2\x80\x99s business challenges and tomorrow\xe2\x80\x99s advancements, the AC922 server and its POWER9 chip were designed to tackle the world\xe2\x80\x99s biggest AI challenges. Tap the link in our bio to see how the system delivers unmatched performance, analytics and AI.'",0,0,3517,37,,,
CGprqhIh1dI,ibm,2020-10-22 15:45:32.000000,yes,False,b'',b'',"b'There are a lot of myths and questions about quantum computing. What is it? Do you need to learn a new program language to use it? Kayla Lee, IBM Quantum Product Manager, breaks it down here. Learn more: https://ibm.co/3dMutgD'",23389,99.606,2350,73,,,
CGnIKy7AcAJ,ibm,2020-10-21 16:02:56.000000,yes,False,b'',b'',"b'IBM executive Hope Johnson has been involved in diversity efforts for years, but it was her daughter\xe2\x80\x99s college essay that renewed her commitment to creating a more fair and just society. Listen to her story.'",5336,298.569,710,18,,,
CGU5-edAnvN,ibm,2020-10-14 14:05:24.000000,no,False,b'',b'',"b'As colorful as it is powerful, our IBM Cloud data center in Dallas, Texas is just 1 of over 60 locations that provides performance, control, and scalability for workloads. Tested and trusted, our public cloud is the most open and secure solution for business. Click the link in our profile to learn more.'",0,0,7530,84,,,
CGDjXs-BDNl,ibm,2020-10-07 20:20:38.000000,no,False,b'urgencyofscience',b'',"b'To meet challenges in public health, climate change, food demand, and social equality, we need to begin implementing scientific thinking at all scales. \n\n:backhand_index_pointing_right: Show your support for the #UrgencyOfScience by sharing one of the images above to your Story.'",0,0,2284,25,,,
