shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIRWzrLA3P2,ikeausa,2020-12-01 22:03:00.000000,no,False,b'ikeafourweeksofwonder',"b'cameronreidhamilton,need4lspeed'","b'This year family may be a little harder to see in person, but you can still give them something special. Follow along with @cameronreidhamilton and @need4lspeed this week as they share tips and tricks for gifting. #IKEAfourweeksofwonder'",0,0,2819,172,,,
CIQ75p5AVTK,ikeausa,2020-12-01 18:07:54.000000,no,False,b'',b'',b'Need a fun holiday activity for the kids? Find everything you need to make a gingerbread house and create your own winter wonderland at the link in our bio!',0,0,4340,69,,,
CIO5FbeAxgs,ikeausa,2020-11-30 23:04:48.000000,no,False,b'ikeafourweeksofwonder',b'',b'They found love on \xe2\x80\x9cLove Is Blind\xe2\x80\x9d \xe2\x80\x93 now the Hamiltons are here to help you find a meaningful gift for everyone on your list. #IKEAfourweeksofwonder',0,0,2766,65,,,
CIOlVcjg7M2,ikeausa,2020-11-30 20:12:14.000000,no,False,b'',b'',b'There are easier ways to show the earth some love this holiday season \xe2\x80\x93 like by recycling your gift boxes in a H\xc3\x85LLBAR bin. Celebrate more and waste less when you check out the link in our bio for all our guides to sustainable living.',0,0,1188,23,,,
CILrDTSgwBT,ikeausa,2020-11-29 17:04:28.000000,no,False,b'',b'',"b""This holiday, you can shrink your food waste without shrinking your holiday dinner. You're helping save the planet just by saving your leftovers in IKEA 365+ reusable food containers. Click the link in our bio for more simple ways we can make a difference together in our guides to sustainable living.""",0,0,1592,32,,,
CIJIoZQAyow,ikeausa,2020-11-28 17:25:12.000000,no,False,b'',b'',"b'Do you ever think about what goes into your chair (other than your behind)? This holiday, you can help us turn Black Friday green, just by sitting in ODGER chairs made from renewable wood and recycled plastics. Check out the link in our bio for more guides to sustainable living, so we can help the planet \xe2\x80\x93 and your posture \xe2\x80\x93 at the same time.'",0,0,2180,43,,,
CIGkhKNgPGP,ikeausa,2020-11-27 17:31:10.000000,no,False,b'',b'',"b'Don\xe2\x80\x99t have a human-sized hamster wheel laying around? No sweat. This holiday, make your home brighter and greener by switching to STR\xc3\x85LA LED lights, which use 85% less energy and last 20 times longer than incandescent bulbs. Check out the link in our bio for more energy-saving guides to sustainable living.'",0,0,1672,25,,,
CIEDGCxMpxD,ikeausa,2020-11-26 18:00:39.000000,no,False,b'',b'',"b'Whether spending time with loved ones in person or virtually, we hope your day is stuffed with delicious food and heartwarming moments. Happy Thanksgiving!'",0,0,4818,51,,,
CICG-Vcgo-J,ikeausa,2020-11-25 23:56:59.000000,yes,False,b'',b'',b'Check out these tips for creating your own holiday gingerbread wonderland! Explore the VINTERSAGA collection at the link in bio.',20519,74.06,840,17,,,
CIBh7GugFOv,ikeausa,2020-11-25 18:32:17.000000,no,False,b'',b'',b'First time cooking for the holidays? Find everything you need to make your rookie holiday meal season magical and wonderfully worry-free!',0,0,1886,13,,,
CH84KqagyH4,ikeausa,2020-11-23 23:10:27.000000,no,False,b'ikeafourweeksofwonder',b'stovetopkisses',b'Kitchen sensation @stovetopkisses has mouthwatering menu ideas and tips on creating an epic holiday table. #IKEAfourweeksofwonder',0,0,1219,49,,,
CH8Ojhgg8KU,ikeausa,2020-11-23 17:06:51.000000,no,False,b'',b'',"b'Create an enchanting seasonal scene with shiny, new, budget-friendly dishes and silverware.'",0,0,28856,189,,,
CH1CDEzAaCw,ikeausa,2020-11-20 22:02:52.000000,no,False,b'ikeafourweeksofwonder',b'macennalee',"b'Need help decorating your home for the holidays? Check out how @macennalee used holiday d\xc3\xa9cor, family keepsakes, and some Scandinavian touches to create a cozy seating area. #IKEAfourweeksofwonder'",0,0,8524,72,,,
CHyeS73AIZk,ikeausa,2020-11-19 22:11:59.000000,no,False,b'ikeafourweeksofwonder',b'',"b'Need help transforming your space into a holiday wonderland? Home design guru XO, MaCenna wants to help you deck your halls! #IKEAfourweeksofwonder'",0,0,2560,64,,,
CHyIpYog5Xw,ikeausa,2020-11-19 19:02:49.000000,no,False,b'',b'',"b'Virtually or in person, create magical moments and heartwarming memories at your holiday dinner table this holiday season.'",0,0,7718,31,,,
CHv7mAtMdjj,ikeausa,2020-11-18 22:30:19.000000,no,False,b'',b'',b'Create a delectable holiday scene and a special place for everyone at the table.',0,0,10015,47,,,
CHtTaGUpkuC,ikeausa,2020-11-17 22:00:41.000000,no,False,b'',b'',"b'Find affordable pots, pans, bakeware and cooking essentials to make mouthwatering holiday moments.'",0,0,2768,27,,,
CHqTH5eAMl2,ikeausa,2020-11-16 18:00:28.000000,no,False,b'ikeafourweeksofwonder',b'',"b'Get ready to celebrate new and old holiday traditions with #IKEAfourweeksofwonder! Over the next few weeks, four of our fave influencers will share expert tips so you can create magical holiday moments at home. Stay tuned!'",0,0,3570,75,,,
CHlIqhTAZgA,ikeausa,2020-11-14 17:52:50.000000,no,False,b'',b'',"b""Get ready for the season of good eats with affordable cooking and dining basics, from tables and chairs to bakeware to dishes, no matter how you're celebrating this year.""",0,0,3750,33,,,
CHgbb0blY4f,ikeausa,2020-11-12 22:05:45.000000,yes,False,b'',b'',"b'This holiday will be a little, well... different. We\xe2\x80\x99ve got your back, and we\xe2\x80\x99ve got all the things that help make \xe2\x80\x9cdifferent\xe2\x80\x9d better \xe2\x80\x93 for you, and the planet.'",42060,14.966,1901,81,,,
