shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYHTa3AdQy,infosys,2020-12-04 13:02:33.000000,yes,False,"b'idpwdwithinfosys,idpwd2020,idpwd'",b'',"b'Imagine a world where we truly recognise everyone\xe2\x80\x99s uniqueness. International Day of People with Disability is a good time to reflect on our journeys in nurturing a world where no one\xe2\x80\x99s left behind.  Learn more about Infosys\xe2\x80\x99 commitment to building back better toward a disability-inclusive, accessible and sustainable world. \n#IDPWDwithInfosys #IDPWD2020 #IDPWD'",2937,39.066,413,2,,,
CIVMZE7gAvO,infosys,2020-12-03 09:49:11.000000,yes,False,"b'esgvision2030,equalopportunities,forwardwithinfosys'",b'',b'Equality: because dreams should not be held back by circumstances. Read our #ESGVision2030 for more on our commitment to helping communities find #equalopportunities. #ForwardWithInfosys',3657,32.1,471,1,,,
CINp2QWAO03,infosys,2020-11-30 11:32:25.000000,no,False,"b'infosysinstep,internship'",b'',b'#InfosysInStep has been graded Vault\xe2\x80\x99s top #internship for women\xe2\x80\x99s diversity in 2021. It is in inclusivity that we can find the most talent.',0,0,907,2,,,
CH-NlRlgTfg,infosys,2020-11-24 11:36:50.000000,no,False,"b'newnormal,myxfactor,lifeatinfy'",b'',"b'""In the #newnormal, a lot of things changed, but not my belief that it\'s possible to experience and stay connected with nature despite being indoors. Thus came the idea of setting up a home fountain in my balcony. I purchased all the basics from the nearby stores like cement, paint, thermocol, water pump and started the activity. For me, it was a therapeutic experience and I\'ve realized that how pursuing something one loves offers a gateway to a more peaceful and happy place. This miniature fountain makes a perfect addition to my balcony where the sound of the water brings serenity and peace."" Khusboo shares her experience on pursuing her Xfactor and explains how she found serenity in the very sounds of water. Check out our stories to see the fountain in action.:backhand_index_pointing_up:\n\n #MyXfactor #LifeAtInfy'",0,0,3107,8,,,
CH5sob-g6io,infosys,2020-11-22 17:31:56.000000,no,False,"b'moreatpwithinfosys,nittoatpfinals,atptour,flashback50'",b'',"b'From speed serves to close calls to video reviews, it\xe2\x80\x99s been #MoreATPWithInfosys on court at the 50th anniversary edition of the #NittoATPFinals. #ATPTour #Flashback50'",0,0,1727,3,,,
CH4PY41Ae46,infosys,2020-11-22 03:57:10.000000,no,False,"b'nittoatpfinals,flashback50,moreatpwithinfosys'",b'',"b'Behind 50 years of the #NittoATPFinals is a journey of constant reinvention. And technology has helped change the game, era after era. #Flashback50 #MoreATPWithInfosys'",0,0,615,0,,,
CH2vxnjgZT0,infosys,2020-11-21 14:02:52.000000,yes,False,"b'moreatpwithinfosys,atptour,nittoatpfinals,flashback50'",b'',"b'The reinvention continues. Infosys will partner with ATP through 2023 to bring data, insights and digital experiences for players, media and fans across the world. #MoreATPWithInfosys #ATPTour #NittoATPFinals #Flashback50'",2576,56.233,301,1,,,
CH13aofAvtm,infosys,2020-11-21 05:49:13.000000,no,False,"b'moreatpwithinfosys,nittoatpfinals,flashback50'",b'',"b'See #MoreATPWithInfosys at the #NittoATPFinals. As Digital Innovation Partner for the ATP Tour, Infosys is helping a digital sport take the spotlight in London. #Flashback50'",0,0,774,1,,,
CHzK3i7gWG1,infosys,2020-11-20 04:41:28.000000,no,False,"b'flashback50,nittoatpfinals,moreatpwithinfosys'",b'',b'50 Years. All the game-changers! Presenting #Flashback50 at the #NittoATPFinals. This new data-driven web experience helps fans celebrate and uncover five decades of champions using data. #MoreATPWithInfosys',0,0,716,3,,,
CHxn6hcA0Tm,infosys,2020-11-19 14:16:57.000000,yes,False,"b'nittoatpfinals,flashback50,moreatpwithinfosys'",b'',b'Computerizing stats in the 1990s. Digitizing it with big data in the 2010s. The evolution is the Serve and Return Tracker. #NittoATPFinals #Flashback50 #MoreATPWithInfosys',3106,10.0,391,0,,,
CHxVYH_gPh4,infosys,2020-11-19 11:35:07.000000,yes,False,"b'friendship,infymysore,lifeatinfy,mysorememories'",b'ayush_48mp',"b""Unfamiliar faces on Day 1 of training became, by the end, the friends you made many memorable memories with. What's your favourite #friendship memory at #InfyMysore? #LifeAtInfy #MysoreMemories\n\nThanks @ayush_48mp for sharing pics.""",4012,44.033,745,27,,,
CHwoASrgMAi,infosys,2020-11-19 04:58:48.000000,yes,False,"b'nittoatpfinals,flashback50,moreatpwithinfosys'",b'',"b'Over 50 years, making it to the #NittoATPFinals hasn\xe2\x80\x99t gotten easier for athletes. What has is managing life on tour with the PlayerZone app. See the #Flashback50 journey. #MoreATPWithInfosys'",3044,10.0,378,0,,,
CHvBUC4AybD,infosys,2020-11-18 14:01:48.000000,yes,False,"b'flashback50,nittoatpfinals,moreatpwithinfosys'",b'',b'It\xe2\x80\x99s time for the #Flashback50 experience! Journey through 50 years of #NittoATPFinals with all the data and all the legends. #MoreATPWithInfosys',2787,37.066,355,10,,,
CHt72bcg5-K,infosys,2020-11-18 03:54:10.000000,yes,False,"b'nittoatpfinals,flashback50,moreatpwithinfosys'",b'',"b'The Second Screen is live at the 50th anniversary of the #NittoATPFinals. From TV replays decades ago, we\xe2\x80\x99ve come a long way with real-time insights. #Flashback50 #MoreATPWithInfosys'",3135,10.1,427,0,,,
CHsp_XDglPJ,infosys,2020-11-17 15:58:51.000000,yes,False,"b'flashback50,moreatpwithinfosys,nittoatpfinals'",b'',b'1973: The ATP Rankings begin. 2016: The Stats Leaderboards is launched. See the evolution of how performance is measured. #Flashback50 #MoreATPWithInfosys #NittoATPFinals',3243,10.066,400,1,,,
CHsdyFGAwfu,infosys,2020-11-17 14:12:11.000000,yes,False,"b'nittoatpfinals,flashback50,moreatpwithinfosys'",b'',"b'This is it! As #NittoATPFinals marks its 50th anniversary, Infosys celebrates the evolution to a digital sport with ATP Tour. Come experience the next. #Flashback50 #MoreATPWithInfosys'",2969,10.0,449,0,,,
CHnpmHEgyMy,infosys,2020-11-15 17:19:23.000000,yes,False,"b'flashback50,nittoatpfinals,moreatpwithinfosys'",b'',b':keycap_5::keycap_0: Years. All the game-changers! Presenting #Flashback50 at the #NittoATPFinals. Celebrate and uncover five decades of champions in this new data-driven web experience.:chart_increasing:\n.\n.\n #MoreATPWithInfosys',3706,10.1,407,0,,,
CHh_UopgbFo,infosys,2020-11-13 12:33:54.000000,yes,False,"b'infymysore,wildlifespotting,lifeatinfy,mysorememories'","b'i.n.f.o.s.c.i.o.n.s,i_shud1008'","b""With the luscious greens at #InfyMysore, come also the many different colours of the wildlife that co-exists with the humans on the campus! What's your favourite #WildlifeSpotting at our campus? Share in the comments! #LifeAtInfy #MysoreMemories \n\nThanks @i.n.f.o.s.c.i.o.n.s and @i_shud1008 for sharing the pics.""",3154,42.063,542,4,,,
CHh3aTeA5hA,infosys,2020-11-13 11:24:21.000000,no,False,"b'newnormal,lifeatinfy,myxfactor'",b'',"b'""The #newnormal has been a blessing in disguise for me. With plenty of time at hand, I hunkered down and started to wonder about aspects of life which we miss out between work, kids and other commitments. I knew I had to find a way to step out of the house safely and decided to try Mountain Biking. It was fun from the start \xe2\x80\x93 I tried small rides at first \xe2\x80\x93 neighborhood trails, greenway, etc. Eventually, the challenge of riding caught on."" Neeraj talks about how mountain biking amidst lush green mountains and serene waters has kept him going during these times! #LifeAtInfy #MyXFactor'",0,0,1933,1,,,
CHfvwbgg0MN,infosys,2020-11-12 15:38:59.000000,no,False,"b'infosysinstep,diverse,forwardwithinfosys'",b'',"b'#InfosysInStep has been ranked the best internship by Vault in terms of overall diversity. A #diverse workforce gives our interns the chance to grow, to learn from one another, and contribute to a more open workplace. #ForwardWithInfosys'",0,0,609,0,,,
CHaS1SdglvB,infosys,2020-11-10 12:50:22.000000,yes,False,"b'infymysore,mysorememories,bestdaysofmylife,lifeatinfy'",b'rishabhsax',"b""A long day of work followed by game nights with the new friends you have made on campus - now doesn't that 'strike' you as a fun memory? What is your favourite memory at #InfyMysore? Tell us in the comments. #MysoreMemories #Bestdaysofmylife #LifeAtInfy\n\nThank you @rishabhsax for sharing the pics.""",4065,43.9,701,22,,,
CHSAVLhA7q2,infosys,2020-11-07 07:35:01.000000,yes,False,b'',b'',b'Reducing plastic is one more step in reducing the burden on our planet. Link in the bio for more.',6613,32.366,896,3,,,
CHQGinegglk,infosys,2020-11-06 13:51:19.000000,yes,False,"b'infosysinstep,forwardwithinfosys'",b'',"b""What's the secret sauce behind #InfosysInStep's record three-peat? Watch this video to hear the interns talk about all that is InStep. #ForwardWithInfosys""",23593,201.7,4350,17,,,
