shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIV99pJHoXZ,intel,2020-12-03 17:02:07.000000,no,False,"b'spectrex360,intelevo'","b'brittanysky,hp'",b'Swipe to learn why @BrittanySky relies on the premium audio and ultra-fast Intel Wi-Fi 6 on her @HP #Spectrex360\xe2\x80\x94verified on the new #IntelEvo platform.',0,0,1992,30,,,
CITaEpWnUSR,intel,2020-12-02 17:10:01.000000,no,False,"b'spotthedifference,intelevo'",b'brittanysky',"b'#SpotTheDifference: DJ, content creator and producer @BrittanySky\xe2\x80\x99s career is different from your typical musician. Can you spot the 7 differences in these two photos? Comment below where you find them! #IntelEvo'",0,0,3609,25,,,
CIOPWFcsL45,intel,2020-11-30 17:00:15.000000,yes,False,b'intelevo',b'brittanysky',"b'When breaking into the music industry, experience makes all the difference\xe2\x80\x94DJ @BrittanySky shares the moments that helped her get to where she is today. #IntelEvo'",10076,21.0,1591,12,,,
CH8AWKFnLIy,intel,2020-11-23 15:02:41.000000,no,False,"b'intelevo,mondaymotivation'",b'',"b""Even when it's still dark outside, the #IntelEvo platform wakes up ready to work. What powers your #MondayMotivation?""",0,0,7218,117,,,
CHsxR7_nQnd,intel,2020-11-17 17:02:26.000000,no,False,"b'zenbookflips,intelevo'","b'phil_torres,asususa'",b'Swipe to learn why @Phil_Torres counts on the battery life and remarkable responsiveness of the @ASUSUSA #ZenbookFlipS\xe2\x80\x94verified on the new #IntelEvo platform.',0,0,2559,72,,,
CHp-euMAIAF,intel,2020-11-16 15:00:09.000000,yes,False,b'intelevo',b'',b'The #IntelEvo platform presents Code Seeker \xe2\x80\x93 the search for 50 laptops in the most advanced scavenger hunt on the internet. Solve our clue. Find the code. And you could win a remarkable new laptop\xe2\x80\xa6 if you\xe2\x80\x99ve got what it takes. Ready? Set? Code Seeker! More details at the link in bio.',17135,15.0,2463,54,,,
CHf5SujHR4N,intel,2020-11-12 17:02:19.000000,no,False,"b'picturesearch,intelevo'",b'phil_torres',b'#PictureSearch: @Phil_Torres is on a mission to uncover nature\xe2\x80\x99s hidden beauty. Can you find the 7 :butterfly: hidden in these photos? Comment below where you find them all! (Hint: the real butterflies don\xe2\x80\x99t count). #IntelEvo',0,0,7986,52,,,
CHavc1wsgg6,intel,2020-11-10 17:00:16.000000,yes,False,b'intelevo',b'phil_torres',b'@Phil_Torres shares the first moment he felt like he\xe2\x80\x99d made it\xe2\x80\x94and why he turned his passion for documenting nature into his life\xe2\x80\x99s mission. #IntelEvo',14038,15.0,2047,43,,,
CHYKpzOgvsc,intel,2020-11-09 17:00:15.000000,yes,False,b'intelevo',b'',b'Five dynamic people. Five laptops that raise the bar\xe2\x80\x94Introducing the new #IntelEvo platform\xe2\x80\x94 verified to help take your passions further.',23920,16.0,2440,46,,,
CG2eqpOncur,intel,2020-10-27 15:00:47.000000,no,False,"b'intelevo,sidegig'",b'',"b'From launching your own website to sharing your ideas with the world, the #IntelEvo platform will enable you take your side gig to new heights. Got a #sidegig? Tell us about it in the comments!'",0,0,2752,110,,,
CGsSqtcnKAl,intel,2020-10-23 16:03:32.000000,no,False,b'',b'',"b'With a little innovation, this Halloween can be your most festive one yet. Swipe to see some fun ways to transform your laptop into a Halloween party machine, and let us know how you\xe2\x80\x99ll be getting your spooky on in the comments!'",0,0,3650,112,,,
CF-PRgbn2wg,intel,2020-10-05 18:48:49.000000,no,False,"b'worldteachersday,projectathena'",b'',"b'This year, #WorldTeachersDay is more important than ever. Check out some of our ideas for showing appreciation to your favorite teacher virtually, and let us know how you plan on celebrating below! #ProjectAthena.\n\n:movie_camera: Make a thank you video with the whole family\n:camera_with_flash: Design a photo memory book for the class\n:wrapped_gift: Send them a digital gift card'",0,0,4624,88,,,
CFkOuEoH78k,intel,2020-09-25 16:23:43.000000,no,False,"b'intelcore,fbf'",b'',"b'From our first processor to our 11th Gen #IntelCore processors, we\xe2\x80\x99ve come a long way. To celebrate, help us spot the differences between these photos of our cofounder Robert Noyce\xe2\x80\x94and let us know in the comments how many you find. #FBF'",0,0,14754,338,,,
CFKivgenMqo,intel,2020-09-15 16:58:26.000000,no,False,b'onlinelearningday',b'',"b'Today, we celebrate all those furthering their education from further away. Here\xe2\x80\x99s to making the most of the new normal on a laptop that keeps up. Happy #OnlineLearningDay'",0,0,5191,40,,,
CEpbF9oHhHh,intel,2020-09-02 20:16:52.000000,yes,False,b'',b'',"b'Inspired by our past, our new logo marks a transformative path ahead. Meet the new Intel.'",119059,6.166,22424,623,,,
CEpDdl0A49F,intel,2020-09-02 16:50:19.000000,yes,False,b'intelcore',b'',b'A new generation has arrived. Take your ideas to new heights with our 11th Gen #IntelCore processor.\xe2\x80\x8b',40159,26.766,6305,181,,,
CEW8x7iH7n-,intel,2020-08-26 16:05:27.000000,no,False,"b'latitude9510,morethan'","b'dell,jessomatt'",b'The @Dell #Latitude9510 starts fast and lasts long for a seamless experience anywhere. Swipe to see how CEO @jessomatt uses her :laptop_computer: confidently with built-in security features. #MoreThan',0,0,5878,84,,,
CEKEMWugn63,intel,2020-08-21 16:00:14.000000,no,False,"b'morethan,latitude9510'",b'dell',b':clapping_hands:A BIG THANK YOU for all your #MoreThan responses!:clapping_hands: Our final winner for the @Dell #Latitude9510 will receive a DM in the next few days.',0,0,23458,251,,,
CD9NxakH6Ih,intel,2020-08-16 16:13:40.000000,no,False,"b'projectathena,morethan,spotthedifference,photohunt'",b'jessomatt',"b'@jessomatt\xe2\x80\x99s inventions make a difference, just like the 5 things that make the :index_pointing_up_selector: photo different. Comment below when you find as many as 5. #ProjectAthena #MoreThan #SpotTheDifference #PhotoHunt'",0,0,11069,114,,,
CD4EsYUHhk8,intel,2020-08-14 16:18:40.000000,yes,False,"b'latitude9510,morethan'",b'jessomatt',"b'Innovation requires the right tools. Built-in security features, :high_voltage: response, and long :battery: life in the #Latitude9510 is how @jessomatt runs her business. #MoreThan'",19622,15.0,2620,40,,,
CDy5qh0Hn1w,intel,2020-08-12 16:05:34.000000,no,False,"b'morethan,morethan,latitude9510,projectathena'","b'jessomatt,dell'","b""@jessomatt's passions make her #MoreThan a CEO. Do you have #MoreThan one passion? Comment below and get a chance to win a new @Dell #Latitude9510 :laptop_computer: #ProjectAthena \n\nNO PURCHASE NECESSARY. Open to 50 U.S. (D.C.) 18+. Ends 08/20/2020. See official rules, in bio for all details, including odds & prizes. Void where prohibited.""",0,0,5767,313,,,
CDtvciLAnxy,intel,2020-08-10 16:00:10.000000,yes,False,"b'latitude9510,morethan'",b'jessomatt',"b'@jessomatt is pioneering energy solutions for a better :globe_showing_Americas: With her #Latitude9510 :laptop_computer: she makes the unimaginable, possible. #MoreThan'",14326,14.966,2511,80,,,
CDomYWUHsAA,intel,2020-08-08 16:04:39.000000,no,False,"b'internationalcatday,catsatwork,catday'",b'',b'When the center of your attention has all the hardware :laptop_computer: and software :cat_face: #InternationalCatDay:paw_prints: #CatsAtWork #CatDay',0,0,13706,87,,,
CDeTNDCH8x5,intel,2020-08-04 16:04:40.000000,no,False,"b'chromebookspin713,projectathena,morethan,spotthedifference,photohunt'",b'thejohnfish',b'@thejohnfish\xe2\x80\x99s #ChromebookSpin713 is different from the rest. But so are these photos! Swipe to see the 5 differences and comment :backhand_index_pointing_down: when you find them all. #ProjectAthena #MoreThan #SpotTheDifference #PhotoHunt',0,0,7847,79,,,
CDWkvU7neET,intel,2020-08-01 16:03:59.000000,no,False,"b'chromebookspin713,projectathena'",b'thejohnfish',"b'The #ChromebookSpin713 is designed to last longer and respond faster. Swipe :backhand_index_pointing_right: and see how seamlessly @thejohnfish codes, creates, and learns on his :laptop_computer:. #ProjectAthena'",0,0,11235,102,,,
