shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIXzdCQo83L,intesasanpaolo,2020-12-04 10:17:31.000000,yes,False,"b'dreamhit,intesasanpaolo'",b'dreamhit',"b'Dai pi\xc3\xb9 spazio alla voce, scegli una base che rappresenti meglio il tuo carattere, cura gli arrangiamenti, e molti altri consigli: i produttori che collaborano con #DreamHit hanno i suggerimenti giusti per far esprimere il meglio di s\xc3\xa9 ad ogni partecipante. Seguili da vicino sui canali di @dreamhit ogni mercoled\xc3\xac e domenica alle 21. #intesasanpaolo'",10702,106.026,65,67,,,
CIQlj-No6w3,intesasanpaolo,2020-12-01 14:53:03.000000,yes,False,b'tiepolomilano',b'gallerieditalia',b'Non perderti l\xe2\x80\x99innovativa esperienza immersiva delle @gallerieditalia: un viaggio alla scoperta del grande genio italiano Giambattista Tiepolo attraverso alcune delle sue opere. Indossa le cuffie e immergiti nei racconti del figlio Giandomenico collegandoti a questo link:\xc2\xa0https://tiepolo.gallerieditalia.com\n\n#TiepoloMilano',3180,30.126,113,2,,"b""Gallerie d'Italia""",45.467242047 9.1905302089
CIOTAj0oYiM,intesasanpaolo,2020-11-30 17:33:40.000000,yes,False,"b'dreamhit,intesasanpaolo'",b'dreamhit',"b'Cosa serve per avere successo nel mondo della musica? Sicuramente doti naturali, ma anche impegno, lavoro e i consigli giusti per valorizzare i propri punti di forza. Dream Hit supporta i futuri professionisti della musica con i consigli di esperti produttori che li aiuteranno a far emergere il loro talento. #DreamHit, il nuovo talent 100% social, ti aspetta il mercoled\xc3\xac e la domenica alle 21.00 sui canali di @dreamhit, di cui #intesasanpaolo \xc3\xa8 Main Partner.'",3394,99.026,61,2,,,
CIFoqLroyQW,intesasanpaolo,2020-11-27 13:05:59.000000,yes,False,"b'dreamhit,intesasanpaolo'","b'guglielmoscilla,dreamhit'","b'Come in tutte le cose, anche sui social \xc3\xa8 sempre importante prestare attenzione alla sicurezza: @guglielmoscilla, presentatore di @dreamhit, ci conduce anche tra alcuni consigli da tenere sempre a mente per navigare online tutelando la propria privacy. #DreamHit #intesasanpaolo'",4870,116.019,91,0,,,
CIBpYErFGH2,intesasanpaolo,2020-11-25 19:37:25.000000,no,False,"b'dreamhit,intesasanpaolo'",b'dreamhit',"b'Una serata di musica, talento, divertimento e impegno sociale: il concerto di @dreamhit ha permesso a tutti di unirci, anche a distanza, per cantare con i propri artisti del cuore e per sostenere insieme i lavoratori del mondo dello spettacolo. Rivivi il concerto al link in bio! #DreamHit #intesasanpaolo'",0,0,544,12,,,
CH-9GlJglwn,intesasanpaolo,2020-11-24 18:32:17.000000,yes,False,b'tff38',b'torinofilmfestival',"b'Intesa Sanpaolo rinnova la collaborazione con il Torino Film Festival come Main Sponsor dell\xe2\x80\x99edizione numero 38 e conferma il proprio sostegno al settore dello spettacolo in un anno in cui il mondo della cultura, del cinema e delle arti creative sono stati particolarmente colpiti. Con 143 film, dei quali 74 lungometraggi, 15 mediometraggi e 54 corti, il @torinofilmfestival 2020 si svolge interamente in streaming sulla piattaforma MYmovies fino a domenica 28 novembre. #TFF38'",2477,41.633,84,2,,,
CH8Rl1qqAy1,intesasanpaolo,2020-11-23 17:54:05.000000,yes,False,"b'dreamhit,intesasanpaolo'","b'carlbrave23,myss.keta,dreamhit'","b'Due grandi talenti della musica, due personaggi amatissimi dalle loro community: oggi i due giudici di Dream Hit, @carlbrave23 e @myss.keta, condividono alcuni consigli per gli artisti che vogliono curare la propria immagine sui social. #DreamHit, il nuovo talent 100% social, ti aspetta il mercoled\xc3\xac e la domenica alle 21.00 sui canali di @dreamhit, di cui #intesasanpaolo \xc3\xa8 Main Partner.'",3008,60.006,169,9,,,
CH5_up6lknU,intesasanpaolo,2020-11-22 20:18:49.000000,no,False,"b'dreamhit,intesasanpaolo'","b'guglielmoscilla,gabrielevagnato,amedeoprecious,dreamhit'","b""Grazie a @guglielmoscilla, @gabrielevagnato e @amedeoprecious per averci accompagnato sopra al palco e nel backstage di @dreamhit. Rivivi la serata nelle stories e continua l'avventura #DreamHit con la prima puntata del social talent! #intesasanpaolo""",0,0,852,11,,,
CH5T2B4oC6u,intesasanpaolo,2020-11-22 13:59:10.000000,yes,False,"b'dreamhit,intesasanpaolo'","b'dreamhit,mahmood,achilleidol,fedez,elodie,carlbrave23,cara.musica,myss.keta,holyernia,beb.ounce'","b'Pronti per @dreamhit? Ci stiamo scaldando per il concerto di stasera con @mahmood, @achilleidol, @fedez, @elodie, @carlbrave23, @cara.musica, @myss.keta, @holyernia, @beb.ounce!  Alle 18.30 collegati al link in bio, alza il volume e balla con noi! #dreamhit #intesasanpaolo'",4963,37.433,403,7,,,
CH2KkbdlpIW,intesasanpaolo,2020-11-21 08:36:34.000000,no,False,b'forestami',b'foresta_mi',"b'In occasione della Giornata Nazionale degli Alberi, a sostegno del progetto Forestami, abbiamo donato 4.800 alberi a Milano e vogliamo arrivare a 8.000 entro il 31 gennaio 2021. @foresta_mi \xc3\xa8 un progetto di forestazione con l\xe2\x80\x99obiettivo di piantumare 3 milioni di alberi entro il 2030 al fine di rallentare il riscaldamento globale, ridurre i consumi energetici, ripulire l\xe2\x80\x99aria dalle polveri sottili e migliorare il benessere di tutti. #forestami'",0,0,508,8,,,
CH0IHPUlf2B,intesasanpaolo,2020-11-20 13:36:38.000000,no,False,b'ewwr2020',b'',"b'Intesa Sanpaolo\xc2\xa0aderisce alla Settimana Europea per la Riduzione dei Rifiuti, che si svolge dal 21 al 29 novembre. \xe2\x80\x9cRifiuti invisibili\xe2\x80\x9d \xc3\xa8 il tema di\xc2\xa0SERR\xc2\xa02020: con lo slogan \xe2\x80\x9cQual \xc3\xa8 il tuo peso?\xe2\x80\x9d si pone l\xe2\x80\x99obiettivo di aumentare la consapevolezza sui rifiuti generati per\xc2\xa0fabbricare i prodotti e di cercare di ridurre il loro peso nella vita di tutti i giorni. #EWWR2020'",0,0,365,7,,,
CHxGAF5Fo-o,intesasanpaolo,2020-11-19 09:20:27.000000,no,False,"b'dreamhit,intesasanpaolo'","b'dreamhit,guglielmoscilla,myss.keta,carlbrave23'","b""Scopriamo insieme i primi dettagli del social talent @DreamHit che prender\xc3\xa0 il via questa domenica! @guglielmoscilla, dopo la conduzione del concerto di lancio, rester\xc3\xa0 alla guida anche del talent e sar\xc3\xa0 accompagnato da una giuria d'eccezione: saranno @myss.keta e\xc2\xa0@carlbrave23 i giudici che avranno l'arduo compito di decidere quale sar\xc3\xa0 la prossima hit. Segui le stories pinnate sul canale per tutti gli aggiornamenti su #DreamHit. #intesasanpaolo""",0,0,357,6,,,
CHu0rt-oSUj,intesasanpaolo,2020-11-18 12:17:40.000000,yes,False,"b'dreamhit,intesasanpaolo'","b'dreamhit,mahmood,achilleidol,fedez,elodie,carlbrave23,cara.musica,myss.keta,holyernia,beb.ounce,guglielmoscilla,gabrielevagnato'","b'Prende il via un nuovo percorso interamente digitale con un concerto in streaming, un talent 100% social e l\xe2\x80\x99obiettivo di supportare artisti e maestranze. Il 22 novembre parte @dreamhit, il nuovo social talent che vuole scovare la prossima hit che non potremmo smettere di cantare e di cui Intesa Sanpaolo e\xcc\x80 Main Partner. Questa domenica non perderti il concerto di lancio con una line-up stellare: @mahmood, @achilleidol, @fedez, @elodie, @carlbrave23, @cara.musica, @myss.keta, @holyernia, @beb.ounce. Presenta @guglielmoscilla insieme a @gabrielevagnato nel backstage. #DreamHit #intesasanpaolo'",4579,48.119,338,4,,,
CHX4bCglpBc,intesasanpaolo,2020-11-09 14:20:47.000000,no,False,b'iluoghidelcuore',b'fondoambiente',"b'Scopri sul sito del\xc2\xa0FAI\xc2\xa0tutte le meraviglie del nostro Paese, scegli quella che ami di pi\xc3\xb9 e dai il tuo voto entro il 15 dicembre alla decima edizione de #iluoghidelcuore, l\xe2\x80\x99iniziativa del @fondoambiente in collaborazione con Intesa Sanpaolo per recuperare e salvaguardare i luoghi pi\xc3\xb9\xc2\xa0amati\xc2\xa0d\xe2\x80\x99Italia.'",0,0,253,2,,,
CHAFxhGok0Q,intesasanpaolo,2020-10-31 08:37:22.000000,yes,False,"b'intesasanpaoloonair,spotify,googlepodcasts,applepodcasts'",b'',"b'San Patrignano \xc3\xa8 un luogo di rigenerazione che aiuta i 1.200 ragazzi ospiti a far rinascere la fiducia, l\xe2\x80\x99autostima e la voglia di vivere. Nei podcast di \xe2\x80\x9cUn\xe2\x80\x99asta per rinascere\xe2\x80\x9d gli amici di San Patrignano come Simona Ventura, Bruno Vespa, Michele De Lucchi e Vittorio Brumotti ci parlano della speciale asta su CharityStars, in programma dal 29 ottobre al 16 novembre 2020, per raccogliere fondi a sostegno della Comunit\xc3\xa0. Ascolta il podcast di #IntesaSanpaoloOnAir dal link in bio e su #Spotify, #GooglePodcasts e #ApplePodcasts.'",2094,37.466,93,5,,,
CG9sS1Ul_fV,intesasanpaolo,2020-10-30 10:14:33.000000,no,False,b'tiepolomilano',b'museoprado',"b""Apre oggi, venerd\xc3\xac 30 ottobre, \xe2\x80\x9cTiepolo. Venezia, Milano, l\xe2\x80\x99Europa\xe2\x80\x9d, la prima mostra a Milano dedicata al maestro veneziano: un\xe2\x80\x99occasione per ammirare opere mai viste prima d\xe2\x80\x99ora, restauri sensazionali e prestiti importantissimi come il \xe2\x80\x9cSan Francesco d'Assisi riceve le stimmate\xe2\x80\x9d del @museoprado, opera simbolica della mostra.\n#TiepoloMilano""",0,0,291,3,,"b""Gallerie d'Italia""",45.467242047 9.1905302089
CG2JOR0q_hS,intesasanpaolo,2020-10-27 11:55:12.000000,yes,False,"b'artedelrisparmio,intesasanpaolo,intesasanpaolo'","b'mdr_torino,intesasanpaolo'","b'Fino al 31 ottobre celebriamo la settimana dedicata all\xe2\x80\x99#ArteDelRisparmio insieme al Museo del Risparmio @mdr_torino. \xe2\x80\xa8\nTi ricordi il tuo primo salvadanaio?\nFagli una foto e pubblicalo su Instagram con @intesasanpaolo e #intesasanpaolo: condivideremo i piu\xcc\x80 originali nelle nostre stories! Per ispirarti, ecco i salvadanai piu\xcc\x80 iconici e caratteristici, provenenti dall\xe2\x80\x99ArchivioStorico di #intesasanpaolo. Qual e\xcc\x80 il tuo preferito?'",2022,6.5,138,2,,,
