shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIY_moRFpGn,intuit,2020-12-04 21:14:10.000000,no,False,b'16',b'fortunemag',"b""We're proud to see our CEO, Sasan Goodarzi recognized as the #16 @Fortunemag Business Person of the Year. Your innovative leadership continuously inspires us to make a difference for our customers. Click the link in bio to read more.""",0,0,7754,18,,,
CIWQQVPFtZt,intuit,2020-12-03 19:41:57.000000,no,False,b'digitalequityinitiative',b'',"b'33% of children worldwide lack access to the tools needed for remote learning. Now, more than ever, students and teachers need our help.\n\nToday, through our #DigitalEquityInitiative, we make the commitment to help more than 1.5 million underserved students around the world. Read more at our link in bio.'",0,0,88,1,,,
CIV1pbklJl6,intuit,2020-12-03 15:49:27.000000,no,False,b'',b'creditkarma',"b'We\xe2\x80\x99re excited to announce today that we have officially come together with @creditkarma . Together we will provide a personal financial assistant to help consumers increase savings, reduce debt and get faster access to money.'",0,0,169,0,,,
CIRHtDxFnqB,intuit,2020-12-01 19:51:02.000000,no,False,b'givingtuesday',b'',"b'Are you interested in giving back but overwhelmed with where to start? This holiday season may be different, but we can still come together as a community. We put together five #GivingTuesday ideas so you can help those who need it most.'",0,0,104,0,,,
CIO3jq-FCPU,intuit,2020-11-30 22:51:27.000000,no,False,b'',"b'quickbooks,pradosbeauty'",b'Looking to combine beauty and purpose? Indigenous-owned & @quickbooks customer @pradosbeauty gives back to Indigenous communities with every order. Learn more about their mission to create an inclusive beauty brand through the link in our bio.',0,0,2319,5,,,
CIKLrGWjY8G,intuit,2020-11-29 03:11:05.000000,no,False,b'smallbiz',b'buttazandwax',"b""Inspired by her daughter\xe2\x80\x99s sensitive skin, Keisha started making her own skincare using natural ingredients. Enter @ButtazAndWax, a body butter and personal care line. Check out Keisha's beauty products and help support her #smallbiz journey by shopping now \xe2\x80\x93 link in bio.""",0,0,1918,1,,,
CIJ0NwHF5pG,intuit,2020-11-28 23:46:04.000000,no,False,b'smallbiz',"b'quickbooks,fillosamericasmade'","b""As Cuban-Panamanian Americans, authenticity and heritage are important to Daniel & Antonio Caballero. They started FILLO's to bring the beloved foods from their childhood to more people. Help support #smallbiz this holiday season, shop @quickbooks customer @fillosamericasmade at the link in bio.""",0,0,844,3,,,
CIJXQ-rFJto,intuit,2020-11-28 19:33:05.000000,no,False,b'smallbiz',"b'quickbooks,muttssauce'","b'What started as a secret homemade recipe while deployed overseas has become a family legacy. @quickbooks customer @muttssauce has made the \xe2\x80\x9csauce for every meal!"" Help support a veteran owned #smallbiz and get yours today \xe2\x80\x93 link in bio.'",0,0,3042,3,,,
CH07lTlFM3L,intuit,2020-11-20 21:06:23.000000,no,False,b'transdayofremembrance',b'',"b'""Know that you matter, that you belong, and that there is room for us all.""\n\nOn #TransDayOfRemembrance, this advice from an Intuit employee, reminds us we are stronger together. Hear how he and other trans and non-binary people are commemorating this day in the link in bio.'",0,0,119,1,,,
CHyY30TFrvY,intuit,2020-11-19 21:24:35.000000,no,False,b'',b'',b'Our Intuit revenue grew 14% in the first quarter and our QuickBooks Small Business Online ecosystem revenue grew 24%. Click the link in bio to read more about how we\xe2\x80\x99re accelerating our innovation to build even better experiences for our customers.',0,0,4299,2,,,
