shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
Bq2WAMzlr4N,jnj,2018-12-01 15:07,yes,False,"jnj,hiv,globalcitizenfestivalsa,makehivhistory,worldaidsday",,"b'Did you know that in 2016 there were 1.8 million new HIV infections worldwide? And 43% of those infections were in eastern and southern Africa, with women and girls disproportionately affected.\xe2\x81\xa3\xe2\x81\xa3\n\xe2\x81\xa3\nThis past year, #JNJ, along with the world\xe2\x80\x99s leading HIV researchers and global health advocates, began work on an #HIV vaccine trial in South Africa.\xe2\x81\xa3\n\xe2\x81\xa3\nBefore #GlobalCitizenFestivalSA, meet three of the women working every day to help make #makeHIVhistory. :red_heart_selector:\xe2\x81\xa3\xe2\x81\xa3\n#WorldAIDSDay'",22683,58.43,1133,3442,4575,,
BqZ8CGdgMFb,jnj,2018-11-20 14:31,yes,False,"worldchildrensday,jnj",unicef,"b""We asked little kids to share some big news on #WorldChildrensDay: #JNJ is proud to announce a $10 million partnership @UNICEF to help educate healthcare workers to help kids and their moms live healthier lives all over the world. Watch the video, and click the link in our profile to see how you can sign UNICEF's petition to help kids all over the world.""",14649,59.159,1271,323,1594,,
BpPn-wwlYiw,jnj,2018-10-22 17:41,no,False,"innovation,jnj,quickfirechallenge,jlabs,nurseschangelives,changinghumanhealth",mariamenounos,"b""In the spring of 2017, while taking care of her mother who was battling a deadly brain tumor, @MariaMenounos was also diagnosed with a tumor in the membranes surrounding her brain. It was benign, but she still faced the reality of undergoing major brain surgery.\xe2\x81\xa3\n\xe2\x81\xa3\nIt was once she became a patient herself that Maria discovered firsthand the true value of nurses\xe2\x80\x94like the nurses who cared for her, pictured here.\xe2\x81\xa3\n\xe2\x81\xa3\n\xe2\x80\x9cNurses are absolute gems. They are the ones who are really there with you 24/7, helping you get better. Nurses understand that everybody is an individual; it\xe2\x80\x99s not one size fits all,\xe2\x80\x9d Maria says.\xe2\x81\xa3\n\xe2\x81\xa3\nShe also recognizes that nurses are often on the forefront of #innovation. \xe2\x80\x9cI know how much they've already innovated\xe2\x80\x94from the nurse who realized a baby with jaundice could be healed with sunlight to the nurse who created crash carts.\xe2\x80\x9d\xe2\x81\xa3\n\xe2\x81\xa3\n\xe2\x80\x9cNurses are on the front lines every day, so they see the need firsthand and can come up with a solution much faster than anybody else could. We need to celebrate them. We need to treat nurses like gold.\xe2\x80\x9d\xe2\x81\xa3\n\xe2\x81\xa3\nLearn more about #JNJ\xe2\x80\x99s Nurses Innovate #QuickFireChallenge, which invites nurses to submit new ideas to help address critical health challenges and a chance to receive up to $100,000 in funding, plus mentoring and coaching through J&J Innovation\xe2\x80\x99s #JLABS, and find out more about Maria\xe2\x80\x99s journey in the link in our bio.\xe2\x81\xa3\n#NursesChangeLives #ChangingHumanHealth""",0,0,754,116,870,,
BpFPDwzFfTE,jnj,2018-10-18 16:51,no,False,"lgbtq,jnj,belongatjnj,spiritday",humanrightscampaign,"b'""I joined Johnson & Johnson\'s LGBTQ+ Employee Resource Group (ERG) initially out of curiosity, because I wasn\xe2\x80\x99t sure why a company might offer that kind of group. After talking with a few members, I immediately felt a connection with these colleagues that I wouldn\xe2\x80\x99t have encountered in my daily work and also sensed from them a need to have a community of people who identified as #LGBTQ+ at #JNJ. \xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\n\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\nThat was nearly 10 years ago, I didn\xe2\x80\x99t know any other \xe2\x80\x98out\xe2\x80\x99 employees, and the ERG gave me a feeling of belonging I didn\xe2\x80\x99t even realize I was missing.\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\n\xe2\x81\xa3\nLeading our global network of LGBTQ+ individuals and Allies within J&J has been one the most rewarding opportunities of my career. I am inspired by their courage to bring their whole selves to work and create a welcoming workplace for their colleagues.\xe2\x81\xa3\n\xe2\x81\xa3\nOur small but mighty ERG is a true means of support for one another\xe2\x80\x94whether that\xe2\x80\x99s facilitating a colleague\xe2\x80\x99s gender transition or helping a fellow parent support their child who just came out. I certainly don\xe2\x80\x99t have all the answers, but I know that across our 1,700 members, someone has had a similar experience and is willing to help.\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\n\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\nShowing up authentically at work (or in life) can be a scary thing, but showing up as your whole self is worth it. It takes a lot of energy to deny, hide and deflect\xe2\x80\x94and that\xe2\x80\x99s a distraction from being able to reach your full potential. I think it\xe2\x80\x99s important for us all to recognize that it\xe2\x80\x99s an individual\xe2\x80\x99s choice if and when to be their true self. For some it might take time, and that\xe2\x80\x99s OK. We\xe2\x80\x99re all on our own journey.""\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\n\xe2\x81\xa3\xe2\x81\xa3\n\xe2\x80\x93 Jessica Giangaspero\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\nDirector, Enterprise Supply Chain, J&J\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\n\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\n:round_pushpin: Image 2: J&J employees at the @humanrightscampaign Gala (Left to right: Jeanne Bennett, Margaux Holcomb, Jessica Giangaspero, Jim Davock)\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\n:round_pushpin: Image 3: J&J employees at the New Hope, PA Pride Parade\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\n\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\nLearn more about how J&J is creating a sense of belonging in the link in our bio.\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\n#BelongatJNJ #SpiritDay'",0,0,452,54,506,,
BpCnWqXF7y3,jnj,2018-10-17 16:26,yes,False,"nurse,nursing,jnj,healthforhumanity,nurseschangelives",usjapancouncil,"b'As a child, Shiori Hikichi spent every week at her grandmother\'s house for family gatherings. She picked acorns in the yard and played alongside the neighboring clear streams.\xe2\x81\xa3\xe2\x81\xa3\n\xe2\x81\xa3\xe2\x81\xa3\nWhile Shiori was celebrating her middle school graduation in 2011, a 9.1 magnitude earthquake sparked a devastating tsunami in Japan, taking the lives of nearly 16,000 people and leaving around 470,000 more displaced, including Shiori\'s grandmother.\xe2\x81\xa3\xe2\x81\xa3\n\xe2\x81\xa3\xe2\x81\xa3\nShiori was told that radiation levels are so high that no one will be able to live there for years. ""Even after we learned that we wouldn\xe2\x80\x99t be able to go back, it was still somehow hard to believe,"" Shiori says. ""It felt like a hole had opened in my heart. I felt so powerless.""\xe2\x81\xa3\xe2\x81\xa3\n\xe2\x81\xa3\xe2\x81\xa3\nThe disaster brought on many hardships, with people waiting in long lines for food. While Shiori and her mother waited outside in the cold for food, an older man collapsed in front of them. ""My mother is a #nurse, and she stepped in and performed CPR and saved him. I saw that up close and thought: I want to work in the medical field. I want to become someone who can save others.""\xe2\x81\xa3\xe2\x81\xa3\n\xe2\x81\xa3\xe2\x81\xa3\nShiori went on to pursue #nursing, and is one of seven participants of this year\'s Tomodachi J&J Disaster Nursing Training Program, a partnership between #JNJ and the @usjapancouncil. The program provides nursing students from Tohoku, one of the hardest hit regions, with leadership skills and disaster relief training so they can help their communities today and in the future.\xe2\x81\xa3\xe2\x81\xa3\n\xe2\x81\xa3\xe2\x81\xa3\n""Just because we were affected doesn\xe2\x80\x99t mean we\xe2\x80\x99re defeated,"" Shiori says. ""Just because our daily life was affected, because we\xe2\x80\x99re handling a lot of things, doesn\xe2\x80\x99t mean we aren\xe2\x80\x99t moving forward.""\xe2\x81\xa3\xe2\x81\xa3\n\xe2\x81\xa3\xe2\x81\xa3\nMeet other students from the Tomodachi J&J Disaster Nursing Training Program in this video\xe2\x80\x94and visit the link in our bio to learn more. #HealthforHumanity #NursesChangeLives'",11185,57.27,412,41,453,,
Bo9VjUHldEy,jnj,2018-10-15 15:14,no,False,"autism,invisibledisabilities,invisibledisabilitiesweek,ndeam,womeninstem,belongatjnj,jnj",janssenglobal,"b'""I\xe2\x80\x99m a Data Integrity Manager @JanssenGlobal. My job is to help make sure that our data is as clean as possible because patients\' lives are on the line. If the data isn\xe2\x80\x99t as close to perfect as it can be, the results could put someone at risk. I take that very seriously, and my #autism helps me be very good at it.\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\n\xe2\x81\xa3\xe2\x81\xa3\nI began opening up about my autism when I realized I couldn\'t reach my full potential while worrying constantly about hiding my symptoms and differences. I realized I was being hypocritical encouraging my children to stand up for themselves and accept their unique qualities while I was hiding myself. I told my boss, who was supportive. And as time went on, I made it known more widely. I\'ve been promoted twice at Johnson & Johnson.\xe2\x81\xa3\n\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\nMy advice to people with autism in the workplace is focus on your strengths. Autism has challenges, but they can be managed. Find ways to make your passion or special talents your career. Be open about your challenges. There\'s no shame in needing help or guidance. Over 60% of people with autism are unemployed or underemployed, despite holding advanced degrees. This is often due to issues in face-to-face interviews. For instance, eye contact issues can be seen as dishonesty or lack of attention. Any stimming could look like they\'re unfocused. These are behaviors normal to Autistics but not necessarily acceptable in an interview. Hiring needs to become more Autism friendly.\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\n\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\nAutism is not one particular type. There are many different symptoms and ways symptoms manifest within one individual. Autism is a neurological difference. The brain is wired differently. You can\xe2\x80\x99t rewire the brain and not have different perspectives. People with Autism have unique, extraordinary talents. Be respectful of these challenges and recognize unique talents. Don\xe2\x80\x99t force people to prove their worth before accepting them, and don\'t accept them despite their Autism. The more unique angles we have to approach a problem, the more complete the results will be.""\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\n\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\n\xe2\x80\x93 Angela Andrews\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\n\xe2\x81\xa3\xe2\x81\xa3\nRead more in the link in our bio. #invisibledisabilities #invisibledisabilitiesweek #NDEAM #womeninSTEM #BelongatJNJ #JNJ #:woman_scientist:'",0,0,413,55,468,,
Bo1muAon3w9,jnj,2018-10-12 15:10,no,False,"bipolar,schizoaffective,mentalillness,nationalmentalhealthweek,caringcrowd,mentalhealth,ptsd,eatingdisorder,depression","namicommunicate,onlinegeniuses,18percentcommunity,slackhq","b'\xe2\x80\x9cMy close friend Louis had #bipolar and #schizoaffective disorder. The onset of his psychosis began when he was 19. Throughout his life, he was happy, athletic, musically gifted, social and a stellar student. He was hospitalized several times and rejected therapy due to side effects of his medication. One day, he went for a walk and didn\'t return. Three months later, his remains were found near a river.\xe2\x81\xa3\xe2\x81\xa3\n\xe2\x81\xa3\xe2\x81\xa3\nLosing Louis made me resolve to do something to help people living with #mentalillness. During #NationalMentalHealthWeek in May 2018, I launched a #CaringCrowd project, raising $30,000 in 3 weeks for @namicommunicate El Dorado, which is where Louis\' parents lived. The funds helped train 600 families to support loved ones with mental illness. So, I kind of fell into this and kept going. My friend David Markovich, who built @OnlineGeniuses, and I created 18percent, an online #mentalhealth community named that because at any given moment, 18% of the U.S. population suffers from mental illness.\xe2\x81\xa3\xe2\x81\xa3\n\xe2\x81\xa3\xe2\x81\xa3\n@18percentcommunity is a free online chat service, hosted on @SlackHQ, with \'channels\' where people hang out and share. Everything\'s anonymous and moderated to offer a safe environment. We have a veterans\' channel for people dealing with #PTSD, #eatingdisorder and #depression channels and a caregiver channel. Every week, people message me to say if it wasn\'t for 18percent, they wouldn\'t be alive today.\xe2\x81\xa3\xe2\x81\xa3\n\xe2\x81\xa3\xe2\x81\xa3\nI try to share resources and try to be empathetic. I\'m just willing to listen and talk about mental health. For many people, when you\'re in that dark place you feel so isolated. When someone can get on your level and be empathetic and listen to what\xe2\x80\x99s going on versus just feeling bad for you\xe2\x80\x94that\xe2\x80\x99s a big distinction\xe2\x80\x94when you\'re able to say, \xe2\x80\x98I\'ve been through what you\'re going through,\xe2\x80\x99 that\'s what can make a difference. That\'s the first step.\xe2\x81\xa3\xe2\x81\xa3""\n\xe2\x81\xa3\n\xe2\x80\x93 Zach Schleien, Business Analyst and Mental Health Diplomat, Johnson & Johnson, and Co-Founder of 18percent\xe2\x81\xa3\xe2\x81\xa3\n\xe2\x81\xa3\xe2\x81\xa3\nIf you or a loved one is having a mental health crisis, know that there\'s help. Go to the nearest hospital, call 1-800-273-TALK, or text HELLO to the Crisis Text Line at 741-741 to reach someone live.\xe2\x81\xa3\xe2\x81\xa3'",0,0,424,56,480,,
BozUd7IHJ4k,jnj,2018-10-11 17:52,no,False,"mentalillness,jnj,worldmentalhealthweek",ted,"b'\xe2\x80\x9cIt hasn\xe2\x80\x99t always been easy to show my authentic self to the people around me. When I started working in the corporate world at 21, I was lost, depressed and constantly anxious I wasn\xe2\x80\x99t doing anything right. It wasn\xe2\x80\x99t until many years later, with a mental backpack filled with experiences, I realized that I can\xe2\x80\x99t always please people with my appearance, ideas and actions. Working at Johnson & Johnson has helped reinforce this change in my mindset.\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3 \xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\n\xe2\x81\xa3\xe2\x81\xa3\nWhen I gave a @TED xJNJ Talk on #mentalillness in 2018, I was ashamed to speak my truth, partly because verbalizing it makes it feel true and because it was a weakness I hid from friends and colleagues until that day. I was overwhelmed by the support from my colleagues. I realized I built walls to protect myself against the stigma of mental Illness. That day was the first time my walls were broken.\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3 \xe2\x81\xa3\xe2\x81\xa3\n\xe2\x81\xa3\n\xe2\x81\xa3\xe2\x81\xa3\xe2\x80\x9cItawa mo na lang \xe2\x80\x98yan\xe2\x80\x9d means \xe2\x80\x9clet\xe2\x80\x99s just laugh it off and move on\xe2\x80\x9d in Tagalog. I\xe2\x80\x99m Filipina and live in Manila and have found in some cases, my community laughs about their problems, using humor to get through the day. I\xe2\x80\x99ve heard people say mental Illness shouldn\xe2\x80\x99t exist since our culture offers community, support and laughter. But just because someone listens, it doesn\xe2\x80\x99t mean it\xe2\x80\x99s the right support. As a #JNJ Mental Health Diplomat, I try to put myself in other people\xe2\x80\x99s shoes and try to extend the best support I can to friends and colleagues. I share resources, articles, and my own experiences dealing with my mental health.\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\n\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\n\xe2\x81\xa3I\xe2\x80\x99ve had my share of bad experiences. I\xe2\x80\x99ve been on the receiving end of verbal and physical abuse, lost loved ones to illness and crime, and lived through depression and anxiety. I\xe2\x80\x99ve accepted that mental health is a lifelong challenge I need to face. But I\xe2\x80\x99ve learned that just because bad things happened to me doesn\xe2\x80\x99t mean that I\xe2\x80\x99m not entitled to happiness. I\xe2\x80\x99m resilient because despite being raised to laugh through my problems, I\xe2\x80\x99ve learned to try to find help. Now I know that even if I\xe2\x80\x99m depressed today, it doesn\xe2\x80\x99t mean that I\xe2\x80\x99ll stay that way forever.\xe2\x80\x9d\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3 \xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\n\xe2\x81\xa3\n- Ana Mariz Araki, Senior Training Analyst, Global Services HR Training, J&J\n#WorldMentalHealthWeek'",0,0,364,22,386,,
Boy2DjLHpfO,jnj,2018-10-11 13:26,yes,False,"stem,jnj,womeninstem,dayofthegirl","aub_lebanon,allgirlscode,devex_intl,unitednations","b'""I was always a curious kid. I asked way too many questions about how everything works\xe2\x80\x94so much so that my teachers and parents frequently had to look up the answers just to satisfy me. And I was always tinkering with things.\xe2\x81\xa3\n\xe2\x81\xa3\nAt a young age, I was fixing PCs and smartphones, and began to learn coding on my own. In high school, a friend and I taught ourselves Python\xe2\x80\x94a type of computer programming language. Naturally, I decided to pursue computer engineering when I enrolled in @aub_lebanon in 2016. \xe2\x81\xa3\n\xe2\x81\xa3\nIn my first software engineering class, I was one of two girls in a lab with more than 20 students. As I moved up in my degree, the overall number of girls decreased even more. I never felt disrespected or underestimated because of that gender disparity, but I was troubled by it.\xe2\x81\xa3\n\xe2\x81\xa3\nI met women who transferred out of computer engineering because they were disheartened by how few females they saw in the field. I reached my breaking point when an older family friend questioned my choice of major by saying that \'females cannot do that type of complex math.\'\xe2\x81\xa3\n\xe2\x81\xa3\nThat\'s when I decided that I\'d work to get young girls interested in #STEM and help them feel confident in their abilities, so if they decided to pursue STEM fields, they wouldn\'t feel pressured to drop out because of societal expectations and stereotypes.\xe2\x81\xa3\n\xe2\x81\xa3\nI talked to my classmate Maya Moussa about my plans to start an initiative around these ideas, and together in March 2017, we founded @allgirlscode, which provides free, hands-on coding experience and technology workshops to girls up to the age of 18 in Lebanon.\xe2\x81\xa3\n\xe2\x81\xa3\nWe\'ve been around for a year, and in that time, 100 girls have been introduced to STEM in an empowering environment, taken crash courses in leadership training, participated in a hackathon, built websites and apps and learned and applied university-level algorithms.\xe2\x81\xa3\n\xe2\x81\xa3\nI am very proud to say that 90% of the girls who have attended All Girls Code programs\xe2\x80\x94and applied to universities\xe2\x80\x94have chosen to pursue STEM fields.""\xe2\x81\xa3\n\xe2\x81\xa3\n\xe2\x80\x93 Aya Mouallem\xe2\x81\xa3\nCo-Founder of All Girls Code\xe2\x81\xa3\n#JNJ @devex_intl Fellow\xe2\x81\xa3\n\xe2\x81\xa3\nRead more in the link in our bio. #WomeninSTEM #DayoftheGirl @unitednations'",3573,26.28,209,9,218,,
BoxEehJHu1K,jnj,2018-10-10 20:53,no,False,"mentalhealth,jnj,mentalillness,worldmentalhealthday",crisistextline,"b'\xe2\x80\x9cMy life and career changed course when I got a phone call on New Year\xe2\x80\x99s Day from my daughter\xe2\x80\x99s cell phone. She\xe2\x80\x99d been on a first date the night before, and I was curious to hear how it went.  But I was startled to hear a man\xe2\x80\x99s voice, and after confirming that I was her father, he told me to come right away because my daughter had tried to kill herself.\xe2\x81\xa3\xe2\x81\xa3\n\xe2\x81\xa3\xe2\x81\xa3\nMy daughter suffered from a #mentalhealth condition, and over more than a decade of struggle, we got a firsthand look at how broken the mental health system is in the U.S. From my global travels with Johnson & Johnson, I soon learned that the problem was the same everywhere.\xe2\x81\xa3 #JNJ neuroscience leader Husseini Manji, M.D., took me under his wing, and we took the case for change to J&J leadership. We explained that mental health is more common than many believe and accounts for over half the economic burden of all chronic diseases: more than cancer, diabetes and chronic respiratory conditions combined. This is largely because most #mentalillness begins in youth and lasts a lifetime since so few get effective treatment.\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\n\xe2\x81\xa3\xe2\x81\xa3\nThe support from J&J has been overwhelming. We launched one of the first employee resource groups to support people with mental illness. The group numbers over 800 employees in more than 30 countries. Outside, we\xe2\x80\x99ve lent the full range of J&J\xe2\x80\x99s passion and expertise to help ignite a global movement to transform mental healthcare. And I\xe2\x80\x99m humbled to have been named J&J\xe2\x80\x99s first-ever Mental Health Ambassador.\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\n\xe2\x81\xa3\xe2\x81\xa3\nThis past New Year\xe2\x80\x99s Day, the fifth anniversary of that phone call, I hugged my daughter tighter than ever. She\xe2\x80\x99s thriving and working on a social work degree at the University of Michigan. It\xe2\x80\x99s our life\xe2\x80\x99s work to help people living with mental illness, as patients or as caregivers, to stand up and demand a world where these issues are well understood, rapidly treated, and, as we hope with any illness, mostly prevented.\xe2\x80\x9d\xe2\x81\xa3 \xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\n\xe2\x81\xa3\xe2\x81\xa3\n\xe2\x81\xa3\xe2\x80\x93 Craig Kramer\xe2\x81\xa3\xe2\x81\xa3\nMental Health Ambassador, J&J\xe2\x81\xa3\xe2\x81\xa3\n\xe2\x81\xa3\xe2\x81\xa3\nIf you or a loved one is having a mental health crisis, there\xe2\x80\x99s help. Go to the nearest hospital, call 1-800-273-TALK, or text HELLO to @CrisisTextLine at 741741 to talk live. #WorldMentalHealthDay'",0,0,360,31,391,,
