shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CH-1TgElHgw,jpmorgan,2020-11-24 17:24,yes,False,"jpmcc,remixtherun",,b'We\xe2\x80\x99re reeling it back to our favorite moments from our first-ever virtual race :woman_running_selector:. Thanks to all our participants who helped make this year even more global :globe_showing_Americas: than ever. #JPMCC #RemixTheRun',5051,60.1,382,8,390,,
CH8BJlUFWw6,jpmorgan,2020-11-23 15:09,no,False,"jpmorgan,apprenticeship,investmentbanking",,"b'An apprenticeship at #JPMorgan in the UK can lead to a career anywhere in the world :globe_showing_Europe-Africa:. Watch our Instagram Story to learn about #apprenticeship opportunities at our firm, including the new #InvestmentBanking route.'",0,0,1665,12,1677,"London, United Kingdom",51.5141 -0.1094
CHyf_QLFKn7,jpmorgan,2020-11-19 22:26,no,False,jpmorgan,,b'Consumer spending habits transformed through 2020 as people swapped checkout lines :shopping_cart: for online shopping:laptop_computer:. Watch our Instagram Story to see insights from #JPMorgan Global Research on how life in lockdown impacted shopping behavior.',0,0,3386,13,3399,,
CFz3PFmljMB,jpmorgan,2020-10-01 18:06,no,False,"jpmorgan,powerher",,"b'\xe2\x80\x9cThis is our opportunity to build a brighter future for all. Women on the Move is committed to this future.\xe2\x80\x9d Watch our Instagram Story to hear from the inspiring leaders, entrepreneurs, and trailblazers who joined us for #JPMorgan Chase Women\xe2\x80\x99s Leadership Day on what it means to them to #PowerHer.'",0,0,5031,133,5164,,
CE9-Vh_Dz_H,jpmorgan,2020-09-10 19:49,no,False,jpmorgan,usopen,"b'Dedication :check_mark:, excellence :check_mark:, inspiration :check_mark:: Who\xe2\x80\x99s got what it takes to win this year\xe2\x80\x99s @usopen title :tennis::trophy:? Watch our Instagram Story for some tennis trivia to get you pumped up for tonight\xe2\x80\x99s semi-final matches. #JPMorgan is proud to sponsor the Women\xe2\x80\x99s Singles Championship.'",0,0,1753,46,1799,USTA Billie Jean King National Tennis Center,40.7495653105 -73.8465517759
CEudQbED9ey,jpmorgan,2020-09-04 19:11,no,False,"career,jpmorgan,horseshoebend",,"b'Forging a path to a successful #career isn\xe2\x80\x99t always straightforward, but hard work and determination pay off. Here, one #JPMorgan employee captured this epic view of the Colorado River carving its way through #HorseshoeBend. :camera_with_flash: cred: Brian C., Vice President'",0,0,1943,31,1974,Horseshoe Bend,36.8797064247 -111.5113162994
CEKOw9IDQr0,jpmorgan,2020-08-21 17:32,no,False,"jpmorgan,singapore",,"b'#JPMorgan employees are finding bright ideas :light_bulb: and inspiration closer to home this summer. Here, one employee captures the dazzling lights :night_with_stars: of #Singapore one evening. :camera_with_flash: cred.: Ravi Y., Assoc.'",0,0,8186,114,8300,Singapore,1.29306 103.856
CEE-xMeDQr2,jpmorgan,2020-08-19 16:37,yes,False,remixtherun,,"b'Dust off your running shoes :running_shoe:, it\xe2\x80\x99s time to #RemixTheRun. The J.P. Morgan Corporate Challenge is back and going virtual. Team captain registration opens August 25.'",21750,96.958,1742,38,1780,,
CDjh4Pij3Ta,jpmorgan,2020-08-06 16:49,no,False,jpmorgan,,b'What do wooden water pipes :potable_water: and 19th century currency :dollar_banknote: have to do with working here? Watch our story to step inside the world of two #JPMorgan Chase Corporate History Archivists as they describe what it takes to document and preserve :card_file_box: over 200 years of the firm\xe2\x80\x99s history.',0,0,7260,83,7343,,
CDMRN2CDNRL,jpmorgan,2020-07-28 16:05,yes,False,jpmorgan,,"b'With more people spending time at home :house:, technology needs :laptop_computer: are changing. #JPMorgan Global Research looks at key disrupters that are re-wiring :electric_plug: the digital landscape.'",5583,113.066,514,26,540,,
CC6ks6EjoVA,jpmorgan,2020-07-21 19:04,no,False,"technology,jpmorgan",,b'Building the next innovative :high_voltage:solutions of tomorrow means exploring the capabilities of today\xe2\x80\x99s cutting-edge #technology. Watch our Instagram Story to hear from employees on what they discovered during #JPMorgan\xe2\x80\x99s Innovation Week.',0,0,3424,55,3479,"New York, New York",40.7142 -74.0064
CCd8Az1jREf,jpmorgan,2020-07-10 16:10,no,False,jpmorgan,,b'2020 has been an unpredictable year for the global :globe_showing_Americas: economy\xe2\x80\x94from the pandemic to oil :oil_drum:price wars to the recession:chart_decreasing:. #JPMorgan Global Research still sees a GDP rebound on the horizon for the second half of the year. Watch our Instagram Story to find out why.',0,0,1794,47,1841,,
CCYuwO7jvs7,jpmorgan,2020-07-08 15:38,no,False,jpmorgan,,"b'For centuries, books :books: have transported and inspired people. What books are you finding inspiration in? Swipe up on our Instagram Story to explore titles from the #JPMorgan Summer Reading List 2020.'",0,0,3525,47,3572,,
CCOHn4MFdeA,jpmorgan,2020-07-04 12:44,no,False,"jpmorgan,usa,fourthofjuly",,"b'Whether snapping national parks :mountain:, the Music City :musical_notes:, or the Pacific Ocean :water_wave:, employees across #JPMorgan Chase are sharing the #USA through their lenses this #FourthofJuly :United_States:. Swipe through to see their perspectives from sea to shining sea. \n\n:camera_with_flash: cred:\n\n:keycap_1: - Canyonlands National Park, UT: Susan C., Exec. Director\n:keycap_2: - Nashville, TN: Eszter K., Assistant VP\n:keycap_3: - Ecola State Park, OR: Devi D., Associate\n:keycap_4: - New York, NY: Ruwayd D., Analyst\n:keycap_5: - Wilmington, DE: Warren L., Vice President'",0,0,2744,31,2775,United States of America,33.7199849468 -86.4860272408
CCEUTgfDFxH,jpmorgan,2020-06-30 17:22,no,False,"covid19,jpmorgan",,b'What makes the #COVID19 recession different from 2008? Watch our Instagram Story to hear from #JPMorgan Global Strategist Sam Azzarello in the latest U.S. Wealth Management Volatility Insights.',0,0,3853,38,3891,,
