shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CHBUEoHlvWM,kelloggsus,2020-10-31 19:59,yes,False,krave,,b'Kraving something sweet today? Krave now has more real chocolate! :chocolate_bar: #Krave',2770,6.0,393,76,469,,
CG-NK3chyVb,kelloggsus,2020-10-30 15:08,yes,False,,"incogmeatous,feedingamerica",b'The hunger crisis is growing and many food banks don\xe2\x80\x99t have enough protein for families in need. @incogmeatous  is stepping in to help address the protein gap. Help us help @feedingamerica from the link in our bio.',660,16.993,97,14,111,,
CGp-bCXg-jU,kelloggsus,2020-10-22 18:28,yes,False,"cornpops,eatwhatyoulike",,"b""MORE crunchy sweetness? There's never been a better time to eat what you like. #cornpops #eatwhatyoulike""",3085,5.033,491,63,554,,
CGXVU9chhyJ,kelloggsus,2020-10-15 12:43,yes,False,"spiritday,alltogether",glaad,"b'We\xe2\x80\x99re celebrating our 5th year as a #SpiritDay presenting partner by donating $75,000 to @GLAAD. Want to help? Sign the Spirit Day anti-bullying pledge. #AllTogether'",2513,10.05,414,33,447,,
CFfuXU4FI9-,kelloggsus,2020-09-23 22:24,no,False,"futureunwrappedchallenge,liveunited","poptartsus,unitedway,unitedway",b'We love that @poptartsus has teamed up with @unitedway to unwrap a better future. Join us TODAY at 8pm ET over on @unitedway to learn how you can turn your idea for helping your community into reality.  See you there! #FutureUnwrappedChallenge #LiveUnited',0,0,153,27,180,,
CEUubqJgv8g,kelloggsus,2020-08-25 19:21,no,False,creepercrunch,,b'SSSsss\xe2\x80\xa6. Boom! Kellogg\xe2\x80\x99s:registered: Minecraft Creeper Crunch Cereal has arrived. Available in stores now.#CreeperCrunch',0,0,1016,373,1389,,
CDtttgfACmJ,kelloggsus,2020-08-10 15:44,no,False,,,b'Happy National S\xe2\x80\x99mores Day! If only there was cereal that tastes like s\xe2\x80\x99mores\xe2\x80\xa6 Wouldn\xe2\x80\x99t that be great? :eyes:',0,0,911,131,1042,,
CDhWN6pnm6d,kelloggsus,2020-08-05 20:28,yes,False,,joybol,"b'Looking for some joy? Kellogg\xe2\x80\x99s @joybol granola smoothie bowls are unexpectedly joyful! Just add liquid, stir, and enjoy. You can find them on Amazon and at joybolfoods.com'",4188,35.333,271,40,311,,
CByc689gero,kelloggsus,2020-06-23 18:51,no,False,,,b'Breakfast just got twice as awesome! New Kellogg\xe2\x80\x99s MASHUPS cereal fuses Frosted Flakes and Froot Loops.',0,0,2346,291,2637,,
CBBJGd1ArIb,kelloggsus,2020-06-04 15:15,no,False,,,"b'For a message from Kellogg Chairman and CEO, Steve Cahillane, visit our blog. Link in bio.'",0,0,947,141,1088,,
CA78XosAbzH,kelloggsus,2020-06-02 14:48,no,False,blackouttuesday,,b'#blackouttuesday',0,0,955,27,982,,
CAbBe3XgcfP,kelloggsus,2020-05-20 20:01,yes,False,"morningpeople,betterdays",,"b'Thank you to everyone rising to the occasion, bringing the light. It\xe2\x80\x99s your energy bringing better times. #MorningPeople #BetterDays'",4290,30.691,479,54,533,,
B_0T7GRgnbI,kelloggsus,2020-05-05 19:09,yes,False,"givingtuesdaynow,betterdays","nokidhungry,kelloggsus","b'Through our @nokidhungry partnership, we\xe2\x80\x99ve helped provide school breakfast to nearly 1 million kids. Now that many have lost the school breakfasts they rely on, kids need our support more than ever. @kelloggsus will match every dollar you donate up to $200,000 on #GivingTuesdayNow. Donate today link in profile #BetterDays'",3598,3.566,496,86,582,,
B_U5G-7gYtY,kelloggsus,2020-04-23 14:17,no,False,"athomecooking,betterdays","amazonlive,feedingamerica","b'HAPPENING NOW | We partnered with @amazonlive and chefs across America to host At Home Cooking, a livestreamed cook-a-thon to support @feedingamerica. Together, we will be helping to provide meals to those in need. Tune-in to Amazon.com/live today from 10am-8pm ET to watch! #AtHomeCooking #BetterDays'",0,0,399,42,441,,
B-uKQO_AEuv,kelloggsus,2020-04-08 13:17,yes,False,,,"b'To everyone around the world working so hard to bring breakfast to the table, thank you.'",6198,32.033,882,61,943,,
B9b2K9QIS0F,kelloggsus,2020-03-07 14:04,yes,False,nationalcerealday,peepsbrand,"b""Today is a very important day... it's National Cereal Day.\n\nTo celebrate, we're introducing Limited Edition Peeps cereal! Marshmallow flavored cereal, with marshmallows.\n\nDid we mention marshmallows? @peepsbrand #NationalCerealDay""",9213,8.0,952,132,1084,,
B9XKJcFgJ_Z,kelloggsus,2020-03-05 18:22,no,False,,joybol,"b'Introducing to the world\xe2\x80\xa6 @joybol. A delicious and easy granola smoothie bowl \xe2\x80\x93 all you need to do is add cold water or your favorite kind of milk. It\xe2\x80\x99s a portable little bundle of joy, just as the name suggests. Available now on Amazon, as well as Mariano\xe2\x80\x99s, Giant Food, and Giant Eagle.'",0,0,654,40,694,,
B9O9wHLIJI1,kelloggsus,2020-03-02 14:00,no,False,nationalbreakfastweek,caitsplate,"b'It\xe2\x80\x99s National Breakfast Week and we\xe2\x80\x99re celebrating with\xe2\x80\xa6fiber! Did you know Kellogg\xe2\x80\x99s Frosted Mini-Wheats and Raisin Bran are high in fiber? With 20% of the recommended amount in every bowl, they\xe2\x80\x99re a tasty and insanely convenient way to help you reach your goal. #NationalBreakfastWeek\n\nPhoto credit: @caitsplate'",0,0,614,40,654,,
B9CxTCyg1CL,kelloggsus,2020-02-26 20:20,no,False,,junkfoodonthego,b'So these exist now\n\nPC @junkfoodonthego',0,0,1916,90,2006,,
