shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIWEtajrRng,kiamotorsusa,2020-12-03 18:01:07.000000,no,False,b'kiak5',b'',b'Release your true driver. #KiaK5',0,0,3967,47,,,
CIUOl3_K93n,kiamotorsusa,2020-12-03 00:49:05.000000,yes,False,"b'kiasorento,kianye,nye2021,nye,balldrop,storytellingmachine'",b'',b'The road to 2021 begins now. Follow us as we deliver the 2021 sign from Los Angeles to Times Square with the all-new #KiaSorento in celebration of the new year. #KiaNYE \n\n#NYE2021 #NYE #BallDrop #StorytellingMachine',6571,15.0,967,16,,,
CITSFj7lnF8,kiamotorsusa,2020-12-02 16:00:17.000000,no,False,b'kiasorento',b'',b'Adventure awaits. #KiaSorento SX',0,0,2955,25,,,
CITSFj7lnF8,kiamotorsusa,2020-12-02 16:00:17.000000,no,False,b'kiasorento',b'',b'Adventure awaits. #KiaSorento SX',0,0,2955,25,,,
CIR1Yq7KLDg,kiamotorsusa,2020-12-02 02:30:17.000000,no,False,b'kiasportage',b'',b'Cool air and cold water meet warm seats and warm engine. #KiaSportage',0,0,1753,10,,,
CIRFhbenDIW,kiamotorsusa,2020-12-01 19:31:58.000000,no,False,"b'kiasorento,kianye,nye2021,nye,balldrop'",b'',"b'The grand journey begins. Join us as we deliver the official 2021 sign across the country via our all-new #KiaSorento, straight to Times Square! We\xe2\x80\x99re here to bring the excitement of Times Square everywhere. #KiaNYE \n\n#NYE2021 #NYE #BallDrop'",0,0,2550,35,,,
CIO72rxHPrR,kiamotorsusa,2020-11-30 23:29:00.000000,no,False,b'kiaseltos',b'',b'Fall drives just hit different. Comment below if you agree. #KiaSeltos',0,0,2463,23,,,
CID8LTqHuoL,kiamotorsusa,2020-11-26 17:00:14.000000,no,False,"b'telluride,happythanksgiving'",b'',b'Thankful for views like this. #Telluride Nightfall Edition #HappyThanksgiving',0,0,3424,26,,,
CIBT9K1rgPJ,kiamotorsusa,2020-11-25 16:30:18.000000,no,False,b'kiasorento',b'',b'Bolder vs boulder. #KiaSorento Hybrid',0,0,2809,26,,,
CH-vJZGrTK0,kiamotorsusa,2020-11-24 16:30:10.000000,no,False,b'kiak5',b'',b'Taking design up a notch. #KiaK5',0,0,2730,47,,,
CH8KmGDAwyR,kiamotorsusa,2020-11-23 16:32:17.000000,no,False,b'kiasorento',b'',b'The great outdoors have met their match. #KiaSorento X-Line',0,0,3766,34,,,
CH5pAUaA10b,kiamotorsusa,2020-11-22 17:00:17.000000,no,False,b'kiasportage',b'',b'Adventures don\xe2\x80\x99t need to end on Sunday. #KiaSportage',0,0,2370,23,,,
CH3EM86g6d0,kiamotorsusa,2020-11-21 17:00:13.000000,no,False,b'kiak5',b'',b'Here for the K5 vibes. #KiaK5',0,0,4921,65,,,
CH0Yij4sNqu,kiamotorsusa,2020-11-20 16:00:13.000000,no,False,b'kiatelluride',b'',b'Make your weekend escape. #KiaTelluride',0,0,3084,28,,,
CHx5lScn313,kiamotorsusa,2020-11-19 16:51:13.000000,no,False,"b'nationalcampday,kiasorento'",b'',b'It\xe2\x80\x99s #NationalCampDay. Where is your favorite camping spot? #KiaSorento X-Line',0,0,2789,32,,,
CHv_A0vr0ft,kiamotorsusa,2020-11-18 23:00:11.000000,no,False,b'kiatelluride',b'',b'Your rock. #KiaTelluride',0,0,3531,29,,,
CHtIinLJT_C,kiamotorsusa,2020-11-17 20:25:43.000000,no,False,"b'nationalhikeday,kiasorento'",b'',b'Happy #NationalHikeDay! Go explore the wild. #KiaSorento X-Line',0,0,2542,23,,,
CHqMPXhDuf2,kiamotorsusa,2020-11-16 17:00:21.000000,no,False,b'kiasoul',b'',b'Performance art. #KiaSoul GT',0,0,1871,28,,,
CHnncDagb-G,kiamotorsusa,2020-11-15 17:00:17.000000,no,False,b'kiasportage',b'',b'A companion for every quest. #KiaSportage',0,0,2603,22,,,
CHlCqCXF8e8,kiamotorsusa,2020-11-14 17:00:23.000000,no,False,b'kiastinger',b'stung_ya_gt',"b':camera_with_flash:: @stung_ya_gt: #KiaStinger + :sunrise: = :OK_hand:\nWho else has sunset shots? DM them to us, and we might share as a wallpaper.'",0,0,2869,22,,,
CHjDVXyjfhH,kiamotorsusa,2020-11-13 22:27:50.000000,no,False,b'kiak5',b'',b'All hail the #KiaK5.',0,0,4129,54,,,
CHgauL_jV-R,kiamotorsusa,2020-11-12 21:54:28.000000,no,False,b'kiatelluride',b'',b'The true king of the hill. #KiaTelluride Nightfall Edition',0,0,3182,37,,,
CHbmZhfoPay,kiamotorsusa,2020-11-11 01:00:19.000000,no,False,b'kiak5',b'',b'Designed for the passionate drivers. #KiaK5',0,0,4540,39,,,
CHYKrsys6tg,kiamotorsusa,2020-11-09 17:00:23.000000,no,False,b'kiasorento',b'',b'Turbocharging your week. #KiaSorento SX',0,0,4795,53,,,
