shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYP8u8HjT7,kohls,2020-12-04 14:17:46.000000,no,False,"b'nationalcookieday,kohls'",b'',b'Time for a fresh take on the holiday charcuterie board! :cookie: #nationalcookieday #Kohls',0,0,5435,62,,,
CIVvy1dnC9i,kohls,2020-12-03 14:58:18.000000,no,False,"b'simplyvera,kohls'",b'',"b'Felt cute, might go to the living room later. :sparkles: #SimplyVera #Kohls'",0,0,7213,77,,,
CITeSQenZ5r,kohls,2020-12-02 17:50:09.000000,yes,False,b'',b'christineandrew',"b'Find new outfits for the holiday season styled by influencer and curator @christineandrew for The Outfit Bar. Whether you\xe2\x80\x99re a happy-at-homebody or more of an adventurer, the perfect look awaits! Check out trends like faux fur, comfy layers and boots. Find great gift ideas, too\xe2\x80\x94think scarves and chic necklaces. Get everything you need to be holiday-ready at The Outfit Bar at Kohls.com/TheOutfitBar.'",13710,117.071,627,24,,,
CIQjlAmHENb,kohls,2020-12-01 14:35:22.000000,no,False,"b'lclaurenconrad,tuesdayshoesday,kohls'",b'lclaurenconrad',b'The only shoes we\xe2\x80\x99ll be wearing this holiday season\xe2\x80\x94and we\xe2\x80\x99re not mad about it! :winking_face: Tap to shop @lclaurenconrad. #lclaurenconrad #tuesdayshoesday #Kohls',0,0,9416,88,,,
CIObwjVHMDO,kohls,2020-11-30 18:48:59.000000,yes,False,b'',b'citygirlgonemom',"b'Check out @citygirlgonemom\xe2\x80\x99s Cyber Monday must-haves! Start \xe2\x80\xa8shopping now with 20% off your purchase through 12/2 in store + online. (Promo code: YOUGET20) Plus, get $10 off your $50+ purchase and earn $15 Kohl\xe2\x80\x99s Cash for every $50 spent when you shop online! (Today only.)'",24242,2629.234,598,22,,,
CILjNJnHUmP,kohls,2020-11-29 15:55:54.000000,no,False,b'kohls',b'samantha_show_',"b'Order up! One special holiday season coming your way.\n:red_heart_selector:\nWith a busy shipping season ahead, get your gifts now! Just tap to shop toys, cozy clothes and more. #Kohls\n:camera_with_flash:\n@samantha_show_'",0,0,2528,35,,,
CIJBWwfHnq8,kohls,2020-11-28 16:21:38.000000,no,False,"b'lclittleco,kohls'",b'lclittleco',"b'Comfy styles and cute prints\xe2\x80\x94this season\xe2\x80\x99s sweetest looks are here.\n:two_hearts:\nTap to shop @lclittleco, available exclusively at Kohls.com. #lclittleco #Kohls'",0,0,1906,27,,,
CIGUsHrnkIJ,kohls,2020-11-27 15:23:26.000000,yes,False,"b'kohls,kohlsfinds'",b'',"b'Ready to cozy up at home for the holidays? :Christmas_tree:From the softest sherpa pieces to the comfiest layers, we\xe2\x80\x99ve got the best looks to keep you nice and warm all season. Just add a cup of hot cocoa and you\xe2\x80\x99ll be all set! Check out the outfits, then shop them here: https://kohls.co/2JnQZBq #Kohls #KohlsFinds'",14713,107.523,852,11,,,
CIDnwgBHU5c,kohls,2020-11-26 14:01:45.000000,no,False,b'kohls',b'',b'Happy Thanksgiving! Today we are extra-thankful for our family and yours. #Kohls',0,0,1501,27,,,
CIBH2bAnV7c,kohls,2020-11-25 14:44:28.000000,no,False,"b'simplyvera,kohls'",b'',b'The gift that goes with everything. :handbag:#SimplyVera #Kohls',0,0,1633,33,,,
CH-lHEDHSVW,kohls,2020-11-24 15:02:25.000000,no,False,b'kohls',b'thegoldiemac',b'This fall is looking extra golden. :paw_prints::maple_leaf: Tap to shop home decor. :camera_with_flash: @thegoldiemac #Kohls',0,0,4270,68,,,
CH8aSXfjhj4,kohls,2020-11-23 18:49:53.000000,yes,False,b'',b'',b'You can start shopping Sunday (11/22) at 12:01am (CT) online and at 8am local time in store. (Stores will be closed on Thanksgiving. Deals valid while supplies last; no rain checks.)',14079,2673.599,425,336,,,
CH8PEq_HvG2,kohls,2020-11-23 17:11:22.000000,no,False,b'',b'',"b'Gear that will keep up with you all holiday season. Save on all of your favorite brands like adidas, Under Armour, Nike and more. Plus, shopping is easier than ever with fast and free store pickup!'",0,0,2687,112,,,
CH5Q97iHx-m,kohls,2020-11-22 13:30:12.000000,no,False,b'',b'',"b'Black Friday Deals look a little different this year, and we are here :clapping_hands: for :clapping_hands: it :clapping_hands:. Cuddle up, grab a snack and get incredible savings all week long. You can start shopping Sunday at 12:01am (CT) online and at 8am local time in store. (Stores will be closed on Thanksgiving. Deals valid while supplies last; no rain checks.) You can even try our fast and free store pickup or contactless drive up!'",0,0,1252,309,,,
CH3CbJIHiF_,kohls,2020-11-21 16:44:38.000000,no,False,b'kohls',b'laur_nicolee',b'Is it really fall if you don\xe2\x80\x99t get at least one scented candle? :maple_leaf: Tap to shop ScentWorx. :camera_with_flash: @laur_nicolee #Kohls',0,0,3744,108,,,
