shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYBgWxgCiZ,kotakbankltd,2020-12-04 12:15:29.000000,yes,False,"b'stepupwithzen,zen,zenlife,peace,success,luxury,kotakcards,creditcard'",b'',"b'With the Kotak Zen Credit Card by your side, discover an exciting and rewarding shopping experience like never before. \n#StepUpWithZen today and live your best life. \nKnow more - https://bit.ly/3m0xSM2\n.\n.\n.\n.\n\n#Zen #ZenLife #Peace #Success #Luxury #KotakCards #CreditCard'",74763,13.933,40121,58,,,
CINqh1QABpj,kotakbankltd,2020-11-30 11:44:25.000000,yes,False,"b'welcometotheworldofwhite,premium,shopping,sophistication,elegance,kotakcards'",b'',"b'The world of elegance and luxury is here, welcome to the World of White. With the new Kotak White Credit card, shop from your favorite premium brands and redeem exclusive deals and offers. \n\nApply now - https://bit.ly/3fwIaBf\n\nAnd to know more about the card, click - https://bit.ly/3nTZ3Zt\n\n#WelcomeToTheWorldOfWhite\n.\n.\n.\n.\n#Premium #Shopping #Sophistication #Elegance #KotakCards'",72280,19.0,2514,18,,,
CIFulM1gUze,kotakbankltd,2020-11-27 09:40:03.000000,yes,False,"b'comehomewithkotak,loan,homeloans,kotakhomeloans,home,newlocation'",b'',"b'""Bruno deserves a better locality with more space to run and play!""\nAur jo bhi ho your reason to buy a new house in a better locality, #ComeHomeWithKotak with our unbelievable 6.75%* p.a. home loan rates.\n*T&C Apply. Know more: https://bit.ly/3lbGP3U\n. \n. \n. \n. \n#Loan #HomeLoans #KotakHomeLoans #Home #NewLocation'",3713,20.033,261,22,,,
CH-bMQnAgHO,kotakbankltd,2020-11-24 13:37:08.000000,yes,False,b'',b'',b'Your spare smartphone or tablet can be a godsend for an underprivileged child to continue with their e-schooling. The Kotak Karma initiative aims to provide internet-enabled devices to underprivileged children and facilitate uninterrupted access to education. This film is a tribute to the spirit of sharing and caring.',5103,90.0,488,13,,,
CH9olD4gDgT,kotakbankltd,2020-11-24 06:17:20.000000,yes,False,"b'stepupwithzen,zen,zenlife,peace,success,luxury,kotakcards'",b'',"b'Introducing the Kotak Zen Credit Card - a card that fits your life, not just your pocket.  #StepUpWithZen to unlock a whole new world of possibilities and live your most zen life! \n\nGet it now - https://bit.ly/3m0xSM2\n.\n.\n.\n.\n\n#Zen #ZenLife #Peace #Success #Luxury #KotakCards'",79058,19.466,34125,48,,,
CH2V3_fgIeA,kotakbankltd,2020-11-21 10:31:21.000000,yes,False,b'',b'tatalitlive',"b'Have you ever wondered how significant is the role of a book editor?\n\nWell, here\xe2\x80\x99s an intriguing session that might change your thoughts!\n\nJoin the live session organised by Tata Literature Live in association with Kotak Mahindra Bank and listen to award-winning author Amy Tan in conversation with Siddharth Shanghvi, share her insights on the crucial role an editor plays.\n\nDate: Sunday, November 22\n\nTime: 2:15 PM - 3:15 PM, IST\n\nTo attend, visit: tatalitlive.in\n\n@tatalitlive'",20541,12.833,16365,9,,,
CH0LyqggYrh,kotakbankltd,2020-11-20 14:14:36.000000,yes,False,b'',"b'46anerjee,spankajam,parmeshshahani,tatalitlive'","b'Ever wondered how the inclusion of LGBTQ can help your business?\n \nHere\xe2\x80\x99s a session to show you how!\n\nJoin the live session organised by Tata Literature Live in association with Kotak Mahindra Bank, and listen to eminent speakers, @46anerjee and @spankajam ; chaired by @parmeshshahani , speak on the merits of having LGBTQ in your business.\n \nDate: Saturday, November 21\n \nTime: 3:30 PM - 4:30 PM, IST\n \nTo attend, visit \xe2\x80\x93 www.tatalitlive.in\n\n@tatalitlive'",27759,9.733,14212,33,,,
CHu3XiDgWGS,kotakbankltd,2020-11-18 12:37:44.000000,yes,False,b'welcometotheworldofwhite',b'',"b""Introducing the Kotak White Credit Card, your ticket to an unparalleled experience.\nIndulge yourself with the world's choicest premium brands when you shop. \n\nApply now - https://bit.ly/3fwIaBf\n\nAnd to know more about the card, click - https://bit.ly/3nTZ3Zt\n\n#WelcomeToTheWorldOfWhite""",68248,20.0,2787,47,,,
CHuiKHYAfGz,kotakbankltd,2020-11-18 09:29:42.000000,yes,False,b'',"b'jeffrey_archer_author,tatalitlive'","b""Want to learn writing from a seasoned novelist?\nWell, here's your chance! \nJoin the live session organised by Tata Literature Live in association with Kotak Mahindra Bank, and learn the nuances of writing with English novelist Lord @jeffrey_archer_author .\n\nDate: Thursday, November 19 \nTime: 7:45 PM-8:45 PM, IST \nTo attend, visit: www.tatalitlive.in\n\n@tatalitlive""",16698,9.833,6832,5,,,
CHsLB_LA2rK,kotakbankltd,2020-11-17 11:42:55.000000,yes,False,b'',"b'grlnamedmaria,tatalitlive'","b""Ever thought the rules of poker applied to real life? No?\n\nWell, here's a special session that is sure to change your view!\n\nJoin the live session organised by Tata Literature Live in association with Kotak Mahindra Bank, and catch New York Times Best-selling author @grlnamedmaria in conversation with Girish Shahane. The speaker will share interesting insights into how the rules of Poker can help you live better.\n\nDate: Tuesday, November 17\n\nTime: 9:00 PM-10:00 PM, IST\n\nFor more information \xe2\x80\x93 tatalitlive.in\n\n@tatalitlive""",21434,9.833,11257,11,,,
