shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CHq9IpTBXOU,kraftheinzus,2020-11-17 00:08:34.000000,yes,False,"b'kraftheinz,heinz'",b'heinz',"b'#KraftHeinz Foodservice is excited to announce the launch of the @heinz KEYSTONE:registered: Automatic Dispenser in North America. With one simple wave of a hand, you can dispense 0.5 oz of your favorite #HEINZ condiment or sauce! Available to pre-order in the US: http://kraftheinz-foodservice.com'",1317,3.0,241,10,,,
CHdNMDElJfP,kraftheinzus,2020-11-11 15:59:51.000000,yes,False,"b'veteransday,khcsalutes'","b'officialmaxwellhouse,operationfinallyhome'","b'1.4 million Veterans are considered at-risk of homelessness, and thousands more suffer from injuries that make it difficult for them to own a house. After their dedicated service to our country, we believe every Veteran deserves a home of their own. This Veteran\xe2\x80\x99s Day, @officialmaxwellhouse House is partnering with \n@operationfinallyhome by donating $200,000 to build mortgage-free homes for Veterans in need over the next two years. \n\nTo all Veterans at Kraft Heinz and across the country, we thank you for your bravery, your sacrifice, and your service. #VeteransDay #KHCSalutes'",486,180.156,65,0,,,
CGpdmbFFpXo,kraftheinzus,2020-10-22 13:41:21.000000,no,False,b'hereatkraftheinz',b'',"b'We\xe2\x80\x99re honored to be included as one of Forbes 2020 World\xe2\x80\x99s Best Employers! \n\nThank you to our employees for bringing your entrepreneurial spirits, diverse perspectives, and transformative ideas to the table as we work to make life delicious for consumers and communities worldwide. #HereAtKraftHeinz'",0,0,316,19,,,
CFagOXnh29y,kraftheinzus,2020-09-21 21:44:17.000000,no,False,b'nutswithoutyou',"b'mrpeanutofficial,hiclubvacations'",b'We know everyone\xe2\x80\x99s going a little nuts not being able to get out and explore new places with their family. That\xe2\x80\x99s why @mrpeanutofficial is partnering with @hiclubvacations and Cedar Fair to give you a chance to win a trip or passes to your favorite spots in 2021. Because they\xe2\x80\x99ve been going #NUTSwithoutyou. \n\nRegister at link in bio. \n\n*No purchase necessary. All passes/trips will not take place until 2021 and are subject to change based on CDC guidelines.',0,0,106,15,,,
CFNiB69B6p5,kraftheinzus,2020-09-16 20:52:26.000000,yes,False,b'kraftheinz',b'',"b'In support of our Vision To Sustainably Grow by Delighting More Consumers Globally, we are committed to responsible, sustainable practices extending to every facet of our business. The Kraft Heinz Environmental Social Governance strategy prioritizes the issues that matter most to the company\xe2\x80\x99s business and stakeholders, focusing on areas that have the greatest impact. To see how #KraftHeinz is working to create a healthier, more sustainable environment, visit the link in our bio for our full 2020 ESG report'",750,107.797,99,2,,,
CEpU2aRBgox,kraftheinzus,2020-09-02 19:22:06.000000,no,False,b'hereatkraftheinz',b'',b'The full first season of \xe2\x80\x98Table Stakes\xe2\x80\x99 is now available! The podcast takes food lovers on an aural taste tour around the world. The first seven episodes include reporting and interviews from the tomato fields of California to a taste kitchen in the ancient town of Nijmegen in the Netherlands. Our last episode in this inaugural season features Canadian foodservice \xe2\x80\x93 specifically corporate chef Thomas Heitz. Listen on all major podcast providers or visit bio for link  #HereAtKraftHeinz',0,0,56,1,,,
CDz824qlv4A,kraftheinzus,2020-08-13 01:59:15.000000,yes,False,"b'babynut,makemybirthdaynuts'",b'',b'Our little legume is all grown up. Help us shellebrate #BabyNut as he grows into Peanut Jr. and turns the legal drinking age of twenty fun! :peanuts::party_popper::birthday_cake: #MakeMyBirthdayNuts',1310,19.833,234,6,,,
CDg_XQhDTVe,kraftheinzus,2020-08-05 17:09:02.000000,no,False,"b'kmcforbreakfast,sweepstakes,kmcforbreakfast,kraft'",b'kraft_macandcheese',"b'It\xe2\x80\x99s official: @kraft_macandcheese is approved for breakfast! Use #KMCforBreakfast + #Sweepstakes on Twitter for a chance to win a limited-edition breakfast box. And for every #KMCforBreakfast hashtag used, 10 boxes of #Kraft Mac & Cheese will he donated to Feed the Children, a leading global hunger relief organization.'",0,0,192,11,,,
CC6lTXTjuig,kraftheinzus,2020-07-21 19:10:10.000000,no,False,b'',"b'heinz,oscarmayer'","b'Baseball sure looks a little different this year so @heinz is stepping up to the plate for fans this season by bringing the ultimate baseball experience right to their home. \n\nEnter for a chance to win your very own HEINZ Stadium Ketchup kit that includes a coupon for a free package of @oscarmayer hot dogs, hot dog trays to serve up the perfect stadium hot dog, napkins, and a HEINZ red foam finger to help you cheer on your favorite team. Link in bio. :tomato::hot_dog::baseball:'",0,0,138,4,,,
CClhuQnlVn_,kraftheinzus,2020-07-13 14:54:50.000000,no,False,"b'nationalfrenchfryday,heinz,thegreatamericantakeout,sweepstakes'","b'heinz,thegreatamericantakeout,thegatakeout'","b'Today, @heinz is teaming up with The Great American Takeout to take over #NationalFrenchFryDay. Are you a lover of #Heinz Ketchup & fries? Show us the creative ways you use ketchup for a chance to win. \n\nOne grand prize winner will be awarded funds to cover 57 future takeout orders and fifty additional winners will be awarded $57 toward their next to-go orders! To enter:\n\n:tomato: Order takeout today, July 13th \n:tomato: Post a pic showing an artistic use of Ketchup, using both hashtags #TheGreatAmericanTakeout & #sweepstakes\n:tomato: Tag @thegreatamericantakeout (Instagram) or @TheGATakeout (on Twitter)\n\nOfficial rules in bio.'",0,0,113,0,,,
CCY1T_gltms,kraftheinzus,2020-07-08 16:35:53.000000,no,False,"b'wienermobiles,kraftheinz,hereatkraftheinz'",b'oscarmayer',"b""Ever wondered what it's like to be a Hotdogger, one of the people who drive our famous @OscarMayer #Wienermobiles? \n\nCheck out Table Stakes, our new podcast series that explores the true value of food through global behind-the-scenes stories of #KraftHeinz. First three episodes available now. Link in bio #HereAtKraftHeinz""",0,0,96,1,,,
CB0qLumFPbW,kraftheinzus,2020-06-24 15:25:58.000000,no,False,b'maskclub',"b'maskclubofficial,kraft_macandcheese,heinz,jello,koolaid,oscarmayer,feedingamerica'","b""Phone :white_heavy_check_mark: Keys :white_heavy_check_mark: Wallet :white_heavy_check_mark: Mask :white_heavy_check_mark: In partnership with @maskclubofficial, we\xe2\x80\x99ve launched @kraft_macandcheese, @heinz, @jello, @koolaid, and @oscarmayer branded masks. For every mask purchased, #MaskClub gives back to America's first responders with a buy one, give one policy. Additionally, we're turning the royalty sales into a donation of 100,000 meals to @feedingamerica. Link in bio.""",0,0,181,4,,,
CBl2kJjjua6,kraftheinzus,2020-06-18 21:25:33.000000,no,False,b'weareproud',b'',"b""For Pride Month, we\xe2\x80\x99re celebrating our LGBTQ+ colleagues, friends, and communities, and focusing on one very important subset of our community: Black, Indigenous, and People of Color (BIPOC). We're raising money through employee donations and Company matching for Brave Space Alliance, the first Black-led, trans-led LGBTQ+ Center on the South Side of Chicago. The need to ensure equality is urgent now more than ever and #WeAreProud to support our LGBTQ+ colleagues with Pride! :red_heart_selector::orange_heart::yellow_heart::green_heart::blue_heart::purple_heart::brown_heart::black_heart::white_heart:""",0,0,230,7,,,
CBMMZSfDrIs,kraftheinzus,2020-06-08 22:16:04.000000,no,False,b'',b'',"b'Today we\xe2\x80\x99re taking several actionable steps to support Black communities and our employees, starting with a $1 million commitment to support food programs & social justice organizations serving African American communities. For a full list of commitments, visit the link in our bio.'",0,0,284,6,,,
CAtTvdhg_uZ,kraftheinzus,2020-05-27 22:25:48.000000,yes,False,"b'ketchup,heinz,tech'","b'heinz,casetify'","b'@Heinz makes everything better. Literally everything. For National #Ketchup Day on June 5th, #Heinz teamed up with @CASETiFY to launch the most delicious #tech accessory collection ever. Join the waitlist in our bio. :tomato::mobile_phone::heart_suit_selector:'",1044,4.8,225,5,,,
CAYJknxgbSv,kraftheinzus,2020-05-19 17:12:57.000000,yes,False,"b'stayconnected,stayhome'",b'',"b'Ooooh yeah, times are nuts right now. #StayConnected #StayHome'",1140,54.233,232,7,,,
