shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYUzRzDZ1R,krogerco,2020-12-04 15:00:18.000000,no,False,b'',b'',"b'Our Caramel Apple Pie-wich is the perfect treat to refresh your holiday baking! With Free Pickup on fresh ingredients like oatmeal cookies, caramel, apples, and buttercream, this is the pie-sandwich combo you never knew you needed :clapping_hands:'",0,0,275,19,,,
CIVyatrsY6q,krogerco,2020-12-03 15:21:25.000000,yes,False,b'',b'',"b'Looking for a fresh drink to sip this season? Try our Coquito! With nutmeg and coconut, this Puerto Rican, tropical twist on the classic Eggnog is the perfect winter cocktail. Get all the ingredients you need with Free Pickup!:Christmas_tree:'",8819,5.3,258,11,,,
CITLNW2jv_s,krogerco,2020-12-02 15:00:16.000000,no,False,b'',b'',"b'Don\xe2\x80\x99t be fooled by their size! These fresh and festive Very Raspberry Peppermint Macarons pack a mighty punch. Colorful, sweet, and made with a handful of ingredients, these are the perfect way to spread holiday cheer this season :Christmas_tree:'",0,0,279,24,,,
CIQmaXXjX_I,krogerco,2020-12-01 15:00:15.000000,no,False,b'',b'',"b'On the top of our list this holiday? The Santa\xe2\x80\x99s Break! A whole holiday dinner, in one perfect sandwich. This flavorful and updated classic is a fresh present for your taste buds :winking_face:'",0,0,282,12,,,
CIOBoA6joAS,krogerco,2020-11-30 15:00:21.000000,no,False,b'',b'twopeasandpod',b'Looking forward to Thanksgiving leftovers? Check out this recipe by @twopeasandpod using your favorite remnants from the holiday feast. :drooling_face:',0,0,305,12,,,
CIGWqKojWYa,krogerco,2020-11-27 15:30:12.000000,no,False,b'',b'immaculatebites',"b'Leftovers have taken on a new meaning! Butter up a few pieces of toast and add in ham, turkey and all the fixings for this leftovers recipe by @immaculatebites'",0,0,305,131,,,
CIBKy5pM8RN,krogerco,2020-11-25 15:10:19.000000,no,False,b'',b'consciouschris',"b'Have some Thanksgiving leftovers that need eating? Try @consciouschris\xe2\x80\x99s amazing recipe featuring vegan favorites like plant-based turkey slices, mashed potatoes, and stuffing. :face_savoring_food:'",0,0,356,26,,,
CIBKy5pM8RN,krogerco,2020-11-25 15:10:19.000000,no,False,b'',b'consciouschris',"b'Have some Thanksgiving leftovers that need eating? Try @consciouschris\xe2\x80\x99s amazing recipe featuring vegan favorites like plant-based turkey slices, mashed potatoes, and stuffing. :face_savoring_food:'",0,0,356,26,,,
CH_DJRwHRqB,krogerco,2020-11-24 19:24:52.000000,no,False,b'',b'',b'There are many ways to spread holiday cheer this season :blue_heart: Shout-out to Alyson and our Kroger associates for their hard work in making this generous act a success!',0,0,453,25,,,
CH0mQ3VA85N,krogerco,2020-11-20 18:00:15.000000,no,False,b'',b'',b'We want to expand our network of diverse social influencers & content creators :blue_heart: Check out the survey link in our bio for partnership consideration!',0,0,319,58,,,
CH0RqpUDnyz,krogerco,2020-11-20 15:00:15.000000,no,False,b'',b'localhaven',"b'Did someone say lasagna?! If you love it as much as @localhaven, you\xe2\x80\x99ll love this cheesy recipe. Kroger\xe2\x80\x99s Free Pickup makes it easy to get everything you need to skip the line. Head to the link to shop Holiday meal essentials.'",0,0,334,21,,,
CHxs4JVjFoa,krogerco,2020-11-19 15:00:18.000000,no,False,b'',b'keto_rebel',b'@keto_rebel knows how to spend more time creating tasty recipes than shopping for ingredients. Skip the line and order online. With Kroger\xe2\x80\x99s Free Pickup you can be cooking this casserole in no time!',0,0,408,141,,,
CHvIFXZo-XC,krogerco,2020-11-18 15:00:21.000000,no,False,b'',b'realandvibrant',"b'Looking to make your own harvest bowl like @realandvibrant, but you are out of ingredients? No need to worry! Just head to the Kroger app, order your ingredients, skip the line and pick them up at a Kroger near you!'",0,0,225,35,,,
CHsjS4aDWlM,krogerco,2020-11-17 15:00:18.000000,yes,False,b'',b'',b'The only thing easier than our recipe for a Cranberry Gin Cocktail is getting a variety of fresh ingredients for all your holiday needs :raising_hands:',4427,4.3,232,30,,,
CHidGE8sVa9,krogerco,2020-11-13 16:53:47.000000,no,False,b'',b'',"b'Looking to cook up something fresh this Thanksgiving? With Free Pickup, you can get all the ingredients you need to make this flavor packed Chickpea and Brussels Sprouts Stuffed Acorn Squash!'",0,0,275,39,,,
CHfuvK3AwjU,krogerco,2020-11-12 15:30:12.000000,no,False,b'',b'',"b'Get all your favorite Thanksgiving flavors in one bite! The Gobbler is so tasty, it just might end up replacing the turkey this year :winking_face: And with Free Pickup, getting the ingredients to make this masterpiece have never been easier.'",0,0,396,35,,,
CHdGgpfAQoJ,krogerco,2020-11-11 15:00:13.000000,no,False,b'veterans',b'giumarravineyards',b'Happy Veterans Day! Check out the link in our bio for the full interview with one of our suppliers @giumarravineyards. Their long standing commitment to hiring Veterans makes us proud to carry their products on our shelves. Stay tuned for more stories about our incredibly diverse suppliers in the future! #Veterans',0,0,266,14,,,
CHajAgOnxwx,krogerco,2020-11-10 15:11:31.000000,no,False,b'',"b'giumarravineyards,giumarravineyards'","b'One of our amazing suppliers @giumarravineyards has a long-standing tradition of hiring Veterans. Check out our interview with HR Director, and Veteran, David Aquino, where he discusses his favorite ways to enjoy @giumarravineyards grapes. Stay tuned for more stories about our incredibly diverse suppliers in the future!'",0,0,232,13,,,
CHX89BpheZz,krogerco,2020-11-09 15:00:35.000000,yes,False,b'veterans',b'giumarravineyards',"b'We\xe2\x80\x99re proud to share our shelves with amazing suppliers like @giumarravineyards. Listen to our interview with HR Director and Veteran, David Aquino, on why hiring Veterans is important. More stories about our amazing suppliers coming soon! #Veterans'",1877,30.033,125,15,,,
CHQOidUgKeH,krogerco,2020-11-06 15:00:11.000000,yes,False,b'',b'',b'We\xe2\x80\x99re wiping down high-touch areas to ensure you know you\xe2\x80\x99re in good hands. See how we keep our stores clean to make sure your shopping experience is a feel-good experience.',4052,10.8,185,14,,,
CHNqmHvhAMh,krogerco,2020-11-05 15:07:42.000000,yes,False,b'',b'',b'We\xe2\x80\x99re doing everything we can to make sure our shoppers have a feel-good experience in all of our stores. We can\xe2\x80\x99t wait to see you!',5052,2.033,247,19,,,
CHLWHMzg06V,krogerco,2020-11-04 17:30:16.000000,yes,False,b'',b'',b'We\xe2\x80\x99re so happy to share what we\xe2\x80\x99ve been doing to make sure you feel good when shopping! :smiling_face_with_smiling_eyes:  See how we keep our stores clean and safe.',4203,15.0,188,27,,,
CHBKzEfhI4A,krogerco,2020-10-31 18:40:20.000000,yes,False,b'halloween',b'',"b'We have the perfect spooky recipe to add to your Halloween treats, a Monster Cookie Surprise! Get all the ingredients for a price that\xe2\x80\x99s lower than low. Find the recipe in our link in bio! :cookie::orange_heart: #Halloween'",2706,28.491,190,5,,,
CG-lO5nBoiV,krogerco,2020-10-30 18:32:16.000000,yes,False,"b'halloween,betterforlower'",b'',b'This Mummy Cake recipe will turn your twinkies into a delicious fright that your family will love. We always offer ways to save (and scare)! Find the recipe on our website!:ghost: #Halloween #BetterForLower',5758,15.0,299,17,,,
CG-GXMtB_3I,krogerco,2020-10-30 14:03:04.000000,yes,False,b'halloween',b'',b'Delight your guests with these Haunted Caramel Apples! :spider_web: Tip: Roll the caramel in toppings and crushed candy bars for a crunchy exterior.\nFind the recipe in our link in bio! :ghost::red_apple::spider_web: #Halloween',2164,29.425,152,7,,,
CG7hUTRD6PW,krogerco,2020-10-29 14:00:18.000000,no,False,b'',b'krogerco',b'Who doesn\xe2\x80\x99t love a candy corn surprise? Get all the ingredients and supplies you need for this spooky recipe at @krogerco. Find the recipe in the comments below and head to our link in bio to shop the ingredients.',0,0,337,20,,,
CG48hD2D5Bk,krogerco,2020-10-28 14:00:15.000000,no,False,b'',b'krogerco',"b'Spooky snacks are a must-have for your Halloween Haunt. Get all your Halloween supplies, props, and more at @krogerco.'",0,0,478,22,,,
CG2XubSDh8K,krogerco,2020-10-27 14:00:17.000000,no,False,b'',b'krogerco',"b'Trick or treats, de\xcc\x81cor, and more! Find all your Halloween supplies at @krogerco for a price that can\xe2\x80\x99t be beat!'",0,0,187,5,,,
CG0KTEzhlCo,krogerco,2020-10-26 17:25:16.000000,yes,False,b'',b'',"b'Through our new Framework for Action: Diversity, Equity & Inclusion plan, developed in collaboration with our associates and leaders, we are committed to advancing meaningful change through 10 immediate actions. Learn more here:\nwww.thekrogerco.com/StandingTogether'",2720,73.26,159,13,,,
CGvtEVNB5sT,krogerco,2020-10-24 23:52:09.000000,yes,False,b'betterforlower',b'',b'Egg Nests pack a punch of flavor and gooey goodness :smiling_face_with_heart-eyes:\nGrab this flavorful recipe and find all the fresh ingredients you need at Kroger. #BetterforLower',6215,15.0,335,8,,,
CGvLqyzgAvw,krogerco,2020-10-24 19:00:16.000000,yes,False,b'betterforlower',b'',b'Fall mornings call for a taste of pumpkin greatness :jack-o-lantern: Try this Pumpkin French Toast recipe that can be made in just 11 minutes. Click the link in our bio for the recipe. #BetterForLower',3111,30.033,185,11,,,
CGu0LFAh8sS,krogerco,2020-10-24 15:34:58.000000,yes,False,b'betterforlower',b'',"b'Meatless Monday? Tostada Tuesday? Whatever you want to call it, this recipe for Meatless Pita Tostadas is the perfect option for fall. Packed with flavor and nutrition, you can grab all the ingredients you need at Kroger. Find the recipe at the link in our bio! #BetterforLower'",4819,15.0,257,3,,,
CGsJbKNBXd3,krogerco,2020-10-23 14:43:02.000000,yes,False,b'',b'',"b'Savory and salty makes the perfect combo! Check out this recipe for Pumpkin Beer Pretzels using brown sugar, kosher salt and pumpkin beer paired with a creamy cheese queso that has a kick. And with personalized savings and weekly ads, Kroger makes it easy to save on all the ingredients for this fall recipe!'",2925,31.525,162,4,,,
CGpkLhVBnfL,krogerco,2020-10-22 14:39:03.000000,yes,False,b'',b'',"b'Pizza with a twist? Try this Spicy Mexican Pizza with just 6 ingredients: pizza crust, shredded Mexican cheese, red onion, refried beans, Mexican tomatoes and green onions.'",2294,20.048,151,7,,,
CGihcMvHbiM,krogerco,2020-10-19 21:00:13.000000,no,False,b'',b'',b'What fruit would you like to have to get this deal on? :banana::red_apple::grapes:',0,0,224,15,,,
CGiM14In9yx,krogerco,2020-10-19 18:00:14.000000,no,False,b'',b'',b'What was the most difficult subject for you in school as a kid? For us it was fractions :grinning_face_with_sweat::pizza::abacus:',0,0,202,8,,,
CGhxYUTnBUN,krogerco,2020-10-19 14:00:16.000000,no,False,b'',b'',b'Keep your child\xe2\x80\x99s mind stimulated with more ways to learn and more ways to save. :brain:',0,0,226,6,,,
CGhjsskHPjJ,krogerco,2020-10-19 12:00:43.000000,no,False,b'hispanicheritagemonth',b'holajalapeno',b'Check out this Chilaquiles Rojos recipe @holajalapeno shared with us for #HispanicHeritageMonth. Get all the ingredients needed to spice up your dinner with delivery or free pickup!',0,0,232,5,,,
CGU5au4jeBl,krogerco,2020-10-14 14:00:49.000000,yes,False,b'',"b'buzzfeedtasty,simpletruth'","b'@buzzfeedtasty is turning snack time up to 100 with these sweet and cinnamony apple roll-ups! They\xe2\x80\x99re easy to make and delicious to taste, so grab your mixing bowl, your @SimpleTruth Gala Apples, and start baking!'",6683,58.633,469,1257,,,
CGSUl9gjnHB,krogerco,2020-10-13 14:00:16.000000,no,False,b'hispanicheritagemonth',b'muybuenocooking',"b""Time to spice up your Taco Tuesday! :face_savoring_food: Try this Crispy Potato Taco recipe from @muybuenocooking. Kroger has all the ingredients you'll need at the best price. #HispanicHeritageMonth""",0,0,474,89,,,
