shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIY-ORUJMXV,kubotausa,2020-12-04 21:02:06.000000,no,False,"b'kubotacountry,kubotausa,mykubotacan,kubotatractors'",b'crowfoot.valley.farm',"b'That first tractor on a new farm feeling :smiling_face_with_sunglasses:. \n\nWelcome to #KubotaCountry, @crowfoot.valley.farm. \n\n#KubotaUSA #MyKubotaCan #KubotaTractors'",0,0,1637,20,,,
CIWZOHaHh08,kubotausa,2020-12-03 21:00:19.000000,no,False,"b'kubotacountry,kubotausa,mykubotacan,kubotatractors,lawns,lawnmowers'",b'',"b""Now that temperatures have dropped in many regions across the U.S, it's the perfect time to spend your 'shop days' on maintenance - from replacing belts and sharpening blades to changing the oil, come spring time your machine will thank you.\n\n #KubotaCountry #KubotaUSA #MyKubotaCan #KubotaTractors #Lawns #LawnMowers""",0,0,702,4,,,
CIQoJfEr9uL,kubotausa,2020-12-01 15:15:19.000000,no,False,b'',b'',b'Clearing a path for the final month of the year- hello December. :snowman_without_snow:',0,0,1624,16,,,
CIORE4plVOf,kubotausa,2020-11-30 17:15:14.000000,no,False,"b'kubotacountry,kubotausa,mykubotacan,kubotatractors'",b'',b'*Auto replies: Never\n\n#KubotaCountry #KubotaUSA #MyKubotaCan #KubotaTractors',0,0,981,12,,,
CID95A6LFrt,kubotausa,2020-11-26 17:15:12.000000,no,False,"b'kubotacountry,kubotausa,mykubotacan,kubotatractors,thanksgiving,harvest'",b'',"b'From our family to yours, Happy Thanksgiving. :ear_of_corn:\n\n#KubotaCountry #KubotaUSA #MyKubotaCan #KubotaTractors #Thanksgiving #Harvest'",0,0,396,6,,,
CIBU2TUJHfn,kubotausa,2020-11-25 16:38:35.000000,yes,False,"b'kubotacountry,kubotausa,mykubotacan,kubotatractors,haytools'",b'heritageagriculture',"b'Built Right, Built Ready :registered: with this dynamic duo. \n\nThanks to @heritageagriculture for capturing the M7 and BV4180! \n\n#KubotaCountry #KubotaUSA #MyKubotaCan #KubotaTractors #Haytools'",19155,12.666,1488,16,,,
CH-0FCvLaSr,kubotausa,2020-11-24 17:13:14.000000,no,False,"b'kubotacountry,kubotausa,mykubotacan,kubotaconstruction'",b'clearview_landservices',b'Grappling with big jobs in the SVL 95-2s.\n\n:camera:: @clearview_landservices\n\n#KubotaCountry #KubotaUSA #MyKubotaCan #KubotaConstruction',0,0,1508,15,,,
CH-0FCvLaSr,kubotausa,2020-11-24 17:13:14.000000,no,False,"b'kubotacountry,kubotausa,mykubotacan,kubotaconstruction'",b'clearview_landservices',b'Grappling with big jobs in the SVL 95-2s.\n\n:camera:: @clearview_landservices\n\n#KubotaCountry #KubotaUSA #MyKubotaCan #KubotaConstruction',0,0,1508,15,,,
CH8AhmRpoXZ,kubotausa,2020-11-23 15:06:00.000000,yes,False,"b'kubotacountry,kubotacountry,kubotacountry'",b'',"b""Last week you saw us share about #KubotaCountry- now it's your turn! We want to see all the hay balin', tractor towin', grass cuttin', snow plowin', concrete crushin', trench diggin', power operatin', smoothe ridin' and soul buildin' in #KubotaCountry. Tag us in your photos with #KubotaCountry and let us know what's going on in your neck of the woods!""",2391,9.3,425,0,,,
CH1LyOCpGtE,kubotausa,2020-11-20 23:27:57.000000,no,False,"b'kubotacountry,kubotausa,mykubotacan,landscaping'",b'hanahgracegardens',b'Meet Abigail from @hanahgracegardens! Swipe to learn more about her landscaping business and find out which piece of Kubota equipment helped take her business to the next level.\n\n#kubotacountry #kubotausa #mykubotacan #landscaping',0,0,710,17,,,
CHvC822o4CA,kubotausa,2020-11-18 14:15:23.000000,no,False,"b'kubotacountry,kubotausa,mykubotacan,kubotatractors'",b'jason_regenscheid',b'Kubota Country is both old and young - spanning across generations with rich heritage and culture :fishing_pole:\n\n:camera:: @jason_regenscheid\n\n#KubotaCountry #KubotaUSA #MyKubotaCan #KubotaTractors',0,0,625,1,,,
CHseJOVgEbE,kubotausa,2020-11-17 14:15:15.000000,no,False,"b'kubotacountry,kubotacountry,kubotausa,mykubotacan,kubotatractors'",b'',"b'North, South, East and West - rep your region. #KubotaCountry where do you call home? :round_pushpin:\n\n#KubotaCountry #KubotaUSA #MyKubotaCan #KubotaTractors'",0,0,1306,211,,,
CHp5WNer39g,kubotausa,2020-11-16 14:15:14.000000,no,False,"b'kubotacountry,kubotacountry,kubotacountry,kubotausa,mykubotacan,kubotatractors'",b'',"b""Hey, #KubotaCountry. If you're new around here, welcome to the family! We use #KubotaCountry frequently and thought we'd breakdown a little bit more of it's meaning this week. First off, Kubota Country is not one place or one story. Rather, it is the culmination of moments that come together over time to tell our story in progress. It\xe2\x80\x99s where we are drawn together by a kindred spirit, a community with shared interests and entrepreneurial drive, to celebrate the lives we live and the work we do, one moment at a time and from one town to the next. \n\nKubota Country is the familiar. Kubota Country is the land where you operate. Kubota Country is multi-generational. Kubota County is an ongoing story written by you- Kubota Country IS you. \n\n#KubotaCountry #KubotaUSA #MyKubotaCan #KubotaTractors""",0,0,850,6,,,
CHjIvtBL-75,kubotausa,2020-11-13 23:15:06.000000,no,False,b'',b'',b'Up close and personal with your favorite shade of orange. :orange_circle:',0,0,1746,8,,,
CHfmKX8rgwo,kubotausa,2020-11-12 14:15:11.000000,no,False,"b'kubotacountry,kubotausa,mykubotacan,rtv'",b'',"b""Fallin' in love with a RTV ... don't leaf it behind this season. :fallen_leaf:\n\n#KubotaCountry #KubotaUSA #MyKubotaCan #RTV""",0,0,881,7,,,
CHdFFgSJTR-,kubotausa,2020-11-11 14:47:39.000000,no,False,"b'veteransday,kubotacountry,kubotausa,mykubotacan,kubotatractors'","b'kubotausa,farmerveterancoalition,farmerveterancoalition'","b""We salute our Veterans today and every day! Your service to our country will never be lost on all of us here at @kubotausa and beyond. \n\nIt's our honor to partner annually with the @farmerveterancoalition through our Geared to Give initiative to recognize and donate equipment to Veterans who are committed to their communities and farming. Swipe to see some of our 2020 recipients. #VeteransDay\n\n:camera:: @farmerveterancoalition \n\n#KubotaCountry #KubotaUSA #MyKubotaCan #KubotaTractors""",0,0,1017,6,,,
CHaha7aJLJS,kubotausa,2020-11-10 14:57:31.000000,no,False,"b'special,kubotacountry,kubotausa,mykubotacan,kubotatractors,haytools'",b'',"b""Confidence you can count on. Been thinking about purchasing your first hay tool or expanding your current lineup? Our two-year industry leading warranty let's you try any of our hay tools out with confidence.\n\nLearn More: https://www.kubotausa.com/farm-implements#special-offers\n\n#KubotaCountry #KubotaUSA #MyKubotaCan #KubotaTractors #Haytools""",0,0,829,5,,,
