shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYZ_Q4HUHU,landolakesinc,2020-12-04 15:45:29.000000,no,False,"b'afalc20,landofopportunity2021'",b'agfutureamerica',"b'\xe2\x80\x9cYou\xe2\x80\x99re going to step into all sorts of different situations, and you\xe2\x80\x99re going to make all sorts of wrong decisions over time. The most important thing in business and in life is knowing how to pick yourself up, dust off, take the learnings and move forward.\xe2\x80\x9d \xe2\x80\x93 Heather Anfang, senior vice president of dairy foods.\n.\nWe\xe2\x80\x99re committed to agriculture and its future leaders and their pursuit of resilience. Heather was honored to join a panel of leaders to share about Leading to Foster Resilience with college students at @AgFutureAmerica\xe2\x80\x99s Leaders Conference. #AFALC20 #LandofOpportunity2021'",0,0,87,3,,,
CIQq---nJFV,landolakesinc,2020-12-01 15:41:18.000000,yes,False,b'landofopportunity2021',b'',"b""Did you know that Land O\xe2\x80\x99Lakes is a cooperative? That means we work for our farmer-members \xe2\x80\x94 not Wall Street. Join us, and you'll be solving some of the world\xe2\x80\x99s most important food challenges through innovation and ag technology \xe2\x80\x94 exactly when it matters most. Find out more at\xc2\xa0careers.landolakesinc.com, linked in our bio. #LandofOpportunity2021""",951,83.313,97,5,,,
CIDwRfRni4v,landolakesinc,2020-11-26 15:16:36.000000,yes,False,b'',b'',"b'When we asked our customers to share their thanks for those who put food on their tables, they delivered. We got hundreds of messages and\xc2\xa0handwritten notes expressing two words that aren\xe2\x80\x99t said nearly enough: Thank You.:red_heart_selector:'",267,59.999,48,0,,,
CH0ga4BnWW3,landolakesinc,2020-11-20 17:09:02.000000,no,False,b'landofopportunity2021',b'',"b'Our thanks and applause goes out to our essential supply chain workers. They have helped keep America fed during the pandemic, getting food from farmers to all our tables. We\xe2\x80\x99re hiring drivers and supply chain pros to help us continue to fulfill this mission. Apply at the link in our bio. #LandofOpportunity2021'",0,0,187,2,,,
CHstwtgnYGG,landolakesinc,2020-11-17 16:31:41.000000,no,False,b'landofopportunity2021',b'carlsonschoolumn',b'Nichole from @carlsonschoolumn spent last summer gaining hands-on experience gleaning insights and analyzing market trends in dairy. She says the program helped her explore her interest in dairy and CPG while contributing to real-world projects. Summer 2021 internships in finance and marketing are now open \xe2\x80\x94\xc2\xa0apply today! Check out the link in our bio. #LandofOpportunity2021',0,0,95,4,,,
CHiVuheH5Cv,landolakesinc,2020-11-13 15:49:16.000000,no,False,b'',b'',b'Did you know in 2020 Google searches for \xe2\x80\x9cchicken coop\xe2\x80\x9d more than doubled? Read more about this trend plus tips for tending to your backyard flocks from an Purina Animal Nutrition expert at the link in our bio. :rooster::rooster::egg:',0,0,58,0,,,
CHdQz2nHVWf,landolakesinc,2020-11-11 16:30:42.000000,yes,False,b'',b'',"b'Veterans, we thank you.'",346,6.0,86,0,,,
CHF82kwn9Ag,landolakesinc,2020-11-02 15:13:38.000000,yes,False,b'',b'',"b""In the latest episode of the Something Greater podcast, we're looking at recruiting talent in small-town businesses.  But our focus isn't just on the job, it's on what that job can mean to the community.  Tune into Something Greater via the link in our bio or anywhere you listen to podcasts.""",213,60.032,19,0,,,
CG5DAxxH-OH,landolakesinc,2020-10-28 14:56:52.000000,no,False,b'landofopportunity2021',b'',"b':megaphone: Calling all grad students! :megaphone: Are you looking to line up a summer internship in corporate strategy? Interns at Land O\xe2\x80\x99Lakes corporate get hands-on experience across strategy, planning and business development, so you can grow your skills in market analysis & impact modeling while working on real-world solutions to feed the world. Visit the link in our bio. #LandofOpportunity2021'",0,0,78,1,,,
CGz3q6vHIx3,landolakesinc,2020-10-26 14:43:16.000000,yes,False,b'',b'',"b'Our dairy and ag members are always working hard to feed the country \xe2\x80\x94\xc2\xa0in more ways than one. Like the Sack Pack Program in Sioux County, IA, where local co-op members have worked to get meals to hungry kids in their community. Check out their story in this video from their work in 2019!\n.\nOctober is National Co-Op Month and we have been highlighting stories featuring our co-op owners. Learn more at the link in our bio.'",353,179.164,30,0,,,
