shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIGnikyLwjn,lays,2020-11-27 17:57:34.000000,no,False,b'',b'',"b'Time to make a leftover turkey sandwich. You puttin\xe2\x80\x99 Lay\xe2\x80\x99s on, or having Lay\xe2\x80\x99s with?\xe2\x80\x8b :thinking_face:'",0,0,5368,82,,,
CH_YXWkHKpP,lays,2020-11-24 22:30:30.000000,yes,False,b'',"b'brotherspizzalv,thelasvegasfoodie'",b'Us: Pizza is perfect. You cannot improve it.\xe2\x80\x8b\n\n@brotherspizzalv: Hold my Lay\xe2\x80\x99s bag\n\n:movie_camera:: @thelasvegasfoodie',47925,45.033,5591,281,,,
CH00Aa5LmyS,lays,2020-11-20 20:00:14.000000,no,False,b'',b'dreamboardsco',b'Putting Lay\xe2\x80\x99s on a charcuterie board?! Thank us later. \xe2\x80\x8b\n\n:camera_with_flash:: @dreamboardsco',0,0,3595,36,,,
CHieGy9Bvlg,lays,2020-11-13 17:02:29.000000,no,False,b'',b'bustle',b'When your look matches your snack :smiling_face_with_3_hearts: >>\n\n@bustle',0,0,2830,47,,,
CHBVBCHLvjS,lays,2020-10-31 20:08:07.000000,no,False,b'',b'',b'If monster repellants were Lay\xe2\x80\x99s flavors\xe2\x80\xa6:woman_vampire_selector::woman_zombie_selector:',0,0,6412,151,,,
CG75WNOHGxv,lays,2020-10-29 17:30:10.000000,no,False,b'',b'',"b""Flamin' Hot Dill Pickle Fried Pickles \xe2\x80\x93 we think they\xe2\x80\x99re a big dill. :cucumber::fire:\n\nLay\xe2\x80\x99s:registered: Flamin\xe2\x80\x99 Hot Dill Pickle Crusted Pickles Recipe\n\nIngredients:\n1 jar Thick-cut dill pickle chips or spears\n1 bag Lay\xe2\x80\x99s:registered: Flamin\xe2\x80\x99 Hot Dill Pickle flavored potato chips\n2 Eggs + 1 Tbsp. Water\n1 cup All-Purpose flour\n\xc2\xbc cup Corn starch\n1 tsp. Kosher salt\n1 tsp. Garlic powder\n\xc2\xbd tsp. Cayenne pepper\n\xc2\xbc tsp. Black pepper\n \nInstructions:\nPre-heat oven to 375 \xc2\xb0F.\nDrain dill pickle chips or spears from pickle juice. Lightly pat pickles dry with a paper towel.\nCrush the Lay\xe2\x80\x99s:registered: Flamin\xe2\x80\x99 Hot dill Pickle chips, and pour into a shallow tray or plate.\nIn a bowl, make egg-wash by whisking together the eggs and water.\nMake seasoned flour by mixing the flour and cornstarch with all spices and seasonings. Place into a shallow tray or plate.\nBread the dill pickles by lightly tossing in the seasoned flour. Shake off the excess, then dip into the egg-wash. Finally, coat the pickles with the crushed Lay\xe2\x80\x99s:registered:, gently pressing the chip pieces to adhere to the pickles.\nTransfer the crusted pickles onto a sheet tray lined with parchment paper.\nBake for approximately 15 minutes, or until the coating is crunchy, but chips are not burnt.\nAllow to cool slightly before serving alongside your favorite dipping sauce!""",0,0,3456,40,,,
CG5CjSDLZmI,lays,2020-10-28 14:52:50.000000,no,False,b'smilewithlays',"b'veronicaannpeterson,confettifoundation,mrlewisspears,themikefio,bodapo,nickfio,hoandodotcom'",b'We\xe2\x80\x99re big cheesing over this year\xe2\x80\x99s Smile With Lay\xe2\x80\x99s program. :grinning_face_with_smiling_eyes: Thank you to our Everyday Smilers for being part of this year\xe2\x80\x99s initiative and YOU for helping us spread joy! #SmileWithLays\n\n:camera_with_flash:: \n@veronicaannpeterson\n@confettifoundation\n@mrlewisspears\n@themikefio\n@bodapo\n@nickfio\n@hoandodotcom',0,0,3911,56,,,
CGsc_z9LG0X,lays,2020-10-23 17:33:48.000000,no,False,b'',b'',"b'Chip or treat! Get into spooky SZN by making these Lay\xe2\x80\x99s chocolate-covered ghoulish treats. :ghost::woman_zombie_selector: Recipe below.\xc2\xa0\n\nIngredients:\nOne bag of Lay\xe2\x80\x99s Wavy chips \n\xc2\xbd cup of milk chocolate chips\n\xc2\xbd cup of espresso chips\n\xc2\xbd cup of white chocolate \nCoconut oil \nEdible candy eyes\nMixed sprinkles \nColored food dye\n\nRecipe: \nPlace \xc2\xbd cup of milk chocolate chips with \xc2\xbd tablespoon of coconut oil in a microwave safe bowl. Heat in the microwave on 50% power level for 30 seconds until chocolate is melted. Do the same with the espresso chips and white chocolate, until all chocolate is melted. Add preferred food dye color to white chocolate and mix. \nDip Lay\xe2\x80\x99s Wavy chips into chocolate as desired and lay on parchment paper to dry (espresso chocolate for bats, milk chocolate for monsters). Drizzle colored white chocolate on top to add some flare.\nTop with edible eyes and sprinkles to make the bats and monsters.\nPlace in freezer for at least 30 minutes, until chocolate dries.\nEnjoy!'",0,0,2841,62,,,
CGnwl5_rFQ8,lays,2020-10-21 21:48:49.000000,no,False,b'',b'',b'Absolutely breathtaking (the mountains/lake/trees/sky are alright too).',0,0,2975,29,,,
CGiIOTXAs47,lays,2020-10-19 17:20:09.000000,yes,False,b'',b'traceeellisross',"b""Which chips from the Lay's family speak to you? Asking for @traceeellisross...""",11773,30.033,1908,68,,,
CGf4RZgA6j6,lays,2020-10-18 20:22:00.000000,no,False,b'',"b'bustle,gilliehouston'","b""Lay's Poppables Creamy Jalape\xc3\xb1o? As a topping? On Mac and Cheese? Yes plz.\n\nGet the recipe from @Bustle and @gilliehouston below :cheese_wedge:\n\nIngredients:\n1-pound dried cavatappi pasta (or another short pasta)\n6 tbsp unsalted butter, divided\n1/2 medium yellow onion, diced\n3 fresh jalape\xc3\xb1os, deseeded and diced\n4 cloves garlic, minced\n1/4 cup all-purpose flour\n3 cups half-and-half\n5 oz cream cheese\n1 cup Colby Jack, Monterrey Jack, our Pepper Jack cheese, shredded\n1 cup cheddar cheese, shredded\n2 cups mozzarella cheese, shredded\n1 tsp salt\n1/2 tsp black pepper\n1/4 tsp cayenne powder (optional)\n8 slices bacon, cooked and crumbled\n2 cups LAY'S:registered: Poppables:trade_mark: Creamy Jalape\xc3\xb1o Flavored Potato Snacks\n\nRecipe:\nPreheat the oven to 350\xc2\xb0F. Add butter to a large saucepan over medium heat. Add diced onion and jalape\xc3\xb1o and cook for 3 minutes, stirring occasionally. Add garlic and cook 1 minute.\nWhile the vegetables cook, add the pasta to a pot of boiling water and cook according to package instructions until just shy of al dente.\nTo the saucepan, stir in flour and cook for 2 minutes. Add in half-and-half, whisking until all flour lumps are gone. Cook for 7-8 minutes, stirring frequently, until the mixture has thickened.\nAdd in cubed cream cheese and stir until melted. Add in most of the shredded Jack, cheddar, and mozzarella cheese, reserving some for the topping. Stir until the cheese has melted and the sauce is creamy; if the sauce is too thick, add a splash of half-and-half or milk as needed. Add in salt, pepper, and cayenne and stir.\nRemove the sauce from the heat and add in the drained pasta and most of the crumbled bacon, stirring until well combined. Transfer the pasta mixture to a greased casserole dish or large cast iron skillet.\nFor the crunchy topping, crush 2 cups LAY'S:registered: Poppables:trade_mark: Creamy Jalape\xc3\xb1o Flavored Potato Snacks to a coarse texture and combine with 3 tbsp melted butter.\nTop the pasta with remaining cheese, bacon, and the LAY'S:registered: Poppables:trade_mark: Creamy Jalape\xc3\xb1o crumble. Bake 20-25 minutes until the topping is golden brown. Optional: top with sliced fresh jalape\xc3\xb1o. Serve, and enjoy""",0,0,2491,20,,,
CGS27xoBpk6,lays,2020-10-13 19:00:13.000000,no,False,b'',b'',b'Lay\xe2\x80\x99s and Hot Sauce is the move. Change our mind.\xe2\x80\x8b',0,0,3437,707,,,
CGIWB5tlJKt,lays,2020-10-09 17:00:18.000000,no,False,b'',b'',"b'Celebrate Hispanic Heritage Month and give your esquites an extra kick by adding Lay\xe2\x80\x99s Kettle Cooked Flamin\xe2\x80\x99 Hot chips. :ear_of_corn: Recipe below!\n\nESQUITES (MEXICAN CORN SALAD)\n \n1 cups fresh corn kernels, just cut from cob\n1 tablespoons unsalted butter\n1/4 teaspoon salt\n1 tablespoons mayonnaise (low fat is fine) or Mexican crema\n2 tablespoons queso fresco or cotija cheese, crumbled\n1 lime cut into wedges (optional)\n\xc2\xbd cup crushed Lay\xe2\x80\x99s Kettle Cooked Flamin\xe2\x80\x99 Hot chips\n \n1. Heat the butter in a pan.\n2. Add the corn kernels and salt. Saut\xc3\xa9 for another 4 minutes and remove from heat. Let the mixture cool slightly and stir the mayonnaise in. Move to a serving bowl.\n3. Layer into the bowl one layer of corn, followed by a layer of crumbled queso fresco or cotija cheese, and then a layer of crushed Lay\xe2\x80\x99s Kettle Cooked Flamin\xe2\x80\x99 Hot chips. Repeat so you end up with six layers total.\n4. Top with fresh squeezed lime juice.'",0,0,2271,51,,,
CGDg8G8FM-C,lays,2020-10-07 19:59:25.000000,no,False,b'',b'',b'What Lay\xe2\x80\x99s chip and flavor is this? Guess it below and we might send you some!\xe2\x80\x8b',0,0,4023,642,,,
CF-DtBjgAz1,lays,2020-10-05 17:07:43.000000,no,False,b'',"b'mnmtwinz,i_am_cin,varonnicasjourneyww,familyfooddude,sam_on_ww'","b""Lay\xe2\x80\x99s Poppables \xe2\x80\x93 perfect paired with a sandwich or as a snack :drooling_face: what's your favorite flavor?\n\n:camera_with_flash::\n@mnmtwinz\n@i_am_cin\n@varonnicasjourneyww\n@familyfooddude\n@sam_on_ww""",0,0,3760,52,,,
CF2UoQdgVRv,lays,2020-10-02 17:01:41.000000,no,False,b'',b'',b'Missing those state fair days so we came up with these fake flavors :ferris_wheel:  Which one would you grab first?',0,0,12851,357,,,
CFsF4h7gHE8,lays,2020-09-28 17:40:26.000000,no,False,b'smilewithlays',b'',"b""Which limited-time flavor puts a smile on your face \xe2\x80\x93 Lay's Kettle Cooked Beer Cheese :beer_mug::cheese_wedge: or Lay's Hot Sauce :hot_pepper:? Let us know below and we may send you a bag! \n\n#SmileWithLays""",0,0,7073,322,,,
CFXyHHCh3ob,lays,2020-09-20 20:22:51.000000,no,False,b'',"b'erica_shawty,lettieguillory,c.gato_,janfromthebradybunch,esmarlinxx,xena.neira'",b'Still holding onto these summer vibes...:sun_with_face:\n\n:camera_with_flash::\n@erica_shawty \n@lettieguillory\n@c.gato_\n@janfromthebradybunch\n@esmarlinxx\n@xena.neira',0,0,5794,88,,,
CFP6t_sDZ7j,lays,2020-09-17 19:04:10.000000,no,False,b'',b'',"b'Are we still talking about cake? Try Lay\xe2\x80\x99s Wavy with Cake Batter Dip before summer leaves us. :shortcake:\n\nCake Batter Dip Recipe \n8 oz cream cheese, softened\n8 oz whipped topping, thawed\n1/3 - 2/3 cup milk (start at 1/3 and add)\n1 box cake mix\nSprinkles\n\nINSTRUCTIONS\nIn a large bowl with a hand mixer beat the cream cheese and whipped topping until combined and smooth \n2. Add cake mix and 1/3 cup milk and stir with a wooden spoon until combined. Add milk until you get to your desired consistency. \n3. Top with sprinkles, serve with Lay\xe2\x80\x99s Wavy and enjoy!'",0,0,3530,54,,,
