shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYUy0ADlME,lego,2020-12-04 15:00:08.000000,no,False,"b'thisistheway,legostarwars,starwars,thechild'",b'',b'Complete your clan of two with the LEGO version of the Child - and a baby carrier... #ThisIsTheWay #LEGOStarWars #StarWars #TheChild',0,0,75963,406,,,
CIYAQrvoU1h,lego,2020-12-04 12:00:40.000000,no,False,"b'lego,moc,afol,legophotography'",b'insomnia_builds',b'This dystopian cyberpunk build by @insomnia_builds is seriously detailed! :face_with_open_mouth: #LEGO #MOC #AFOL #LEGOPhotography',0,0,132193,911,,,
CIVpIfMFoKX,lego,2020-12-03 14:00:08.000000,no,False,"b'legotechnic,jeep,jeepwrangler'",b'jeep',b'Look what just pulled up outside the LEGO Technic garage \xe2\x80\x93 the amazing @Jeep Wrangler Rubicon! Available from January 1st 2021. #LEGOTechnic #Jeep #JeepWrangler',0,0,93034,770,,,
CIVbdW3F6f1,lego,2020-12-03 12:00:37.000000,no,False,b'legomarvel',"b'shundeez_official,minifiguresadventures,brickcentral,marvel'","b'Heroes, villains and a spectacular headquarters. The battle for Avengers Tower is on. #LEGOMarvel :camera_with_flash: @shundeez_official  and @minifiguresadventures  from @brickcentral @marvel'",0,0,87362,264,,,
CITY-DKnn5G,lego,2020-12-02 17:00:25.000000,no,False,"b'builditbreakit,lego,2020wrapped'",b'',b'Yeah... makes sense... :smiling_face_with_sunglasses: #BuildItBreakIt #LEGO #2020Wrapped',0,0,19655,100,,,
CITLOAmqCyL,lego,2020-12-02 15:00:13.000000,no,False,"b'lego,modularbuilding'",b'',b'Welcoming a new neighbour to the Modular Buildings collection! :cityscape_selector: \nAvailable in January 2021!\n\n#LEGO #ModularBuilding',0,0,101530,861,,,
CIS2qECj15T,lego,2020-12-02 12:00:33.000000,no,False,b'buildtogive',b'',b'What does your holiday ornament look like? Build and share with #BuildToGive and we\xe2\x80\x99ll donate a LEGO set to a child in need of play.',0,0,49262,214,,,
CIQmaqEKZBz,lego,2020-12-01 15:00:10.000000,no,False,"b'lego,minifigures,legominifigures'",b'',b'Series 21 LEGO Minifigures are finally here! :party_popper::partying_face:\nWhich one is your favorite? We love that dolphin trainer! \n\n#LEGO #Minifigures #LEGOMinifigures',0,0,112421,1689,,,
CINtBCjDKRx,lego,2020-11-30 12:00:09.000000,no,False,"b'legostarwars,starwars,clonewars'",b'',b'Which Clone Wars vehicle is your favorite? Comment below! #LEGOStarWars #StarWars #CloneWars',0,0,80594,2491,,,
CILc3u9oGR7,lego,2020-11-29 15:00:33.000000,no,False,"b'legohacks,rebuildtheworld'",b'',b'Lazy Susan. Turntable. Carousel. Rotating plate. No matter what you call this LEGO brick-built circular\xe2\x80\xafthing \xe2\x80\x93 that turns when items are placed on it \xe2\x80\x93 it sure looks cool (and can really come in handy).\xe2\x80\xaf#LEGOHacks #RebuildTheWorld',0,0,50972,191,,,
CII4DBQgOnp,lego,2020-11-28 15:00:18.000000,no,False,"b'lego,starwars,design,themandalorian'",b'',b'The helmet stays on\xe2\x80\xa6 display at all times. \n#LEGO #StarWars #Design #TheMandalorian',0,0,136418,715,,,
