shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYwgZOg-BB,lgcanada,2020-12-04 19:02:15.000000,no,False,b'',b'',"b'Give yourself and your home the ultimate gift! :wrapped_gift: Enjoy your holiday with the LG 65"" OLED TV that provides movie theatre quality.'",0,0,97,6,,,
CIWlf8bgGBU,lgcanada,2020-12-03 23:34:44.000000,yes,False,"b'wfh,lifesgoodathome,lggram,lgvelvet,lgultrafine'",b'lilyyange',"b'Join @lilyyange as she shares some of her productivity hacks so you can conquer #WFH! :laptop_computer:Get the freedom to move around your space with the lightweight LG gram. And once you\xe2\x80\x99re there, enjoy the highspeed 5G connectivity of the LG Velvet! :sparkles: #LifesGoodAtHome #LGgram #LGVelvet #LGUltraFine'",596,139.319,53,8,,,
CIT4RL0Aq8s,lgcanada,2020-12-02 21:34:01.000000,no,False,"b'winedownwednesday,lgultralarge,lg,lgkitchen,lgfridge'",b'',"b'This #WineDownWednesday make room for what matters! :wine_glass::wine_glass::wine_glass: When you have the #LGUltraLarge capacity fridge, you can store more food than ever before. #LG #LGKitchen #LGFridge'",0,0,59,1,,,
CILxat3hLD6,lgcanada,2020-11-29 18:00:13.000000,no,False,"b'toasty,lgcanada,staywarm,cozy,winter'",b'',b'Stay #toasty during the winter months with LG ARTCOOL featuring LGRED technology. A great addition to keep the warm air in and cold air out :cloud_with_snow_selector: #LGCanada #StayWarm #Cozy #Winter',0,0,45,0,,,
CIHRB0bIfK7,lgcanada,2020-11-28 00:00:18.000000,no,False,"b'gamer,gaming,monitors,lgbattlestation,desksetup,battlestation'",b'',"b'Whether you\xe2\x80\x99re a beginner, intermediate or pro #gamer. The LG UltraGear:trade_mark: line has something for everyone! :video_game:\n.\n.\n#Gaming #Monitors #LGBattleStation #DeskSetUp #BattleStation'",0,0,52,0,,,
CIGaG_DlA89,lgcanada,2020-11-27 16:00:21.000000,no,False,"b'lgoledtv,blackfriday,savings,tv,lgcanada'",b'',"b""Our best promotions of the year are here! :wrapped_gift::money_with_wings:Whether you're binge watching, streaming or gaming, Black Friday weekend is your chance to snag a stunning #LGOLEDTV with self lit pixels, perfect blacks, and extraordinary detail. \n.\n.\n#BlackFriday #Savings #TV #LGCanada""",0,0,41,4,,,
CIEUNd4gFc4,lgcanada,2020-11-26 20:30:20.000000,no,False,"b'lg,mirrorstyler'",b'',"b'Bring out your winter gear from storage and give them a refresh with the LG Styler. Capable of sanitizing hard to wash items like winter jackets, comforters and more! :scarf: The best part is, it\xe2\x80\x99s all from the comfort of your home. #LG #MirrorStyler'",0,0,34,0,,,
CIB4gbEAxKN,lgcanada,2020-11-25 21:52:05.000000,yes,False,"b'lg,lifesgoodathome,thinq,oled'",b'christian_dare',"b'Join @christian_dare as he shows us how the Scandinavian de\xcc\x81cor trend Hygge can help us cozy up our surroundings. By turning your LG OLED TV screen into a living piece of art, and making sure your fabrics are always at their softest with AI ThinQ:registered: technology, you can create a snug atmosphere that lasts all the whole winter season.  #LG #LifesGoodAtHome #ThinQ #OLED'",516,208.044,37,4,,,
CH_U6U3Jvk3,lgcanada,2020-11-24 22:00:15.000000,no,False,"b'lgultragear,gaming,deals,lg'",b'',b'Keep your eyes out for some ultra deals on the LG UltraGear:trade_mark: line this month :eyes: #LGUltraGear #Gaming #Deals #LG',0,0,49,3,,,
CH_U6U3Jvk3,lgcanada,2020-11-24 22:00:15.000000,no,False,"b'lgultragear,gaming,deals,lg'",b'',b'Keep your eyes out for some ultra deals on the LG UltraGear:trade_mark: line this month :eyes: #LGUltraGear #Gaming #Deals #LG',0,0,49,3,,,
CH8sQr6AaHX,lgcanada,2020-11-23 21:26:33.000000,no,False,"b'nanocell,lg,blackfriday,savings'",b'',"b'This Black Friday, choose from a wide selection of #NanoCell TV deals that fit your viewing needs the best. :television::sparkles:The true colours on NanoCell enhance TV picture quality with a display that\xe2\x80\x99s vivid, immersive and cinematic. #LG #BlackFriday #Savings'",0,0,89,4,,,
CH5iskLFqNe,lgcanada,2020-11-22 16:05:16.000000,no,False,"b'lg,lgkitchen,lgairfry'",b'',"b'With the holidays approaching, make sure all your favourite winter recipes are cooked to perfection with our InstaView oven with built in AirFry. Get those delicious, crispy air-fried results every time. \n\nWith the EasyClean:registered: function, you can keep your oven looking beautiful and performing its best all year round. :fallen_leaf::poultry_leg::spiral_calendar_selector: #LG #LGKitchen #LGAirFry'",0,0,68,8,,,
CH063Jvh2Yq,lgcanada,2020-11-20 21:00:16.000000,no,False,"b'lgultrawide,ultrawide,wfh'",b'',"b'The best part about working from home, is the #LGUltraWide Monitor. :man_technologist: Never miss a tiny detail again with the 35"" curved #UltraWide, the best friend of #WFH :input_numbers:.'",0,0,67,3,,,
CHvxTz6huRJ,lgcanada,2020-11-18 21:00:32.000000,no,False,"b'lg,oledcx'",b'',"b""If your display is lagging, you can't perform your best. :video_game::video_game: Be sure your gaming experience is as quick as you are this season with the fast refresh rate of the #LG #OLEDCX""",0,0,61,8,,,
CHnf0uCg0gU,lgcanada,2020-11-15 15:53:41.000000,no,False,"b'cleanoutyourrefrigeratorday,lginstaview'",b'',"b'In honour of #CleanOutYourRefrigeratorDay, here are 4 tips to keep your #LGInstaView fridge neat and tidy from the inside out! :sponge:'",0,0,69,4,,,
CHimYshA0ri,lgcanada,2020-11-13 18:15:07.000000,yes,False,b'lgvelvet5g',b'',"b'It\xe2\x80\x99s the new colours for me. :red_heart_selector::green_heart: Just in time for the holidays, the #LGVelvet5G is now available in stunning Aurora Red and Green at participating carriers and retailers'",430,30.0,58,11,,,
CHYs9iKp3mF,lgcanada,2020-11-09 22:00:03.000000,yes,False,b'lgultrafine',"b'reidov,reidov'","b""With it's 31.5 inch 4K display, the LG Ultrafine:trade_mark: Display Ergo is the perfect monitor to help @reidov edit his creations.:desktop_computer_selector: Get closer to your content, all while keeping a comfortable ergonomic position, with the #LGUltraFine! :camera:: @reidov""",622,24.633,69,7,,,
CHV95R3pLyA,lgcanada,2020-11-08 20:30:15.000000,no,False,"b'lg,lgwasher,lgdryer,washerdryer,lgconnectedhome'",b'',"b'Take the guesswork out of laundry, with the LG Connected Home and the introduction of AI Laundry. Now, optimized cycle selection is available at your finger tips :thumbs_up: :check_mark: \n.\n.\n.\n#LG #LGWasher #LGDryer #WasherDryer #LGConnectedHome'",0,0,92,4,,,
CHTZCeVJK5n,lgcanada,2020-11-07 20:29:43.000000,no,False,"b'lgnanocell,lg,lgtv,nanocell'",b'',b'Watch your screen come to life with spectacular true colour on the large screen #LGNanoCell with ThinQ:registered: AI Technology in full 4k! :sunrise_over_mountains::water_wave::evergreen_tree: #LG #LGTV #NanoCell',0,0,67,3,,,
