shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIVxtnAgQbd,llbean,2020-12-03 15:15:08.000000,no,False,b'beanoutsider',b'adventures.with.z',b'Find a trail. Bring your daypack. Leave your worries. #BeanOutsider (:camera:: @adventures.with.z)',0,0,3165,14,,,
CITRIgNBMvc,llbean,2020-12-02 15:51:54.000000,no,False,"b'beanoutsider,llbeanpartner'","b'siedah_quirk,emilysawchuckphotography'","b'Warm, cozy moments aren\'t just an ""inside"" thing. #BeanOutsider #LLBeanPartner (:camera:: @siedah_quirk @emilysawchuckphotography)'",0,0,2703,20,,,
CIQu_s6B023,llbean,2020-12-01 16:15:07.000000,no,False,b'beanoutsider',b'',"b""Our founder knew from the beginning that time outside doesn't just feel good - it's good for you. #BeanOutsider""",0,0,3684,30,,,
CIOD5y8AGO-,llbean,2020-11-30 15:20:08.000000,no,False,b'beanoutsider',b'3.little.trees',"b'Head outdoors with an open heart, and it will always be fuller when you come back in. #BeanOutsider (:camera:: @3.little.trees)'",0,0,2495,25,,,
CII3VX_HyPE,llbean,2020-11-28 14:54:06.000000,no,False,b'beanoutsider',b'zach_cravens',"b""Sometimes the sound of surf crashing on the seashore is all it takes to fill you with calm. #BeanOutsider (:camera:: Instagram's @zach_cravens)""",0,0,4117,18,,,
CIGcfuhgRGY,llbean,2020-11-27 16:21:07.000000,no,False,b'beanoutsider',b'troy_brooks',"b""When you're exploring the outdoors with kids, you've got to know when to go first - and when to let them lead the way. #BeanOutsider (:camera:: @troy_brooks)""",0,0,2087,12,,,
CIDubl_FQtx,llbean,2020-11-26 15:00:06.000000,no,False,b'beanoutsider',b'outside.emily',"b""We're thankful for the healing, soothing power of the outdoors - today and every day, for our families and yours. Happy Thanksgiving. #BeanOutsider (:camera:: @outside.emily)""",0,0,3686,23,,,
CIDubl_FQtx,llbean,2020-11-26 15:00:06.000000,no,False,b'beanoutsider',b'outside.emily',"b""We're thankful for the healing, soothing power of the outdoors - today and every day, for our families and yours. Happy Thanksgiving. #BeanOutsider (:camera:: @outside.emily)""",0,0,3686,23,,,
CIBMRUag0dC,llbean,2020-11-25 15:23:07.000000,no,False,b'llbeanpartner',b'dineodowd',"b'#LLBeanPartner Dineo Dowd (@dineodowd) is an outdoor enthusiast and author of four children\'s books about hiking, camping and spending time outside: ""I wrote these books to encourage all children of color from different cultures and background to step outside and enjoy nature, because the outside is for everyone. All it takes for a child  to become inspired is to see a photo of someone in nature who looks like them."" Keep an eye out for more great photos and thoughts from Dineo in the weeks to come!'",0,0,1890,12,,,
CH8HfQ3gXKO,llbean,2020-11-23 16:05:08.000000,no,False,"b'beanoutsider,llbeanstudents'",b'belladzii',"b'Winter, spring, summer, fall - you just have to get outside and roll with it. #BeanOutsider #LLBeanStudents (:camera:: @belladzii)'",0,0,3697,54,,,
CH2ykSAgWBm,llbean,2020-11-21 14:26:07.000000,no,False,"b'beanoutsider,llbeanstudents'",b'nutella_sunshine',"b""It's always walk o'clock somewhere.#BeanOutsider #LLBeanStudents (:camera:: @nutella_sunshine)""",0,0,2947,27,,,
