shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIVrr3lHghS,lloydsbankinggroup,2020-12-03 14:22:24.000000,no,False,"b'sustainability,woodlandtrust,climatechange,nationaltreeweek'",b'woodlandtrust',"b'\xe2\x80\x9cThis year, Lloyds Banking Group announced a goal to help to reduce the carbon emissions they finance by more than 50% by 2030, working with customers, government and the market.\n\nAs part of this, they\xe2\x80\x99re supporting planting trees to help reduce the impact of climate change by absorbing carbon dioxide.  The partnership between Lloyds Banking Group and the @woodlandtrust will plant 10 million trees over 10 years, expanding the UK\xe2\x80\x99s carbon sink and contributing to reforesting the UK. These trees could absorb 2.5 million tonnes of carbon dioxide in their lifetime.\n\nSince being founded in 1972 the Woodland Trust have planted over 50 million trees, and built an estate of over 1200 woods.  Every one of our woods are free to access for all, ensuring no one is excluded from experiencing the benefits of nature.\n\nOur partnership planting schemes allow people across the UK to get involved. We\xe2\x80\x99re creating 10 new woodlands with volunteers from the Group, schools, and community groups planting the trees.  We\xe2\x80\x99re encouraging farmers to plant trees on their land through subsidised planting schemes, and in addition to this we\xe2\x80\x99ll be supplying over 500,000 free trees to schools and community groups to plant in their local area.\n\nI\xe2\x80\x99m really proud of the work that I do as the Corporate Account Manager with the Lloyds Banking Group/Woodland Trust partnership.  I know that our partnership, and the work that our teams do, is making a real difference in the fight against climate change, as well as having a positive impact for wildlife and people across the UK.\xe2\x80\x9d \n- Judith, Corporate Account Manager at Woodland Trust\n\nYou can find out more about how your local school or community group can apply for free trees by visiting: https://www.woodlandtrust.org.uk/plant-trees/schools-and-communities \n\n#Sustainability #WoodlandTrust #ClimateChange #NationalTreeWeek'",0,0,37,2,,,
CITRREtHUw8,lloydsbankinggroup,2020-12-02 15:53:04.000000,no,False,"b'sustainability,woodlandtrust,climatechange,nationaltreeweek'",b'woodlandtrust',"b""We are working with @WoodlandTrust to create a cleaner and greener UK. Together, we've made a commitment to plant 10 million trees over the next decade and help farmers transition to a low carbon future.\n\nBy 2030, we'll reduce the carbon emissions we finance by more than 50% working with customers, government and the market.\n\n#Sustainability #WoodlandTrust #ClimateChange #NationalTreeWeek""",0,0,92,5,,,
CIQBk9mHczg,lloydsbankinggroup,2020-12-01 09:38:35.000000,yes,False,"b'sustainability,woodlandtrust,climatechange,nationaltreeweek'",b'',"b'Meet Judith. She is a Corporate Account Manager for the Woodland Trust, and works closely with us on our partnership to plant 10 million trees over the next decade, as part of our commitment to combat climate change and build a greener future for the UK :deciduous_tree: \n\n#Sustainability #WoodlandTrust #ClimateChange #NationalTreeWeek'",451,60.006,50,3,,,
CIGZjUaHb8y,lloydsbankinggroup,2020-11-27 15:55:20.000000,no,False,"b'genderdiversity,womensupportingwomen,womeninbusiness'",b'',"b'Our Breakthrough network and its programmes support and champion women to fulfil their career potential by creating an environment where they can access help and advice, while networking with other inspiring women. \n\n#GenderDiversity #WomenSupportingWomen #WomenInBusiness'",0,0,62,7,,,
CIDogZdHuJ6,lloydsbankinggroup,2020-11-26 14:08:18.000000,no,False,"b'lbgvoices,genderdiversity,womensupportingwomen,womeninbusiness'",b'',"b'\xe2\x80\x9cI began volunteering for Breakthrough, the Group\xe2\x80\x99s women\xe2\x80\x99s network, as a graduate. I joined the Steering Committee to represent our Emerging Talent engagement and wanted to ensure that other new joiners to the organisation got the same positive experience that I had.\n\nOur Breakthrough Emerging Talent Working Group aimed to raise awareness of the network to new graduates and interns and did this through the creation of newsletters to signpost all of the support available through Breakthrough for new graduates and by attending graduate recruitment and induction events to encourage new joiners to sign up to the network.\n\nAnother responsibility I have on behalf of the Steering Committee is to organise the annual recognition events we hold for our volunteers that support the network. This is a great opportunity for us all to get together and celebrate the success of the network, strategically plan for where we can take the network next, and most crucially, say a huge thank you to all of the volunteers that support the activity each year. Whilst it takes a lot of organising, it\xe2\x80\x99s always one of the most engaging and fun events I attend each year and you can feel the buzz of energy and commitment from all of the colleagues in the room who are working towards the same goal.\n\nThis year, a number of our colleagues have faced additional challenges since the first lockdown in March. As a response to this, our Diversity networks have collaborated on a number of cross-network events throughout the year to reach more colleagues on each topic. I was delighted to lead on this activity on behalf of Breakthrough and we have supported some great events this year on topics including resilience and dealing with isolation.\n\nI\xe2\x80\x99m really proud to be part of this network and feel really lucky to work in an organisation where so many like-minded people volunteer to support important activity like this.\xe2\x80\x9d \xe2\x80\x93 Gemma, Steering Committee member for Breakthrough\n\n#LBGVoices #GenderDiversity #WomenSupportingWomen #WomenInBusiness'",0,0,62,3,,,
CIAqR3an-9s,lloydsbankinggroup,2020-11-25 10:26:48.000000,yes,False,"b'lbgvoices,genderdiversity,womensupportingwomen,womeninbusiness'",b'',"b'Meet Gemma. She is part of our award-winning Breakthrough Network, working on initiatives that aim to help other women across the Group to develop and reach their full potential. \n\n#LBGVoices #GenderDiversity #WomenSupportingWomen #WomenInBusiness'",737,60.006,82,4,,b'United Kingdom',54.0 -2.0
CHxXX4cndm1,lloydsbankinggroup,2020-11-19 11:56:16.000000,yes,False,b'',"b'lukeambleruk,andysmanclub'","b""If you're struggling with your mental health, you can call the Samaritans\non 116 123 for free and confidential support. :telephone_receiver:\n\nPresenting the \xe2\x80\x98It\xe2\x80\x99s OK to Talk\xe2\x80\x99 session. Together with @lukeambleruk, mental health advocate and Founder of @andysmanclub, we\xe2\x80\x99re having conversations with colleagues about mental health and wellbeing.""",379,1602.738,31,7,,,
CHsJ_Zdnh04,lloydsbankinggroup,2020-11-17 11:19:07.000000,no,False,b'mentalhealth',"b'lukeambleruk,andysmanclub'","b'Tomorrow is the second in our \xe2\x80\x9cIt\xe2\x80\x99s OK to talk\xe2\x80\x9d sessions. Tune in from 4pm!\n\nTogether with @lukeambleruk, mental health advocate and Founder of @andysmanclub, we\xe2\x80\x99re having conversations with colleagues about #MentalHealth and wellbeing.'",0,0,47,3,,,
CHqQ5RJBwHj,lloydsbankinggroup,2020-11-16 18:09:56.000000,yes,False,b'',"b'lukeambleruk,andysmanclub'","b'Presenting the first \xe2\x80\x98It\xe2\x80\x99s OK to Talk\xe2\x80\x99 session. Together with @lukeambleruk, mental health advocate and Founder of @andysmanclub, we\xe2\x80\x99re having conversations with colleagues about mental health and wellbeing.'",484,1559.16,38,2,,,
CHkGqF0H_NX,lloydsbankinggroup,2020-11-14 08:16:04.000000,no,False,"b'lbgvoices,diwali,happydiwali,diwali2020'",b'',"b'\xe2\x80\x9cDiwali is an annual festival, taking place between October and November. This year it falls on the 14th of November. For me, Diwali always means decorating the home with lights, dressing up in traditional clothes and enjoying delicious feasts with family and friends. I\xe2\x80\x99m very fond of some Diwali traditions like drawing \xe2\x80\x98Rangolis\xe2\x80\x99. These are beautiful patterns drawn on the floor by entrance of homes using coloured sand, rice or flower petals. They are believed to bring in prosperity and good luck to homes. I used to draw flowers and birds with my mother back in India and is a practice I still follow.\n\nThe history behind Diwali has different interpretations in different parts of India. In northern India, it is believed that King Rama returned to his kingdom Ayodhya along with his wife, Sita after defeating evil king, Ravana. The residents of Ayodhya welcomed them by lighting rows of clay lamps on the streets. In eastern India, people worship Goddess Kali, the destroyer of evil forces.\n\nEvery year we attend temples and other venues in north London to offer our prayers to Goddess Kali, following which there is always a party at home where we get together to exchange gifts and sweets with friends. Firework displays also form an integral part of Diwali celebrations, though they are gradually declining owing to environmental safety causes. \n\nDiwali will be different this year, but I\xe2\x80\x99m still looking forward to the virtual celebrations. We have already started decorating the home with fairy lights, candles, oil lamps and flowers. On the day of the festival, we will catch up with family and friends across the globe over Zoom calls.\xe2\x80\x9d - Devina, Chief Data Office\n\n#LBGVoices #Diwali #HappyDiwali #Diwali2020'",0,0,55,0,,,
