shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CITVV8vsXqI,lockheedmartin,2020-12-02 16:29:19.000000,yes,False,b'',b'marines',b'How will the @marines prepare pilots and maintainers for the CH-53K? With the help of our full training suite. Watch to learn more.',29911,54.6,4608,31,,,
CIRJwUPlZ2M,lockheedmartin,2020-12-01 20:08:57.000000,no,False,b'linkinbio',b'usnavy',"b'Through our partnership with the @USNavy, we\xe2\x80\x99ve delivered 10 Littoral Combat Ships \xe2\x80\x93 and counting! Click the #linkinbio to learn more about these flexible, capable ships.'",0,0,19674,99,,,
CHNusLhAhXc,lockheedmartin,2020-11-05 15:43:33.000000,yes,False,"b'usnavy,navylethality,forgedbythesea,ussmarinette,littoralcombatship,seetobelieve,funfact,gonavy'",b'usnavy',"b'This weekend, LCS 25 entered the water for the first time. The @USNavy fleet can fight and win in contested shallow-water environments with the Littoral Combat Ship, which was was designed to operate in as little as 14 feet of water.  Learn more about this versatile ship at the link in bio. \n\n#USNavy #NavyLethality #ForgedByTheSea #USSMarinette #LittoralCombatShip #SeetoBelieve #FunFact #gonavy'",77963,35.033,9935,134,,,
CHDLoIjF0-N,lockheedmartin,2020-11-01 13:24:33.000000,no,False,b'',"b'spaceandairshow,airdotshow'",b'The inaugural Lockheed Martin @spaceandairshow is showcasing all forms of air power:flexed_biceps: Be sure to watch the final day of the show with the @airdotshow livestream.',0,0,20515,91,,,
CG7wyRAlvpB,lockheedmartin,2020-10-29 16:15:19.000000,no,False,b'',b'',b'Prepar3D v5.1 is live! Enhanced atmospherics bring skies to life and deliver our most immersive training experience yet. Check out all the advancements in the latest version at Prepar3d.com',0,0,21322,136,,,
CG3PytsL1RO,lockheedmartin,2020-10-27 22:10:12.000000,no,False,b'atavirtual2020',b'',"b'For more than 65 years, the C-130 has supported airlift and aerial refueling missions for operators around the globe, delivering unmatched strength and capabilities to support diverse requirements. #ATAVirtual2020'",0,0,11606,59,,,
CGnxiphrYZU,lockheedmartin,2020-10-21 21:57:16.000000,no,False,b'',b'',"b'Denmark\xe2\x80\x99s first F-35 recently headed to final assembly in our Fort Worth, Texas F-35 production facility, where its control surfaces will be added, along with final systems and engine installation. Delivery of Denmark\xe2\x80\x99s first F-35 is expected in early 2021.'",0,0,30732,289,,,
CGaC-kfLWFm,lockheedmartin,2020-10-16 14:00:17.000000,no,False,"b'ausanow,usarmy,army,soldier'",b'',"b'The Javelin Joint Venture completed the first production F-Model missile this year. Check the link in our bio to learn about the unique challenges the team overcame to deliver the next generation of shoulder-fired, anti-armor defense. #AUSANow #USArmy #Army #Soldier'",0,0,32672,440,,,
CGQEZj5B2mw,lockheedmartin,2020-10-12 17:00:28.000000,no,False,"b'dyk,prattandwhitney'",b'dependableengines',"b'#DYK: The F-35\xe2\x80\x99s #prattandwhitney F135 engine powers all three variants of the F-35 and delivers more than 40,000 pounds of thrust.\n\n@dependableengines'",0,0,25938,181,,,
CGGJrodlMFG,lockheedmartin,2020-10-08 20:33:53.000000,no,False,b'linkinbio',b'avairshow',"b'Airpower Overhead: Catch the F-35, F-22, F-16, U-2 and ER-2 perform flyovers at the @avairshow in Southern California tomorrow morning (Oct. 9) at 10 a.m. PST, or watch the live stream at the #linkinbio.'",0,0,17040,102,,,
