shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYbqS1HqLQ,louisvuitton,2020-12-04 16:00:15.000000,no,False,"b'louisvuitton,lv2054'",b'virgilabloh',"b'Multi-climatic. For this year\xe2\x80\x99s #LouisVuitton 2054 line, @VirgilAbloh fuses urban and activewear to create a contemporary wardrobe of adaptable essentials. Discover #LV2054 via link in bio.'",0,0,61320,187,,,
CIYANkLgnri,louisvuitton,2020-12-04 12:00:43.000000,yes,False,"b'louisvuitton,lv2054'",b'virgilabloh',b'Forward-facing. @VirgilAbloh\xe2\x80\x99s adaptable #LouisVuitton 2054 collection plays with themes of futurism and progress. Explore this year\xe2\x80\x99s #LV2054 line via link in bio.',293789,44.766,35396,149,,,
CIXkuvvswI5,louisvuitton,2020-12-04 08:00:14.000000,no,False,"b'lv2054,louisvuitton'",b'virgilabloh',b'Presenting #LV2054. @VirgilAbloh expands his experimentation with functional fashion to a bigger scale in his second edition of the #LouisVuitton 2054 line. Discover the pieces via link in bio.',0,0,63888,169,,,
CIWJJsDDwGv,louisvuitton,2020-12-03 18:39:53.000000,no,False,b'louisvuitton',b'peggygou_',"b'Feminine and masculine codes combine. @PeggyGou_\xe2\x80\x99s urban, yet refined look matches that of the Beaubourg ankle boot. Explore #LouisVuitton\xe2\x80\x99s new shoe collection via link in bio.'",0,0,113083,405,,,
CIViRGisaJM,louisvuitton,2020-12-03 13:00:14.000000,no,False,b'louisvuitton',b'',"b'Infinite choices. The current #LouisVuitton shoe collection showcases iconoclastic fashion, where gender lines become increasingly fluid. Explore the full range of styles via link in bio.'",0,0,167755,486,,,
CIU5EOGMgSa,louisvuitton,2020-12-03 07:00:14.000000,no,False,b'louisvuitton',b'peggygou_',b'Rhythmic visions. The Metropolis rangers in SINCE 1854 jacquard perfectly embody @PeggyGou_\xe2\x80\x99s eclectic sense of style. Explore #LouisVuitton\xe2\x80\x99s new shoe collection via link in bio.',0,0,96088,213,,,
CITtiOBHE8u,louisvuitton,2020-12-02 20:00:13.000000,no,False,b'louisvuitton',b'nicolasghesquiere',"b'Vintage monogram. Part of the SINCE 1854 line, the Podium platform sandals feature the signature jacquard inspired by the iconic Monogram pattern and the year #LouisVuitton was founded. Explore the rest of @NicolasGhesquiere\xe2\x80\x99s collection via link in bio.'",0,0,97206,348,,,
CITGTyOj2vu,louisvuitton,2020-12-02 14:17:19.000000,no,False,b'louisvuitton',"b'peggygou_,nicolasghesquiere'",b'Urban interpretations. @PeggyGou_ sports the Beaubourg platform derbies in SINCE 1854 signature jacquard from @NicolasGhesquiere\xe2\x80\x99s latest #LouisVuitton collection. Discover the full range of styles via link in bio.',0,0,79234,256,,,
CISh-BrqnSV,louisvuitton,2020-12-02 09:00:58.000000,yes,False,b'louisvuitton',"b'peggygou_,nicolasghesquiere'","b'Follow a day in the life of @PeggyGou_ as she explores Berlin wearing a selection of shoes from @NicolasGhesquiere\xe2\x80\x99s latest #LouisVuitton collection. The Berlin-based South Korean DJ shares some insight into her world of music and the soundtrack of her mind: \xe2\x80\x9cShoes are like the base in a song, without it you aren\xe2\x80\x99t going very far.\xe2\x80\x9d Explore the collection via link in bio.'",468797,179.806,44370,326,,,
CIRQhTGnPOj,louisvuitton,2020-12-01 21:08:12.000000,no,False,"b'lvprecoll,louisvuitton'",b'viriglabloh',b'Free association. #LVPreColl introduces @ViriglAbloh\xe2\x80\x99s new Tapestry Monogram motif across garments and accessories. Explore #LouisVuitton\xe2\x80\x99s current Men\xe2\x80\x99s collection via link in bio.',0,0,89838,194,,,
CIRCvIfjBLZ,louisvuitton,2020-12-01 19:07:37.000000,no,False,"b'lvprecoll,louisvuitton'",b'virgilabloh',b'Classic notions. @VirgilAbloh uses his new #LVPreColl line as a tool for reassessment of the essential. Discover #LouisVuitton\xe2\x80\x99s latest Men\xe2\x80\x99s collection via link in bio.',0,0,57671,144,,,
CIQfxjQs2jS,louisvuitton,2020-12-01 14:02:17.000000,no,False,"b'lvprecoll,louisvuitton'",b'virgilabloh',b'Formally functional. #LVPreColl embraces the original purpose of an intermediary collection. Explore @VirgilAbloh\xe2\x80\x99s new #LouisVuitton line via link in bio.',0,0,57078,131,,,
CIQXDZ-jSwF,louisvuitton,2020-12-01 12:45:55.000000,no,False,"b'louisvuitton,lvprecoll'",b'virgilabloh',b'Looking back to move forward. @VirgilAbloh introduces a tapestry-like take on the #LouisVuitton Monogram in his new #LVPreColl collection. Discover the campaign via link in bio.',0,0,66440,167,,,
CIQJOWws3t6,louisvuitton,2020-12-01 10:45:13.000000,no,False,"b'louisvuitton,lvprecoll'",b'virgilabloh',"b'Channels of nuance. With his latest #LouisVuitton collection, @VirgilAbloh renews his intention to transmit the core values of diversity, unity, and inclusion. Explore the #LVPreColl pieces via link in bio.'",0,0,51502,111,,,
CIP2qEaDJA4,louisvuitton,2020-12-01 08:02:50.000000,no,False,"b'louisvuitton,lvprecoll'",b'virgilabloh',"b'Cusp of a new chapter. For Pre-Spring 2021, @VirgilAbloh\xe2\x80\x99s finds new appreciation for the organism of the pre-collection itself. Discover the #LouisVuitton Men\xe2\x80\x99s #LVPreColl campaign via link in bio.'",0,0,104155,245,,,
CIOqzzAnkBY,louisvuitton,2020-11-30 21:00:12.000000,no,False,"b'louisvuitton,lvfw20'",b'nicolasghesquiere',b'Graphic shapes. @NicolasGhesquiere\xe2\x80\x99s SINCE 1854 jacquard in blue denim adds a playful touch to any look. Discover #LouisVuitton\xe2\x80\x99s current #LVFW20 collection via link in bio.',0,0,81688,368,,,
CIOBnmQMcEN,louisvuitton,2020-11-30 15:00:17.000000,no,False,"b'lvfw20,louisvuitton'",b'nicolasghesquiere',"b'A distinctive pattern. For #LVFW20, the Metis pochette is reinterpreted in a new blue denim SINCE 1854 jacquard. Discover @NicolasGhesquiere\xe2\x80\x99s current #LouisVuitton collection via link in bio.'",0,0,124439,652,,,
CINYairg1zq,louisvuitton,2020-11-30 09:00:14.000000,no,False,"b'lvfw20,louisvuitton'",b'nicolasghesquiere',"b'A new point of view. For #LVFW20, an exclusive blue denim color enriches the signature SINCE 1854 jacquard collection. Discover @NicolasGhesquiere\xe2\x80\x99s current #LouisVuitton collection via link in bio.'",0,0,86699,284,,,
