shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIZD17qgFXz,loweshomeimprovement,2020-12-04 21:51:13.000000,no,False,b'letterstohome',b'naomisoextra',"b'For @naomisoextra this year, her letter to home wasn\'t always a ""love"" letter. Swipe through to see her journey and share how your home has transformed with #LetterstoHome.'",0,0,2688,75,,,
CIUVSS7AcAO,loweshomeimprovement,2020-12-03 01:47:44.000000,yes,False,"b'happyholidays,lowes,lowesgoals,holidaysourway,holidayvibes,christmastree'",b'',"b'Bring a little magic home this season with live tree delivery, available when you buy online. :Christmas_tree:\xe2\x80\x8b\n\xe2\x80\x8b\n#happyholidays #lowes #lowesgoals #holidaysourway #holidayvibes #christmastree'",14820,30.033,884,46,,,
CIQdCofgGib,loweshomeimprovement,2020-12-01 13:38:54.000000,yes,False,"b'givingtuesday,homeunitesus'",b'',"b""When holiday moments at home are more important than ever, we want to ensure that even more people can experience the joy light can bring to the holidays. Today, we're shining light across communities with a donation of $1 million worth of pre-lit Christmas trees to families and organizations impacted by the pandemic.\xe2\x80\x8b\n\nThis #GivingTuesday, help us make the holidays a little brighter by posting your own tree lighting with #HomeUnitesUs. :Christmas_tree:""",108118,27.725,2643,43,,,
CIIyK-_A7Pk,loweshomeimprovement,2020-11-28 14:08:57.000000,no,False,b'smallbusinesssaturday',b'lisc_hq',"b'This #SmallBusinessSaturday, we\xe2\x80\x99re sending a big thank you to all our Pro small business owners who served their communities and helped us stay safely at home this year. \xe2\x80\x8b\n.\xe2\x80\x8b\nMeet more @lisc_hq grant recipients + discover new small businesses each Saturday through our Small Business Saturdays series. Click the highlight on our profile to learn more!'",0,0,689,55,,,
CIDmiWzAWsM,loweshomeimprovement,2020-11-26 13:51:41.000000,yes,False,b'letterstohome',"b'teilawalker,robertwalker307'","b'This year, home is so important for so many. Bridger Walker, a brave young boy who shielded his sister and stood in-between her and a charging dog, shares what ""home"" means to him. \xe2\x80\x8b\n\nToday, take a moment to share your own ""thank you"" to home with #LetterstoHome. And from the entire Lowe\'s family, we wish you a happy and healthy Thanksgiving! \xe2\x80\x8b\n\n:camera:: @teilawalker + @robertwalker307'",54630,59.421,2891,32,,,
CH1KpDuAIOT,loweshomeimprovement,2020-11-20 23:17:58.000000,no,False,b'',b'',b'Before:evergreen_tree:\xc2\xa0A simple homeschool room\xe2\x80\x8b\nAfter:Christmas_tree:\xc2\xa0A magical space for all ages!\xe2\x80\x8b\n\nAre you decorating any and every space in your home this year? Share your favorite space to decorate!',0,0,1342,64,,,
CHwNRFjAqYU,loweshomeimprovement,2020-11-19 01:04:42.000000,no,False,"b'nationaladoptionmonth,lowes,adoption,lowesgoals,welcomehome,adoptionmonth,family'",b'',"b'November is #NationalAdoptionMonth, and sweet\xc2\xa0Callen recently finalized his adoption via Zoom due to\xc2\xa0the pandemic.\xc2\xa0 \n\nTo commemorate the special occasion, his parents\xc2\xa0snapped a quick screenshot.\xc2\xa0But it was only after the\xc2\xa0call that they realized the Lowe\'s moving box behind\xc2\xa0Callen\'s head so fittingly read, ""I\'m home.""\xc2\xa0 \n\nWelcome home, Callen.\xc2\xa0:blue_heart: \n.\n.\n.\n.\n.\n#lowes #adoption #lowesgoals #welcomehome #adoptionmonth #family'",0,0,1809,49,,,
CHtnR_TAaHz,loweshomeimprovement,2020-11-18 00:54:18.000000,no,False,"b'letterstohome,letterstohome'",b'raffinee',"b'Join us in thanking our homes with your own post using #LetterstoHome and we may just surprise you with a special gift to help give back to the places that have meant so much this year. From social gatherings to social distancing, this is how @raffinee\xe2\x80\x99s home has played an important role for her family in 2020:\xe2\x80\x8b\n\nDear Home,\xe2\x80\x8b\n\nMicaela and I have always felt that you\xe2\x80\x99ve been our sanctuary. And this year, more than ever- you have become so much more. You\xe2\x80\x99ve become our children\xe2\x80\x99s school, our gym and even a hub for telehealth appointments for Micaela\xe2\x80\x99s patients. More than that however, this year you have been the core of so many incredible milestones and memories. The kids started preschool in this house. Micaela completed residency and landed her first job as a surgeon in this house. I overcame my fear of spiders in this house (sort of!) Our kids graduated out of diapers in this house and have grown up before our very eyes. From the dinner parties and social gatherings, and now to the family dinners and social distancing- you\xe2\x80\x99ve been with us through it all. So to our house, our home, thank you. Thank you for working extra hard for us this year. Thank you for being a place of respite. A place of joy. A place of safety. And a place of lifelong memories. You have carried us through this year and we are so grateful for YOU!\xe2\x80\x8b\n\n #LetterstoHome'",0,0,810,47,,,
CHqyoThA7g2,loweshomeimprovement,2020-11-16 22:36:10.000000,yes,False,"b'fashiongoeshome,lowes,lowesgoals,nyfw,fashionweek,nyc,community,giveback'","b'gmhc,jasonwu'","b'@GMHC is an organization near and dear\xc2\xa0to fashion designer and New York\xc2\xa0resident, @JasonWu. To give back to a\xc2\xa0community that has given so much to\xc2\xa0him, we worked with Jason to surprise\xc2\xa0GMHC with new flooring, a fresh coat\xc2\xa0of paint, new plants and planters to refresh their\xc2\xa0communal kitchen. This revamped space\xc2\xa0will serve as a cherished gathering spot\xc2\xa0for the patrons of GMHC for years to\xc2\xa0come. #FashionGoesHome\n.\n.\n.\n.\n.\n#lowes #lowesgoals #NYFW #fashionweek #NYC #community #giveback'",7978,83.083,301,22,,,
CHgaNJRjRvm,loweshomeimprovement,2020-11-12 21:50:17.000000,yes,False,"b'lowesgoals,holidaydecor'",b'turtlecreeklane',b'Take a tip from @turtlecreeklane and make your mantel bright this holiday season with festive garland and d\xc3\xa9cor! #LowesGoals #HolidayDecor',9454,17.043,553,41,,,
