shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIEl4UBAWCS,lyft,2020-11-26 23:05:08.000000,yes,False,b'',b'',"b""Things we're thankful for this Thanksgiving. 2020 Edition. \nHow about you?""",1529,28.388,130,74,,,
CHIqUwkgnL9,lyft,2020-11-03 16:28:59.000000,no,False,"b'election,election2020'",b'',"b""We're here to be your wheels. Take 50% off your ride to vote on Nov. 3 (up to $10) with code 2020VOTE.\n\n#election #election2020\n\n(Terms in bio)""",0,0,794,179,,,
CHHAvFVgwkT,lyft,2020-11-03 01:06:20.000000,no,False,"b'ridetovote,election,election2020'",b'lisategtmeier',"b'Go to lyft.com/vote (link in bio) to share, download, and print these voting PSAs to remind everyone to get to the polls on Nov 3rd, and take 50% off your ride to vote (up to $10) with code 2020VOTE.\n\n:artist_palette:credit to @lisategtmeier \n\n(Terms apply).\n\n#ridetovote\n#election \n#election2020'",0,0,814,45,,,
CG8OR_yHhef,lyft,2020-10-29 20:33:12.000000,no,False,b'',b'',"b'5 days until the election is still plenty of time to vote early, drop off your ballot, or plan your ride to vote. Get 50% off your ride to the polls on Nov. 3, up to $10, with code 2020VOTE. \n\nTerms apply (link in bio).'",0,0,291,51,,,
CGu7t1FFh8q,lyft,2020-10-24 16:40:50.000000,no,False,b'',b'',"b'It\xe2\x80\x99s 10 days until the election. Which is not enough time to grow an avocado, but it\xe2\x80\x99s still plenty of time to plan your ride to vote. We\xe2\x80\x99re here to be your wheels. And we\xe2\x80\x99ll give you 50% off your ride on Nov. 3, up to $10, with code 2020VOTE. \n\nTerms in bio.'",0,0,504,96,,,
CGtJNLgA0-Z,lyft,2020-10-24 00:00:16.000000,no,False,b'',b'',"b'Perks, now with a side of perks. Order up a Lyft Pink membership and get unlimited free delivery with Grubhub+'",0,0,284,19,,,
CGbIyYhgaXm,lyft,2020-10-17 00:10:07.000000,no,False,"b'vote,vote2020,lyft'",b'',"b'You have the ride to vote. On November 3, get 50% off one ride up to $10 to any polling location. \n\nTerms apply (see link in bio)\n\n#vote #vote2020 #lyft'",0,0,615,77,,,
CGYVG9TDA9t,lyft,2020-10-15 22:00:13.000000,no,False,b'',b'',"b'If you\xe2\x80\x99re stuck inside, be stuck inside with food. Live your best life with a Lyft Pink membership and free delivery with Grubhub+'",0,0,217,27,,,
CGP2qZggQx5,lyft,2020-10-12 15:00:12.000000,yes,False,"b'ridetovote,vote,vote2020,election'",b'',"b'Walk. Run. Bike. Scoot. Skate. Zipline. Paraglide. Scuba dive. Teleport. It doesn\xe2\x80\x99t matter how you get to the polls, but if you need a ride, we\xe2\x80\x99re here to be your wheels. #RideToVote\n\n#vote #vote2020 #election'",3139,15.0,411,58,,,
CGAgwjNA0sJ,lyft,2020-10-06 16:00:15.000000,no,False,b'',b'',"b'Time doesn\xe2\x80\x99t exist anymore. On the bright side neither do delivery fees. Your Lyft Pink membership now comes with Grubhub+ unlimited free delivery, and tbh that\xe2\x80\x99s pretty good even by non-2020 standards.'",0,0,503,122,,,
CF4yX-vgyQb,lyft,2020-10-03 16:00:19.000000,yes,False,b'',b'',"b'Millions of people lack access to reliable, affordable transportation. We\xe2\x80\x99re partnering with organizations like Bread of Life to help essential workers across the country get to work.'",2246,30.766,176,43,,,
CFxg7czgUGl,lyft,2020-09-30 20:12:58.000000,no,False,b'',b'',"b'Did you know Lyft is the largest bikeshare operator in the country? This week we added Santa Monica to our family of e-bike towns :party_popper: \n\nThey now ride alongside New York, Chicago, Minneapolis, Columbus, San Francisco, Washington, DC, and Portland :bicycle:'",0,0,763,49,,,
CFufQvlACH_,lyft,2020-09-29 16:02:10.000000,yes,False,b'lyftup',b'michaelbjordan',"b""We\xe2\x80\x99re partnering with @michaelbjordan's Outlier Society Fellowship to give access to rides to young professionals like Ariel Laura. Join us. #LyftUp""",3325,30.033,415,59,,,
CFpSyKeltoV,lyft,2020-09-27 15:35:34.000000,yes,False,b'',b'',"b'""We\xe2\x80\x99re all in this world together.\xe2\x80\x9d\n- Lyft Driver, Al Smith.\n\nMillions lack access to affordable, reliable transportation. Drivers like Al Smith are helping us change that.'",2906,15.0,248,43,,,
CFTGipKgha7,lyft,2020-09-19 00:45:18.000000,yes,False,b'',b'msblackwomensroundtable',"b""(sound on :speaker_high_volume:) \xe2\x80\x9cVoting is a righteous act for black women. Having rides to the polls is what makes that possible.\xe2\x80\x9d - Cassandra Welchlin of @msblackwomensroundtable Transportation shouldn't be a barrier to having your voice heard.""",2340,30.033,244,63,,,
CFNGHRNgXa4,lyft,2020-09-16 16:45:59.000000,no,False,b'',b'',"b""This election day we're offering 50% off a ride up to $10 to any polling location or mail-in dropbox in the country using the code 2020VOTE. And for the first time ever, this offer applies to our network of bikes and scooters! :ballot_box_with_ballot_selector::automobile::bicycle::kick_scooter: \nLINK IN BIO""",0,0,1320,88,,,
CEIJprmAg3q,lyft,2020-08-20 22:09:18.000000,no,False,b'',b'',"b"":police_car_light:UPDATE: We're still rolling in California \xe2\x80\x94 for now. \n\nA court has granted our request for a stay. This means we can keep rideshare in California for all the drivers & riders who depend on it. A big thank you to everyone who urged California to keep our service going! Ride on. :automobile:""",0,0,2221,465,,,
CDwDqyjgn07,lyft,2020-08-11 13:36:14.000000,yes,False,b'lyftup',b'',"b'Millions of people lack access to affordable, reliable transportation. Join us in helping close opportunity gaps. #lyftup (Link in bio)'",220511,60.02,2438,423,,,
CCthhxRA8qS,lyft,2020-07-16 17:27:03.000000,no,False,b'blacklivesmatter',"b'citibike,streetridersnyc,tobytenenbaum'","b""More than 15,000 New Yorkers came together with @citibike and @streetridersnyc in solidarity against racial injustice. \n\nTo help keep this movement going, we're sponsoring solidarity ride participants all month long. #BlackLivesMatter. \n \n:round_pushpin: Times Square, NYC\n:camera_with_flash:: @tobytenenbaum""",0,0,715,173,,,
CCoTVcTg5jX,lyft,2020-07-14 16:46:50.000000,no,False,b'scootlyfe',b'',b'\xe2\x81\xa3It\xe2\x80\x99s a beautiful day to scoot around downtown :kick_scooter::dog:! Or take a walk. Did somebody say walk? #scootlyfe\xe2\xa0\x80\n\xe2\xa0\x80\n\xe2\xa0\x80\n:round_pushpin:: D.C.\xe2\xa0\x80\n:camera_with_flash:: Sasha Slacum',0,0,653,81,,,
