shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIY0sfSAF6T,macys,2020-12-04 19:38:51.000000,no,False,b'',b'',"b'Treat yourself and someone else with the good ole \xe2\x80\x9cone for me, one for you.\xe2\x80\x9d:nail_polish:\n\xe2\x80\xa2\nFYI score an extra 15% off beauty during Friends & Family, going on now'",0,0,9863,113,,,
CIWS8LCA4xP,macys,2020-12-03 20:05:25.000000,no,False,b'',b'',"b'The MAC Teyana Taylor collection is ready for anyone\xe2\x80\x99s grind:lipstick::kiss_mark:\n\xe2\x80\xa2\nFYI score an extra 15% off beauty during Friends & Family, going on now'",0,0,1824,57,,,
CITgKe7Ay2x,macys,2020-12-02 18:03:15.000000,no,False,b'',b'',"b'The MAC Teyana Taylor collection is here and it\xe2\x80\x99s ready to Glow:clapping_hands:You:clapping_hands:Up:clapping_hands:\n\xe2\x80\xa2\nFYI score an extra 15% off beauty during Friends & Family, going on now'",0,0,2172,56,,,
CIRj6dtAMHI,macys,2020-12-02 00:00:03.000000,yes,False,b'',b'',"b'Cozy game night? Oh, what fun!\n\xe2\x80\xa2\nWrap up a smile with gifts for every budget. (*Gifts for every budget means things go fast\xe2\x80\x94shop before they\xe2\x80\x99re gone! Link in bio.)\n\xe2\x80\xa2\nFYI score up to an extra 30% off during Friends & Family, going on now'",17388,11.566,752,25,,,
CIRURrWAXTs,macys,2020-12-01 21:40:53.000000,no,False,b'',b'',"b'Shine bright like a\xe2\x80\xa6 person wearing these boots :woman\xe2\x80\x99s_boot:\n\xe2\x80\xa2\nFYI score up to an extra 30% off during Friends & Family, going on now'",0,0,1992,48,,,
CIOhA27gYdi,macys,2020-11-30 19:34:28.000000,no,False,b'',b'',"b'Searching for the palette that\xe2\x80\x99ll turn out the holiday look you deserve? :woman_raising_hand_selector: (We found it & it makes a really great gift, too.)\n\xe2\x80\xa2\nDon\xe2\x80\x99t forget our Cyber Week Specials are happening now. Tap the link in bio to check them out!'",0,0,2487,41,,,
CILnHh6gk-w,macys,2020-11-29 16:30:13.000000,no,False,b'',b'',b'Santa shouldn\xe2\x80\x99t be the only one with a bag full of goodies this year. \n\xe2\x80\xa2\nDon\xe2\x80\x99t forget our Cyber Week Specials are happening now. Tap the link in bio to check them out!',0,0,9110,104,,,
CIJhdb-g5Hp,macys,2020-11-28 21:02:10.000000,no,False,b'',b'',b'Why not decorate yourself too? :sparkles::Christmas_tree:',0,0,8520,126,,,
CII4OcxAXGi,macys,2020-11-28 15:01:51.000000,no,False,b'',b'',"b'The real gift is knowing you could pull off either of these looks, and let\xe2\x80\x99s be honest...you could :smiling_face_with_sunglasses:\n\xe2\x80\xa2\nGet it your way :shopping_bags: Choose from curbside pickup, same-day delivery or pick-up in-store at checkout.'",0,0,5024,42,,,
CIG4N0dgkGf,macys,2020-11-27 20:23:17.000000,no,False,b'',b'',b'Nobody wants to look like everyone else. Enter: these boots :star-struck:\n\xe2\x80\xa2\nThere\xe2\x80\x99s no better way to feel special than to shop our Black Friday Specials! Peep them at the link in bio.',0,0,3543,58,,,
