shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIZDGLHMNaN,manulife,2020-12-04 21:44:58.000000,yes,False,b'manulifeactofkindness',b'',b'We launched our #ManulifeActofKindness program on Tuesday and have been overwhelmed by the amazing response from our teams around the world. Watch how our teams have sprung into action with their acts of kindness. Visit Manulife.com/actofkindness for more stories.',1169,48.766,271,5,,,
CIYOOSZLjY2,manulife,2020-12-04 14:02:44.000000,no,False,b'',b'',"b""We've been recognized by Canada's Top 100 Employers as one of Greater Toronto's Top Employers for 2021. This award has become a benchmark in the Greater Toronto Area for exceptional human resource programs and forward-thinking workplace policies. We're committed to our employees every day and are proud to be recognized as a top employer.""",0,0,266,1,,,
CIQ1h-9BDOY,manulife,2020-12-01 17:14:37.000000,yes,False,"b'givingtuesday,manulifeactofkindness'",b'thegoridetails',"b'2020 has been a difficult year for many individuals, families and communities around the world. This #GivingTuesday, our President & CEO Roy Gori (@thegoridetails) is proud to announce the #ManulifeActofKindness program. All 35,000 members of our global team will receive a contribution to pay it forward and create acts of kindness in their communities. Visit Manulife.com/actofkindness to learn how we are making lives better for our communities around the world.'",2134,92.757,242,5,,,
CHyHbcJFYex,manulife,2020-11-19 18:52:12.000000,no,False,b'transgenderawarenessweek',b'',"b'#TransgenderAwarenessWeek is a time to take action and amplify the transgender community through education, sharing experiences and stories, as well as an opportunity to bring light to the issues that transgender people face around prejudice, discrimination and violence. This year for the first time, we are raising the Trans Pride Flag at our North American offices.'",0,0,189,2,,,
CHkqoH7rhX-,manulife,2020-11-14 13:30:25.000000,no,False,b'worlddiabetesday',b'johnhancock',"b""On #WorldDiabetesDay, we reflect on our history of support for people living with diabetes. In 1942, we became the first North American company to offer life insurance for those living with diabetes. And in November 2019, @JohnHancock launched John Hancock Aspire \xe2\x80\x94 the first and only life insurance designed for Americans living with diabetes. We're proud to continue to help those with this condition live longer, healthier lives.""",0,0,106,3,,,
CHd7FNOj3bB,manulife,2020-11-11 22:39:41.000000,yes,False,b'',b'',"b'We\xe2\x80\x99ve released our Q3 results, check out some highlights from the quarter.'",1079,58.066,173,0,,,
CHc8TpOhBDr,manulife,2020-11-11 13:31:12.000000,yes,False,"b'remembranceday,manuliferemembers'",b'',"b'Lest we forget. On #RemembranceDay let us remember those who have given their lives during Canadian wartime and peacekeeping missions. For every social media post that uses #ManulifeRemembers, a donation will be made to the Royal Canadian Legion in support of Veterans and their families. We also encourage you to purchase a digital poppy at mypoppy.ca to support the Legion.'",917,44.933,264,4,,,
CHLzTitrlzp,manulife,2020-11-04 21:45:14.000000,no,False,b'manuliferemembers',b'',"b'In tribute to those who have lost their lives to protect our country, we have planted over 12,000 flags on the lawn of our Toronto headquarters. For every social media post that uses #ManulifeRemembers, a donation will be made to the Royal Canadian Legion in support of Veterans and their families.'",0,0,520,6,,,
CHIgv23LPpQ,manulife,2020-11-03 15:05:21.000000,no,False,b'manuliferemembers',b'',"b'""My grandfather served with the Royal Air Force during WWII, and spent years away from his family in Saskatchewan. My dad, seen here in this picture at the age of four, proudly wore a children\'s military uniform showing his support for those fighting overseas, and the pride he had in his father. I am so thankful that I have not known war in my lifetime nor the separation of loved ones during the time of war. I\'m also proud of the sacrifice that so many men and women have made."" \xe2\x80\x93 Jason Jacobs, Director of Communications\n\nFor every social media post that uses #ManulifeRemembers, a donation will be made to the Royal Canadian Legion in support of Veterans and their families.'",0,0,233,0,,,
CG3Cu_agbk_,manulife,2020-10-27 20:15:57.000000,no,False,"b'manuliferemembers,manuliferemembers'",b'',"b""Remembrance Day holds great significance to many of us, in different ways. Share your story with us on social media using #ManulifeRemembers to show us how, why or who you're remembering. For every social media post that uses #ManulifeRemembers, a donation will be made to the Royal Canadian Legion in support of Veterans and their families.\n \nPhoto: November 2019""",0,0,284,1,,,
CGsc8yGguKj,manulife,2020-10-23 17:33:23.000000,no,False,b'',b'forbes',"b""We've been named one of the World's Best Employers for 2020 by @forbes. The results are based on employees' willingness to recommend their own employers to friends and family, and participants were asked to rate their employers' COVID-19 responses, image, economic footprint, talent development, gender equality and social responsibility. We're proud to be a workplace where employees are happy bringing themselves to work every day.""",0,0,427,8,,,
