shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYjZp1AkAr,marriottintl,2020-12-04 17:09:55.000000,yes,False,"b'marriottintl,marriott,marriottcwc,hotel,hotels,meetings,events,conventions,conferences,mice,meetingplanner'",b'',"b'Learn how Marriott International is reimagining meetings and events. Connect with Confidence showcases creative solutions for hybrid meetings, while furthering our Commitment to Clean. #MarriottIntl #Marriott #MarriottCWC #hotel #hotels #meetings #events #conventions #conferences #MICE #meetingplanner'",6657,79.5,498,6,,,
CITPjsjgvGA,marriottintl,2020-12-02 15:38:16.000000,no,False,b'',b'',"b'The second Sheraton Hotel in Hong Kong, Sheraton Hong Kong Tung Chung Hotel, has opened on Lantau Island.'",0,0,918,7,,,
CHdf1iQAnQt,marriottintl,2020-11-11 18:41:24.000000,no,False,b'veteransday',b'',"b'On #VeteransDay, Marriott International honors those who have served, including Marriott associates and their loved ones. We thank you for your service.'",0,0,1010,4,,,
CG72Rlqr5Ve,marriottintl,2020-10-29 17:03:27.000000,no,False,b'',"b'achotels,ac.stockholm'","b'@ACHotels has expanded its Europe, Middle East and Africa footprint with the opening of its first property in the Swedish capital, @AC.Stockholm.'",0,0,1105,10,,,
CGaU0PMgeii,marriottintl,2020-10-16 16:36:07.000000,no,False,b'',b'stregishotels',"b""@StRegisHotels recently celebrated the groundbreaking of The St. Regis Cap Cana Resort & Residences. The resort is slated to open in 2023 and is expected to be the brand's first hotel in the Dominican Republic.""",0,0,2155,36,,,
CGVnXSqBpy_,marriottintl,2020-10-14 20:41:59.000000,no,False,b'',b'',"b'The 318-room Fuzhou Marriott Hotel Riverside opened this week in the capital city of Fujian province, China.'",0,0,1820,19,,,
CE4jZbSgd6F,marriottintl,2020-09-08 17:17:49.000000,no,False,b'letsmakeplans',b'',b'Let\xe2\x80\x99s reignite our sense of wonder. Book now for a trip to look forward to later. #LetsMakePlans',0,0,1441,10,,,
CBkvCbeAqwT,marriottintl,2020-06-18 11:00:33.000000,no,False,b'blacklivesmatter',b'',"b'We Stand Against Racism. \xe2\x81\xa3\xe2\x81\xa3\n\xe2\x81\xa3\xe2\x81\xa3\nWe believe everyone deserves to feel safe and at home wherever they go. But the killings of George Floyd, Breonna Taylor, Ahmaud Arbery, Rayshard Brooks, and countless others present a more painful reality. \xe2\x81\xa3\xe2\x81\xa3 \xe2\x81\xa3\xe2\x81\xa3\nFor years, we have strived to welcome people regardless of what they look like, where they come from, what their abilities are or who they love. \xe2\x81\xa3\xe2\x81\xa3 \xe2\x81\xa3\xe2\x81\xa3\nMarriott International believes Black Lives Matter. \xe2\x81\xa3\xe2\x81\xa3 \xe2\x81\xa3\xe2\x81\xa3\nSo, we stand in solidarity for change. \xe2\x81\xa3\xe2\x81\xa3 \xe2\x81\xa3\xe2\x81\xa3\n1) We will build upon our 93-year history of putting people first by elevating the conversation on racism internally with town halls to make sure we continue to listen to our associates and use their perspectives to map our plans and actions. \xe2\x81\xa3\xe2\x81\xa3\n2) We will expand our Emerging Leader Program to bring an even sharper focus to the career development needs of our Black associates. \xe2\x81\xa3\xe2\x81\xa3\n3) We will continue to provide financial support\xe2\x80\xafto our partners in the Black community, organizations we have been working with for decades \xe2\x80\x93 like the NAACP and National Urban League and others, to help them pursue the mission of equality and social justice, while also engaging with them for advice as we continue to drive progress within Marriott. \xe2\x81\xa3\xe2\x81\xa3\n4) We will work to provide an opportunity for our Marriott Bonvoy members to donate points to organizations focused on advancing racial equality and social justice \xe2\x80\x93 donations that we will match to these important organizations. \xe2\x81\xa3\xe2\x81\xa3\n5) We call on federal leadership to act with urgency and we will advance Marriott\xe2\x80\x99s policy agenda to advocate for solutions to address barriers to equality and opportunity. \xe2\x81\xa3\xe2\x81\xa3 \xe2\x81\xa3\xe2\x81\xa3\nWe pride ourselves on serving others. And to do that now, we must push for real change. #blacklivesmatter'",0,0,3600,87,,,
CALDXooAxho,marriottintl,2020-05-14 15:06:33.000000,no,False,b'',b'',"b'As we prepare to welcome you back to our hotels around the world, we are committed to providing you with a safe environment.\xe2\x80\x8b'",0,0,3023,78,,,
B_2h-iQgmzA,marriottintl,2020-05-06 15:50:26.000000,yes,False,b'',b'',"b'In consultation with experts in public health, we are redefining our cleaning and safety standards in all of our hotels.'",25547,35.006,3850,90,,,
B-PbmQan8-J,marriottintl,2020-03-27 14:52:45.000000,yes,False,b'',b'matiasderada',"b'We will travel again.\xe2\x81\xa3\n\xe2\x81\xa3\nSoon, we will step out from behind our screens.\xe2\x81\xa3\n\xe2\x81\xa3\nWe will look each other in the eye\xe2\x80\x94instead of the camera.\xe2\x81\xa3\n\xe2\x81\xa3\nWe will clink glasses. We will exchange hugs.\xe2\x81\xa3\nWe will travel again.\xe2\x81\xa3\n\xe2\x81\xa3\nUntil then, stay healthy and stay positive.\xe2\x81\xa3\n\xe2\x81\xa3\nWe\xe2\x80\x99ll be waiting.\xe2\x81\xa3\n\xe2\x81\xa3\n:video_camera:: @matiasderada'",23166,36.3,5179,139,,,
B9pMCGLgscP,marriottintl,2020-03-12 18:26:20.000000,yes,False,"b'iwd2020,womenofmarriott'",b'',"b""Earlier this week, Marriott International Group President for Europe, Middle East & Africa Liam Brown joined associates from more than 7,300 properties to celebrate the achievements of women from around the world on International Women's Day. #IWD2020 #WomenOfMarriott""",7315,48.019,450,16,,,
B9kTHw1FFhb,marriottintl,2020-03-10 20:51:10.000000,no,False,"b'iwd2020,womenofmarriott'",b'',"b""Seema Jain is Marriott International's director of multicultural affairs. Seema has traveled the world with Marriott's Culture Day program -- immersive trainings for hotel staff aimed at fostering multicultural understanding to help ensure welcoming environments. #IWD2020 #WomenOfMarriott""",0,0,1077,27,,,
B9juKBdA0rv,marriottintl,2020-03-10 15:28:02.000000,no,False,"b'iwd2020,womenofmarriott'",b'themayflowerhoteldc',"b'Kori Johnson is general manager of @TheMayflowerHotelDC. She encourages other women to ""surround yourself with positive people who are honest with you, but encourage you."" #IWD2020 #WomenOfMarriott'",0,0,648,9,,"b'The Mayflower Hotel, Autograph Collection'",38.904509 -77.039701
B9hVCOClu_5,marriottintl,2020-03-09 17:10:08.000000,no,False,"b'iwd2020,womenofmarriott'",b'grandcaymanmarriott',"b'Sherene Hutchinson is a specialty chef at @GrandCaymanMarriott. In 2018, she won Marriott\xe2\x80\x99s Masters of the Craft international cooking competition, beating out more than 2,500 contestants from 270 hotels. #IWD2020 #WomenOfMarriott'",0,0,685,9,,,
