shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIV9wfKhS6k,mattel,2020-12-03 17:00:19.000000,no,False,b'',b'hellokitty',"b'Supercute. Super sweet. Super stylish. :ribbon:\nIntroducing the Mattel x @hellokitty and Friends line, featuring fashion dolls, collectibles, plush toys and more. Tap our Stories to sneak a peek at the full collection!'",0,0,4701,297,,,
CITblBhM4WW,mattel,2020-12-02 17:23:13.000000,no,False,b'caveclub',b'',b'It\xe2\x80\x99s the most rockin\xe2\x80\x99 time of the year! What adventures are you most looking forward to this season? #CaveClub',0,0,1797,72,,,
CIOK_dMr7sp,mattel,2020-11-30 16:22:05.000000,no,False,b'',b'',"b'The legacy lives on! Eddie Guerrero from 2005, Jake \xe2\x80\x9cThe Snake\xe2\x80\x9d Roberts from 1986-87, \xe2\x80\x9cMr. Wonderful\xe2\x80\x9d Paul Orndorff in his classic red attire, and Ultimate Warrior from his final RAW appearance. Check out WWE:registered: Legends Series 8 action figures, available now at Target!'",0,0,1230,96,,,
CILrToDgtOz,mattel,2020-11-29 17:06:43.000000,no,False,b'',b'',b'Partner up with friends and take on the world of Minecraft Dungeons.',0,0,1484,44,,,
CIG0BOtJUix,mattel,2020-11-27 19:46:39.000000,no,False,"b'jurassicworld,campcretaceous'",b'',"b'Catch a glimpse of the Super Colossal Indominus Rex from #JurassicWorld #CampCretaceous, but steer clear of those teeth!'",0,0,2695,77,,,
CIG0BOtJUix,mattel,2020-11-27 19:46:39.000000,no,False,"b'jurassicworld,campcretaceous'",b'',"b'Catch a glimpse of the Super Colossal Indominus Rex from #JurassicWorld #CampCretaceous, but steer clear of those teeth!'",0,0,2695,77,,,
CID8NQHrO82,mattel,2020-11-26 17:00:29.000000,no,False,"b'alienremix,disney,pixar'",b'pixar',"b'The @Pixar Buzz Lightyear #AlienRemix figure is ready for his big Thanksgiving parade moment, but don\xe2\x80\x99t tell him that it\xe2\x80\x99s too late to enter! Get your Alien Remix figure today. #Disney #Pixar'",0,0,7021,77,,,
CIBQhiWMtIi,mattel,2020-11-25 16:00:15.000000,no,False,b'enchantimals',b'',"b'Snow day! :snowflake_selector::scarf: With #Enchantimals, turn any playtime into a winter wonderland \xe2\x80\x93 no matter where you are.'",0,0,2227,82,,,
CH8KYdDjlIG,mattel,2020-11-23 16:30:23.000000,no,False,b'caveclub',b'',"b'With the #CaveClub, fun never goes extinct! Each Dino Baby Crystal reveals a prehistoric pet for kids to call their own, plus more surprises. Collect them all now.'",0,0,2094,60,,,
CH58-LPHBaO,mattel,2020-11-22 19:54:43.000000,no,False,b'',b'',"b'The Deadman. The Lord of Darkness. Big Evil. The Phenom. The Last Outlaw. However you remember him, there\xe2\x80\x99s only one Undertaker. Celebrate Undertaker\xe2\x80\x99s 30th anniversary with a special Collector\xe2\x80\x99s Edition Elite figure, complete with commemorative packaging, available now at Walmart!'",0,0,1588,35,,,
