shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIOYcW2sffr,mccaincanada,2020-11-30 18:19:35.000000,no,False,"b'thatsgolden,cestdelor'",b'',"b'\xe2\x80\x98Tis the season for seasoning! Aside from the classic pinch of salt, what\xe2\x80\x99s your favourite seasoning for your MCCAIN Superfries:french_fries:? #ThatsGolden\n//\nC\xe2\x80\x99est la saison des assaisonnements! \xc3\x80 part la classique pinc\xc3\xa9e de sel, quel est votre assaisonnement pr\xc3\xa9f\xc3\xa9r\xc3\xa9 pour vos Superfries de MCCAIN :french_fries:? #CestDeLor'",0,0,64,3,,,
CH_PgorBFcy,mccaincanada,2020-11-24 21:12:55.000000,no,False,"b'thatsgolden,cestdelor'",b'',"b'MCCAIN Superfries are a quick fix for hungry kids. And while they\xe2\x80\x99re cooking, why not try one of our fun Golden Games to help pass the time? :french_fries::potato: #ThatsGolden \n//\nLes Superfries de MCCAIN sont rapides \xc3\xa0 cuisiner aux  enfants affam\xc3\xa9s. Pendant qu\xe2\x80\x99elles cuisent, essayez un de nos Jeux en or pour passer le temps.:french_fries::potato: #cestdelor'",0,0,84,0,,,
CHs0PJGhZDw,mccaincanada,2020-11-17 17:28:16.000000,no,False,"b'thatsgolden,cestdelor'",b'',"b'Now that it\xe2\x80\x99s cold out, there\xe2\x80\x99s no better time to curl up with some Flicks & Fries. :movie_camera::french_fries: What movie are you watching tonight? #thatsgolden\n//\nMaintenant qu\xe2\x80\x99il fait froid, c\xe2\x80\x99est le moment id\xc3\xa9al pour rester bien au chaud avec un film et des frites. :movie_camera::french_fries: Que regardez-vous ce soir? #CestDeLor'",0,0,56,2,,,
CHqmcfrJnf8,mccaincanada,2020-11-16 20:49:16.000000,no,False,"b'goldencreations,thatsgolden,cr\xc3\xa9ationsenor,cestdelor'",b'',b'What happens when you combine Cheese Steak with MCCAIN Bistro Selects Lattice Cut fries? You get a match made in heaven. You\xe2\x80\x99ve gotta try these! Tap the link in our bio for recipe. #GoldenCreations #ThatsGolden\n//\nQu\xe2\x80\x99obtenez-vous lorsque vous combinez du steak au fromage avec des frites gaufr\xc3\xa9es MCCAIN Style Bistro? Le mariage parfait. Essayez cette recette! Ouvrez le lien dans notre biographie pour obtenir la recette. #Cr\xc3\xa9ationsEnOr #CestDeLor',0,0,63,1,,,
CHf4hImhX96,mccaincanada,2020-11-12 16:55:33.000000,no,False,"b'thatsgolden,cestdelor'",b'',b'When the two of you decide to make the most of a beautiful day. #ThatsGolden\n//\nQuand vous d\xc3\xa9cidez tous le deux de profiter au maximum d\xe2\x80\x99une belle journ\xc3\xa9e. #CestDeLor',0,0,59,0,,,
CHa3WXsnbAZ,mccaincanada,2020-11-10 18:09:08.000000,no,False,"b'thatsgolden,cestdelor'",b'',"b'There\xe2\x80\x99s nothing like a little quality family time. And nothing brings a family together like hot, golden MCCAIN Superfries fresh out of the oven. #ThatsGolden\n//\nPour rassembler la famille et passer de bons moments ensemble, rien de mieux que des Superfries de MCCAIN bien chaudes et dor\xc3\xa9es, directement sorties du four. #CestDeLor'",0,0,63,1,,,
CHNb2LzABbh,mccaincanada,2020-11-05 12:58:41.000000,no,False,"b'frytography,thatsgolden,fritographie,cestdelor'",b'',"b'It takes crispy, golden MCCAIN Superfries to create the perfect salt toss. And this is what perfection looks like. Get creative and show us your best #Frytography! :french_fries::camera_with_flash: #thatsgolden \n//\nPour parfaire le geste du salage, il faut des Superfries de MCCAIN bien dor\xc3\xa9es et croustillantes. Et \xc3\xa7a, c\xe2\x80\x99est l\xe2\x80\x99image de la perfection. Faites appel \xc3\xa0 votre cr\xc3\xa9ativit\xc3\xa9 et montrez-nous votre meilleure #Fritographie! :french_fries::camera_with_flash:#CestDeLor'",0,0,127,6,,,
CG6DI9Ggpv-,mccaincanada,2020-10-29 00:17:13.000000,no,False,"b'thatsgolden,cestdelor'",b'',b'Need a costume in 5 minutes? We have you covered! Pop your MCCAIN Superfries in the oven and show us your fry fang photos!:vampire: #ThatsGolden \n//\nBesoin d\xe2\x80\x99un d\xc3\xa9guisement en 5 minutes? On a ce qu\xe2\x80\x99il vous faut! Mettez vos Superfries de McCain au four et partagez les photos de vos crocs en frites avec nous! :vampire: #CestDeLor',0,0,76,0,,,
CGVIuk6HY8T,mccaincanada,2020-10-14 16:14:15.000000,yes,False,b'thatsgolden',b'',b'Golden headphones! A golden retriever (statue)! Hundreds of bags of delicious golden fries! Fry fans all across Canada won GOLDEN things when the MCCAIN Golden Oven went *DING*. Congrats to all the winners! #ThatsGolden',384,14.0,46,7,,,
CGSPb9Un54m,mccaincanada,2020-10-13 13:15:03.000000,no,False,b'',b'',"b""Potato harvest is wrapping up for many of our growers. Here's a beautiful shot from the fields! Thanks to Richard Culberson & Sons, one of our New Brunswick growers, for tagging us.:potato::fallen_leaf::tractor:""",0,0,95,2,,,
CGIv5OFpVHq,mccaincanada,2020-10-09 20:46:16.000000,no,False,b'',b'',"b'Whether it\xe2\x80\x99s a small gathering at home, or the feast is going virtual, we wish you a happy and healthy Thanksgiving from MCCAIN. :turkey::turkey:\n//\nQu\xe2\x80\x99il s\xe2\x80\x99agisse d\xe2\x80\x99un petit rassemblement \xc3\xa0 la maison ou que la f\xc3\xaate devienne virtuelle, nous vous souhaitons une joyeuse Action de gr\xc3\xa2ce en sant\xc3\xa9 de la part de MCCAIN. :turkey::turkey:'",0,0,65,2,,,
CFcq0TUgrOg,mccaincanada,2020-09-22 17:55:19.000000,no,False,b'',"b'beavercreekfarmsltd,beavercreekfarmsltd'","b'Fall is here and with it comes the harvest season. :fallen_leaf: More than 130 MCCAIN potato growers across Canada are busy harvesting the 2020 crop. Here are some amazing photos of the harvest action from Darryl Wiebe of @beavercreekfarmsltd, near MacGregor, Manitoba. :potato::potato::potato: \n//\nL\xe2\x80\x99automne est arriv\xc3\xa9,:fallen_leaf: tout comme la saison des r\xc3\xa9coltes. Plus de 130 producteurs de pommes de terre MCCAIN partout au Canada sont occup\xc3\xa9s \xc3\xa0 effectuer la r\xc3\xa9colte 2020. Voyez la r\xc3\xa9colte en action sur ces quelques photos extraordinaires de Darryl Wiebe de la @beavercreekfarmsltd, situ\xc3\xa9e pr\xc3\xa8s de MacGregor au Manitoba. :potato::potato::potato:'",0,0,149,12,,,
CFSYpyKjmwf,mccaincanada,2020-09-18 18:04:11.000000,no,False,"b'thatsgolden,cestdelor'",b'',b'Your family will be like fry moths to the oven flame. #ThatsGolden \n//\nVotre famille sera comme un papillon attir\xc3\xa9 par la lumi\xc3\xa8re du four. #cestdelor',0,0,79,11,,,
