shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIWHqhGJbAz,mcdonalds,2020-12-03 18:26:53.000000,no,False,b'',b'',b'welcome to McDonald\xe2\x80\x99s what can I get you?',0,0,109904,2701,,,
CITSvH9McCC,mcdonalds,2020-12-02 16:06:03.000000,no,False,b'',b'',b'TODAY\xe2\x80\x99S THE DAY WHO\xe2\x80\x99S COMING WITH ME',0,0,29998,813,,,
CH_JB-MFcoj,mcdonalds,2020-11-24 20:16:26.000000,no,False,b'',b'',b'your daily dose of feels',0,0,66496,1888,,,
CHyFAsLsfAz,mcdonalds,2020-11-19 18:31:11.000000,no,False,b'',b'craigstephensart',b'paint me like one of your french fries\n\n:framed_picture:: @craigstephensart',0,0,36997,516,,,
CHs1H13pCPQ,mcdonalds,2020-11-17 17:36:00.000000,no,False,b'',b'fallguysgame',b'thinking about these a lot lately @fallguysgame',0,0,71768,1262,,,
CHinddeJRe9,mcdonalds,2020-11-13 18:24:13.000000,no,False,b'',b'hayden__davis',b'link in bio \n\n:camera_with_flash:: @hayden__davis',0,0,143163,1584,,,
CG_B0uRpzQn,mcdonalds,2020-10-30 22:41:55.000000,no,False,b'',b'',b'thy McRib shall returneth 12.2',0,0,53888,2440,,,
CG50yaep0Rd,mcdonalds,2020-10-28 22:11:49.000000,no,False,b'',b'',b'hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh',0,0,90633,6631,,,
CG0YKT1Jw_1,mcdonalds,2020-10-26 19:25:28.000000,no,False,b'',"b'jbalvin,jbalvin'","b'Diamonds :check_mark: emeralds :check_mark: rubies :check_mark: this final, limited-edition set of @jbalvin meal 14K gold chains could be yours if you order his meal on our App this week! \n\nDiamantes :check_mark: esmeraldas :check_mark: rub\xc3\xades :check_mark: este \xc3\xbaltimo conjunto de cadenas de edici\xc3\xb3n limitada del @jbalvin meal pueden ser tuyos si ordenas la J Balvin Meal por la App esta semana!'",0,0,21570,7473,,,
CGsoPhtJbqi,mcdonalds,2020-10-23 19:12:04.000000,no,False,b'',"b'ntwrk,jbalvin,ntwrk,jbalvin'","b'OREO McFlurry on ice :gem_stone: \n\nHead over to @ntwrk for more details on how you could win this 14K white gold McFlurry chain with black diamond detailing like the one @jbalvin wore in our TV ad\n\nOREO McFlurry en diamantes :gem_stone: \n\nDiri\xcc\x81gete hacia @ntwrk para ma\xcc\x81s detalles de co\xcc\x81mo puedes ganar esta cadena McFlurry en oro blanco de 14K con detalles en diamante negro igual a la que uso\xcc\x81 @jbalvin en nuestro comercial, puede ser tuya'",0,0,48601,937,,,
CGqFzcup7YB,mcdonalds,2020-10-22 19:33:13.000000,yes,False,b'',"b'jbalvin,ntwrk,jbalvin,ntwrk'","b'yes folks, there\xe2\x80\x99s an opportunity to win this fry chain just like the one @jbalvin wore in our TV ad. This 14k gold fries and ruby fry box could be yours\n\nHead over to @ntwrk for more details.\n\nSi amigos, hay una oportunidad de ganar la cadena de papitas, igual a la que us\xc3\xb3 @jbalvin en nuestro comercial. Estas papitas de oro de 14k en su cajita de ruby pueden ser tuya.\n\nDir\xc3\xadgete hac\xc3\xada @ntwrk para m\xc3\xa1s detalles.'",137694,8.008,31095,515,,,
CGnpn_IJWJy,mcdonalds,2020-10-21 20:49:57.000000,yes,False,b'',"b'jbalvin,ntwrk,jbalvin,ntwrk'","b'A blinged-out Big Mac just like @jbalvin\xe2\x80\x99s from our TV ad can be yours :eyes: be on the lookout for more bling\n\nHead over to @ntwrk for more details \n\nLa cadena de la Big Mac, igual a la que us\xc3\xb3 @jbalvin en nuestro comercial, puede ser tuya :eyes:Sigue conectado con nosotros para ver ma\xcc\x81s bling \n\nDiri\xcc\x81gete haci\xcc\x81a @ntwrk para ma\xcc\x81s informacio\xcc\x81n'",156057,8.05,29547,532,,,
CGiMwldh_r-,mcdonalds,2020-10-19 17:59:38.000000,no,False,b'',b'',b'Grimace lives rent free in my mind',0,0,32604,680,,,
CGaPfAtJ9ts,mcdonalds,2020-10-16 15:49:24.000000,no,False,b'',"b'jbalvin,jbalvin'",b'we know why you\xe2\x80\x99re here. @JBALVIN merch now available :high_voltage:\n\nSabemos porqu\xc3\xa9 est\xc3\xa1s aqu\xc3\xad. \xc2\xa1Toda la mercanc\xc3\xada de @JBALVIN ya est\xc3\xa1 disponible! :high_voltage:',0,0,41811,1056,,,
CGXs0THHTM8,mcdonalds,2020-10-15 16:08:08.000000,no,False,b'',b'jbalvin',"b'weird flex, but ok.\n\nyes merch includes a @jbalvin receipt tattoo'",0,0,55294,862,,,
CGVGh8xpwLl,mcdonalds,2020-10-14 15:54:57.000000,no,False,b'',"b'jbalvin,jbalvin,toonized_'",b'The @jbalvin meal is art :hamburger: :french_fries: :high_voltage:\n\nThis @jbalvin meal es una obra de arte :hamburger: :french_fries: :high_voltage:\n\n:camera_with_flash:: @toonized_',0,0,39051,764,,,
CGSuEJAJIA8,mcdonalds,2020-10-13 17:43:49.000000,yes,False,b'',"b'jbalvin,jbalvin'","b'my taste buds after that first bite of the Big Mac. amirite, @JBALVIN?\n\nNo hay nada como el primer mordisco de una Big Mac. \xc2\xbfS\xc3\xad o S\xc3\xad, @JBALVIN?'",140755,4.8,23336,473,,,
CGIIgThplAx,mcdonalds,2020-10-09 15:02:04.000000,no,False,b'',b'',b'merch for la familia',0,0,52736,886,,,
CGFnTDrJQkh,mcdonalds,2020-10-08 15:33:26.000000,no,False,b'',"b'jbalvin,riversgraphics'",b'which @jbalvin are you? i\xe2\x80\x99m lower right\n\n:camera_with_flash:: @riversgraphics',0,0,54488,1344,,,
