shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYS_y4A_0o,mckinseyco,2020-12-04 14:44:32.000000,no,False,"b'mckpride,mckcareers'",b'',"b""\xe2\x80\x9cI balance my full life by bringing my passion for LGBTQ+ support into my home and work life. That includes addressing more than a thousand people worldwide about LGBTQ+ issues, spending weekends skiing with my GLAM (LGBTQ+ at McKinsey) colleagues, and supporting a LGBTQ+ anti-bullying charity with my London colleagues. I\xe2\x80\x99m always excited to see what we'll do and accomplish next,\xe2\x80\x9d shares Pip, an engagement manager in our London office. \n#McKPride #McKCareers""",0,0,516,0,,,
CIWm7QcHYjw,mckinseyco,2020-12-03 23:00:11.000000,no,False,"b'mckcareers,meetmckasiapac'",b'',b'We sat down with four of our newer colleagues in Japan to learn about their time at McKinsey. They all studied abroad before returning to Japan to start their professional careers. We hope you\xe2\x80\x99ll enjoy sharing virtually in their experiences and consider applying to join them in our Tokyo or Kansai locations. Link in bio.  #McKCareers #MeetMcKAsiaPac',0,0,891,0,,,
CIUIX02AA0E,mckinseyco,2020-12-02 23:54:44.000000,no,False,b'',b'',"b'Today, we launched the McKinsey Institute for Black Economic Mobility, which brings together the best thinking on Black economic development through research and collaboration among leaders and organizations, with the goal of advancing racial equity around the world. Learn more at link in bio.\n\nThe Institute is one of the 10 actions in support of racial justice and equity that we announced earlier this year.'",0,0,848,9,,,
CIQkeIfhA6N,mckinseyco,2020-12-01 14:43:09.000000,no,False,b'ceo',b'',"b""A good #CEO needs to create an atmosphere where people can be realistic about a business's situation, instead of hiding facts that are hard to swallow.\n\nLearn more about leading the way in tough times.""",0,0,1292,4,,,
CIN6d4VrdY1,mckinseyco,2020-11-30 13:57:47.000000,no,False,"b'meetmckafrica,mckcareers'",b'',b'Camil had just joined McKinsey when his father became ill. He received comfort and flexibility that allowed him to be at his best while taking care of his father. Read more at the link in bio.\n\n#MeetMcKAfrica #McKCareers',0,0,1491,7,,,
CIIyaB_rUUS,mckinseyco,2020-11-28 14:11:08.000000,no,False,b'',b'',b'Employees who have more autonomy are happier with their lives and in turn deliver bottom-line results. How can leaders and organizations improve employee satisfaction? We dug into it. Link in bio.',0,0,2778,38,,,
CIIyaB_rUUS,mckinseyco,2020-11-28 14:11:08.000000,no,False,b'',b'',b'Employees who have more autonomy are happier with their lives and in turn deliver bottom-line results. How can leaders and organizations improve employee satisfaction? We dug into it. Link in bio.',0,0,2778,38,,,
CIDwfbXshUL,mckinseyco,2020-11-26 15:18:13.000000,no,False,b'',b'',"b'Don\xe2\x80\x99t get what McKinsey consultants actually do? You\xe2\x80\x99re not alone. We put this fun tale together to show kids how we helped farmers feed hungry fish. Who knows, maybe you will learn something new too. Link in bio.'",0,0,1374,21,,,
CIBy1YnHZvv,mckinseyco,2020-11-25 21:00:12.000000,no,False,"b'meetmckasiapac,mckcareers'",b'',"b'Sidney, a business analyst in Melbourne, threw herself into life at McKinsey when she joined after working as a lawyer in mergers, acquisitions and capital markets. Read her story to hear what she values most about McKinsey. Consider following in her footsteps and start by participating in virtual Women in Law networking and development sessions our Australian and New Zealand offices will be hosting in December. Link in bio.\n#MeetMcKAsiaPac #McKCareers'",0,0,878,1,,,
CH-ReBfhJTA,mckinseyco,2020-11-24 12:10:47.000000,no,False,b'',b'',"b""For over half the global workforce, remote working isn't possible. Moreover, the pandemic has shown that the success of remote working varies across industries and favors advanced economies. So, what does the future of remote work look like? We analyzed 2,000 tasks, 800 jobs, and nine countries to find out. Link in bio.""",0,0,950,7,,,
CH8BPXCg2Fi,mckinseyco,2020-11-23 15:10:39.000000,no,False,"b'mckwomen,mckcareers,mckinseyblacknetwork,mcktech'",b'',"b'""Since I joined McKinsey in the midst of COVID-19, my onboarding was conducted virtually. I worried I wouldn\'t build relationships with my colleagues. However, I have been so impressed! The onboarding team created a fantastic program that connected me to my cohort, making the most of Zoom breakout rooms and hosting a socially distanced afternoon tea,"" shares Lola, a senior digital analyst based in London. Follow the link in bio to read more about Lola\'s journey from Big Tech to McKinsey.\n#McKWomen #McKCareers #McKinseyBlackNetwork #McKTech'",0,0,1063,5,,,
CH23vpRhlA3,mckinseyco,2020-11-21 15:11:19.000000,no,False,b'',b'',"b'During crises and economic downturns, companies tend to put the brakes on growth efforts and hunker down; this is an ill-advised strategy. Here are eight lessons that companies looking to reignite growth should apply.'",0,0,1428,12,,,
CHz5-pcrMJm,mckinseyco,2020-11-20 11:33:16.000000,no,False,"b'mckcareers,mymckinseyinterview,mckwomen'",b'',"b'Anna did not expect consulting would inspire her. However, after eight years in major industrial companies, she decided to move to consulting and couldn\xe2\x80\x99t be happier with the switch. Read her full story and learn how she prepared to succeed during the recruitment process with McKinsey at the link in bio.\n#McKCareers #MyMcKinseyInterview #McKWomen'",0,0,1039,5,,,
CHyRHl-hrRw,mckinseyco,2020-11-19 20:26:37.000000,yes,False,"b'ourblackvoices,mckinseyblacknetwork'",b'',"b'Hearing from members of the McKinsey Black community is not only self-evident in its power but also necessary. In a new video series, #OurBlackVoices, our colleagues share perspectives on their Black experience\xe2\x80\x94in the workplace and beyond. #McKinseyBlackNetwork'",3202,152.085,143,0,,,
