shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIZLKjhoJfZ,mercedesbenz,2020-12-04 22:55:12.000000,no,False,"b'mercedesbenz,mercedesbenzfashion'","b'kickiyangz,mercedesbenzfashion,nanushka,mercedesbenzfashion,rubenjacobfees'","b'[Stromverbrauch kombiniert: 21,5\xe2\x80\x9320,1 kWh/100 km  CO\xe2\x82\x82-Emissionen kombiniert: 0 g/km  mb4.me/DAT-Leitfaden-electric  Mercedes-Benz EQC 400 4MATIC]\n\n\xe2\x80\x9cI am caring!\xe2\x80\x9d Check out @kickiyangz\xe2\x80\x99s \xe2\x80\x9cI am caring,\xe2\x80\x9d persona paired with the Mercedes-Benz EQC, as part of the @mercedesbenzfashion Fashion Series! Kicki wears @nanushka . See more on @mercedesbenzfashion \n\n:camera_with_flash:  @rubenjacobfees #MercedesBenz #MercedesBenzFashion'",0,0,101045,145,,"b'Berlin, Germany'",52.518391 13.401251
CIY1N6tCDxG,mercedesbenz,2020-12-04 19:43:41.000000,yes,False,"b'mercedesbenz,mercedesamg,mercedesmaybach'",b'',b'Great news is made by you. We reached 30 million followers! Thank you so much for your support and unstoppable drive!\n\n#MercedesBenz #MercedesAMG #MercedesMaybach',231880,27.666,57070,239,,,
CIYTXu0JwT-,mercedesbenz,2020-12-04 14:47:40.000000,no,False,"b'mercedesamg,drivingperformance'",b'',b'The dynamic Mercedes-AMG lineup can now be enjoyed at home in hyperrealism form. Get the AMG Calendar 2021 shot by photo artist Michael von Hassel. \n \nPicture may differ from actual product.\n#MercedesAMG #DrivingPerformance',0,0,51072,88,,,
CIX5TrqiHqc,mercedesbenz,2020-12-04 11:00:24.000000,yes,False,"b'gparade,gclass,strongerthantime'",b'',"b""Buckle up, G lovers. The world's first digital motorcade made of G-Classes is about to hit the road. And a very special G is part of it: number 400,000! So thanks for your many submissions and enjoy the #gparade. Stay tuned, there's more to come. #gclass\n#strongerthantime""",185006,76.86,43156,139,,,
CIXd5NRCtbU,mercedesbenz,2020-12-04 07:00:42.000000,yes,False,"b'mercedesbenz,switchtoeq,enjoyelectric,4x4,coldesommelier,eq,switchtoeq,eqc4x4,progressiveluxury'",b'',"b""Driving a four-wheel-drive vehicle on Europe's highest legal road sounds fun? Then be ready for the EQC 4x4\xc2\xb2 prototype to make this adventure an electric one.\n\n#MercedesBenz #switchtoEQ #EnjoyElectric #4x4 #coldesommelier #eq #switchtoeq #eqc4x4 #progressiveluxury""",213594,40.033,51508,295,,,
CIXCZUfC5os,mercedesbenz,2020-12-04 03:00:05.000000,no,False,"b'mercedesbenz,gle,mercedes,benz'",b'',b'Modern luxury both on and off the road: this is the design message of the new GLE.\n\n#MercedesBenz #GLE #Mercedes #Benz',0,0,115218,250,,,
CIWmX3_IV_V,mercedesbenz,2020-12-03 22:55:13.000000,no,False,"b'visionmercedesmaybach6,mercedesmaybach,mbdesign,maybach,vision,thenewluxury'","b'gorden.wagener,mercedesmaybach'",b'Perfect match from @gorden.wagener \xe2\x80\x93 the #VisionMercedesMaybach6 Cabriolet and Coupe\xcc\x81. :blue_heart::red_heart_selector:#MercedesMaybach #MBDesign #Maybach #Vision #TheNewLuxury @mercedesmaybach',0,0,210896,477,,,
CIWLhjPiuGs,mercedesbenz,2020-12-03 19:01:03.000000,yes,False,"b'mbclassic,mbmuseum,mercedesbenz'",b'mercedesbenzmuseum',b'With the help of our colleagues from the @mercedesbenzmuseum we brought all of our Dream Cars from 134 years of automotive history together for one big movie & we really just want to say THANK YOU. Thank you for making our cars your dream cars. Thank you for dreaming with Mercedes-Benz.\n#MBclassic #MBmuseum #MercedesBenz',188571,120.98,42846,197,,,
CIVuj9cJ34Z,mercedesbenz,2020-12-03 14:47:32.000000,no,False,"b'mercedesamg,drivingperformance'",b'',"b'The Mercedes-AMG calendar fascinates again in 2021 with new hyper-realistic compositions by photo artist Michael von Hassel. At the same time puristic and hyperreal, the artist stages various models of the AMG GT family in his unmistakable style of hyperrealism. \n \nPicture may differ from actual product.\n#MercedesAMG #DrivingPerformance'",0,0,67565,109,,,
CIVUl6CCu0R,mercedesbenz,2020-12-03 11:00:37.000000,no,False,"b'mercedesmaybach,sclass,mercedes,maybach,luxury,automotiveluxury'",b'mercedesmaybach',"b'The new Mercedes-Maybach S-Class cares a great deal about the VIPs in the back, however that doesn\xe2\x80\x98t mean the chauffeur should be ignored!\n\n@mercedesmaybach \n#MercedesMaybach #Sclass #Mercedes #Maybach #luxury #automotiveluxury'",0,0,283078,762,,,
